perc	Project
95.77	Other
98.91	Other
92.31	Other
95.15	Other
100	Other
93.12	Other
98.95	Other
95.27	Other
89.3	Other
96.87	Other
100	Other
99.49	Other
93.22	Other
96.1	Other
99.08	Other
95.29	Other
95.38	Other
99.98	Other
99.85	Other
94.02	Other
100	Other
97.15	Other
79.8	Other
70.45	Other
99.33	Other
53.56	Other
91.69	Other
89.42	Other
99.79	Other
99.87	Other
99.57	Other
99.96	Other
100	Other
99.82	Other
98.75	Other
95.36	Other
96.58	Other
78.49	Other
100	Other
98.84	Other
96.67	Other
97.39	Other
97.39	Other
96.94	Other
96.84	Other
97.49	Other
96.93	Other
72.55	Other
82.65	Other
100	Other
96.22	Other
95.45	Other
97.89	Other
80.09	Other
99.51	Other
95.75	Other
91.19	Other
96.59	Other
97.94	Other
92.84	Other
91.57	Other
76.32	Other
94.4	Other
92.55	Other
98.23	Other
98.26	Other
98.52	Other
99.14	Other
96.74	Other
81.31	Other
99.67	Other
99.21	Other
97.93	Other
99.88	Other
97.74	Other
99.76	Other
99.2	Other
97.74	Other
98.28	Other
100	Other
95.03	Other
99.35	Other
99.09	Other
98.97	Other
92.19	Other
96.28	Other
99.84	Other
93.78	Other
94.41	Other
96.78	Other
99.78	Other
90.83	Other
94.88	Other
88.9	Other
89.19	Other
90.5	Other
96.15	Other
98.36	Other
88.03	Other
99.35	Other
98.99	Other
91.72	Other
97.79	Other
97.52	Other
97.7	Other
92.62	Other
94.69	Other
97.42	Other
99.38	Other
95.37	Other
95.84	Other
99.79	Other
97.19	Other
100	Other
94.03	Other
95.53	Other
99.89	Other
97.93	Other
93.57	Other
100	Other
95.85	Other
96.02	Other
98.87	Other
98.93	Other
97.87	Other
92.29	Other
72.67	Other
95.92	Other
69.97	Other
95.08	Other
96.98	Other
98.57	Other
97.3	Other
100	Other
94.49	Other
96.21	Other
99.47	Other
100	Other
99.02	Other
96.53	Other
99.7	Other
92.04	Other
99.9	Other
97.4	Other
98.52	Other
99.42	Other
99.69	Other
93.62	Other
97.67	Other
93.46	Other
92.44	Other
98.04	Other
98.04	Other
99.35	Other
75.35	Other
98.64	Other
97.72	Other
98.44	Other
91.84	Other
95.87	Other
91.57	Other
94.5	Other
99.18	Other
98.18	Other
95.72	Other
98.03	Other
99.24	Other
99.49	Other
96.11	Other
98.56	Other
99.71	Other
100	Other
100	Other
98.4	Other
94.6	Other
99.2	Other
97.75	Other
97.88	Other
86.72	Other
99.82	Other
98.91	Other
90.83	Other
97.11	Other
99.6	Other
98.87	Other
99	Other
100	Other
100	Other
100	Other
92.29	Other
94.53	Other
94.81	Other
94.84	Other
99.64	Other
98.77	Other
95.86	Other
95.14	Other
93.23	Other
98.55	Other
97.8	Other
98.62	Other
99.63	Other
85.53	Other
99.98	Other
98.76	Other
99.51	Other
93.23	Other
95.18	Other
97.82	Other
99.22	Other
99.68	Other
98.56	Other
96.78	Other
89.11	Other
99.38	Other
99.66	Other
99.26	Other
93.91	Other
95.89	Other
80.44	Other
99.58	Other
98.06	Other
91.34	Other
94.72	Other
100	Other
95.73	Other
95.36	Other
88.12	Other
96.45	Other
96.11	Other
94.89	Other
93.13	Other
92.71	Other
91.97	Other
93.85	Other
88.13	Other
91.13	Other
98.27	Other
97.9	Other
100	Other
87.11	Other
100	Other
99.61	Other
98.6	Other
95.07	Other
99.89	Other
99.28	Other
100	Other
99.85	Other
91.18	Other
87.9	Other
95.21	Other
100	Other
99.4	Other
97.49	Other
100	Other
97.91	Other
99.89	Other
100	Other
90.3	Other
99.97	Other
95.73	Other
96.2	Other
100	Other
98.74	Other
98.14	Other
95.35	Other
99.91	Other
97.7	Other
78.13	Other
99.99	Other
99.21	Other
98.98	Other
98.24	Other
95.33	Other
98.27	Other
95.45	Other
99.54	Other
99.87	Other
99.59	Other
99.85	Other
100	Other
99.57	Other
100	Other
100	Other
91.28	Other
98.26	Other
98.86	Other
64.3	Other
99.53	Other
97.01	Other
99.85	Other
99.5	Other
99.42	Other
77.81	Other
88.32	Other
90.89	Other
97.85	Other
95.75	Other
99.68	Other
81.9	Other
99.29	Other
98.81	Other
97.35	Other
99.9	Other
99.92	Other
97.81	Other
89.37	Other
97.16	Other
97.55	Other
95.53	Other
97.13	Other
93.95	Other
97.55	Other
100	Other
99.47	Other
97.4	Other
96.11	Other
90.59	Other
98.55	Other
99.78	Other
95.09	Other
80.14	Other
84.89	Other
96.85	Other
95.85	Other
96.07	Other
99.25	Other
97.18	Other
98.4	Other
98.32	Other
99.1	Other
100	Other
97.13	Other
95.53	Other
97.95	Other
99.13	Other
95.12	Other
99.34	Other
97.24	Other
80.5	Other
100	Other
94.71	Other
95.15	Other
98.8	Other
99.33	Other
98.9	Other
99.75	Other
99.12	Other
70.98	Other
84.1	Other
87.99	Other
97.86	Other
84.46	Other
96.96	Other
95.62	Other
99.08	Other
95.44	Other
93.94	Other
96.25	Other
86.62	Other
100	Other
99.83	Other
99.69	Other
99.69	Other
99.96	Other
90.66	Other
88.61	Other
80.83	Other
81.74	Other
80.96	Other
72.46	Other
83.83	Other
81.68	Other
95.37	Other
93.62	Other
92.91	Other
88.98	Other
88.81	Other
76.32	Other
99.15	Other
99.16	Other
99.02	Other
95.68	Other
90.39	Other
97.75	Other
90.2	Other
95.49	Other
97.38	Other
96.81	Other
100	Other
95.63	Other
97.71	Other
92.02	Other
90.46	Other
82.66	Other
76.13	Other
87.53	Other
93.64	Other
98.77	Other
75.51	Other
89.32	Other
94.87	Other
93.93	Other
93.14	Other
96.88	Other
98.59	Other
88.88	Other
84.48	Other
69.88	Other
99.47	Other
98.81	Other
96.49	Other
99.73	Other
92.9	Other
92.51	Other
99.31	Other
99.14	Other
92.35	Other
99.3	Other
96.01	Other
92.02	Other
99.68	Other
99.97	Other
97.09	Other
97.86	Other
100	Other
98.7	Other
90.46	Other
96.41	Other
99.04	Other
98.82	Other
98.23	Other
98.62	Other
96.01	Other
94.16	Other
99.43	Other
100	Other
97.87	Other
95.47	Other
97.93	Other
96.27	Other
88.06	Other
85.61	Other
98.14	Other
97.06	Other
93	Other
98.33	Other
99.56	Other
97.16	Other
97.81	Other
74.65	Other
99.72	Other
96.15	Other
97.51	Other
94.3	Other
97.93	Other
95.31	Other
94.98	Other
94.81	Other
99.76	Other
100	Other
96.62	Other
100	Other
91.89	Other
91.89	Other
91.89	Other
99.4	Other
83.48	Other
96.25	Other
87.73	Other
99.62	Other
99.61	Other
99.75	Other
89.6	Other
99.24	Other
100	Other
100	Other
80.85	Other
96.47	Other
99.75	Other
99.83	Other
94.15	Other
98.34	Other
96.18	Other
95.04	Other
89.9	Other
95.95	Other
83.75	Other
98.24	Other
94.4	Other
99.13	Other
99.6	Other
99.6	Other
90.73	Other
97.5	Other
92.58	Other
97.5	Other
100	Other
99.98	Other
96.55	Other
99.47	Other
95.12	Other
96.64	Other
98.71	Other
99.44	Other
98.44	Other
98.26	Other
99.63	Other
98.33	Other
98.64	Other
94.3	Other
100	Other
96.33	Other
97.36	Other
98.98	Other
92.33	Other
98.37	Other
95.56	Other
94.91	Other
91.27	Other
98.36	Other
95.16	Other
95.37	Other
96.34	Other
95.88	Other
69.7	Other
100	Other
83.17	Other
100	Other
98.23	Other
100	Other
91.93	Other
86.43	Other
100	Other
97.89	Other
89.63	Other
99.16	Other
99.33	Other
99.47	Other
96.6	Other
97.29	Other
100	Other
90.22	Other
98.42	Other
89.33	Other
98.36	Other
99.2	Other
97.89	Other
95.54	Other
96.62	Other
90.67	Other
91.51	Other
98.99	Other
73.26	Other
72.3	Other
100	Other
99.16	Other
98.78	Other
96.88	Other
99.66	Other
91.66	Other
4.62	Other
89.49	Other
86.82	Other
99.89	Other
50.99	Other
91.12	Other
95.23	Other
88.06	Other
72.89	Other
71.93	Other
95.13	Other
95.69	Other
98.25	Other
85.18	Other
87.84	Other
88.13	Other
98.31	Other
99.03	Other
95.85	Other
98.7	Other
98.4	Other
96.35	Other
99.17	Other
97.42	Other
82.69	Other
88.07	Other
96.69	Other
96.58	Other
97.66	Other
94.71	Other
99.47	Other
91.83	Other
99.99	Other
99.15	Other
99.55	Other
99.53	Other
97.75	Other
99.51	Other
86.13	Other
99.91	Other
99.25	Other
92.61	Other
99.57	Other
98.87	Other
96.96	Other
98.62	Other
96.15	Other
85.77	Other
92.27	Other
98.24	Other
87.42	Other
98.21	Other
99.69	Other
96.41	Other
98.03	Other
88.61	Other
90.9	Other
99.36	Other
96.94	Other
95.81	Other
98.26	Other
99.85	Other
98.19	Other
96.99	Other
98.58	Other
96.16	Other
98.63	Other
97.33	Other
98.18	Other
94.05	Other
70.86	Other
90.25	Other
99.39	Other
98.07	Other
94.67	Other
79.48	Other
94.22	Other
96.46	Other
99.45	Other
95.16	Other
91.89	Other
78.18	Other
99.41	Other
94.05	Other
97.64	Other
99.73	Other
82.53	Other
98.37	Other
63.73	Other
99.22	Other
96.21	Other
93.74	Other
95.48	Other
45.87	Other
98.65	Other
97.51	Other
92.76	Other
85.63	Other
92.17	Other
98.22	Other
95.09	Other
98.8	Other
98.89	Other
95.73	Other
96.13	Other
99.97	Other
92.25	Other
99.86	Other
93.5	Other
94.77	Other
91.87	Other
94.51	Other
98.54	Other
93.34	Other
63.88	Other
75.27	Other
93.59	Other
97.54	Other
94.75	Other
88.52	Other
87.01	Other
98.54	Other
99.62	Other
98.16	Other
92.08	Other
95.44	Other
84.98	Other
99.73	Other
100	Other
95.2	Other
99.28	Other
98.25	Other
90.3	Other
84.29	Other
95.81	Other
94.2	Other
100	Other
90.13	Other
97.21	Other
98.51	Other
98.26	Other
90.28	Other
87.64	Other
98.54	Other
97.06	Other
99.65	Other
99.65	Other
99.86	Other
97.38	Other
99.57	Other
98.14	Other
97.17	Other
99.37	Other
98.19	Other
98.29	Other
97.93	Other
98.14	Other
98.79	Other
97.94	Other
97.68	Other
98.91	Other
98.44	Other
98.91	Other
99.87	Other
99.84	Other
98.85	Other
98.76	Other
95.76	Other
97.52	Other
99.91	Other
95.79	Other
83.17	Other
97.59	Other
100	Other
86.58	Other
85.43	Other
99.15	Other
99.25	Other
99.73	Other
97.88	Other
98.81	Other
98.28	Other
98.61	Other
98.01	Other
98.74	Other
99.6	Other
99.44	Other
98.94	Other
98.95	Other
91.13	Other
99.88	Other
96.19	Other
93.65	Other
96.41	Other
98.32	Other
97.74	Other
92.45	Other
100	Other
97.9	Other
94.82	Other
89.68	Other
95.78	Other
98.91	Other
99.87	Other
94.68	Other
97.19	Other
98.06	Other
95.22	Other
92.17	Other
93.23	Other
96.26	Other
93.38	Other
99.97	Other
90.45	Other
97.69	Other
94.82	Other
92.55	Other
97.38	Other
100	Other
98.89	Other
99.32	Other
90.39	Other
92.44	Other
92.21	Other
94.58	Other
92.43	Other
99.4	Other
99.4	Other
96.47	Other
97.75	Other
100	Other
97.7	Other
97.94	Other
99.27	Other
95.33	Other
98.44	Other
90.67	Other
95.66	Other
94.91	Other
96.3	Other
93.84	Other
97.54	Other
83.42	Other
96.7	Other
98.64	Other
94.18	Other
97.32	Other
97.84	Other
94.47	Other
95.68	Other
98.03	Other
94.08	Other
96.18	Other
88.47	Other
98.68	Other
88.13	Other
94.78	Other
94.08	Other
94.58	Other
99.51	Other
91.95	Other
94.96	Other
91.05	Other
87.88	Other
88.66	Other
91.79	Other
87.03	Other
97.17	Other
97.6	Other
97.5	Other
97.15	Other
84.51	Other
86.9	Other
93.93	Other
95.49	Other
82.78	Other
87.58	Other
99.45	Other
96.21	Other
97.87	Other
91.53	Other
92.43	Other
67.78	Other
98.95	Other
97.85	Other
82.15	Other
90.29	Other
94.98	Other
95.67	Other
70.48	Other
90.44	Other
91.22	Other
92.3	Other
96.16	Other
83.56	Other
6.28	Other
94.95	Other
93.32	Other
99.71	Other
95.26	Other
78.7	Other
99.03	Other
4.87	Other
98.12	Other
93.71	Other
96.43	Other
72.37	Other
97.07	Other
99.29	Other
97.86	Other
98.05	Other
99.66	Other
99.86	Other
90.25	Other
99.73	Other
99.78	Other
91	Other
99.48	Other
99.48	Other
99.19	Other
100	Other
100	Other
94.43	Other
97.02	Other
98.72	Other
94.3	Other
72.85	Other
97.66	Other
94.45	Other
90.16	Other
99.73	Other
58.96	Other
51.32	Other
99.64	Other
97.95	Other
97.87	Other
95.89	Other
90.81	Other
83.56	Other
85.25	Other
96.09	Other
100	Other
98.74	Other
93.89	Other
93.54	Other
97.71	Other
98.16	Other
96.81	Other
94.75	Other
96.49	Other
97.58	Other
99.29	Other
99.49	Other
99.91	Other
99.28	Other
98.65	Other
100	Other
98.68	Other
99.92	Other
88.35	Other
95.59	Other
91.78	Other
99.31	Other
100	Other
99.65	Other
93.76	Other
91.98	Other
92.59	Other
90.98	Other
92.39	Other
94.9	Other
94.18	Other
89.81	Other
94.81	Other
93.11	Other
92.1	Other
93.52	Other
96	Other
98.29	Other
93.56	Other
94.4	Other
95.45	Other
96.36	Other
