fraction	Nx_length
0.001	386306
0.002	355872
0.003	329008
0.004	306655
0.005	292051
0.006	280146
0.007	266918
0.008	264118
0.009	256792
0.01	244956
0.011	239021
0.012	234864
0.013	233198
0.014	229539
0.015	224973
0.016	219361
0.017	216430
0.018	212943
0.019	208800
0.02	206624
0.021	197995
0.022	196844
0.023	196222
0.024	194689
0.025	192375
0.026	189496
0.027	187758
0.028	185883
0.029	183970
0.03	182170
0.031	180105
0.032	177984
0.033	175436
0.034	173741
0.035	171591
0.036	169985
0.037	169100
0.038	168710
0.039	167643
0.04	165871
0.041	164553
0.042	163328
0.043	161805
0.044	160304
0.045	159360
0.046	158385
0.047	157524
0.048	156729
0.049	156098
0.05	154688
0.051	154223
0.052	153651
0.053	152467
0.054	151766
0.055	150660
0.056	149763
0.057	149214
0.058	148335
0.059	147334
0.06	145407
0.061	144403
0.062	143179
0.063	141974
0.064	140756
0.065	140243
0.066	138593
0.067	137765
0.068	136856
0.069	136264
0.07	135301
0.071	134262
0.072	133616
0.073	131828
0.074	130800
0.075	130285
0.076	130058
0.077	129535
0.078	128916
0.079	127992
0.08	127544
0.081	127182
0.082	126346
0.083	125455
0.084	125038
0.085	124472
0.086	123804
0.087	122691
0.088	121725
0.089	120701
0.09	120321
0.091	119248
0.092	118502
0.093	118140
0.094	117767
0.095	117150
0.096	116145
0.097	115536
0.098	115183
0.099	114873
0.1	114412
0.101	113752
0.102	113349
0.103	112974
0.104	112665
0.105	112270
0.106	111848
0.107	111441
0.108	110963
0.109	110611
0.11	109791
0.111	109198
0.112	108315
0.113	107931
0.114	107481
0.115	106799
0.116	105904
0.117	105241
0.118	104586
0.119	104181
0.12	103775
0.121	103295
0.122	102933
0.123	102681
0.124	102435
0.125	102050
0.126	101482
0.127	101093
0.128	100558
0.129	100231
0.13	99681
0.131	99378
0.132	98857
0.133	98219
0.134	97809
0.135	97462
0.136	97148
0.137	96659
0.138	96232
0.139	95946
0.14	95501
0.141	94884
0.142	94353
0.143	93934
0.144	93353
0.145	92999
0.146	92655
0.147	92333
0.148	91553
0.149	91297
0.15	90758
0.151	90521
0.152	90192
0.153	89780
0.154	89413
0.155	89091
0.156	88838
0.157	88592
0.158	88130
0.159	87794
0.16	87519
0.161	87131
0.162	86484
0.163	86138
0.164	85845
0.165	85166
0.166	84872
0.167	84578
0.168	84328
0.169	84004
0.17	83705
0.171	83519
0.172	83082
0.173	82785
0.174	82409
0.175	82023
0.176	81686
0.177	81356
0.178	81097
0.179	80749
0.18	80354
0.181	80072
0.182	79832
0.183	79477
0.184	78971
0.185	78675
0.186	78529
0.187	78282
0.188	78007
0.189	77625
0.19	77351
0.191	77068
0.192	76719
0.193	76413
0.194	76250
0.195	75929
0.196	75692
0.197	75449
0.198	75190
0.199	74889
0.2	74680
0.201	74452
0.202	74190
0.203	73946
0.204	73505
0.205	73259
0.206	72916
0.207	72579
0.208	72285
0.209	71998
0.21	71618
0.211	71324
0.212	71083
0.213	70859
0.214	70601
0.215	70435
0.216	70234
0.217	70091
0.218	69904
0.219	69733
0.22	69483
0.221	69148
0.222	68887
0.223	68509
0.224	68283
0.225	67980
0.226	67540
0.227	67308
0.228	66922
0.229	66597
0.23	66445
0.231	66243
0.232	66050
0.233	65858
0.234	65686
0.235	65478
0.236	65269
0.237	65128
0.238	64859
0.239	64630
0.24	64428
0.241	64179
0.242	63904
0.243	63734
0.244	63516
0.245	63306
0.246	63092
0.247	62910
0.248	62678
0.249	62385
0.25	62176
0.251	62009
0.252	61795
0.253	61623
0.254	61453
0.255	61183
0.256	61022
0.257	60842
0.258	60673
0.259	60485
0.26	60219
0.261	59997
0.262	59832
0.263	59563
0.264	59397
0.265	59283
0.266	59074
0.267	58866
0.268	58710
0.269	58560
0.27	58375
0.271	58207
0.272	58059
0.273	57844
0.274	57654
0.275	57459
0.276	57224
0.277	57011
0.278	56768
0.279	56549
0.28	56404
0.281	56234
0.282	56047
0.283	55873
0.284	55633
0.285	55350
0.286	55154
0.287	54992
0.288	54830
0.289	54689
0.29	54437
0.291	54288
0.292	54115
0.293	53947
0.294	53715
0.295	53619
0.296	53373
0.297	53208
0.298	53065
0.299	52890
0.3	52681
0.301	52519
0.302	52370
0.303	52128
0.304	51952
0.305	51824
0.306	51666
0.307	51508
0.308	51322
0.309	51163
0.31	50973
0.311	50798
0.312	50623
0.313	50482
0.314	50337
0.315	50181
0.316	49978
0.317	49843
0.318	49688
0.319	49563
0.32	49374
0.321	49156
0.322	48981
0.323	48868
0.324	48667
0.325	48557
0.326	48415
0.327	48265
0.328	48086
0.329	47905
0.33	47804
0.331	47578
0.332	47370
0.333	47178
0.334	46990
0.335	46840
0.336	46651
0.337	46486
