fraction	Nx_length
0.001	19440
0.002	16986
0.003	15950
0.004	15143
0.005	14493
0.006	14008
0.007	13640
0.008	13291
0.009	12923
0.01	12613
0.011	12373
0.012	12162
0.013	11956
0.014	11759
0.015	11597
0.016	11423
0.017	11291
0.018	11163
0.019	11011
0.02	10901
0.021	10780
0.022	10655
0.023	10531
0.024	10424
0.025	10336
0.026	10236
0.027	10158
0.028	10071
0.029	9987
0.03	9901
0.031	9810
0.032	9735
0.033	9655
0.034	9584
0.035	9497
0.036	9434
0.037	9363
0.038	9293
0.039	9234
0.04	9169
0.041	9100
0.042	9032
0.043	8972
0.044	8918
0.045	8859
0.046	8808
0.047	8750
0.048	8695
0.049	8639
0.05	8579
0.051	8525
0.052	8481
0.053	8438
0.054	8393
0.055	8344
0.056	8300
0.057	8257
0.058	8211
0.059	8162
0.06	8117
0.061	8075
0.062	8031
0.063	7988
0.064	7948
0.065	7913
0.066	7871
0.067	7834
0.068	7796
0.069	7758
0.07	7722
0.071	7684
0.072	7649
0.073	7610
0.074	7575
0.075	7540
0.076	7507
0.077	7472
0.078	7435
0.079	7401
0.08	7370
0.081	7334
0.082	7301
0.083	7273
0.084	7241
0.085	7211
0.086	7181
0.087	7154
0.088	7128
0.089	7097
0.09	7068
0.091	7042
0.092	7014
0.093	6988
0.094	6961
0.095	6936
0.096	6907
0.097	6880
0.098	6851
0.099	6825
0.1	6803
0.101	6780
0.102	6757
0.103	6733
0.104	6709
0.105	6686
0.106	6662
0.107	6638
0.108	6613
0.109	6592
0.11	6571
0.111	6543
0.112	6521
0.113	6499
0.114	6478
0.115	6457
0.116	6436
0.117	6415
0.118	6393
0.119	6371
0.12	6351
0.121	6329
0.122	6307
0.123	6287
0.124	6267
0.125	6247
0.126	6226
0.127	6204
0.128	6186
0.129	6167
0.13	6148
0.131	6128
0.132	6110
0.133	6089
0.134	6068
0.135	6052
0.136	6032
0.137	6015
0.138	5997
0.139	5976
0.14	5958
0.141	5938
0.142	5920
0.143	5901
0.144	5884
0.145	5867
0.146	5847
0.147	5830
0.148	5813
0.149	5796
0.15	5779
0.151	5762
0.152	5745
0.153	5727
0.154	5711
0.155	5694
0.156	5679
0.157	5663
0.158	5649
0.159	5632
0.16	5616
0.161	5601
0.162	5585
0.163	5567
0.164	5552
0.165	5537
0.166	5522
0.167	5506
0.168	5490
0.169	5476
0.17	5461
0.171	5445
0.172	5428
0.173	5413
0.174	5399
0.175	5383
0.176	5368
0.177	5355
0.178	5340
0.179	5326
0.18	5312
0.181	5297
0.182	5284
0.183	5270
0.184	5255
0.185	5240
0.186	5225
0.187	5212
0.188	5198
0.189	5185
0.19	5171
0.191	5157
0.192	5144
0.193	5131
0.194	5116
0.195	5101
0.196	5088
0.197	5074
0.198	5061
0.199	5049
0.2	5036
0.201	5024
0.202	5010
0.203	4997
0.204	4983
0.205	4971
0.206	4958
0.207	4946
0.208	4934
0.209	4922
0.21	4909
0.211	4896
0.212	4884
0.213	4871
0.214	4859
0.215	4847
0.216	4835
0.217	4823
0.218	4811
0.219	4800
0.22	4789
0.221	4776
0.222	4764
0.223	4754
0.224	4741
0.225	4729
0.226	4717
0.227	4704
0.228	4693
0.229	4681
0.23	4670
0.231	4660
0.232	4649
0.233	4638
0.234	4627
0.235	4616
0.236	4604
0.237	4593
0.238	4582
0.239	4571
0.24	4561
0.241	4550
0.242	4540
0.243	4530
0.244	4519
0.245	4510
0.246	4499
0.247	4489
0.248	4478
0.249	4466
0.25	4457
0.251	4446
0.252	4436
0.253	4425
0.254	4415
0.255	4404
0.256	4394
0.257	4383
0.258	4373
0.259	4363
0.26	4353
0.261	4343
0.262	4334
0.263	4324
0.264	4313
0.265	4304
0.266	4294
0.267	4284
0.268	4274
0.269	4264
0.27	4254
0.271	4244
0.272	4234
0.273	4226
0.274	4217
0.275	4207
0.276	4198
0.277	4188
0.278	4178
0.279	4168
0.28	4158
0.281	4150
0.282	4140
0.283	4130
0.284	4121
0.285	4111
0.286	4102
0.287	4091
0.288	4082
0.289	4072
0.29	4062
0.291	4053
0.292	4044
0.293	4035
0.294	4027
0.295	4018
0.296	4009
0.297	4000
0.298	3992
0.299	3982
0.3	3973
0.301	3965
0.302	3956
0.303	3948
0.304	3939
0.305	3931
0.306	3922
0.307	3913
0.308	3904
0.309	3895
0.31	3887
0.311	3879
0.312	3871
0.313	3862
0.314	3853
0.315	3844
0.316	3836
0.317	3827
0.318	3818
0.319	3810
0.32	3801
0.321	3793
0.322	3784
0.323	3777
0.324	3768
0.325	3759
0.326	3751
0.327	3743
0.328	3736
0.329	3728
0.33	3721
0.331	3712
0.332	3704
0.333	3695
0.334	3688
0.335	3679
0.336	3672
0.337	3663
0.338	3655
0.339	3647
0.34	3640
0.341	3632
0.342	3624
0.343	3616
0.344	3609
0.345	3601
0.346	3594
0.347	3587
0.348	3579
0.349	3571
0.35	3563
0.351	3556
0.352	3548
0.353	3540
0.354	3532
0.355	3524
0.356	3516
0.357	3508
0.358	3500
0.359	3493
0.36	3486
0.361	3478
0.362	3471
0.363	3464
0.364	3456
0.365	3448
0.366	3441
0.367	3434
0.368	3427
0.369	3419
0.37	3411
0.371	3404
0.372	3397
0.373	3390
0.374	3382
0.375	3374
0.376	3368
0.377	3360
0.378	3353
0.379	3346
0.38	3339
0.381	3332
0.382	3325
0.383	3318
0.384	3311
0.385	3304
0.386	3296
0.387	3289
0.388	3282
0.389	3276
0.39	3269
0.391	3261
0.392	3255
0.393	3248
0.394	3241
0.395	3235
0.396	3228
0.397	3222
0.398	3216
0.399	3208
0.4	3202
0.401	3195
0.402	3187
0.403	3181
0.404	3174
0.405	3167
0.406	3161
0.407	3154
0.408	3147
0.409	3140
0.41	3133
0.411	3126
0.412	3119
0.413	3112
0.414	3105
0.415	3099
0.416	3092
0.417	3085
0.418	3078
0.419	3071
0.42	3065
0.421	3059
0.422	3052
0.423	3046
0.424	3039
0.425	3033
0.426	3027
0.427	3020
0.428	3014
0.429	3007
0.43	3001
0.431	2994
0.432	2988
0.433	2982
0.434	2976
0.435	2969
0.436	2963
0.437	2957
0.438	2950
0.439	2944
0.44	2938
0.441	2932
0.442	2925
0.443	2919
0.444	2912
0.445	2906
0.446	2899
0.447	2893
0.448	2887
0.449	2881
0.45	2875
0.451	2868
0.452	2862
0.453	2857
0.454	2851
0.455	2844
0.456	2838
0.457	2831
0.458	2825
0.459	2819
0.46	2813
0.461	2807
0.462	2801
0.463	2795
0.464	2789
0.465	2783
0.466	2777
0.467	2771
0.468	2765
0.469	2760
0.47	2754
0.471	2748
0.472	2742
0.473	2736
0.474	2730
0.475	2724
0.476	2719
0.477	2713
0.478	2707
0.479	2701
0.48	2695
0.481	2689
0.482	2683
0.483	2678
0.484	2672
0.485	2667
0.486	2661
0.487	2655
0.488	2649
0.489	2643
0.49	2637
0.491	2632
0.492	2626
0.493	2621
0.494	2615
0.495	2609
0.496	2604
0.497	2599
0.498	2593
0.499	2587
0.5	2582
0.501	2576
0.502	2570
0.503	2565
0.504	2559
0.505	2553
0.506	2548
0.507	2543
0.508	2537
0.509	2531
0.51	2526
0.511	2521
0.512	2515
0.513	2510
0.514	2504
0.515	2499
0.516	2493
0.517	2487
0.518	2481
0.519	2476
0.52	2471
0.521	2466
0.522	2460
0.523	2455
0.524	2449
0.525	2444
0.526	2439
0.527	2434
0.528	2428
0.529	2422
0.53	2417
0.531	2411
0.532	2406
0.533	2400
0.534	2395
0.535	2390
0.536	2384
0.537	2379
0.538	2374
0.539	2368
0.54	2363
0.541	2357
0.542	2352
0.543	2347
0.544	2341
0.545	2336
0.546	2331
0.547	2325
0.548	2320
0.549	2315
0.55	2309
0.551	2304
0.552	2299
0.553	2293
0.554	2288
0.555	2283
0.556	2277
0.557	2272
0.558	2267
0.559	2262
0.56	2257
0.561	2252
0.562	2247
0.563	2241
0.564	2236
0.565	2231
0.566	2226
0.567	2221
0.568	2215
0.569	2211
0.57	2206
0.571	2200
0.572	2195
0.573	2190
0.574	2185
0.575	2180
0.576	2175
0.577	2170
0.578	2166
0.579	2160
0.58	2155
0.581	2150
0.582	2145
0.583	2140
0.584	2135
0.585	2130
0.586	2125
0.587	2120
0.588	2115
0.589	2110
0.59	2105
0.591	2100
0.592	2095
0.593	2089
0.594	2085
0.595	2080
0.596	2074
0.597	2069
0.598	2065
0.599	2060
0.6	2055
0.601	2050
0.602	2045
0.603	2040
0.604	2035
0.605	2030
0.606	2026
0.607	2021
0.608	2016
0.609	2011
0.61	2006
0.611	2001
0.612	1996
0.613	1991
0.614	1986
0.615	1982
0.616	1977
0.617	1972
0.618	1968
0.619	1963
0.62	1958
0.621	1953
0.622	1948
0.623	1944
0.624	1939
0.625	1934
0.626	1929
0.627	1924
0.628	1920
0.629	1915
0.63	1910
0.631	1905
0.632	1901
0.633	1896
0.634	1891
0.635	1887
0.636	1882
0.637	1877
