fraction	Nx_length
0.001	18791394
0.002	18791394
0.003	18791394
0.004	18791394
0.005	18791394
0.006	18791394
0.007	18791394
0.008	18791394
0.009	18791394
0.01	18791394
0.011	18791394
0.012	18791394
0.013	18791394
0.014	18791394
0.015	18791394
0.016	18791394
0.017	18791394
0.018	18791394
0.019	18791394
0.02	18791394
0.021	15249525
0.022	15249525
0.023	15249525
0.024	15249525
0.025	15249525
0.026	15249525
0.027	15249525
0.028	15249525
0.029	15249525
0.03	15249525
0.031	15249525
0.032	15249525
0.033	15249525
0.034	15249525
0.035	15249525
0.036	15249525
0.037	15249525
0.038	13272366
0.039	13272366
0.04	13272366
0.041	13272366
0.042	13272366
0.043	13272366
0.044	13272366
0.045	13272366
0.046	13272366
0.047	13272366
0.048	13272366
0.049	13272366
0.05	13272366
0.051	13272366
0.052	13272366
0.053	12785305
0.054	12785305
0.055	12785305
0.056	12785305
0.057	12785305
0.058	12785305
0.059	12785305
0.06	12785305
0.061	12785305
0.062	12785305
0.063	12785305
0.064	12785305
0.065	12785305
0.066	12785305
0.067	12156452
0.068	12156452
0.069	12156452
0.07	12156452
0.071	12156452
0.072	12156452
0.073	12156452
0.074	12156452
0.075	12156452
0.076	12156452
0.077	12156452
0.078	12156452
0.079	12156452
0.08	12156452
0.081	11405662
0.082	11405662
0.083	11405662
0.084	11405662
0.085	11405662
0.086	11405662
0.087	11405662
0.088	11405662
0.089	11405662
0.09	11405662
0.091	11405662
0.092	11405662
0.093	11405662
0.094	10651244
0.095	10651244
0.096	10651244
0.097	10651244
0.098	10651244
0.099	10651244
0.1	10651244
0.101	10651244
0.102	10651244
0.103	10651244
0.104	10651244
0.105	10651244
0.106	10365917
0.107	10365917
0.108	10365917
0.109	10365917
0.11	10365917
0.111	10365917
0.112	10365917
0.113	10365917
0.114	10365917
0.115	10365917
0.116	10365917
0.117	9884628
0.118	9884628
0.119	9884628
0.12	9884628
0.121	9884628
0.122	9884628
0.123	9884628
0.124	9884628
0.125	9884628
0.126	9884628
0.127	9884628
0.128	8987733
0.129	8987733
0.13	8987733
0.131	8987733
0.132	8987733
0.133	8987733
0.134	8987733
0.135	8987733
0.136	8987733
0.137	8987733
0.138	8907993
0.139	8907993
0.14	8907993
0.141	8907993
0.142	8907993
0.143	8907993
0.144	8907993
0.145	8907993
0.146	8907993
0.147	8907993
0.148	8788241
0.149	8788241
0.15	8788241
0.151	8788241
0.152	8788241
0.153	8788241
0.154	8788241
0.155	8788241
0.156	8788241
0.157	8788241
0.158	8581794
0.159	8581794
0.16	8581794
0.161	8581794
0.162	8581794
0.163	8581794
0.164	8581794
0.165	8581794
0.166	8581794
0.167	8268692
0.168	8268692
0.169	8268692
0.17	8268692
0.171	8268692
0.172	8268692
0.173	8268692
0.174	8268692
0.175	8268692
0.176	8268692
0.177	8043085
0.178	8043085
0.179	8043085
0.18	8043085
0.181	8043085
0.182	8043085
0.183	8043085
0.184	8043085
0.185	7892687
0.186	7892687
0.187	7892687
0.188	7892687
0.189	7892687
0.19	7892687
0.191	7892687
0.192	7892687
0.193	7892687
0.194	7457458
0.195	7457458
0.196	7457458
0.197	7457458
0.198	7457458
0.199	7457458
0.2	7457458
0.201	7457458
0.202	7457458
0.203	7369365
0.204	7369365
0.205	7369365
0.206	7369365
0.207	7369365
0.208	7369365
0.209	7369365
0.21	7369365
0.211	7281367
0.212	7281367
0.213	7281367
0.214	7281367
0.215	7281367
0.216	7281367
0.217	7281367
0.218	7281367
0.219	7210244
0.22	7210244
0.221	7210244
0.222	7210244
0.223	7210244
0.224	7210244
0.225	7210244
