fraction	Nx_length
0.001	78689
0.002	71260
0.003	68722
0.004	64609
0.005	61980
0.006	59764
0.007	57494
0.008	55875
0.009	54559
0.01	53200
0.011	52317
0.012	51301
0.013	50418
0.014	49594
0.015	48448
0.016	47596
0.017	46897
0.018	46327
0.019	45825
0.02	45315
0.021	44716
0.022	44305
0.023	43868
0.024	43454
0.025	42946
0.026	42460
0.027	42002
0.028	41643
0.029	41248
0.03	40935
0.031	40482
0.032	40114
0.033	39797
0.034	39447
0.035	39070
0.036	38734
0.037	38445
0.038	38109
0.039	37835
0.04	37586
0.041	37300
0.042	37013
0.043	36762
0.044	36497
0.045	36312
0.046	36065
0.047	35873
0.048	35664
0.049	35444
0.05	35208
0.051	35053
0.052	34909
0.053	34682
0.054	34488
0.055	34313
0.056	34092
0.057	33913
0.058	33670
0.059	33504
0.06	33324
0.061	33163
0.062	33040
0.063	32875
0.064	32667
0.065	32485
0.066	32312
0.067	32122
0.068	31958
0.069	31825
0.07	31707
0.071	31574
0.072	31452
0.073	31336
0.074	31198
0.075	31078
0.076	30941
0.077	30822
0.078	30668
0.079	30548
0.08	30440
0.081	30267
0.082	30133
0.083	30007
0.084	29888
0.085	29724
0.086	29580
0.087	29465
0.088	29368
0.089	29279
0.09	29157
0.091	29025
0.092	28904
0.093	28793
0.094	28684
0.095	28580
0.096	28492
0.097	28376
0.098	28203
0.099	28082
0.1	28003
0.101	27900
0.102	27786
0.103	27688
0.104	27581
0.105	27492
0.106	27380
0.107	27276
0.108	27182
0.109	27095
0.11	26966
0.111	26862
0.112	26778
0.113	26677
0.114	26602
0.115	26532
0.116	26445
0.117	26357
0.118	26294
0.119	26198
0.12	26111
0.121	26034
0.122	25970
0.123	25906
0.124	25830
0.125	25754
0.126	25671
0.127	25599
0.128	25523
0.129	25450
0.13	25349
0.131	25275
0.132	25215
0.133	25122
0.134	25038
0.135	24960
0.136	24872
0.137	24780
0.138	24715
0.139	24643
0.14	24577
0.141	24492
0.142	24412
0.143	24317
0.144	24244
0.145	24183
0.146	24125
0.147	24044
0.148	23962
0.149	23879
0.15	23801
0.151	23735
0.152	23658
0.153	23594
0.154	23534
0.155	23466
0.156	23394
0.157	23340
0.158	23285
0.159	23211
0.16	23147
0.161	23084
0.162	23042
0.163	22975
0.164	22913
0.165	22840
0.166	22767
0.167	22713
0.168	22652
0.169	22592
0.17	22534
0.171	22480
0.172	22422
0.173	22367
0.174	22300
0.175	22212
0.176	22150
0.177	22089
0.178	22030
0.179	21967
0.18	21924
0.181	21860
0.182	21797
0.183	21746
0.184	21693
0.185	21642
0.186	21578
0.187	21525
0.188	21457
0.189	21414
0.19	21355
0.191	21291
0.192	21236
0.193	21190
0.194	21159
0.195	21113
0.196	21053
0.197	20992
0.198	20944
0.199	20887
0.2	20842
0.201	20803
0.202	20757
0.203	20708
0.204	20659
0.205	20599
0.206	20553
0.207	20504
0.208	20455
0.209	20410
0.21	20351
0.211	20307
0.212	20259
0.213	20213
0.214	20162
0.215	20110
0.216	20062
0.217	20014
0.218	19964
0.219	19916
0.22	19857
0.221	19821
0.222	19774
0.223	19735
0.224	19686
0.225	19641
0.226	19602
0.227	19548
0.228	19507
0.229	19465
0.23	19411
0.231	19365
0.232	19319
0.233	19279
0.234	19240
0.235	19198
0.236	19150
0.237	19108
0.238	19071
0.239	19030
0.24	18989
0.241	18950
0.242	18900
0.243	18860
0.244	18815
0.245	18767
0.246	18723
0.247	18674
0.248	18627
0.249	18589
0.25	18551
0.251	18506
0.252	18447
0.253	18406
0.254	18365
0.255	18325
0.256	18292
0.257	18252
0.258	18215
0.259	18174
0.26	18135
0.261	18094
0.262	18046
0.263	18002
0.264	17964
0.265	17930
0.266	17888
0.267	17850
0.268	17813
0.269	17768
0.27	17732
0.271	17691
0.272	17651
0.273	17616
0.274	17578
0.275	17539
0.276	17508
0.277	17460
0.278	17418
0.279	17382
0.28	17342
0.281	17298
0.282	17259
0.283	17230
0.284	17191
0.285	17156
0.286	17126
0.287	17082
0.288	17048
0.289	17014
0.29	16978
0.291	16944
0.292	16910
0.293	16872
0.294	16842
0.295	16806
0.296	16768
0.297	16733
0.298	16697
0.299	16657
0.3	16620
0.301	16585
0.302	16557
0.303	16516
0.304	16482
0.305	16444
0.306	16417
0.307	16378
0.308	16345
0.309	16312
0.31	16269
0.311	16229
0.312	16192
0.313	16161
0.314	16123
0.315	16087
0.316	16052
0.317	16020
0.318	15988
0.319	15956
0.32	15919
0.321	15888
0.322	15854
0.323	15817
0.324	15774
0.325	15745
0.326	15708
0.327	15671
0.328	15629
0.329	15595
0.33	15560
0.331	15532
0.332	15502
0.333	15475
0.334	15445
0.335	15418
0.336	15392
0.337	15367
0.338	15334
0.339	15308
0.34	15275
0.341	15250
0.342	15219
0.343	15190
0.344	15160
0.345	15131
0.346	15099
0.347	15065
0.348	15041
0.349	15016
0.35	14986
0.351	14960
0.352	14929
0.353	14897
0.354	14865
0.355	14832
0.356	14799
0.357	14766
0.358	14732
0.359	14703
0.36	14673
0.361	14643
0.362	14612
0.363	14580
0.364	14549
0.365	14519
0.366	14491
0.367	14464
0.368	14437
0.369	14405
0.37	14380
0.371	14356
0.372	14323
0.373	14298
0.374	14274
0.375	14245
0.376	14217
0.377	14186
0.378	14156
0.379	14125
0.38	14092
0.381	14060
0.382	14033
0.383	14001
0.384	13968
0.385	13938
0.386	13907
0.387	13883
0.388	13855
0.389	13828
0.39	13799
0.391	13773
0.392	13747
0.393	13722
0.394	13697
0.395	13666
0.396	13642
0.397	13611
0.398	13584
0.399	13561
0.4	13540
0.401	13511
0.402	13478
0.403	13451
0.404	13426
0.405	13399
0.406	13369
