fraction	Nx_length
0.001	8641424
0.002	8641424
0.003	8641424
0.004	7678207
0.005	7678207
0.006	7678207
0.007	7678207
0.008	7619753
0.009	7619753
0.01	7619753
0.011	7559895
0.012	7559895
0.013	7559895
0.014	7401140
0.015	7401140
0.016	7401140
0.017	7401140
0.018	7146147
0.019	7146147
0.02	7146147
0.021	7084919
0.022	7084919
0.023	7084919
0.024	6970170
0.025	6970170
0.026	6970170
0.027	6837652
0.028	6837652
0.029	6837652
0.03	6806094
0.031	6806094
0.032	6806094
0.033	6754947
0.034	6754947
0.035	6754947
0.036	6418141
0.037	6418141
0.038	6418141
0.039	6404352
0.04	6404352
0.041	6404352
0.042	6325318
0.043	6325318
0.044	6292571
0.045	6292571
0.046	6292571
0.047	6129213
0.048	6129213
0.049	6129213
0.05	6047349
0.051	6047349
0.052	6047349
0.053	5965686
0.054	5965686
0.055	5902638
0.056	5902638
0.057	5902638
0.058	5878669
0.059	5878669
0.06	5877084
0.061	5877084
0.062	5877084
0.063	5790033
0.064	5790033
0.065	5783263
0.066	5783263
0.067	5783263
0.068	5749952
0.069	5749952
0.07	5749952
0.071	5574712
0.072	5574712
0.073	5562055
0.074	5562055
0.075	5509251
0.076	5509251
0.077	5509251
0.078	5458283
0.079	5458283
0.08	5344911
0.081	5344911
0.082	5344911
0.083	5224821
0.084	5224821
0.085	5188694
0.086	5188694
0.087	5103618
0.088	5103618
0.089	5078831
0.09	5078831
0.091	5078831
0.092	5071938
0.093	5071938
0.094	5066897
0.095	5066897
0.096	5032189
0.097	5032189
0.098	5027272
0.099	5027272
0.1	5027272
0.101	4976913
0.102	4976913
0.103	4912471
0.104	4912471
0.105	4889091
0.106	4889091
0.107	4869164
0.108	4869164
0.109	4865435
0.11	4865435
0.111	4769152
0.112	4769152
0.113	4769152
0.114	4754289
0.115	4754289
0.116	4708497
0.117	4708497
0.118	4708279
0.119	4708279
0.12	4703275
0.121	4703275
0.122	4692990
0.123	4692990
0.124	4650764
0.125	4650764
0.126	4648953
0.127	4648953
0.128	4621208
0.129	4621208
0.13	4615645
0.131	4615645
0.132	4543873
0.133	4543873
0.134	4510698
0.135	4510698
0.136	4494983
0.137	4494983
0.138	4480615
0.139	4480615
0.14	4454546
0.141	4454546
0.142	4453008
0.143	4453008
0.144	4449990
0.145	4449990
0.146	4448556
0.147	4448556
0.148	4422038
0.149	4422038
0.15	4398749
0.151	4398749
0.152	4393237
0.153	4393237
0.154	4390961
0.155	4390961
0.156	4380352
0.157	4380352
0.158	4346744
0.159	4346169
0.16	4346169
0.161	4340206
0.162	4340206
0.163	4325511
0.164	4325511
0.165	4305318
0.166	4305318
0.167	4285106
0.168	4285106
0.169	4276739
0.17	4276739
0.171	4247985
0.172	4247985
0.173	4244947
0.174	4244947
0.175	4242738
0.176	4200136
0.177	4200136
0.178	4195379
0.179	4195379
0.18	4145123
0.181	4145123
0.182	4140344
0.183	4140344
0.184	4131762
0.185	4131762
0.186	4110448
0.187	4076983
0.188	4076983
0.189	4037191
0.19	4037191
0.191	3984283
0.192	3984283
0.193	3973328
0.194	3971137
0.195	3971137
0.196	3963282
0.197	3963282
0.198	3943618
0.199	3943618
0.2	3935978
0.201	3931935
0.202	3931935
0.203	3919960
0.204	3919960
0.205	3908373
0.206	3908373
0.207	3897566
0.208	3877826
0.209	3877826
0.21	3873133
0.211	3873133
0.212	3867473
0.213	3855401
0.214	3855401
0.215	3830245
0.216	3830245
0.217	3819408
0.218	3819408
0.219	3810429
0.22	3754300
0.221	3754300
0.222	3752443
0.223	3752443
0.224	3751060
0.225	3740131
0.226	3740131
0.227	3720377
0.228	3714783
0.229	3714783
0.23	3702910
0.231	3702910
0.232	3672817
0.233	3672708
0.234	3672708
0.235	3666731
0.236	3666731
0.237	3661527
0.238	3621002
0.239	3621002
0.24	3600215
0.241	3597669
0.242	3597669
0.243	3597649
0.244	3597649
0.245	3595629
0.246	3594595
0.247	3594595
0.248	3594250
0.249	3589468
0.25	3589468
0.251	3589437
0.252	3551183
0.253	3551183
0.254	3547010
0.255	3547010
0.256	3522058
0.257	3518557
0.258	3518557
0.259	3503249
0.26	3493303
0.261	3493303
0.262	3489253
0.263	3454289
0.264	3454289
0.265	3449422
0.266	3445278
0.267	3445278
0.268	3433267
0.269	3426805
0.27	3426805
0.271	3425064
0.272	3398058
0.273	3398058
0.274	3397712
0.275	3397574
0.276	3397574
0.277	3395438
0.278	3366068
0.279	3366068
0.28	3350155
0.281	3344607
0.282	3344607
0.283	3337151
0.284	3335287
0.285	3335287
0.286	3299767
0.287	3297168
0.288	3297168
0.289	3291745
0.29	3284227
0.291	3284227
0.292	3241764
0.293	3213690
0.294	3209400
0.295	3209400
0.296	3195722
0.297	3191085
0.298	3191085
0.299	3189281
0.3	3182361
0.301	3168626
0.302	3168626
0.303	3149489
0.304	3147509
0.305	3147509
0.306	3138328
0.307	3133261
0.308	3130263
0.309	3130263
0.31	3123274
0.311	3120601
0.312	3119890
0.313	3119890
0.314	3110681
0.315	3109527
0.316	3109527
0.317	3102812
0.318	3101274
0.319	3099129
0.32	3099129
0.321	3092473
0.322	3083993
0.323	3082526
0.324	3082526
0.325	3081849
0.326	3076539
0.327	3061310
0.328	3061310
0.329	3049706
0.33	3042507
0.331	3042507
0.332	3037136
0.333	3027657
0.334	3009335
0.335	3009335
0.336	3007277
0.337	3005780
0.338	2988726
0.339	2972876
0.34	2972876
0.341	2968513
0.342	2968298
0.343	2957960
0.344	2957960
0.345	2948809
0.346	2934351
0.347	2930247
0.348	2930247
0.349	2929800
0.35	2929038
0.351	2916007
0.352	2908557
0.353	2908557
0.354	2888299
0.355	2873625
0.356	2873129
0.357	2873129
0.358	2860747
0.359	2852716
0.36	2848908
0.361	2841534
0.362	2841534
0.363	2834687
0.364	2832241
0.365	2830889
0.366	2800644
0.367	2800644
0.368	2798792
0.369	2795984
0.37	2794530
0.371	2792160
0.372	2790705
0.373	2790705
0.374	2765169
0.375	2743054
0.376	2741288
0.377	2737041
0.378	2737041
0.379	2721747
0.38	2721562
0.381	2721383
0.382	2714395
0.383	2704690
0.384	2701958
0.385	2701958
0.386	2700527
0.387	2698975
0.388	2697523
0.389	2692853
0.39	2689143
0.391	2689143
0.392	2685205
0.393	2683928
0.394	2677266
0.395	2669003
0.396	2668876
0.397	2668876
0.398	2668296
0.399	2659043
0.4	2654152
0.401	2652460
0.402	2648623
0.403	2634766
0.404	2634766
