fraction	Nx_length
0.001	264820526
0.002	264820526
0.003	264820526
0.004	264820526
0.005	264820526
0.006	264820526
0.007	264820526
0.008	264820526
0.009	264820526
0.01	264820526
0.011	264820526
0.012	264820526
0.013	264820526
0.014	264820526
0.015	264820526
0.016	264820526
0.017	264820526
0.018	264820526
0.019	264820526
0.02	264820526
0.021	264820526
0.022	264820526
0.023	264820526
0.024	264820526
0.025	264820526
0.026	264820526
0.027	264820526
0.028	264820526
0.029	264820526
0.03	264820526
0.031	264820526
0.032	264820526
0.033	264820526
0.034	264820526
0.035	264820526
0.036	264820526
0.037	264820526
0.038	264820526
0.039	264820526
0.04	264820526
0.041	264820526
0.042	264820526
0.043	264820526
0.044	264820526
0.045	264820526
0.046	264820526
0.047	264820526
0.048	264820526
0.049	264820526
0.05	264820526
0.051	264820526
0.052	264820526
0.053	264820526
0.054	264820526
0.055	264820526
0.056	264820526
0.057	264820526
0.058	264820526
0.059	264820526
0.06	264820526
0.061	264820526
0.062	264820526
0.063	264820526
0.064	264820526
0.065	264820526
0.066	264820526
0.067	264820526
0.068	264820526
0.069	264820526
0.07	264820526
0.071	264820526
0.072	264820526
0.073	264820526
0.074	264820526
0.075	264820526
0.076	264820526
0.077	264820526
0.078	264820526
0.079	264820526
0.08	264820526
0.081	264820526
0.082	264820526
0.083	264820526
0.084	264820526
0.085	264820526
0.086	264820526
0.087	264820526
0.088	264820526
0.089	264820526
0.09	264820526
0.091	264820526
0.092	264820526
0.093	264820526
0.094	264820526
0.095	264820526
0.096	264820526
0.097	264820526
0.098	264820526
0.099	264820526
0.1	264820526
0.101	209695328
0.102	209695328
0.103	209695328
0.104	209695328
0.105	209695328
0.106	209695328
0.107	209695328
0.108	209695328
0.109	209695328
0.11	209695328
0.111	209695328
0.112	209695328
0.113	209695328
0.114	209695328
0.115	209695328
0.116	209695328
0.117	209695328
0.118	209695328
0.119	209695328
0.12	209695328
0.121	209695328
0.122	209695328
0.123	209695328
0.124	209695328
0.125	209695328
0.126	209695328
0.127	209695328
0.128	209695328
0.129	209695328
0.13	209695328
0.131	209695328
0.132	209695328
0.133	209695328
0.134	209695328
0.135	209695328
0.136	209695328
0.137	209695328
0.138	209695328
0.139	209695328
0.14	209695328
0.141	209695328
0.142	209695328
0.143	209695328
0.144	209695328
0.145	209695328
0.146	209695328
0.147	209695328
0.148	209695328
0.149	209695328
0.15	209695328
0.151	209695328
0.152	209695328
0.153	209695328
0.154	209695328
0.155	209695328
0.156	209695328
0.157	209695328
0.158	209695328
0.159	209695328
0.16	209695328
0.161	209695328
0.162	209695328
0.163	209695328
0.164	209695328
0.165	209695328
0.166	209695328
0.167	209695328
0.168	209695328
0.169	209695328
0.17	209695328
0.171	209695328
0.172	209695328
0.173	209695328
0.174	209695328
0.175	209695328
0.176	209695328
0.177	209695328
0.178	209695328
0.179	209695328
0.18	189227759
0.181	189227759
0.182	189227759
0.183	189227759
0.184	189227759
0.185	189227759
0.186	189227759
0.187	189227759
0.188	189227759
0.189	189227759
0.19	189227759
0.191	189227759
0.192	189227759
0.193	189227759
0.194	189227759
0.195	189227759
0.196	189227759
0.197	189227759
0.198	189227759
0.199	189227759
0.2	189227759
0.201	189227759
0.202	189227759
0.203	189227759
0.204	189227759
0.205	189227759
0.206	189227759
0.207	189227759
0.208	189227759
0.209	189227759
0.21	189227759
0.211	189227759
0.212	189227759
0.213	189227759
0.214	189227759
0.215	189227759
0.216	189227759
0.217	189227759
0.218	189227759
0.219	189227759
0.22	189227759
0.221	189227759
0.222	189227759
0.223	189227759
0.224	189227759
0.225	189227759
0.226	189227759
0.227	189227759
0.228	189227759
0.229	189227759
0.23	189227759
0.231	189227759
0.232	189227759
0.233	189227759
0.234	189227759
0.235	189227759
0.236	189227759
0.237	189227759
0.238	189227759
0.239	189227759
0.24	189227759
0.241	189227759
0.242	189227759
0.243	189227759
0.244	189227759
0.245	189227759
0.246	189227759
0.247	189227759
0.248	189227759
0.249	189227759
0.25	189227759
0.251	189227759
0.252	183555969
0.253	183555969
0.254	183555969
0.255	183555969
0.256	183555969
0.257	183555969
0.258	183555969
0.259	183555969
0.26	183555969
0.261	183555969
0.262	183555969
0.263	183555969
0.264	183555969
0.265	183555969
0.266	183555969
0.267	183555969
0.268	183555969
0.269	183555969
0.27	183555969
0.271	183555969
0.272	183555969
0.273	183555969
0.274	183555969
0.275	183555969
0.276	183555969
0.277	183555969
0.278	183555969
0.279	183555969
0.28	183555969
0.281	183555969
0.282	183555969
0.283	183555969
0.284	183555969
0.285	183555969
0.286	183555969
0.287	183555969
0.288	183555969
0.289	183555969
0.29	183555969
0.291	183555969
0.292	183555969
0.293	183555969
0.294	183555969
0.295	183555969
0.296	183555969
0.297	183555969
0.298	183555969
0.299	183555969
0.3	183555969
0.301	183555969
0.302	183555969
0.303	183555969
0.304	183555969
0.305	183555969
0.306	183555969
0.307	183555969
0.308	183555969
0.309	183555969
0.31	183555969
0.311	183555969
0.312	183555969
0.313	183555969
0.314	183555969
0.315	183555969
0.316	183555969
0.317	183555969
0.318	183555969
0.319	183555969
0.32	183555969
0.321	159024714
0.322	159024714
0.323	159024714
0.324	159024714
0.325	159024714
0.326	159024714
0.327	159024714
0.328	159024714
0.329	159024714
0.33	159024714
0.331	159024714
0.332	159024714
0.333	159024714
0.334	159024714
0.335	159024714
0.336	159024714
0.337	159024714
0.338	159024714
0.339	159024714
0.34	159024714
0.341	159024714
0.342	159024714
0.343	159024714
0.344	159024714
0.345	159024714
0.346	159024714
0.347	159024714
0.348	159024714
0.349	159024714
0.35	159024714
0.351	159024714
0.352	159024714
0.353	159024714
0.354	159024714
0.355	159024714
0.356	159024714
0.357	159024714
0.358	159024714
0.359	159024714
0.36	159024714
0.361	159024714
0.362	159024714
0.363	159024714
0.364	159024714
0.365	159024714
0.366	159024714
0.367	159024714
0.368	159024714
