fraction	Nx_length
0.001	329860
0.002	268381
0.003	258393
0.004	243229
0.005	227271
0.006	217564
0.007	210881
0.008	201008
0.009	196801
0.01	191467
0.011	184865
0.012	179712
0.013	175885
0.014	172979
0.015	169967
0.016	165783
0.017	163833
0.018	160971
0.019	158121
0.02	154774
0.021	152852
0.022	151165
0.023	149307
0.024	147198
0.025	145280
0.026	144026
0.027	142164
0.028	141600
0.029	140062
0.03	139015
0.031	137636
0.032	136121
0.033	134285
0.034	133118
0.035	132087
0.036	130838
0.037	129734
0.038	128910
0.039	127328
0.04	126411
0.041	125384
0.042	124531
0.043	123893
0.044	123073
0.045	122304
0.046	121391
0.047	120705
0.048	120047
0.049	119272
0.05	118544
0.051	117633
0.052	116726
0.053	115534
0.054	114599
0.055	113784
0.056	112794
0.057	112086
0.058	110915
0.059	109934
0.06	109030
0.061	108335
0.062	107345
0.063	106744
0.064	106314
0.065	105893
0.066	105204
0.067	104410
0.068	103737
0.069	103312
0.07	102662
0.071	102202
0.072	101565
0.073	101067
0.074	100397
0.075	99980
0.076	99465
0.077	99071
0.078	98718
0.079	98120
0.08	97596
0.081	96998
0.082	96602
0.083	96041
0.084	95339
0.085	94734
0.086	94374
0.087	93855
0.088	93422
0.089	92845
0.09	92496
0.091	91926
0.092	91272
0.093	90834
0.094	90310
0.095	89823
0.096	89454
0.097	89069
0.098	88688
0.099	88411
0.1	88060
0.101	87547
0.102	87125
0.103	86772
0.104	86364
0.105	86071
0.106	85751
0.107	85501
0.108	85211
0.109	84669
0.11	84243
0.111	83831
0.112	83441
0.113	83028
0.114	82618
0.115	82276
0.116	81959
0.117	81579
0.118	81310
0.119	80908
0.12	80513
0.121	80253
0.122	80007
0.123	79732
0.124	79375
0.125	79059
0.126	78680
0.127	78394
0.128	78038
0.129	77761
0.13	77481
0.131	77233
0.132	76979
0.133	76668
0.134	76413
0.135	76077
0.136	75675
0.137	75371
0.138	75185
0.139	74977
0.14	74693
0.141	74428
0.142	74188
0.143	73961
0.144	73722
0.145	73470
0.146	73323
0.147	73084
0.148	72830
0.149	72517
0.15	72266
0.151	72007
0.152	71799
0.153	71528
0.154	71262
0.155	71022
0.156	70852
0.157	70616
0.158	70360
0.159	70090
0.16	69886
0.161	69644
0.162	69437
0.163	69220
0.164	68983
0.165	68825
0.166	68604
0.167	68432
0.168	68236
0.169	67996
0.17	67830
0.171	67641
0.172	67446
0.173	67307
0.174	67051
0.175	66828
0.176	66619
0.177	66364
0.178	66144
0.179	65919
0.18	65730
0.181	65552
0.182	65405
0.183	65202
0.184	64978
0.185	64758
0.186	64577
0.187	64373
0.188	64168
0.189	63925
0.19	63786
0.191	63573
0.192	63402
0.193	63136
0.194	62929
0.195	62735
0.196	62563
0.197	62367
0.198	62188
0.199	62017
0.2	61830
0.201	61641
0.202	61425
0.203	61260
0.204	61082
0.205	60862
0.206	60672
0.207	60516
0.208	60346
0.209	60122
0.21	59916
0.211	59703
0.212	59531
0.213	59366
0.214	59185
0.215	59021
0.216	58873
0.217	58710
0.218	58573
0.219	58432
0.22	58286
0.221	58104
0.222	57951
0.223	57820
0.224	57611
0.225	57411
0.226	57236
0.227	57096
0.228	56905
0.229	56758
0.23	56606
0.231	56430
0.232	56289
0.233	56154
0.234	55990
0.235	55830
0.236	55695
0.237	55520
0.238	55340
0.239	55164
0.24	54957
0.241	54784
0.242	54641
0.243	54492
0.244	54349
0.245	54227
0.246	54086
0.247	53942
0.248	53787
0.249	53629
0.25	53521
0.251	53381
0.252	53237
0.253	53055
0.254	52922
0.255	52753
0.256	52653
0.257	52530
0.258	52411
0.259	52235
0.26	52085
0.261	51950
0.262	51802
0.263	51679
0.264	51550
0.265	51414
0.266	51269
0.267	51156
0.268	51032
0.269	50882
0.27	50744
0.271	50622
0.272	50490
0.273	50357
0.274	50243
0.275	50104
0.276	49948
0.277	49833
0.278	49656
0.279	49522
0.28	49407
0.281	49261
0.282	49114
0.283	48958
0.284	48854
0.285	48720
0.286	48608
0.287	48464
0.288	48330
0.289	48174
0.29	48057
0.291	47941
0.292	47794
0.293	47683
0.294	47551
0.295	47427
0.296	47294
0.297	47197
0.298	47035
0.299	46898
0.3	46789
0.301	46670
0.302	46558
0.303	46428
0.304	46331
0.305	46201
0.306	46088
0.307	45944
0.308	45788
0.309	45664
0.31	45541
0.311	45395
0.312	45263
0.313	45159
0.314	45042
0.315	44908
0.316	44805
0.317	44711
0.318	44593
0.319	44447
0.32	44361
0.321	44231
0.322	44120
0.323	44010
0.324	43890
0.325	43781
0.326	43662
0.327	43530
0.328	43408
0.329	43281
0.33	43161
0.331	43070
0.332	42979
0.333	42840
0.334	42726
0.335	42626
0.336	42537
0.337	42390
0.338	42265
0.339	42187
0.34	42072
0.341	41965
0.342	41862
0.343	41749
0.344	41633
0.345	41517
0.346	41425
0.347	41318
0.348	41202
0.349	41099
0.35	41002
0.351	40875
0.352	40789
0.353	40691
0.354	40604
0.355	40515
0.356	40418
0.357	40303
0.358	40182
0.359	40083
0.36	39976
0.361	39895
0.362	39798
0.363	39707
0.364	39597
0.365	39503
0.366	39399
0.367	39315
0.368	39211
0.369	39115
0.37	39006
0.371	38902
0.372	38815
0.373	38724
0.374	38638
0.375	38549
0.376	38461
0.377	38375
0.378	38272
0.379	38171
0.38	38096
0.381	38012
0.382	37902
0.383	37807
0.384	37716
0.385	37613
0.386	37519
0.387	37405
0.388	37313
0.389	37238
0.39	37131
0.391	37017
0.392	36905
0.393	36803
0.394	36718
0.395	36621
0.396	36514
0.397	36420
0.398	36333
0.399	36256
0.4	36163
0.401	36076
0.402	35999
0.403	35918
0.404	35824
0.405	35748
0.406	35671
0.407	35581
0.408	35487
0.409	35398
0.41	35307
0.411	35225
0.412	35139
0.413	35057
0.414	34961
0.415	34853
0.416	34785
0.417	34697
0.418	34612
0.419	34540
0.42	34456
0.421	34339
0.422	34232
0.423	34120
0.424	34039
0.425	33956
0.426	33857
0.427	33773
0.428	33683
0.429	33593
0.43	33514
0.431	33428
0.432	33322
0.433	33235
0.434	33142
0.435	33044
0.436	32968
0.437	32892
0.438	32808
0.439	32728
0.44	32650
0.441	32582
0.442	32510
0.443	32438
0.444	32355
0.445	32278
0.446	32194
0.447	32122
0.448	32046
0.449	31955
0.45	31874
0.451	31780
0.452	31700
0.453	31609
0.454	31507
0.455	31406
0.456	31320
0.457	31252
0.458	31157
0.459	31073
0.46	30996
0.461	30913
0.462	30826
0.463	30739
0.464	30671
0.465	30603
0.466	30512
0.467	30430
0.468	30353
0.469	30280
0.47	30199
0.471	30128
0.472	30045
0.473	29975
0.474	29896
0.475	29809
0.476	29728
0.477	29647
0.478	29563
0.479	29488
0.48	29422
0.481	29344
0.482	29261
0.483	29192
0.484	29122
0.485	29033
0.486	28960
0.487	28867
0.488	28791
0.489	28722
0.49	28639
0.491	28549
0.492	28454
0.493	28369
0.494	28299
0.495	28225
0.496	28143
0.497	28051
0.498	27975
0.499	27897
0.5	27826
0.501	27748
0.502	27670
0.503	27576
0.504	27505
0.505	27435
0.506	27358
0.507	27283
0.508	27225
0.509	27140
0.51	27064
0.511	26983
0.512	26906
0.513	26829
0.514	26748
0.515	26682
0.516	26618
0.517	26561
0.518	26495
0.519	26427
0.52	26351
0.521	26293
0.522	26225
0.523	26153
0.524	26081
0.525	26018
0.526	25944
0.527	25879
0.528	25813
0.529	25732
0.53	25675
0.531	25603
0.532	25526
0.533	25435
0.534	25352
0.535	25278
0.536	25215
0.537	25144
0.538	25080
0.539	25017
0.54	24958
0.541	24881
0.542	24804
0.543	24724
0.544	24661
0.545	24584
0.546	24515
0.547	24440
0.548	24356
0.549	24283
0.55	24206
0.551	24138
0.552	24074
