fraction	Nx_length
0.001	262838343
0.002	262838343
0.003	262838343
0.004	262838343
0.005	262838343
0.006	262838343
0.007	262838343
0.008	262838343
0.009	262838343
0.01	262838343
0.011	262838343
0.012	262838343
0.013	262838343
0.014	262838343
0.015	262838343
0.016	262838343
0.017	262838343
0.018	262838343
0.019	262838343
0.02	262838343
0.021	262838343
0.022	262838343
0.023	262838343
0.024	262838343
0.025	262838343
0.026	262838343
0.027	262838343
0.028	262838343
0.029	262838343
0.03	262838343
0.031	262838343
0.032	262838343
0.033	262838343
0.034	262838343
0.035	262838343
0.036	262838343
0.037	262838343
0.038	262838343
0.039	262838343
0.04	262838343
0.041	262838343
0.042	262838343
0.043	262838343
0.044	262838343
0.045	262838343
0.046	262838343
0.047	262838343
0.048	262838343
0.049	262838343
0.05	262838343
0.051	262838343
0.052	262838343
0.053	262838343
0.054	262838343
0.055	262838343
0.056	262838343
0.057	262838343
0.058	262838343
0.059	262838343
0.06	262838343
0.061	262838343
0.062	262838343
0.063	262838343
0.064	262838343
0.065	262838343
0.066	262838343
0.067	262838343
0.068	262838343
0.069	262838343
0.07	262838343
0.071	262838343
0.072	262838343
0.073	262838343
0.074	262838343
0.075	262838343
0.076	262838343
0.077	262838343
0.078	262838343
0.079	262838343
0.08	262838343
0.081	262838343
0.082	262838343
0.083	262838343
0.084	262838343
0.085	262838343
0.086	262838343
0.087	262838343
0.088	262838343
0.089	262838343
0.09	262838343
0.091	262838343
0.092	262838343
0.093	262838343
0.094	262838343
0.095	262838343
0.096	262838343
0.097	262838343
0.098	262838343
0.099	262838343
0.1	262838343
0.101	262838343
0.102	262838343
0.103	262838343
0.104	262838343
0.105	262838343
0.106	262838343
0.107	262838343
0.108	262838343
0.109	262838343
0.11	262838343
0.111	262838343
0.112	262838343
0.113	198435550
0.114	198435550
0.115	198435550
0.116	198435550
0.117	198435550
0.118	198435550
0.119	198435550
0.12	198435550
0.121	198435550
0.122	198435550
0.123	198435550
0.124	198435550
0.125	198435550
0.126	198435550
0.127	198435550
0.128	198435550
0.129	198435550
0.13	198435550
0.131	198435550
0.132	198435550
0.133	198435550
0.134	198435550
0.135	198435550
0.136	198435550
0.137	198435550
0.138	198435550
0.139	198435550
0.14	198435550
0.141	198435550
0.142	198435550
0.143	198435550
0.144	198435550
0.145	198435550
0.146	198435550
0.147	198435550
0.148	198435550
0.149	198435550
0.15	198435550
0.151	198435550
0.152	198435550
0.153	198435550
0.154	198435550
0.155	198435550
0.156	198435550
0.157	198435550
0.158	198435550
0.159	198435550
0.16	198435550
0.161	198435550
0.162	198435550
0.163	198435550
0.164	198435550
0.165	198435550
