fraction	Nx_length
0.001	736149
0.002	667182
0.003	622072
0.004	588886
0.005	575234
0.006	561411
0.007	557516
0.008	547076
0.009	534427
0.01	511218
0.011	505941
0.012	494309
0.013	490492
0.014	480893
0.015	474094
0.016	472697
0.017	467780
0.018	457796
0.019	454118
0.02	445500
0.021	439897
0.022	435575
0.023	426336
0.024	419239
0.025	415716
0.026	413230
0.027	409194
0.028	406131
0.029	403542
0.03	401457
0.031	397483
0.032	393849
0.033	391224
0.034	388970
0.035	387453
0.036	383888
0.037	381233
0.038	374937
0.039	372622
0.04	370458
0.041	368079
0.042	366516
0.043	362858
0.044	361077
0.045	359751
0.046	357014
0.047	355141
0.048	353827
0.049	351452
0.05	349436
0.051	348325
0.052	346726
0.053	344445
0.054	342945
0.055	341569
0.056	338413
0.057	335894
0.058	333217
0.059	331800
0.06	329410
0.061	328384
0.062	325434
0.063	323546
0.064	322308
0.065	319850
0.066	318381
0.067	317369
0.068	315343
0.069	313821
0.07	312053
0.071	310257
0.072	308764
0.073	307005
0.074	305341
0.075	303869
0.076	302636
0.077	301541
0.078	300545
0.079	299210
0.08	297782
0.081	296127
0.082	295246
0.083	293839
0.084	293069
0.085	291838
0.086	290924
0.087	290162
0.088	288188
0.089	286473
0.09	285231
0.091	283838
0.092	282720
0.093	281883
0.094	280662
0.095	279713
0.096	278248
0.097	277625
0.098	275947
0.099	274361
0.1	273137
0.101	272494
0.102	270876
0.103	269770
0.104	268454
0.105	267751
0.106	266549
0.107	265378
0.108	264804
0.109	263927
0.11	263131
0.111	262456
0.112	261589
0.113	260034
0.114	258708
0.115	257816
0.116	256679
0.117	256029
0.118	255245
0.119	254540
0.12	254006
0.121	253370
0.122	252570
0.123	251803
0.124	250282
0.125	249536
0.126	248806
0.127	248144
0.128	247034
0.129	246663
0.13	246050
0.131	245113
0.132	243867
0.133	243054
0.134	242470
0.135	241673
0.136	240820
0.137	240064
0.138	239532
0.139	238833
0.14	238347
0.141	237893
0.142	236956
0.143	236322
0.144	235795
0.145	235342
0.146	234944
0.147	233866
0.148	232692
0.149	232048
0.15	231169
0.151	230158
0.152	229635
0.153	228894
0.154	228333
0.155	227656
0.156	227007
0.157	226593
0.158	226024
0.159	225242
0.16	224123
0.161	223245
0.162	222811
0.163	222370
0.164	222037
0.165	221461
0.166	220897
0.167	220303
0.168	219949
0.169	219340
0.17	218987
0.171	218456
0.172	217848
0.173	217184
0.174	216584
0.175	216041
0.176	215541
0.177	215071
0.178	214644
0.179	214216
0.18	213593
0.181	213008
0.182	212592
0.183	212035
0.184	211622
0.185	211152
0.186	210389
0.187	209603
0.188	209062
0.189	208069
0.19	207483
0.191	207086
0.192	206586
0.193	206048
0.194	205429
0.195	204867
0.196	204224
0.197	203507
0.198	202796
0.199	202131
0.2	201503
0.201	201014
0.202	200220
0.203	199782
0.204	199276
0.205	198664
0.206	198300
0.207	197588
0.208	197027
0.209	196460
0.21	196036
0.211	195693
0.212	195218
0.213	194415
0.214	193967
0.215	193377
0.216	192915
0.217	192592
0.218	192147
0.219	191689
0.22	191117
0.221	190622
0.222	190049
0.223	189574
0.224	189303
0.225	189055
0.226	188623
0.227	188396
0.228	188101
0.229	187459
0.23	186979
0.231	186507
0.232	185885
0.233	185571
0.234	185037
0.235	184664
0.236	184253
0.237	184033
0.238	183714
0.239	183428
0.24	182900
0.241	182542
0.242	181982
0.243	181655
0.244	180973
0.245	180692
0.246	180403
0.247	179863
0.248	179086
0.249	178654
0.25	178268
0.251	177752
0.252	177358
0.253	176816
0.254	176200
0.255	175938
0.256	175627
0.257	175429
0.258	175030
0.259	174670
0.26	174275
0.261	173844
0.262	173422
0.263	173045
0.264	172653
0.265	172278
0.266	171938
0.267	171605
0.268	171400
0.269	171107
0.27	170759
0.271	170262
0.272	169861
0.273	169469
0.274	169155
0.275	168885
0.276	168458
0.277	168118
0.278	167554
0.279	167275
0.28	166847
0.281	166595
0.282	165993
0.283	165651
0.284	165266
0.285	164722
0.286	164151
0.287	163713
0.288	163431
0.289	163038
0.29	162658
0.291	162271
0.292	161954
0.293	161461
0.294	161083
0.295	160756
0.296	160286
0.297	159793
0.298	159376
0.299	158884
0.3	158558
0.301	158221
0.302	158003
0.303	157600
0.304	157239
0.305	156890
0.306	156510
0.307	156210
0.308	155963
0.309	155431
0.31	155113
0.311	154760
0.312	154321
0.313	153763
0.314	153423
0.315	153130
0.316	152699
0.317	152239
0.318	151728
0.319	151453
0.32	151234
0.321	150958
0.322	150617
0.323	150164
0.324	149874
0.325	149660
0.326	149282
0.327	149022
0.328	148598
0.329	148248
0.33	147845
0.331	147497
0.332	147155
0.333	146852
0.334	146612
0.335	146226
0.336	145971
0.337	145639
0.338	145297
0.339	144949
0.34	144594
0.341	144121
0.342	143718
0.343	143400
0.344	143107
0.345	142844
0.346	142489
0.347	142156
0.348	141857
0.349	141491
0.35	141224
0.351	140863
0.352	140627
0.353	140175
0.354	139881
0.355	139566
0.356	139270
0.357	139008
0.358	138656
0.359	138390
0.36	137940
0.361	137722
0.362	137492
0.363	137226
0.364	136707
0.365	136387
0.366	136201
0.367	135983
0.368	135458
0.369	135078
0.37	134778
0.371	134479
0.372	134215
0.373	134030
0.374	133689
0.375	133407
0.376	133029
0.377	132633
0.378	132270
0.379	132012
0.38	131766
0.381	131485
0.382	131254
0.383	130859
0.384	130500
0.385	130302
0.386	130103
0.387	129777
0.388	129568
0.389	129356
0.39	129088
0.391	128767
0.392	128453
0.393	128221
0.394	127975
0.395	127713
0.396	127374
0.397	127118
0.398	126880
0.399	126543
0.4	126316
0.401	126022
0.402	125716
0.403	125380
0.404	125116
0.405	124876
0.406	124633
0.407	124217
0.408	123924
0.409	123637
0.41	123327
0.411	123060
0.412	122782
0.413	122504
0.414	122274
0.415	122018
0.416	121733
0.417	121472
0.418	121281
0.419	121102
0.42	120856
0.421	120619
0.422	120337
0.423	120026
0.424	119800
0.425	119538
0.426	119283
0.427	119064
0.428	118729
0.429	118404
0.43	118150
0.431	117875
0.432	117580
0.433	117312
0.434	117032
0.435	116772
0.436	116483
0.437	116213
0.438	115956
0.439	115647
0.44	115430
0.441	115151
0.442	114927
0.443	114618
0.444	114326
0.445	114017
0.446	113713
0.447	113576
0.448	113315
0.449	113091
0.45	112811
0.451	112532
0.452	112260
0.453	111972
0.454	111638
0.455	111364
0.456	111121
0.457	110851
0.458	110622
0.459	110264
0.46	110045
0.461	109864
0.462	109459
0.463	109099
0.464	108870
0.465	108625
0.466	108274
0.467	107986
0.468	107750
0.469	107436
0.47	107238
0.471	106970
0.472	106668
0.473	106434
0.474	106032
0.475	105791
0.476	105531
0.477	105168
0.478	104790
0.479	104546
0.48	104297
0.481	104007
0.482	103742
0.483	103508
0.484	103268
0.485	102872
0.486	102658
0.487	102392
0.488	102109
0.489	101911
0.49	101635
0.491	101462
0.492	101191
0.493	100921
0.494	100705
0.495	100412
0.496	100151
0.497	99891
0.498	99611
0.499	99436
0.5	99156
0.501	98986
0.502	98786
0.503	98540
0.504	98267
0.505	98060
0.506	97872
0.507	97594
0.508	97358
0.509	97112
0.51	96835
0.511	96596
0.512	96376
0.513	96167
0.514	95944
0.515	95712
0.516	95494
0.517	95327
0.518	95112
0.519	94902
0.52	94545
0.521	94282
0.522	94032
0.523	93770
0.524	93476
0.525	93219
0.526	92977
0.527	92682
0.528	92439
0.529	92208
0.53	91964
0.531	91779
0.532	91565
0.533	91301
0.534	91012
0.535	90695
0.536	90402
0.537	90182
0.538	89918
0.539	89735
0.54	89518
0.541	89323
0.542	89055
0.543	88822
0.544	88594
0.545	88241
0.546	88043
0.547	87819
0.548	87622
0.549	87307
0.55	87064
0.551	86876
0.552	86667
0.553	86499
0.554	86204
0.555	85895
0.556	85631
0.557	85372
0.558	85211
0.559	84965
0.56	84742
0.561	84570
0.562	84324
0.563	84147
0.564	83812
0.565	83558
0.566	83385
0.567	83211
0.568	83040
0.569	82738
0.57	82449
0.571	82261
0.572	82089
0.573	81863
0.574	81645
0.575	81369
0.576	81071
0.577	80871
0.578	80674
0.579	80428
0.58	80224
0.581	80023
0.582	79723
0.583	79485
0.584	79228
0.585	79019
0.586	78800
0.587	78628
0.588	78322
0.589	78147
0.59	77924
0.591	77716
0.592	77446
0.593	77265
0.594	77076
0.595	76861
0.596	76651
0.597	76404
0.598	76159
0.599	75980
0.6	75714
0.601	75512
0.602	75313
