fraction	Nx_length
0.001	2315542
0.002	2315542
0.003	1588172
0.004	1575401
0.005	1575401
0.006	1429791
0.007	1428544
0.008	1361810
0.009	1361810
0.01	1360591
0.011	1360279
0.012	1349699
0.013	1349699
0.014	1281254
0.015	1257616
0.016	1257455
0.017	1256943
0.018	1256943
0.019	1238771
0.02	1222884
0.021	1215723
0.022	1193725
0.023	1189903
0.024	1181007
0.025	1147908
0.026	1147908
0.027	1116318
0.028	1106465
0.029	1096835
0.03	1082937
0.031	1081371
0.032	1053049
0.033	990082
0.034	988432
0.035	988330
0.036	986788
0.037	986224
0.038	977451
0.039	963705
0.04	960283
0.041	959242
0.042	953620
0.043	950481
0.044	939510
0.045	932296
0.046	931553
0.047	917250
0.048	898075
0.049	890107
0.05	880534
0.051	872673
0.052	871983
0.053	870252
0.054	845532
0.055	845114
0.056	844825
0.057	843843
0.058	838596
0.059	832947
0.06	832312
0.061	828248
0.062	812465
0.063	808918
0.064	800205
0.065	783001
0.066	782847
0.067	776353
0.068	773032
0.069	772570
0.07	764599
0.071	760725
0.072	757945
0.073	756854
0.074	753895
0.075	752754
0.076	750390
0.077	750043
0.078	749143
0.079	734114
0.08	729235
0.081	726939
0.082	725589
0.083	721291
0.084	710224
0.085	704579
0.086	698977
0.087	698856
0.088	696884
0.089	695454
0.09	694300
0.091	694145
0.092	690847
0.093	689649
0.094	677639
0.095	675165
0.096	669409
0.097	668884
0.098	661648
0.099	655184
0.1	655170
0.101	652513
0.102	652193
0.103	650936
0.104	645406
0.105	645242
0.106	643305
0.107	642186
0.108	641004
0.109	639734
0.11	638464
0.111	636118
0.112	634450
0.113	633432
0.114	628808
0.115	621552
0.116	621132
0.117	619568
0.118	617488
0.119	614128
0.12	610589
0.121	604612
0.122	604007
0.123	602407
0.124	601518
0.125	599642
0.126	594890
0.127	590362
0.128	588695
0.129	588250
0.13	586075
0.131	581685
0.132	580867
0.133	579100
0.134	578260
0.135	576808
0.136	576412
0.137	575121
0.138	574141
0.139	572121
0.14	571283
0.141	570310
0.142	564902
0.143	563610
0.144	559528
0.145	557721
0.146	555014
0.147	553786
0.148	551169
0.149	550835
0.15	547685
0.151	546313
0.152	542763
0.153	541395
0.154	536092
0.155	534376
0.156	532666
0.157	531939
0.158	530919
0.159	528229
0.16	527484
0.161	526973
0.162	523790
0.163	522231
0.164	518636
0.165	516762
0.166	515550
0.167	513934
0.168	512160
0.169	511986
0.17	509950
0.171	508343
0.172	504769
0.173	503500
0.174	501037
0.175	500372
0.176	497491
0.177	493596
0.178	491947
0.179	491438
0.18	488110
0.181	488062
0.182	487101
0.183	486051
0.184	483052
0.185	480714
0.186	480331
0.187	479033
0.188	475808
0.189	474206
0.19	472317
0.191	471610
0.192	470866
0.193	469702
0.194	467366
0.195	465334
0.196	463828
0.197	462300
0.198	459443
0.199	458410
0.2	457466
0.201	455670
0.202	454198
0.203	453267
0.204	452162
0.205	450588
0.206	449698
0.207	447659
0.208	447327
0.209	444661
0.21	442837
0.211	441836
0.212	439645
0.213	439048
0.214	437890
0.215	437296
0.216	436883
0.217	434220
0.218	433598
0.219	429207
0.22	428578
0.221	428011
0.222	427587
0.223	427473
0.224	427064
0.225	424815
0.226	421175
0.227	419068
0.228	417592
0.229	412314
0.23	410865
0.231	409138
0.232	408229
0.233	406633
0.234	405355
0.235	403997
0.236	401986
0.237	398790
0.238	398345
0.239	396668
0.24	395703
0.241	395013
0.242	392626
0.243	392154
0.244	391490
0.245	391059
0.246	390614
0.247	388632
0.248	387340
0.249	384485
0.25	383824
0.251	383624
0.252	382297
0.253	381792
0.254	379544
0.255	378221
0.256	377507
0.257	376988
0.258	376253
0.259	375708
0.26	374892
0.261	373685
0.262	373278
0.263	371739
0.264	370218
0.265	367154
0.266	362400
0.267	361694
0.268	360607
0.269	359065
0.27	358515
0.271	357164
0.272	356422
0.273	355385
0.274	354049
0.275	352395
0.276	351027
0.277	350196
0.278	348440
0.279	347761
0.28	346400
0.281	345717
0.282	344104
0.283	342554
0.284	340821
0.285	340114
0.286	339132
0.287	338006
0.288	337046
0.289	336655
0.29	336008
0.291	334529
0.292	333903
0.293	331696
0.294	329862
0.295	328686
0.296	328241
0.297	326707
0.298	325740
0.299	323977
0.3	323513
0.301	322349
0.302	321615
0.303	320813
0.304	320069
0.305	319862
0.306	318247
0.307	317145
0.308	315855
0.309	314849
0.31	313563
0.311	312060
0.312	311241
0.313	308674
0.314	307703
0.315	306905
0.316	306594
0.317	305978
0.318	303998
0.319	302714
0.32	300763
0.321	299821
0.322	298261
0.323	298070
0.324	296842
0.325	296358
0.326	295878
0.327	295462
0.328	294582
0.329	294292
0.33	293163
0.331	291594
0.332	291589
0.333	290411
0.334	289624
0.335	288482
0.336	286828
0.337	286396
0.338	285322
0.339	284906
0.34	283518
0.341	281376
0.342	279605
0.343	278592
0.344	277734
0.345	276590
0.346	275278
0.347	274068
0.348	272758
0.349	271709
0.35	270831
0.351	270441
0.352	269542
0.353	269043
0.354	267298
0.355	266999
0.356	266515
0.357	265971
0.358	265078
0.359	264569
0.36	264151
0.361	263073
0.362	261691
0.363	260396
0.364	259744
0.365	259430
0.366	258265
0.367	256543
0.368	255563
0.369	254387
0.37	253761
0.371	252434
0.372	251935
0.373	250749
0.374	250552
0.375	249938
0.376	248159
0.377	247555
0.378	246540
0.379	245836
0.38	245179
0.381	244374
0.382	243463
0.383	242900
0.384	242684
0.385	241793
0.386	240674
0.387	239824
0.388	238774
0.389	238379
0.39	237899
0.391	237317
0.392	236881
0.393	235813
0.394	234849
0.395	234135
0.396	233885
0.397	232554
0.398	231331
0.399	230829
0.4	230379
0.401	230120
0.402	229673
0.403	228811
0.404	227969
0.405	227390
0.406	226682
0.407	226122
0.408	225254
0.409	224942
0.41	223648
0.411	222893
0.412	221755
0.413	221410
0.414	221169
0.415	220210
0.416	219512
0.417	219011
0.418	218466
0.419	217848
0.42	217155
0.421	215654
0.422	215387
0.423	213902
0.424	212961
0.425	212343
0.426	211455
0.427	211005
0.428	210484
0.429	210044
0.43	209200
0.431	208643
0.432	207325
0.433	206845
0.434	206133
0.435	205665
0.436	204946
0.437	204725
0.438	203801
0.439	203261
0.44	202275
0.441	201292
0.442	200516
0.443	199463
0.444	198302
0.445	197857
0.446	197428
0.447	196956
0.448	195995
0.449	194865
0.45	193862
0.451	193235
0.452	192686
0.453	191649
0.454	191247
0.455	190630
0.456	190217
0.457	189612
0.458	189352
0.459	188579
0.46	188238
0.461	187149
0.462	186713
0.463	185968
0.464	185626
0.465	184658
0.466	184133
0.467	183509
0.468	182952
0.469	182014
0.47	181385
0.471	180288
0.472	179931
0.473	178886
0.474	178194
0.475	177113
0.476	176370
0.477	175943
0.478	175714
0.479	174925
0.48	174629
0.481	174088
0.482	173712
0.483	173368
0.484	172717
0.485	171628
0.486	170991
0.487	170712
0.488	169716
0.489	168453
0.49	167848
0.491	167391
0.492	166261
0.493	165850
0.494	165116
0.495	163517
0.496	163185
0.497	162818
0.498	161220
0.499	160102
0.5	159182
0.501	158568
0.502	158102
0.503	157601
0.504	157060
0.505	156232
0.506	155649
0.507	155443
0.508	154692
0.509	154026
0.51	153430
0.511	153007
0.512	152691
0.513	151871
0.514	151555
0.515	150809
0.516	150313
0.517	149906
0.518	149568
0.519	149377
0.52	148938
0.521	148221
0.522	147895
0.523	147418
0.524	146929
0.525	146391
0.526	145820
0.527	145549
0.528	145202
0.529	144407
0.53	144216
0.531	143618
0.532	142728
0.533	142136
0.534	141307
0.535	140484
0.536	140169
0.537	139604
0.538	138949
0.539	138444
0.54	138143
0.541	137588
0.542	137222
0.543	136788
0.544	136193
0.545	135870
0.546	135401
0.547	134915
0.548	134491
0.549	134266
0.55	133667
0.551	132912
0.552	132610
0.553	132156
0.554	131533
0.555	130921
0.556	129761
0.557	129022
0.558	128437
0.559	128027
0.56	127596
0.561	127213
0.562	126923
0.563	125992
0.564	125088
0.565	124632
0.566	124159
0.567	123657
0.568	123254
0.569	122859
0.57	121980
0.571	121791
0.572	121415
0.573	120816
0.574	120016
0.575	119615
0.576	119084
