fraction	Nx_length
0.001	16874234
0.002	16874234
0.003	16874234
0.004	16874234
0.005	16874234
0.006	16874234
0.007	16874234
0.008	16874234
0.009	16874234
0.01	16874234
0.011	16874234
0.012	16874234
0.013	16874234
0.014	16874234
0.015	16874234
0.016	12183572
0.017	12183572
0.018	12183572
0.019	12183572
0.02	12183572
0.021	12183572
0.022	12183572
0.023	12183572
0.024	12183572
0.025	12183572
0.026	12183572
0.027	12183572
0.028	12025507
0.029	12025507
0.03	12025507
0.031	12025507
0.032	12025507
0.033	12025507
0.034	12025507
0.035	12025507
0.036	12025507
0.037	12025507
0.038	12025507
0.039	11750303
0.04	11750303
0.041	11750303
0.042	11750303
0.043	11750303
0.044	11750303
0.045	11750303
0.046	11750303
0.047	11750303
0.048	11750303
0.049	11750303
0.05	10680521
0.051	10680521
0.052	10680521
0.053	10680521
0.054	10680521
0.055	10680521
0.056	10680521
0.057	10680521
0.058	10680521
0.059	10680521
0.06	9993499
0.061	9993499
0.062	9993499
0.063	9993499
0.064	9993499
0.065	9993499
0.066	9993499
0.067	9993499
0.068	9993499
0.069	9485849
0.07	9485849
0.071	9485849
0.072	9485849
0.073	9485849
0.074	9485849
0.075	9485849
0.076	9485849
0.077	9485849
0.078	9387159
0.079	9387159
0.08	9387159
0.081	9387159
0.082	9387159
0.083	9387159
0.084	9387159
0.085	9387159
0.086	9387159
0.087	9314143
0.088	9314143
0.089	9314143
0.09	9314143
0.091	9314143
0.092	9314143
0.093	9314143
0.094	9314143
0.095	9216572
0.096	9216572
0.097	9216572
0.098	9216572
0.099	9216572
0.1	9216572
0.101	9216572
0.102	9216572
0.103	9216572
0.104	9071832
0.105	9071832
0.106	9071832
0.107	9071832
0.108	9071832
0.109	9071832
0.11	9071832
0.111	9071832
0.112	9053343
0.113	9053343
0.114	9053343
0.115	9053343
0.116	9053343
0.117	9053343
0.118	9053343
0.119	9053343
0.12	9053343
0.121	8972073
0.122	8972073
0.123	8972073
0.124	8972073
0.125	8972073
0.126	8972073
0.127	8972073
0.128	8972073
0.129	8812334
0.13	8812334
0.131	8812334
0.132	8812334
0.133	8812334
0.134	8812334
0.135	8812334
0.136	8812334
0.137	8753839
0.138	8753839
0.139	8753839
