fraction	Nx_length
0.001	241582
0.002	224987
0.003	204002
0.004	195092
0.005	189012
0.006	185131
0.007	180289
0.008	175827
0.009	168187
0.01	161285
0.011	156160
0.012	152159
0.013	147644
0.014	143429
0.015	143049
0.016	141046
0.017	140219
0.018	138816
0.019	137662
0.02	134703
0.021	133509
0.022	130532
0.023	128724
0.024	127146
0.025	125942
0.026	124510
0.027	123414
0.028	122345
0.029	121760
0.03	120549
0.031	119178
0.032	116961
0.033	115844
0.034	115293
0.035	114570
0.036	113397
0.037	112910
0.038	111467
0.039	110955
0.04	109653
0.041	108438
0.042	107713
0.043	106153
0.044	105385
0.045	104400
0.046	103590
0.047	102407
0.048	101727
0.049	101023
0.05	100202
0.051	99500
0.052	98780
0.053	98053
0.054	97431
0.055	96562
0.056	95939
0.057	95646
0.058	95013
0.059	94343
0.06	93809
0.061	93245
0.062	92979
0.063	92452
0.064	91257
0.065	90389
0.066	89890
0.067	89448
0.068	88651
0.069	87986
0.07	87413
0.071	87052
0.072	86552
0.073	86109
0.074	85751
0.075	85420
0.076	85055
0.077	84547
0.078	84132
0.079	83727
0.08	83559
0.081	82971
0.082	82664
0.083	82170
0.084	81730
0.085	81298
0.086	81066
0.087	80558
0.088	80176
0.089	79854
0.09	79194
0.091	78874
0.092	78466
0.093	77918
0.094	77636
0.095	77172
0.096	76561
0.097	76272
0.098	75889
0.099	75384
0.1	74845
0.101	74312
0.102	73943
0.103	73458
0.104	73140
0.105	72918
0.106	72631
0.107	72208
0.108	71944
0.109	71579
0.11	71317
0.111	71035
0.112	70686
0.113	70361
0.114	69915
0.115	69703
0.116	69223
0.117	68825
0.118	68565
0.119	68227
0.12	67960
0.121	67709
0.122	67601
0.123	67258
0.124	67021
0.125	66746
0.126	66491
0.127	66289
0.128	66088
0.129	65835
0.13	65410
0.131	65207
0.132	64947
0.133	64651
0.134	64431
0.135	64234
0.136	64007
0.137	63725
0.138	63482
0.139	63318
0.14	63022
0.141	62801
0.142	62607
0.143	62331
0.144	62066
0.145	61892
0.146	61714
0.147	61504
0.148	61132
0.149	60955
0.15	60654
0.151	60338
0.152	60095
0.153	59912
0.154	59691
0.155	59445
0.156	59166
0.157	58835
0.158	58573
0.159	58363
0.16	58061
0.161	57551
0.162	57244
0.163	56971
0.164	56818
0.165	56541
0.166	56268
0.167	56070
0.168	55862
0.169	55645
0.17	55381
0.171	55076
0.172	54926
0.173	54766
0.174	54571
0.175	54224
0.176	54053
0.177	53901
0.178	53684
0.179	53503
0.18	53362
0.181	53177
0.182	53039
0.183	52829
0.184	52598
0.185	52379
0.186	52217
0.187	51994
0.188	51775
0.189	51676
0.19	51545
0.191	51359
0.192	51268
0.193	51157
0.194	50971
0.195	50797
0.196	50646
0.197	50436
0.198	50271
0.199	50154
0.2	49937
0.201	49776
0.202	49672
0.203	49489
0.204	49291
0.205	49116
0.206	48967
0.207	48833
0.208	48660
0.209	48551
0.21	48417
0.211	48291
0.212	48120
0.213	47977
0.214	47824
0.215	47630
0.216	47504
0.217	47296
0.218	47194
0.219	47003
0.22	46793
0.221	46641
0.222	46436
0.223	46314
0.224	46166
0.225	46051
0.226	45888
0.227	45776
0.228	45586
0.229	45433
0.23	45275
0.231	45125
0.232	45024
0.233	44874
0.234	44723
0.235	44607
0.236	44459
0.237	44328
0.238	44220
0.239	44077
0.24	43914
0.241	43718
0.242	43572
0.243	43471
0.244	43331
0.245	43205
0.246	43057
0.247	42973
0.248	42847
0.249	42708
0.25	42567
0.251	42461
0.252	42325
0.253	42155
0.254	42058
0.255	41867
0.256	41722
0.257	41541
0.258	41438
0.259	41294
0.26	41145
0.261	41024
0.262	40858
0.263	40689
0.264	40539
0.265	40410
0.266	40297
0.267	40199
0.268	40042
0.269	39907
0.27	39803
0.271	39681
0.272	39566
0.273	39461
0.274	39357
0.275	39160
0.276	39024
0.277	38897
0.278	38808
0.279	38661
0.28	38533
0.281	38390
0.282	38258
0.283	38155
0.284	38040
0.285	37923
0.286	37814
0.287	37710
0.288	37594
0.289	37448
0.29	37377
0.291	37242
0.292	37130
0.293	36990
0.294	36883
0.295	36792
0.296	36674
0.297	36568
0.298	36496
0.299	36386
0.3	36265
0.301	36164
0.302	36053
0.303	35940
0.304	35808
0.305	35704
0.306	35612
0.307	35500
0.308	35401
0.309	35293
0.31	35210
0.311	35142
0.312	35043
0.313	34936
0.314	34837
0.315	34751
0.316	34635
0.317	34537
0.318	34399
0.319	34271
0.32	34197
0.321	34108
0.322	34039
0.323	33949
0.324	33831
0.325	33756
0.326	33643
0.327	33566
0.328	33473
0.329	33360
0.33	33283
0.331	33222
0.332	33090
0.333	32987
0.334	32889
0.335	32805
0.336	32727
0.337	32626
0.338	32504
0.339	32427
0.34	32294
0.341	32205
0.342	32128
0.343	32054
0.344	31951
0.345	31850
0.346	31780
0.347	31688
0.348	31603
0.349	31531
0.35	31415
0.351	31299
0.352	31193
0.353	31136
0.354	31020
0.355	30948
0.356	30832
0.357	30748
0.358	30659
0.359	30535
0.36	30487
0.361	30375
0.362	30294
0.363	30208
0.364	30137
0.365	30064
0.366	29970
0.367	29888
0.368	29791
0.369	29693
0.37	29591
0.371	29508
0.372	29421
0.373	29360
0.374	29278
0.375	29182
0.376	29088
0.377	29005
0.378	28917
0.379	28818
0.38	28707
0.381	28640
0.382	28584
0.383	28494
0.384	28419
0.385	28331
0.386	28259
0.387	28155
0.388	28087
0.389	27968
0.39	27885
0.391	27797
0.392	27686
0.393	27603
0.394	27507
0.395	27418
0.396	27336
0.397	27256
0.398	27182
0.399	27084
0.4	27006
0.401	26921
0.402	26839
0.403	26731
0.404	26643
0.405	26569
0.406	26488
0.407	26340
0.408	26264
0.409	26195
0.41	26115
0.411	26043
0.412	25953
0.413	25878
0.414	25829
0.415	25737
0.416	25673
0.417	25599
