fraction	Nx_length
0.001	230287
0.002	225141
0.003	211558
0.004	196272
0.005	189774
0.006	180728
0.007	177791
0.008	175875
0.009	171448
0.01	164040
0.011	159842
0.012	154657
0.013	150487
0.014	147825
0.015	145684
0.016	144029
0.017	143034
0.018	142298
0.019	139991
0.02	136652
0.021	135217
0.022	131457
0.023	129332
0.024	127722
0.025	126585
0.026	125355
0.027	123557
0.028	122380
0.029	121718
0.03	119901
0.031	119239
0.032	118888
0.033	117939
0.034	117025
0.035	115843
0.036	114534
0.037	113464
0.038	112592
0.039	111782
0.04	111129
0.041	109465
0.042	108177
0.043	106639
0.044	105532
0.045	104638
0.046	104349
0.047	103952
0.048	103677
0.049	103130
0.05	102254
0.051	101810
0.052	101329
0.053	100788
0.054	100376
0.055	99831
0.056	99432
0.057	98451
0.058	97192
0.059	96238
0.06	95857
0.061	95364
0.062	94303
0.063	93567
0.064	93171
0.065	92771
0.066	92357
0.067	91780
0.068	91183
0.069	90393
0.07	90034
0.071	89838
0.072	89495
0.073	89147
0.074	88245
0.075	87832
0.076	87389
0.077	86993
0.078	86286
0.079	85858
0.08	84994
0.081	84391
0.082	83838
0.083	83162
0.084	82821
0.085	82389
0.086	81911
0.087	81693
0.088	81076
0.089	80672
0.09	80064
0.091	79764
0.092	79522
0.093	78958
0.094	78489
0.095	78171
0.096	77651
0.097	77383
0.098	77001
0.099	76544
0.1	75953
0.101	75679
0.102	75389
0.103	74968
0.104	74593
0.105	74370
0.106	74049
0.107	73779
0.108	73553
0.109	73266
0.11	73024
0.111	72705
0.112	72261
0.113	71932
0.114	71647
0.115	71266
0.116	70961
0.117	70636
0.118	70328
0.119	69993
0.12	69621
0.121	69374
0.122	69038
0.123	68702
0.124	68456
0.125	68111
0.126	67773
0.127	67554
0.128	67270
0.129	66959
0.13	66703
0.131	66318
0.132	66083
0.133	65816
0.134	65378
0.135	65191
0.136	64933
0.137	64713
0.138	64470
0.139	64252
0.14	63934
0.141	63700
0.142	63426
0.143	63130
0.144	62926
0.145	62718
0.146	62502
0.147	62197
0.148	61778
0.149	61549
0.15	61401
0.151	61216
0.152	60939
0.153	60656
0.154	60493
0.155	60285
0.156	60121
0.157	59898
0.158	59713
0.159	59478
0.16	59307
0.161	59024
0.162	58760
0.163	58521
0.164	58366
0.165	58017
0.166	57792
0.167	57517
0.168	57244
0.169	57103
0.17	56884
0.171	56749
0.172	56607
0.173	56284
0.174	56008
0.175	55738
0.176	55474
0.177	55315
0.178	55075
0.179	54905
0.18	54717
0.181	54616
0.182	54360
0.183	54245
0.184	53919
0.185	53708
0.186	53517
0.187	53355
0.188	53126
0.189	52921
0.19	52691
0.191	52467
0.192	52319
0.193	52094
0.194	51896
0.195	51766
0.196	51626
0.197	51494
0.198	51383
0.199	51155
0.2	51031
0.201	50868
0.202	50702
0.203	50503
0.204	50416
0.205	50239
0.206	50035
0.207	49818
0.208	49651
0.209	49522
0.21	49348
0.211	49137
0.212	49003
0.213	48877
0.214	48740
0.215	48522
0.216	48300
0.217	48137
0.218	47970
0.219	47818
0.22	47676
0.221	47449
0.222	47270
0.223	47104
0.224	46916
0.225	46758
0.226	46573
0.227	46439
0.228	46299
0.229	46106
0.23	45911
0.231	45828
0.232	45724
0.233	45580
0.234	45398
0.235	45236
0.236	45099
0.237	44957
0.238	44880
0.239	44792
0.24	44641
0.241	44515
0.242	44361
0.243	44198
0.244	44077
0.245	43882
0.246	43760
0.247	43664
0.248	43534
0.249	43408
0.25	43264
0.251	43180
0.252	43077
0.253	42936
0.254	42836
0.255	42697
0.256	42564
0.257	42437
0.258	42301
0.259	42169
0.26	42081
0.261	41938
0.262	41826
0.263	41717
0.264	41598
0.265	41417
0.266	41271
0.267	41122
0.268	40957
0.269	40863
0.27	40646
