fraction	Nx_length
0.001	20945783
0.002	20945783
0.003	20945783
0.004	20945783
0.005	20945783
0.006	20945783
0.007	20945783
0.008	20945783
0.009	20945783
0.01	20945783
0.011	20945783
0.012	20945783
0.013	20945783
0.014	20945783
0.015	20945783
0.016	20945783
0.017	20945783
0.018	20945783
0.019	20945783
0.02	20945783
0.021	20945783
0.022	20945783
0.023	20945783
0.024	20282947
0.025	20282947
0.026	20282947
0.027	20282947
0.028	20282947
0.029	20282947
0.03	20282947
0.031	20282947
0.032	20282947
0.033	20282947
0.034	20282947
0.035	20282947
0.036	20282947
0.037	20282947
0.038	20282947
0.039	20282947
0.04	20282947
0.041	20282947
0.042	20282947
0.043	20282947
0.044	20282947
0.045	20282947
0.046	20277947
0.047	20277947
0.048	20277947
0.049	20277947
0.05	20277947
0.051	20277947
0.052	20277947
0.053	20277947
0.054	20277947
0.055	20277947
0.056	20277947
0.057	20277947
0.058	20277947
0.059	20277947
0.06	20277947
0.061	20277947
0.062	20277947
0.063	20277947
0.064	20277947
0.065	20277947
0.066	20277947
0.067	20277947
0.068	20277947
0.069	16718284
0.07	16718284
0.071	16718284
0.072	16718284
0.073	16718284
0.074	16718284
0.075	16718284
0.076	16718284
0.077	16718284
0.078	16718284
0.079	16718284
0.08	16718284
0.081	16718284
0.082	16718284
0.083	16718284
0.084	16718284
0.085	16718284
0.086	16718284
0.087	16718284
0.088	16089821
0.089	16089821
0.09	16089821
0.091	16089821
0.092	16089821
0.093	16089821
0.094	16089821
0.095	16089821
0.096	16089821
0.097	16089821
0.098	16089821
0.099	16089821
0.1	16089821
0.101	16089821
0.102	16089821
0.103	16089821
0.104	16089821
0.105	14454579
0.106	14454579
0.107	14454579
0.108	14454579
0.109	14454579
0.11	14454579
0.111	14454579
0.112	14454579
0.113	14454579
0.114	14454579
0.115	14454579
0.116	14454579
0.117	14454579
0.118	14454579
0.119	14454579
0.12	14454579
0.121	14306408
0.122	14306408
0.123	14306408
0.124	14306408
0.125	14306408
0.126	14306408
0.127	14306408
0.128	14306408
0.129	14306408
0.13	14306408
0.131	14306408
0.132	14306408
0.133	14306408
0.134	14306408
0.135	14306408
0.136	14306408
0.137	14265766
0.138	14265766
0.139	14265766
0.14	14265766
0.141	14265766
0.142	14265766
0.143	14265766
0.144	14265766
0.145	14265766
0.146	14265766
0.147	14265766
0.148	14265766
0.149	14265766
0.15	14265766
0.151	14265766
0.152	14265766
0.153	13897372
0.154	13897372
0.155	13897372
0.156	13897372
0.157	13897372
0.158	13897372
0.159	13897372
0.16	13897372
0.161	13897372
0.162	13897372
0.163	13897372
0.164	13897372
0.165	13897372
0.166	13897372
0.167	13897372
0.168	13897372
0.169	13179804
0.17	13179804
0.171	13179804
0.172	13179804
0.173	13179804
0.174	13179804
0.175	13179804
0.176	13179804
0.177	13179804
0.178	13179804
0.179	13179804
0.18	13179804
0.181	13179804
0.182	13179804
0.183	12817214
0.184	12817214
0.185	12817214
0.186	12817214
0.187	12817214
0.188	12817214
0.189	12817214
0.19	12817214
0.191	12817214
0.192	12817214
0.193	12817214
0.194	12817214
0.195	12817214
0.196	12817214
0.197	12817214
0.198	12241942
0.199	12241942
0.2	12241942
0.201	12241942
0.202	12241942
0.203	12241942
0.204	12241942
0.205	12241942
0.206	12241942
0.207	12241942
0.208	12241942
0.209	12241942
0.21	12241942
0.211	12228492
0.212	12228492
0.213	12228492
0.214	12228492
0.215	12228492
0.216	12228492
0.217	12228492
0.218	12228492
0.219	12228492
0.22	12228492
0.221	12228492
0.222	12228492
0.223	12228492
0.224	12228492
0.225	12177543
0.226	12177543
0.227	12177543
0.228	12177543
0.229	12177543
0.23	12177543
0.231	12177543
0.232	12177543
0.233	12177543
0.234	12177543
0.235	12177543
0.236	12177543
0.237	12177543
0.238	12056066
0.239	12056066
0.24	12056066
0.241	12056066
0.242	12056066
0.243	12056066
0.244	12056066
0.245	12056066
0.246	12056066
0.247	12056066
0.248	12056066
0.249	12056066
0.25	12056066
0.251	12056066
0.252	11905158
0.253	11905158
0.254	11905158
0.255	11905158
0.256	11905158
0.257	11905158
0.258	11905158
0.259	11905158
0.26	11905158
0.261	11905158
0.262	11905158
0.263	11905158
0.264	11905158
0.265	11846760
0.266	11846760
0.267	11846760
0.268	11846760
0.269	11846760
0.27	11846760
0.271	11846760
0.272	11846760
0.273	11846760
0.274	11846760
0.275	11846760
0.276	11846760
0.277	11846760
0.278	11409392
0.279	11409392
0.28	11409392
0.281	11409392
0.282	11409392
0.283	11409392
0.284	11409392
0.285	11409392
0.286	11409392
0.287	11409392
0.288	11409392
0.289	11409392
0.29	11409392
0.291	11387455
0.292	11387455
0.293	11387455
0.294	11387455
0.295	11387455
0.296	11387455
0.297	11387455
0.298	11387455
0.299	11387455
0.3	11387455
0.301	11387455
0.302	11387455
0.303	11387455
0.304	11358213
0.305	11358213
0.306	11358213
0.307	11358213
0.308	11358213
0.309	11358213
0.31	11358213
0.311	11358213
0.312	11358213
0.313	11358213
0.314	11358213
0.315	11358213
0.316	11248862
0.317	11248862
0.318	11248862
0.319	11248862
0.32	11248862
0.321	11248862
0.322	11248862
0.323	11248862
0.324	11248862
0.325	11248862
0.326	11248862
