fraction	Nx_length
0.001	25945666
0.002	25945666
0.003	25945666
0.004	25945666
0.005	25945666
0.006	25945666
0.007	25945666
0.008	25945666
0.009	25945666
0.01	25945666
0.011	25945666
0.012	25945666
0.013	25945666
0.014	25945666
0.015	25945666
0.016	25945666
0.017	25945666
0.018	25945666
0.019	25945666
0.02	25945666
0.021	25945666
0.022	25945666
0.023	25945666
0.024	25945666
0.025	23648755
0.026	23648755
0.027	23648755
0.028	23648755
0.029	23648755
0.03	23648755
0.031	23648755
0.032	23648755
0.033	23648755
0.034	23648755
0.035	23648755
0.036	23648755
0.037	23648755
0.038	23648755
0.039	23648755
0.04	23648755
0.041	23648755
0.042	23648755
0.043	23648755
0.044	23648755
0.045	23648755
0.046	23648755
0.047	22275314
0.048	22275314
0.049	22275314
0.05	22275314
0.051	22275314
0.052	22275314
0.053	22275314
0.054	22275314
0.055	22275314
0.056	22275314
0.057	22275314
0.058	22275314
0.059	22275314
0.06	22275314
0.061	22275314
0.062	22275314
0.063	22275314
0.064	22275314
0.065	22275314
0.066	22275314
0.067	22275314
0.068	20949677
0.069	20949677
0.07	20949677
0.071	20949677
0.072	20949677
0.073	20949677
0.074	20949677
0.075	20949677
0.076	20949677
0.077	20949677
0.078	20949677
0.079	20949677
0.08	20949677
0.081	20949677
0.082	20949677
0.083	20949677
0.084	20949677
0.085	20949677
0.086	20949677
0.087	20949677
0.088	19202668
0.089	19202668
0.09	19202668
0.091	19202668
0.092	19202668
0.093	19202668
0.094	19202668
0.095	19202668
0.096	19202668
0.097	19202668
0.098	19202668
0.099	19202668
0.1	19202668
0.101	19202668
0.102	19202668
0.103	19202668
0.104	19202668
0.105	19202668
0.106	19039868
0.107	19039868
0.108	19039868
0.109	19039868
0.11	19039868
0.111	19039868
0.112	19039868
0.113	19039868
0.114	19039868
0.115	19039868
0.116	19039868
0.117	19039868
0.118	19039868
0.119	19039868
0.12	19039868
0.121	19039868
0.122	19039868
0.123	19039868
0.124	18605447
0.125	18605447
0.126	18605447
0.127	18605447
0.128	18605447
0.129	18605447
0.13	18605447
0.131	18605447
0.132	18605447
0.133	18605447
0.134	18605447
0.135	18605447
0.136	18605447
0.137	18605447
0.138	18605447
0.139	18605447
0.14	18605447
0.141	16961846
0.142	16961846
0.143	16961846
0.144	16961846
0.145	16961846
0.146	16961846
0.147	16961846
0.148	16961846
0.149	16961846
0.15	16961846
0.151	16961846
0.152	16961846
0.153	16961846
0.154	16961846
0.155	16961846
0.156	16961846
0.157	16274022
0.158	16274022
0.159	16274022
0.16	16274022
0.161	16274022
0.162	16274022
0.163	16274022
0.164	16274022
0.165	16274022
0.166	16274022
0.167	16274022
0.168	16274022
0.169	16274022
0.17	16274022
0.171	16274022
0.172	16274022
0.173	16059171
0.174	16059171
0.175	16059171
0.176	16059171
0.177	16059171
0.178	16059171
0.179	16059171
0.18	16059171
0.181	16059171
0.182	16059171
0.183	16059171
0.184	16059171
0.185	16059171
0.186	16059171
0.187	16059171
0.188	15954215
0.189	15954215
0.19	15954215
0.191	15954215
0.192	15954215
0.193	15954215
0.194	15954215
0.195	15954215
0.196	15954215
0.197	15954215
0.198	15954215
0.199	15954215
0.2	15954215
0.201	15954215
0.202	15954215
0.203	15943288
0.204	15943288
0.205	15943288
0.206	15943288
0.207	15943288
0.208	15943288
0.209	15943288
0.21	15943288
0.211	15943288
0.212	15943288
0.213	15943288
0.214	15943288
0.215	15943288
0.216	15943288
0.217	15943288
0.218	15838641
0.219	15838641
0.22	15838641
0.221	15838641
0.222	15838641
0.223	15838641
0.224	15838641
0.225	15838641
0.226	15838641
0.227	15838641
0.228	15838641
0.229	15838641
0.23	15838641
0.231	15838641
0.232	15838641
0.233	15762196
0.234	15762196
0.235	15762196
0.236	15762196
0.237	15762196
0.238	15762196
0.239	15762196
0.24	15762196
0.241	15762196
0.242	15762196
0.243	15762196
0.244	15762196
0.245	15762196
0.246	15762196
0.247	15591674
0.248	15591674
0.249	15591674
0.25	15591674
0.251	15591674
0.252	15591674
0.253	15591674
0.254	15591674
0.255	15591674
0.256	15591674
0.257	15591674
0.258	15591674
0.259	15591674
0.26	15591674
0.261	15591674
0.262	15470702
0.263	15470702
0.264	15470702
0.265	15470702
0.266	15470702
