fraction	Nx_length
0.001	29777538
0.002	29777538
0.003	29777538
0.004	29777538
0.005	29777538
0.006	29777538
0.007	29777538
0.008	29777538
0.009	29777538
0.01	29777538
0.011	29777538
0.012	29777538
0.013	29777538
0.014	29777538
0.015	29777538
0.016	29777538
0.017	29777538
0.018	29777538
0.019	29777538
0.02	29777538
0.021	29777538
0.022	29777538
0.023	29777538
0.024	29777538
0.025	29777538
0.026	29777538
0.027	29777538
0.028	25427911
0.029	25427911
0.03	25427911
0.031	25427911
0.032	25427911
0.033	25427911
0.034	25427911
0.035	25427911
0.036	25427911
0.037	25427911
0.038	25427911
0.039	25427911
0.04	25427911
0.041	25427911
0.042	25427911
0.043	25427911
0.044	25427911
0.045	25427911
0.046	25427911
0.047	25427911
0.048	25427911
0.049	25427911
0.05	25427911
0.051	25427911
0.052	22741083
0.053	22741083
0.054	22741083
0.055	22741083
0.056	22741083
0.057	22741083
0.058	22741083
0.059	22741083
0.06	22741083
0.061	22741083
0.062	22741083
0.063	22741083
0.064	22741083
0.065	22741083
0.066	22741083
0.067	22741083
0.068	22741083
0.069	22741083
0.07	22741083
0.071	22741083
0.072	22741083
0.073	22144024
0.074	22144024
0.075	22144024
0.076	22144024
0.077	22144024
0.078	22144024
0.079	22144024
0.08	22144024
0.081	22144024
0.082	22144024
0.083	22144024
0.084	22144024
0.085	22144024
0.086	22144024
0.087	22144024
0.088	22144024
0.089	22144024
0.09	22144024
0.091	22144024
0.092	22144024
0.093	22144024
0.094	21499619
0.095	21499619
0.096	21499619
0.097	21499619
0.098	21499619
0.099	21499619
0.1	21499619
0.101	21499619
0.102	21499619
0.103	21499619
0.104	21499619
0.105	21499619
0.106	21499619
0.107	21499619
0.108	21499619
0.109	21499619
0.11	21499619
0.111	21499619
0.112	21499619
0.113	21499619
0.114	18222169
0.115	18222169
0.116	18222169
0.117	18222169
0.118	18222169
0.119	18222169
0.12	18222169
0.121	18222169
0.122	18222169
0.123	18222169
0.124	18222169
0.125	18222169
0.126	18222169
0.127	18222169
0.128	18222169
0.129	18222169
0.13	18222169
0.131	17110643
0.132	17110643
0.133	17110643
0.134	17110643
0.135	17110643
0.136	17110643
0.137	17110643
0.138	17110643
0.139	17110643
0.14	17110643
0.141	17110643
0.142	17110643
0.143	17110643
0.144	17110643
0.145	17110643
0.146	17110643
0.147	15994878
0.148	15994878
0.149	15994878
0.15	15994878
0.151	15994878
0.152	15994878
0.153	15994878
0.154	15994878
0.155	15994878
0.156	15994878
0.157	15994878
0.158	15994878
0.159	15994878
0.16	15994878
0.161	15333784
0.162	15333784
0.163	15333784
0.164	15333784
0.165	15333784
0.166	15333784
0.167	15333784
0.168	15333784
0.169	15333784
0.17	15333784
0.171	15333784
0.172	15333784
0.173	15333784
0.174	15333784
0.175	15333784
0.176	15268250
0.177	15268250
0.178	15268250
0.179	15268250
0.18	15268250
0.181	15268250
0.182	15268250
0.183	15268250
0.184	15268250
0.185	15268250
0.186	15268250
0.187	15268250
0.188	15268250
0.189	15268250
0.19	14994973
0.191	14994973
0.192	14994973
0.193	14994973
0.194	14994973
0.195	14994973
0.196	14994973
0.197	14994973
0.198	14994973
0.199	14994973
0.2	14994973
0.201	14994973
0.202	14994973
0.203	14994973
0.204	14912804
0.205	14912804
0.206	14912804
0.207	14912804
0.208	14912804
0.209	14912804
0.21	14912804
0.211	14912804
0.212	14912804
0.213	14912804
0.214	14912804
0.215	14912804
0.216	14912804
0.217	14912804
0.218	14164714
0.219	14164714
0.22	14164714
0.221	14164714
0.222	14164714
0.223	14164714
0.224	14164714
0.225	14164714
0.226	14164714
0.227	14164714
0.228	14164714
0.229	14164714
0.23	14164714
0.231	13922534
0.232	13922534
0.233	13922534
0.234	13922534
0.235	13922534
0.236	13922534
