fraction	Nx_length
0.001	106878
0.002	98501
0.003	89993
0.004	85307
0.005	82615
0.006	80914
0.007	78341
0.008	76468
0.009	74553
0.01	73037
0.011	70850
0.012	69424
0.013	68180
0.014	66798
0.015	65781
0.016	64874
0.017	63968
0.018	63138
0.019	62524
0.02	61901
0.021	61437
0.022	60834
0.023	60316
0.024	59674
0.025	59287
0.026	58634
0.027	57971
0.028	57434
0.029	56943
0.03	56519
0.031	56099
0.032	55656
0.033	55296
0.034	54925
0.035	54599
0.036	54139
0.037	53693
0.038	53484
0.039	53148
0.04	52859
0.041	52533
0.042	52198
0.043	51916
0.044	51686
0.045	51409
0.046	51171
0.047	50819
0.048	50519
0.049	50206
0.05	49990
0.051	49690
0.052	49455
0.053	49168
0.054	48970
0.055	48735
0.056	48497
0.057	48299
0.058	48111
0.059	47931
0.06	47680
0.061	47395
0.062	47166
0.063	47017
0.064	46810
0.065	46611
0.066	46392
0.067	46216
0.068	46014
0.069	45806
0.07	45657
0.071	45382
0.072	45237
0.073	45103
0.074	44942
0.075	44770
0.076	44616
0.077	44410
0.078	44239
0.079	44059
0.08	43890
0.081	43710
0.082	43584
0.083	43404
0.084	43208
0.085	42981
0.086	42770
0.087	42570
0.088	42431
0.089	42288
0.09	42134
0.091	41995
0.092	41876
0.093	41710
0.094	41592
0.095	41469
0.096	41335
0.097	41195
0.098	41093
0.099	40910
0.1	40766
0.101	40625
0.102	40465
0.103	40361
0.104	40193
0.105	40049
0.106	39925
0.107	39771
0.108	39643
0.109	39514
0.11	39389
0.111	39260
0.112	39118
0.113	38997
0.114	38874
0.115	38772
0.116	38655
0.117	38507
0.118	38365
0.119	38250
0.12	38142
0.121	38040
0.122	37922
0.123	37794
0.124	37669
0.125	37558
0.126	37425
0.127	37318
0.128	37201
0.129	37076
0.13	36976
0.131	36852
0.132	36724
0.133	36605
0.134	36499
0.135	36402
0.136	36291
0.137	36184
0.138	36083
0.139	35967
0.14	35870
0.141	35765
0.142	35659
