fraction	Nx_length
0.001	32196
0.002	27885
0.003	26337
0.004	24910
0.005	23816
0.006	22872
0.007	22397
0.008	21624
0.009	21068
0.01	20388
0.011	19866
0.012	19404
0.013	19012
0.014	18558
0.015	18058
0.016	17778
0.017	17547
0.018	17334
0.019	17017
0.02	16764
0.021	16496
0.022	16322
0.023	16083
0.024	15868
0.025	15667
0.026	15508
0.027	15335
0.028	15141
0.029	14961
0.03	14791
0.031	14581
0.032	14459
0.033	14319
0.034	14191
0.035	14018
0.036	13893
0.037	13769
0.038	13653
0.039	13529
0.04	13425
0.041	13324
0.042	13229
0.043	13127
0.044	13035
0.045	12941
0.046	12837
0.047	12748
0.048	12651
0.049	12543
0.05	12443
0.051	12347
0.052	12247
0.053	12155
0.054	12067
0.055	11982
0.056	11900
0.057	11830
0.058	11757
0.059	11672
0.06	11586
0.061	11523
0.062	11443
0.063	11369
0.064	11290
0.065	11218
0.066	11158
0.067	11080
0.068	11022
0.069	10953
0.07	10891
0.071	10818
0.072	10747
0.073	10691
0.074	10626
0.075	10557
0.076	10490
0.077	10432
0.078	10379
0.079	10325
0.08	10272
0.081	10217
0.082	10158
0.083	10103
0.084	10051
0.085	10002
0.086	9952
0.087	9911
0.088	9858
0.089	9809
0.09	9760
0.091	9716
0.092	9666
0.093	9623
0.094	9572
0.095	9534
0.096	9480
0.097	9434
0.098	9389
0.099	9330
0.1	9282
0.101	9230
0.102	9188
0.103	9143
0.104	9106
0.105	9063
0.106	9025
0.107	8990
0.108	8947
0.109	8910
0.11	8870
0.111	8825
0.112	8794
0.113	8758
0.114	8717
0.115	8682
0.116	8645
0.117	8606
0.118	8575
0.119	8543
0.12	8498
0.121	8459
0.122	8421
0.123	8392
0.124	8347
0.125	8304
0.126	8264
0.127	8227
0.128	8198
0.129	8162
0.13	8131
0.131	8098
0.132	8072
0.133	8032
0.134	7997
0.135	7962
0.136	7929
0.137	7895
0.138	7859
0.139	7830
0.14	7799
0.141	7765
0.142	7741
0.143	7708
0.144	7678
0.145	7648
0.146	7620
0.147	7588
0.148	7557
0.149	7531
0.15	7500
0.151	7479
0.152	7443
0.153	7415
0.154	7389
0.155	7360
0.156	7331
0.157	7307
0.158	7278
0.159	7252
0.16	7221
0.161	7198
0.162	7174
0.163	7151
0.164	7126
0.165	7098
0.166	7072
0.167	7046
0.168	7017
0.169	6992
0.17	6971
0.171	6943
0.172	6920
0.173	6898
0.174	6875
0.175	6851
0.176	6828
0.177	6806
0.178	6783
0.179	6764
0.18	6741
0.181	6717
0.182	6694
0.183	6673
0.184	6647
0.185	6627
0.186	6604
0.187	6581
0.188	6555
0.189	6535
0.19	6518
0.191	6497
0.192	6474
0.193	6451
0.194	6427
0.195	6407
0.196	6388
0.197	6366
0.198	6345
0.199	6321
0.2	6302
0.201	6279
0.202	6259
0.203	6240
0.204	6219
0.205	6200
0.206	6181
0.207	6163
0.208	6142
0.209	6120
0.21	6097
0.211	6077
0.212	6058
0.213	6034
0.214	6015
0.215	5997
0.216	5977
0.217	5959
0.218	5940
0.219	5919
0.22	5898
0.221	5881
0.222	5863
0.223	5845
0.224	5826
0.225	5810
0.226	5792
0.227	5774
0.228	5757
0.229	5737
0.23	5720
0.231	5700
0.232	5685
0.233	5669
0.234	5652
0.235	5635
0.236	5617
0.237	5601
0.238	5582
0.239	5563
0.24	5548
0.241	5531
0.242	5516
0.243	5496
0.244	5479
0.245	5461
0.246	5444
0.247	5429
0.248	5411
0.249	5392
0.25	5372
0.251	5354
0.252	5339
0.253	5321
0.254	5304
0.255	5286
0.256	5270
0.257	5254
0.258	5238
0.259	5221
0.26	5202
0.261	5186
0.262	5170
0.263	5155
0.264	5138
0.265	5123
0.266	5108
0.267	5092
0.268	5077
0.269	5061
0.27	5047
0.271	5033
0.272	5017
0.273	5003
0.274	4988
0.275	4974
0.276	4958
0.277	4942
0.278	4928
0.279	4915
0.28	4900
0.281	4884
0.282	4870
0.283	4855
0.284	4840
0.285	4827
0.286	4812
0.287	4798
0.288	4784
0.289	4770
0.29	4757
0.291	4745
0.292	4732
0.293	4715
0.294	4703
0.295	4688
0.296	4675
0.297	4660
0.298	4648
0.299	4633
0.3	4620
0.301	4606
0.302	4592
0.303	4577
0.304	4564
0.305	4551
0.306	4538
0.307	4525
0.308	4510
0.309	4497
0.31	4483
0.311	4470
0.312	4457
0.313	4445
0.314	4432
0.315	4418
0.316	4404
0.317	4391
0.318	4377
0.319	4363
0.32	4350
0.321	4337
0.322	4323
0.323	4310
0.324	4296
0.325	4284
0.326	4272
0.327	4257
0.328	4244
0.329	4232
0.33	4220
0.331	4209
0.332	4197
0.333	4186
0.334	4172
0.335	4159
0.336	4148
0.337	4137
0.338	4124
0.339	4112
0.34	4101
0.341	4088
0.342	4076
0.343	4065
0.344	4054
0.345	4042
0.346	4031
0.347	4018
0.348	4006
0.349	3995
0.35	3983
0.351	3972
0.352	3961
0.353	3949
0.354	3937
0.355	3925
0.356	3915
0.357	3903
0.358	3892
0.359	3881
0.36	3870
0.361	3858
0.362	3847
0.363	3836
0.364	3825
0.365	3814
0.366	3802
0.367	3791
0.368	3779
0.369	3767
0.37	3757
0.371	3746
0.372	3736
0.373	3725
0.374	3713
0.375	3703
0.376	3693
0.377	3681
0.378	3671
0.379	3660
0.38	3649
0.381	3638
0.382	3627
0.383	3617
0.384	3607
0.385	3596
0.386	3583
0.387	3572
0.388	3562
0.389	3552
0.39	3540
0.391	3530
0.392	3519
0.393	3510
0.394	3500
0.395	3490
0.396	3480
0.397	3471
0.398	3461
0.399	3451
0.4	3439
0.401	3430
0.402	3421
0.403	3411
0.404	3402
0.405	3392
0.406	3381
0.407	3370
0.408	3359
0.409	3349
0.41	3340
0.411	3330
0.412	3320
0.413	3310
0.414	3300
0.415	3290
0.416	3280
0.417	3271
0.418	3260
0.419	3249
0.42	3241
0.421	3231
0.422	3221
0.423	3211
0.424	3200
0.425	3191
0.426	3181
0.427	3172
0.428	3163
0.429	3155
0.43	3144
0.431	3134
0.432	3125
0.433	3116
0.434	3107
0.435	3098
0.436	3090
0.437	3082
0.438	3073
0.439	3064
0.44	3055
0.441	3046
0.442	3036
0.443	3026
0.444	3016
0.445	3007
0.446	2996
0.447	2988
0.448	2978
0.449	2970
0.45	2961
0.451	2952
0.452	2943
0.453	2934
0.454	2926
