fraction	Nx_length
0.001	82055
0.002	74536
0.003	69532
0.004	66160
0.005	64024
0.006	61516
0.007	60216
0.008	58646
0.009	57468
0.01	56384
0.011	55193
0.012	54148
0.013	53315
0.014	52387
0.015	51570
0.016	50635
0.017	49958
0.018	49337
0.019	48861
0.02	48217
0.021	47695
0.022	47240
0.023	46835
0.024	46349
0.025	46026
0.026	45678
0.027	45312
0.028	44853
0.029	44460
0.03	44060
0.031	43702
0.032	43429
0.033	43073
0.034	42749
0.035	42453
0.036	42142
0.037	41773
0.038	41472
0.039	41252
0.04	40979
0.041	40702
0.042	40415
0.043	40117
0.044	39838
0.045	39574
0.046	39274
0.047	39027
0.048	38820
0.049	38590
0.05	38335
0.051	38112
0.052	37943
0.053	37711
0.054	37448
0.055	37234
0.056	37076
0.057	36806
0.058	36603
0.059	36371
0.06	36221
0.061	35999
0.062	35807
0.063	35625
0.064	35460
0.065	35295
0.066	35085
0.067	34902
0.068	34758
0.069	34625
0.07	34476
0.071	34303
0.072	34155
0.073	34009
0.074	33861
0.075	33730
0.076	33607
0.077	33460
0.078	33305
0.079	33169
0.08	33046
0.081	32916
0.082	32797
0.083	32675
0.084	32562
0.085	32443
0.086	32295
0.087	32184
0.088	32076
0.089	31944
0.09	31835
0.091	31723
0.092	31598
0.093	31478
0.094	31367
0.095	31235
0.096	31112
0.097	31005
0.098	30899
0.099	30782
0.1	30696
0.101	30606
0.102	30486
0.103	30348
0.104	30230
0.105	30094
0.106	29984
0.107	29877
0.108	29785
0.109	29673
0.11	29551
0.111	29430
0.112	29339
0.113	29256
0.114	29135
0.115	29044
0.116	28958
0.117	28876
0.118	28784
0.119	28693
0.12	28603
0.121	28516
0.122	28421
0.123	28351
0.124	28251
0.125	28167
0.126	28087
0.127	27996
0.128	27904
0.129	27830
0.13	27753
0.131	27665
0.132	27589
0.133	27491
0.134	27421
0.135	27343
0.136	27253
0.137	27179
0.138	27111
0.139	27036
0.14	26948
0.141	26867
0.142	26776
0.143	26694
0.144	26599
0.145	26521
0.146	26451
0.147	26383
0.148	26305
0.149	26233
0.15	26172
0.151	26093
0.152	26036
0.153	25962
0.154	25886
0.155	25818
0.156	25747
0.157	25662
0.158	25588
0.159	25528
0.16	25466
0.161	25402
0.162	25337
0.163	25268
0.164	25194
0.165	25115
0.166	25044
0.167	24977
0.168	24911
0.169	24849
0.17	24788
0.171	24717
0.172	24658
0.173	24589
0.174	24525
0.175	24468
0.176	24405
0.177	24342
0.178	24280
0.179	24215
0.18	24157
0.181	24099
0.182	24025
0.183	23958
0.184	23911
0.185	23849
0.186	23796
0.187	23741
0.188	23681
0.189	23618
0.19	23564
0.191	23513
0.192	23456
0.193	23392
0.194	23336
0.195	23277
0.196	23233
0.197	23190
0.198	23135
0.199	23074
0.2	23016
0.201	22956
0.202	22891
0.203	22827
0.204	22777
0.205	22716
0.206	22661
0.207	22607
0.208	22552
0.209	22498
0.21	22446
0.211	22398
0.212	22341
0.213	22292
0.214	22243
0.215	22196
0.216	22158
0.217	22105
0.218	22049
0.219	22002
0.22	21949
0.221	21895
0.222	21848
0.223	21800
0.224	21753
0.225	21704
0.226	21660
0.227	21611
0.228	21559
0.229	21510
0.23	21468
0.231	21420
0.232	21371
0.233	21328
0.234	21283
0.235	21234
0.236	21185
0.237	21142
0.238	21099
0.239	21058
0.24	21012
0.241	20962
0.242	20918
0.243	20874
0.244	20831
0.245	20787
0.246	20742
0.247	20700
0.248	20654
0.249	20610
0.25	20573
0.251	20535
0.252	20492
0.253	20448
0.254	20404
0.255	20363
0.256	20325
0.257	20283
0.258	20245
0.259	20201
0.26	20155
0.261	20110
0.262	20069
0.263	20032
0.264	19987
0.265	19947
0.266	19905
0.267	19866
0.268	19825
0.269	19786
0.27	19745
0.271	19713
0.272	19672
0.273	19634
0.274	19594
0.275	19553
0.276	19514
0.277	19484
0.278	19444
0.279	19397
0.28	19355
0.281	19312
0.282	19272
0.283	19236
0.284	19200
0.285	19164
0.286	19130
0.287	19085
0.288	19049
0.289	19009
0.29	18974
0.291	18940
0.292	18907
0.293	18871
0.294	18832
0.295	18791
0.296	18747
0.297	18705
0.298	18666
0.299	18635
0.3	18602
0.301	18566
0.302	18526
0.303	18490
0.304	18460
0.305	18423
0.306	18387
0.307	18348
0.308	18313
0.309	18276
0.31	18245
0.311	18210
0.312	18178
0.313	18144
0.314	18105
0.315	18070
0.316	18038
0.317	17998
0.318	17965
0.319	17933
0.32	17898
0.321	17865
0.322	17830
0.323	17798
0.324	17763
0.325	17728
0.326	17696
0.327	17665
0.328	17633
0.329	17604
0.33	17570
0.331	17536
0.332	17506
0.333	17470
0.334	17433
0.335	17398
0.336	17370
0.337	17337
0.338	17307
0.339	17276
0.34	17242
0.341	17210
0.342	17184
0.343	17151
0.344	17118
0.345	17088
0.346	17056
0.347	17026
0.348	16995
0.349	16964
0.35	16930
0.351	16900
0.352	16869
0.353	16836
0.354	16805
0.355	16771
0.356	16739
0.357	16707
0.358	16678
0.359	16651
0.36	16623
0.361	16595
0.362	16566
0.363	16530
0.364	16499
0.365	16471
0.366	16439
0.367	16412
0.368	16377
0.369	16346
0.37	16309
0.371	16281
0.372	16252
0.373	16223
0.374	16195
0.375	16167
0.376	16139
0.377	16106
0.378	16078
0.379	16045
0.38	16015
0.381	15981
0.382	15952
0.383	15921
