fraction	Nx_length
0.001	206041374
0.002	206041374
0.003	206041374
0.004	206041374
0.005	206041374
0.006	206041374
0.007	206041374
0.008	206041374
0.009	206041374
0.01	206041374
0.011	206041374
0.012	206041374
0.013	206041374
0.014	206041374
0.015	206041374
0.016	206041374
0.017	206041374
0.018	206041374
0.019	206041374
0.02	206041374
0.021	206041374
0.022	206041374
0.023	206041374
0.024	206041374
0.025	206041374
0.026	206041374
0.027	206041374
0.028	206041374
0.029	206041374
0.03	206041374
0.031	206041374
0.032	206041374
0.033	206041374
0.034	206041374
0.035	206041374
0.036	206041374
0.037	206041374
0.038	206041374
0.039	206041374
0.04	206041374
0.041	206041374
0.042	206041374
0.043	206041374
0.044	206041374
0.045	206041374
0.046	206041374
0.047	206041374
0.048	206041374
0.049	206041374
0.05	206041374
0.051	206041374
0.052	206041374
0.053	206041374
0.054	206041374
0.055	206041374
0.056	206041374
0.057	206041374
0.058	206041374
0.059	206041374
0.06	206041374
0.061	206041374
0.062	206041374
0.063	206041374
0.064	206041374
0.065	206041374
0.066	206041374
0.067	206041374
0.068	206041374
0.069	206041374
0.07	206041374
0.071	206041374
0.072	206041374
0.073	206041374
0.074	206041374
0.075	206041374
0.076	206041374
0.077	206041374
0.078	206041374
0.079	206041374
0.08	206041374
0.081	206041374
0.082	206008590
0.083	206008590
0.084	206008590
0.085	206008590
0.086	206008590
0.087	206008590
0.088	206008590
0.089	206008590
0.09	206008590
0.091	206008590
0.092	206008590
0.093	206008590
0.094	206008590
0.095	206008590
0.096	206008590
0.097	206008590
0.098	206008590
0.099	206008590
0.1	206008590
0.101	206008590
0.102	206008590
0.103	206008590
0.104	206008590
0.105	206008590
0.106	206008590
0.107	206008590
0.108	206008590
0.109	206008590
0.11	206008590
0.111	206008590
0.112	206008590
0.113	206008590
0.114	206008590
0.115	206008590
0.116	206008590
0.117	206008590
0.118	206008590
0.119	206008590
0.12	206008590
0.121	206008590
0.122	206008590
0.123	206008590
0.124	206008590
0.125	206008590
0.126	206008590
0.127	206008590
0.128	206008590
0.129	206008590
0.13	206008590
0.131	206008590
0.132	206008590
0.133	206008590
0.134	206008590
0.135	206008590
0.136	206008590
0.137	206008590
0.138	206008590
0.139	206008590
0.14	206008590
0.141	206008590
0.142	206008590
0.143	206008590
0.144	206008590
0.145	206008590
0.146	206008590
0.147	206008590
0.148	206008590
0.149	206008590
0.15	206008590
0.151	206008590
0.152	206008590
0.153	206008590
0.154	206008590
0.155	206008590
0.156	206008590
0.157	206008590
0.158	206008590
0.159	206008590
0.16	206008590
0.161	206008590
0.162	206008590
0.163	206008590
0.164	199873102
0.165	199873102
0.166	199873102
0.167	199873102
0.168	199873102
0.169	199873102
0.17	199873102
0.171	199873102
0.172	199873102
0.173	199873102
0.174	199873102
0.175	199873102
0.176	199873102
0.177	199873102
0.178	199873102
0.179	199873102
0.18	199873102
0.181	199873102
0.182	199873102
0.183	199873102
0.184	199873102
0.185	199873102
0.186	199873102
0.187	199873102
0.188	199873102
0.189	199873102
0.19	199873102
0.191	199873102
0.192	199873102
0.193	199873102
0.194	199873102
0.195	199873102
0.196	199873102
0.197	199873102
0.198	199873102
0.199	199873102
0.2	199873102
0.201	199873102
0.202	199873102
0.203	199873102
0.204	199873102
0.205	199873102
0.206	199873102
0.207	199873102
0.208	199873102
0.209	199873102
0.21	199873102
0.211	199873102
