fraction	Nx_length
0.001	48089669
0.002	48089669
0.003	48089669
0.004	48089669
0.005	48089669
0.006	48089669
0.007	48089669
0.008	48089669
0.009	48089669
0.01	48089669
0.011	48089669
0.012	48089669
0.013	48089669
0.014	48089669
0.015	48089669
0.016	48089669
0.017	48089669
0.018	48089669
0.019	48089669
0.02	48089669
0.021	48089669
0.022	48089669
0.023	48089669
0.024	48089669
0.025	48089669
0.026	48089669
0.027	48089669
0.028	48089669
0.029	48089669
0.03	48089669
0.031	48089669
0.032	48089669
0.033	48089669
0.034	48089669
0.035	48089669
0.036	48089669
0.037	48089669
0.038	48089669
0.039	48089669
0.04	48089669
0.041	48089669
0.042	48089669
0.043	48089669
0.044	48089669
0.045	48089669
0.046	48089669
0.047	48089669
0.048	48089669
0.049	48089669
0.05	48089669
0.051	48089669
0.052	48089669
0.053	48089669
0.054	48089669
0.055	48089669
0.056	48089669
0.057	48089669
0.058	48089669
0.059	48089669
0.06	48089669
0.061	44053895
0.062	44053895
0.063	44053895
0.064	44053895
0.065	44053895
0.066	44053895
0.067	44053895
0.068	44053895
0.069	44053895
0.07	44053895
0.071	44053895
0.072	44053895
0.073	44053895
0.074	44053895
0.075	44053895
0.076	44053895
0.077	44053895
0.078	44053895
0.079	44053895
0.08	44053895
0.081	44053895
0.082	44053895
0.083	44053895
0.084	44053895
0.085	44053895
0.086	44053895
0.087	44053895
0.088	44053895
0.089	44053895
0.09	44053895
0.091	44053895
0.092	44053895
0.093	44053895
0.094	44053895
0.095	44053895
0.096	44053895
0.097	44053895
0.098	44053895
0.099	44053895
0.1	44053895
0.101	44053895
0.102	44053895
0.103	44053895
0.104	44053895
0.105	44053895
0.106	44053895
0.107	44053895
0.108	44053895
0.109	44053895
0.11	44053895
0.111	44053895
0.112	44053895
0.113	44053895
0.114	44053895
0.115	44053895
0.116	44053895
0.117	42699319
0.118	42699319
0.119	42699319
0.12	42699319
0.121	42699319
0.122	42699319
0.123	42699319
0.124	42699319
0.125	42699319
0.126	42699319
0.127	42699319
0.128	42699319
0.129	42699319
0.13	42699319
0.131	42699319
0.132	42699319
0.133	42699319
0.134	42699319
0.135	42699319
0.136	42699319
0.137	42699319
0.138	42699319
0.139	42699319
0.14	42699319
0.141	42699319
0.142	42699319
0.143	42699319
0.144	42699319
0.145	42699319
0.146	42699319
0.147	42699319
0.148	42699319
0.149	42699319
0.15	42699319
0.151	42699319
0.152	42699319
0.153	42699319
0.154	42699319
0.155	42699319
0.156	42699319
0.157	42699319
0.158	42699319
0.159	42699319
0.16	42699319
0.161	42699319
0.162	42699319
0.163	42699319
0.164	42699319
0.165	42699319
0.166	42699319
0.167	42699319
0.168	42699319
0.169	42699319
0.17	42699319
0.171	32802276
0.172	32802276
0.173	32802276
0.174	32802276
0.175	32802276
0.176	32802276
0.177	32802276
0.178	32802276
0.179	32802276
0.18	32802276
0.181	32802276
0.182	32802276
0.183	32802276
0.184	32802276
0.185	32802276
0.186	32802276
0.187	32802276
0.188	32802276
0.189	32802276
0.19	32802276
0.191	32802276
0.192	32802276
0.193	32802276
0.194	32802276
0.195	32802276
0.196	32802276
0.197	32802276
0.198	32802276
