fraction	Nx_length
0.001	107054
0.002	101862
0.003	98523
0.004	89768
0.005	88280
0.006	86036
0.007	82917
0.008	81792
0.009	79496
0.01	77351
0.011	75476
0.012	74146
0.013	72769
0.014	71408
0.015	70187
0.016	69481
0.017	68576
0.018	67228
0.019	66236
0.02	65456
0.021	64752
0.022	63787
0.023	63261
0.024	62220
0.025	61608
0.026	61041
0.027	60236
0.028	59608
0.029	59063
0.03	58405
0.031	57787
0.032	57140
0.033	56479
0.034	55973
0.035	55504
0.036	55043
0.037	54781
0.038	54153
0.039	53690
0.04	53306
0.041	52934
0.042	52395
0.043	52068
0.044	51780
0.045	51506
0.046	50958
0.047	50432
0.048	49834
0.049	49594
0.05	49383
0.051	49088
0.052	48665
0.053	48383
0.054	48073
0.055	47706
0.056	47432
0.057	47124
0.058	46836
0.059	46530
0.06	46325
0.061	46098
0.062	45871
0.063	45487
0.064	45304
0.065	45041
0.066	44797
0.067	44519
0.068	44238
0.069	44052
0.07	43715
0.071	43305
0.072	43164
0.073	42988
0.074	42642
0.075	42456
0.076	42270
0.077	42092
0.078	41882
0.079	41735
0.08	41558
0.081	41385
0.082	41253
0.083	41077
0.084	40871
0.085	40708
0.086	40541
0.087	40270
0.088	40094
0.089	39891
0.09	39700
0.091	39557
0.092	39375
0.093	39223
0.094	39069
0.095	38888
0.096	38688
0.097	38506
0.098	38316
0.099	38126
0.1	37951
0.101	37832
0.102	37637
0.103	37406
0.104	37213
0.105	37073
0.106	36829
0.107	36626
0.108	36522
0.109	36403
0.11	36210
0.111	36073
0.112	35879
0.113	35721
0.114	35567
0.115	35440
0.116	35282
0.117	35150
0.118	35038
0.119	34820
0.12	34703
0.121	34518
0.122	34388
0.123	34194
0.124	34012
0.125	33871
0.126	33779
0.127	33661
0.128	33552
0.129	33431
0.13	33296
0.131	33048
0.132	32948
0.133	32843
0.134	32746
0.135	32595
0.136	32506
0.137	32383
0.138	32254
0.139	32077
0.14	32014
0.141	31927
0.142	31811
0.143	31677
0.144	31573
0.145	31470
0.146	31317
0.147	31231
0.148	31141
0.149	30953
0.15	30834
0.151	30693
0.152	30575
0.153	30459
0.154	30371
0.155	30270
0.156	30203
0.157	30052
0.158	29962
0.159	29843
0.16	29744
0.161	29645
0.162	29540
0.163	29442
0.164	29339
0.165	29235
0.166	29174
0.167	29082
0.168	29001
0.169	28904
0.17	28818
0.171	28758
0.172	28662
0.173	28564
0.174	28476
0.175	28325
0.176	28237
0.177	28129
0.178	28046
0.179	27957
0.18	27832
0.181	27741
0.182	27669
0.183	27582
0.184	27507
0.185	27424
0.186	27306
0.187	27217
0.188	27093
0.189	27011
0.19	26871
0.191	26788
0.192	26702
0.193	26636
0.194	26534
0.195	26434
0.196	26351
0.197	26245
0.198	26132
0.199	26049
0.2	25980
0.201	25918
0.202	25801
0.203	25744
