fraction	Nx_length
0.001	62365
0.002	54860
0.003	48269
0.004	46195
0.005	43941
0.006	42127
0.007	39934
0.008	39056
0.009	38259
0.01	37221
0.011	36149
0.012	35208
0.013	34711
0.014	34122
0.015	33611
0.016	32963
0.017	32408
0.018	31814
0.019	31406
0.02	30839
0.021	30320
0.022	29937
0.023	29596
0.024	29160
0.025	28763
0.026	28358
0.027	28058
0.028	27679
0.029	27407
0.03	27124
0.031	26753
0.032	26432
0.033	26226
0.034	25888
0.035	25647
0.036	25309
0.037	25069
0.038	24815
0.039	24623
0.04	24453
0.041	24235
0.042	24043
0.043	23861
0.044	23675
0.045	23457
0.046	23277
0.047	23073
0.048	22919
0.049	22751
0.05	22570
0.051	22419
0.052	22291
0.053	22095
0.054	21927
0.055	21800
0.056	21631
0.057	21465
0.058	21290
0.059	21154
0.06	21008
0.061	20829
0.062	20700
0.063	20595
0.064	20469
0.065	20333
0.066	20223
0.067	20086
0.068	19964
0.069	19834
0.07	19749
0.071	19622
0.072	19526
0.073	19406
0.074	19287
0.075	19123
0.076	19025
0.077	18894
0.078	18797
0.079	18678
0.08	18547
0.081	18451
0.082	18326
0.083	18228
0.084	18098
0.085	18008
0.086	17913
0.087	17812
0.088	17714
0.089	17634
0.09	17561
0.091	17464
0.092	17376
0.093	17290
0.094	17204
0.095	17112
0.096	17043
0.097	16976
0.098	16907
0.099	16825
0.1	16743
0.101	16658
0.102	16580
0.103	16514
0.104	16428
0.105	16352
0.106	16262
0.107	16185
0.108	16105
0.109	16021
0.11	15960
0.111	15892
0.112	15821
0.113	15758
0.114	15681
0.115	15600
0.116	15527
0.117	15464
0.118	15399
0.119	15331
0.12	15271
0.121	15186
0.122	15111
0.123	15045
0.124	14979
0.125	14924
0.126	14854
0.127	14792
0.128	14743
0.129	14682
0.13	14617
0.131	14560
0.132	14509
0.133	14447
0.134	14390
0.135	14315
0.136	14250
0.137	14181
0.138	14125
0.139	14073
0.14	14009
0.141	13947
0.142	13891
0.143	13819
0.144	13775
0.145	13728
0.146	13659
0.147	13614
0.148	13562
0.149	13517
0.15	13464
0.151	13411
0.152	13352
0.153	13293
0.154	13240
0.155	13189
0.156	13135
0.157	13097
0.158	13041
0.159	12990
0.16	12937
0.161	12881
0.162	12838
0.163	12787
0.164	12734
0.165	12689
0.166	12649
0.167	12600
0.168	12556
0.169	12516
0.17	12471
0.171	12416
0.172	12370
0.173	12334
0.174	12303
0.175	12256
0.176	12218
0.177	12176
0.178	12119
0.179	12079
0.18	12037
0.181	11997
0.182	11961
0.183	11922
0.184	11885
0.185	11839
0.186	11800
0.187	11757
0.188	11712
0.189	11667
0.19	11628
0.191	11590
0.192	11546
0.193	11495
0.194	11459
0.195	11418
0.196	11372
0.197	11336
0.198	11290
0.199	11257
0.2	11214
0.201	11182
0.202	11148
0.203	11110
0.204	11073
0.205	11035
0.206	10990
0.207	10950
0.208	10923
0.209	10892
0.21	10855
0.211	10815
0.212	10781
0.213	10747
0.214	10705
0.215	10671
0.216	10636
0.217	10605
0.218	10573
0.219	10535
0.22	10499
0.221	10465
0.222	10438
0.223	10404
0.224	10375
0.225	10342
0.226	10309
0.227	10272
0.228	10246
0.229	10217
0.23	10190
0.231	10159
0.232	10133
0.233	10105
0.234	10079
0.235	10048
0.236	10015
0.237	9985
0.238	9958
0.239	9926
0.24	9899
0.241	9867
0.242	9831
0.243	9799
0.244	9768
0.245	9738
0.246	9712
0.247	9677
0.248	9649
0.249	9620
0.25	9590
0.251	9553
0.252	9523
0.253	9493
0.254	9458
0.255	9428
0.256	9395
0.257	9367
0.258	9341
0.259	9313
0.26	9285
0.261	9257
0.262	9229
0.263	9201
0.264	9171
0.265	9146
0.266	9116
0.267	9090
0.268	9060
0.269	9034
0.27	9006
0.271	8975
0.272	8947
0.273	8922
0.274	8897
0.275	8871
0.276	8847
0.277	8823
0.278	8796
0.279	8769
0.28	8744
0.281	8722
0.282	8696
0.283	8666
0.284	8643
0.285	8616
0.286	8589
0.287	8568
0.288	8541
0.289	8512
0.29	8489
0.291	8458
0.292	8433
0.293	8406
0.294	8380
0.295	8357
0.296	8327
0.297	8303
0.298	8280
0.299	8259
0.3	8231
0.301	8205
0.302	8180
0.303	8155
0.304	8129
0.305	8106
0.306	8081
0.307	8060
0.308	8039
0.309	8015
0.31	7991
0.311	7966
0.312	7947
0.313	7922
0.314	7899
0.315	7874
0.316	7853
0.317	7824
0.318	7799
0.319	7776
0.32	7757
0.321	7735
0.322	7712
0.323	7695
0.324	7675
0.325	7653
0.326	7630
0.327	7606
0.328	7586
0.329	7568
0.33	7550
0.331	7528
0.332	7505
0.333	7484
0.334	7466
0.335	7443
0.336	7423
0.337	7402
0.338	7381
0.339	7361
0.34	7338
0.341	7316
0.342	7297
0.343	7279
0.344	7258
0.345	7236
0.346	7217
0.347	7197
0.348	7179
0.349	7161
0.35	7138
0.351	7116
0.352	7100
0.353	7077
0.354	7059
0.355	7042
0.356	7025
0.357	7004
0.358	6984
0.359	6965
0.36	6944
0.361	6926
0.362	6912
0.363	6889
0.364	6870
0.365	6850
0.366	6829
0.367	6812
0.368	6790
0.369	6771
0.37	6754
0.371	6733
0.372	6713
0.373	6694
0.374	6673
0.375	6655
0.376	6636
0.377	6616
0.378	6597
0.379	6577
0.38	6558
0.381	6541
0.382	6525
0.383	6507
0.384	6487
0.385	6466
0.386	6448
0.387	6431
0.388	6415
0.389	6395
0.39	6380
0.391	6358
0.392	6340
0.393	6322
0.394	6303
0.395	6286
0.396	6268
0.397	6250
0.398	6234
0.399	6217
0.4	6197
0.401	6178
0.402	6164
0.403	6147
0.404	6130
0.405	6111
0.406	6095
0.407	6078
0.408	6058
0.409	6042
0.41	6026
0.411	6007
0.412	5991
0.413	5973
0.414	5957
0.415	5938
0.416	5923
0.417	5906
0.418	5890
0.419	5872
0.42	5857
0.421	5841
0.422	5825
0.423	5808
0.424	5792
0.425	5776
0.426	5759
0.427	5743
0.428	5726
0.429	5709
0.43	5691
0.431	5672
0.432	5657
0.433	5641
0.434	5624
0.435	5607
0.436	5590
0.437	5573
0.438	5556
0.439	5543
0.44	5529
0.441	5514
0.442	5500
0.443	5485
0.444	5471
0.445	5455
0.446	5441
0.447	5427
0.448	5413
0.449	5395
0.45	5380
0.451	5365
0.452	5349
0.453	5334
0.454	5320
0.455	5302
0.456	5290
0.457	5277
0.458	5259
0.459	5245
0.46	5231
0.461	5217
0.462	5201
0.463	5186
0.464	5171
0.465	5155
0.466	5140
0.467	5125
0.468	5109
0.469	5095
0.47	5082
0.471	5069
0.472	5053
0.473	5040
0.474	5026
0.475	5011
0.476	4996
0.477	4981
0.478	4967
0.479	4953
0.48	4938
0.481	4924
0.482	4908
0.483	4894
0.484	4879
0.485	4865
0.486	4852
0.487	4838
0.488	4824
0.489	4809
0.49	4794
0.491	4782
0.492	4767
0.493	4754
0.494	4740
0.495	4726
0.496	4713
0.497	4698
0.498	4683
0.499	4669
0.5	4655
0.501	4642
0.502	4628
0.503	4615
0.504	4602
0.505	4586
0.506	4573
0.507	4560
0.508	4547
0.509	4534
0.51	4518
0.511	4503
0.512	4489
0.513	4477
0.514	4464
0.515	4450
0.516	4437
0.517	4425
0.518	4411
0.519	4397
0.52	4384
0.521	4369
0.522	4355
0.523	4340
0.524	4328
0.525	4314
0.526	4300
0.527	4286
0.528	4274
0.529	4260
0.53	4249
0.531	4236
0.532	4222
0.533	4208
0.534	4195
0.535	4182
0.536	4169
0.537	4158
0.538	4147
0.539	4135
0.54	4121
0.541	4108
0.542	4095
0.543	4082
0.544	4071
0.545	4059
0.546	4045
0.547	4033
0.548	4021
0.549	4007
0.55	3994
0.551	3982
0.552	3970
0.553	3957
0.554	3945
0.555	3932
0.556	3920
0.557	3907
0.558	3895
0.559	3883
0.56	3869
0.561	3858
0.562	3845
0.563	3833
0.564	3821
0.565	3807
0.566	3795
0.567	3784
0.568	3771
0.569	3760
0.57	3747
0.571	3735
0.572	3725
0.573	3713
0.574	3702
0.575	3690
0.576	3678
0.577	3666
0.578	3656
0.579	3645
0.58	3632
0.581	3620
0.582	3610
0.583	3598
0.584	3586
0.585	3574
0.586	3562
0.587	3550
0.588	3538
0.589	3526
0.59	3514
0.591	3503
0.592	3491
0.593	3478
0.594	3466
0.595	3455
0.596	3443
0.597	3433
0.598	3422
0.599	3410
0.6	3400
0.601	3389
0.602	3379
0.603	3367
0.604	3355
0.605	3343
0.606	3331
0.607	3320
0.608	3308
0.609	3297
0.61	3286
0.611	3275
0.612	3263
0.613	3252
0.614	3241
0.615	3229
0.616	3218
0.617	3206
0.618	3195
0.619	3184
0.62	3174
0.621	3163
0.622	3152
0.623	3141
0.624	3130
0.625	3119
0.626	3106
0.627	3096
0.628	3086
0.629	3074
0.63	3063
0.631	3053
0.632	3042
0.633	3031
0.634	3021
0.635	3010
0.636	2999
0.637	2988
0.638	2978
0.639	2968
0.64	2957
0.641	2947
0.642	2936
0.643	2925
0.644	2913
0.645	2901
0.646	2892
0.647	2882
0.648	2871
0.649	2862
0.65	2849
0.651	2838
0.652	2827
0.653	2817
0.654	2805
0.655	2795
0.656	2783
0.657	2773
0.658	2763
0.659	2752
0.66	2742
0.661	2731
0.662	2721
0.663	2710
0.664	2699
0.665	2688
0.666	2679
0.667	2668
0.668	2659
0.669	2649
0.67	2639
0.671	2628
0.672	2618
0.673	2608
0.674	2598
0.675	2587
0.676	2576
0.677	2565
0.678	2556
0.679	2546
0.68	2536
0.681	2526
0.682	2516
0.683	2505
0.684	2495
0.685	2486
0.686	2477
0.687	2467
0.688	2456
0.689	2446
0.69	2436
0.691	2425
0.692	2416
0.693	2406
0.694	2396
0.695	2386
0.696	2376
0.697	2366
0.698	2356
0.699	2347
0.7	2338
0.701	2328
0.702	2317
0.703	2308
0.704	2299
0.705	2289
0.706	2279
0.707	2270
0.708	2260
0.709	2250
0.71	2241
0.711	2232
0.712	2222
0.713	2213
0.714	2204
0.715	2194
0.716	2185
0.717	2176
0.718	2166
0.719	2157
0.72	2148
0.721	2138
0.722	2129
0.723	2119
0.724	2110
0.725	2101
0.726	2092
0.727	2084
0.728	2074
0.729	2064
0.73	2055
0.731	2045
0.732	2036
0.733	2027
0.734	2018
0.735	2008
0.736	1998
0.737	1988
0.738	1979
0.739	1970
0.74	1961
0.741	1951
0.742	1941
0.743	1932
0.744	1923
0.745	1913
0.746	1905
0.747	1896
0.748	1886
0.749	1877
0.75	1868
0.751	1860
0.752	1850
0.753	1841
0.754	1832
0.755	1823
0.756	1814
0.757	1805
0.758	1795
0.759	1786
0.76	1777
0.761	1768
0.762	1760
0.763	1750
0.764	1741
0.765	1732
0.766	1723
0.767	1714
0.768	1706
0.769	1697
0.77	1688
0.771	1678
0.772	1668
0.773	1659
0.774	1650
0.775	1641
0.776	1632
0.777	1624
0.778	1615
0.779	1606
0.78	1597
0.781	1588
0.782	1579
0.783	1570
0.784	1561
0.785	1553
0.786	1544
0.787	1534
0.788	1526
0.789	1517
0.79	1509
0.791	1501
0.792	1492
0.793	1483
0.794	1475
0.795	1466
0.796	1457
0.797	1449
0.798	1440
0.799	1431
0.8	1422
0.801	1414
0.802	1405
0.803	1397
0.804	1388
0.805	1380
0.806	1371
0.807	1363
0.808	1355
0.809	1346
0.81	1337
0.811	1329
0.812	1320
0.813	1312
0.814	1303
0.815	1295
0.816	1287
0.817	1278
0.818	1270
0.819	1262
0.82	1254
0.821	1246
0.822	1238
0.823	1230
0.824	1222
0.825	1213
0.826	1205
0.827	1196
0.828	1188
0.829	1180
0.83	1171
0.831	1163
0.832	1154
0.833	1146
0.834	1138
