fraction	Nx_length
0.001	4071247
0.002	3952538
0.003	3938219
0.004	3917295
0.005	3832128
0.006	3674425
0.007	3634660
0.008	3615687
0.009	3601985
0.01	3559320
0.011	3471334
0.012	3379520
0.013	3374682
0.014	3358352
0.015	3351944
0.016	3325521
0.017	3231471
0.018	3196397
0.019	3194903
0.02	3176256
0.021	3167045
0.022	3098196
0.023	3063848
0.024	3055070
0.025	3011315
0.026	2959978
0.027	2920490
0.028	2903514
0.029	2891566
0.03	2877970
0.031	2829249
0.032	2774814
0.033	2763018
0.034	2756334
0.035	2717216
0.036	2696069
0.037	2687346
0.038	2679711
0.039	2675854
0.04	2667279
0.041	2663645
0.042	2625213
0.043	2620931
0.044	2614122
0.045	2604580
0.046	2593153
0.047	2590541
0.048	2571444
0.049	2555835
0.05	2525153
0.051	2514826
0.052	2465839
0.053	2464766
0.054	2451253
0.055	2429545
0.056	2411622
0.057	2408528
0.058	2406134
0.059	2355219
0.06	2353637
0.061	2339703
0.062	2329718
0.063	2296671
0.064	2290780
0.065	2287991
0.066	2271192
0.067	2264191
0.068	2238597
0.069	2237756
0.07	2218532
0.071	2204656
0.072	2201034
0.073	2183356
0.074	2177131
0.075	2166778
0.076	2166472
0.077	2158701
0.078	2152479
0.079	2148651
0.08	2141337
0.081	2136178
0.082	2131109
0.083	2116343
0.084	2112570
0.085	2104182
0.086	2103449
0.087	2095091
0.088	2089436
0.089	2083131
0.09	2063938
0.091	2059061
0.092	2056608
0.093	2039691
0.094	2034818
0.095	2028621
0.096	2023577
0.097	2016167
0.098	1999482
0.099	1993740
0.1	1988601
0.101	1983900
0.102	1976858
0.103	1975550
0.104	1968560
0.105	1965263
0.106	1963650
0.107	1961004
0.108	1954849
0.109	1948197
0.11	1945142
0.111	1939948
0.112	1929594
0.113	1921495
0.114	1914125
0.115	1905351
0.116	1898910
0.117	1890970
0.118	1881643
0.119	1879596
0.12	1877774
0.121	1869565
0.122	1866423
0.123	1858954
0.124	1854773
0.125	1852702
0.126	1842693
0.127	1838882
0.128	1831808
0.129	1828850
0.13	1822491
0.131	1817500
0.132	1811646
0.133	1809332
0.134	1807673
0.135	1801712
0.136	1800716
0.137	1796991
0.138	1792678
0.139	1789479
0.14	1788286
0.141	1784139
0.142	1779459
0.143	1773165
0.144	1771699
0.145	1770459
0.146	1764931
0.147	1760043
0.148	1757348
0.149	1734250
0.15	1729363
0.151	1728567
0.152	1725073
0.153	1722494
0.154	1717279
0.155	1713578
0.156	1708347
0.157	1706314
0.158	1704741
0.159	1703127
0.16	1702464
0.161	1694816
0.162	1688970
0.163	1680445
0.164	1680324
0.165	1679467
0.166	1678485
0.167	1675685
0.168	1674521
0.169	1669125
0.17	1666978
0.171	1662982
0.172	1657095
0.173	1646769
0.174	1642892
0.175	1640331
0.176	1632749
0.177	1629147
0.178	1625083
0.179	1622834
0.18	1620656
0.181	1618320
0.182	1617407
0.183	1616402
0.184	1607271
0.185	1604586
0.186	1602204
0.187	1598879
0.188	1593494
0.189	1580361
0.19	1578891
0.191	1576374
0.192	1575276
0.193	1572875
0.194	1570234
0.195	1567446
0.196	1562951
0.197	1562114
0.198	1557756
0.199	1552159
0.2	1547778
0.201	1544658
0.202	1542695
0.203	1539069
0.204	1538788
0.205	1532430
0.206	1530798
0.207	1528021
0.208	1521653
0.209	1520410
0.21	1517093
0.211	1515738
0.212	1512286
0.213	1511041
0.214	1506454
0.215	1504706
0.216	1498474
0.217	1492868
0.218	1485463
0.219	1485050
0.22	1482691
0.221	1475592
0.222	1472843
0.223	1468711
0.224	1464771
0.225	1463318
0.226	1462043
0.227	1458757
0.228	1457302
0.229	1455896
0.23	1453230
0.231	1448876
0.232	1444268
0.233	1443018
0.234	1437590
0.235	1435312
0.236	1432891
0.237	1425567
0.238	1422983
0.239	1419743
0.24	1417484
0.241	1416566
0.242	1411482
0.243	1409091
0.244	1405692
0.245	1404542
0.246	1401296
0.247	1395124
0.248	1393804
0.249	1389216
0.25	1386634
0.251	1380626
0.252	1376724
0.253	1372625
0.254	1372029
0.255	1370114
0.256	1365941
0.257	1360965
0.258	1359126
0.259	1357926
0.26	1354057
0.261	1349340
0.262	1345267
0.263	1342454
0.264	1341069
0.265	1334709
0.266	1333088
0.267	1332496
0.268	1330452
0.269	1329861
0.27	1326149
0.271	1322498
0.272	1321968
0.273	1316540
0.274	1313922
0.275	1304191
0.276	1302306
0.277	1298220
0.278	1296731
0.279	1292933
0.28	1291071
0.281	1289096
0.282	1286736
0.283	1284862
0.284	1284318
0.285	1282296
0.286	1281525
0.287	1280098
0.288	1275012
0.289	1273194
0.29	1270044
0.291	1268204
0.292	1267331
0.293	1263734
0.294	1261418
0.295	1258274
0.296	1257304
0.297	1256268
0.298	1254480
0.299	1251866
0.3	1247800
0.301	1246295
0.302	1244104
0.303	1242314
0.304	1239861
0.305	1235472
0.306	1232763
0.307	1229707
0.308	1228752
0.309	1222125
0.31	1218635
0.311	1217736
0.312	1216943
0.313	1216144
0.314	1215489
0.315	1214566
0.316	1211884
0.317	1207910
0.318	1206673
0.319	1203871
0.32	1201710
0.321	1196466
0.322	1194369
0.323	1191960
0.324	1191307
0.325	1189654
0.326	1187870
0.327	1185911
0.328	1184875
0.329	1181594
0.33	1179996
0.331	1176512
0.332	1174547
0.333	1171140
0.334	1169152
0.335	1166904
0.336	1165073
0.337	1162470
0.338	1159733
0.339	1159029
0.34	1154423
0.341	1153738
0.342	1151298
0.343	1149716
0.344	1148269
0.345	1146315
0.346	1144007
0.347	1143235
0.348	1141972
0.349	1141208
0.35	1139197
0.351	1137462
0.352	1135830
0.353	1134610
0.354	1131038
0.355	1127038
0.356	1126498
0.357	1124865
0.358	1122861
0.359	1119412
0.36	1118469
0.361	1116159
0.362	1114325
0.363	1113412
0.364	1110072
0.365	1109671
0.366	1108381
0.367	1107378
0.368	1106148
0.369	1105238
0.37	1103190
0.371	1101933
0.372	1100659
0.373	1097163
0.374	1095213
0.375	1092563
0.376	1091156
0.377	1089575
0.378	1089046
0.379	1087920
0.38	1085035
0.381	1084641
0.382	1084030
0.383	1082871
0.384	1080579
0.385	1079480
0.386	1075465
0.387	1072623
0.388	1070099
0.389	1068888
0.39	1067405
0.391	1066911
0.392	1064741
0.393	1063708
0.394	1061165
0.395	1058466
0.396	1056289
0.397	1052855
0.398	1051016
0.399	1048450
0.4	1044236
0.401	1042391
0.402	1041858
0.403	1040141
0.404	1037968
0.405	1035259
0.406	1034098
0.407	1033029
0.408	1032091
0.409	1029271
0.41	1025503
0.411	1024375
0.412	1023121
0.413	1021968
0.414	1017214
0.415	1015941
0.416	1012704
0.417	1011876
0.418	1009381
0.419	1006131
0.42	1003568
0.421	998847
0.422	996913
0.423	996231
0.424	993993
0.425	988576
0.426	985791
0.427	983818
0.428	980707
0.429	979401
0.43	978826
0.431	976095
0.432	974367
0.433	973621
0.434	972509
0.435	971230
0.436	968653
0.437	967014
0.438	966100
0.439	963953
0.44	961698
0.441	957190
0.442	956003
0.443	954296
0.444	951450
0.445	949610
0.446	947054
0.447	945033
0.448	942117
0.449	941867
0.45	940536
0.451	940005
0.452	936108
0.453	934396
0.454	932047
0.455	928347
0.456	925187
0.457	923763
0.458	920954
0.459	918625
0.46	917778
0.461	917324
0.462	914510
0.463	912349
0.464	908355
0.465	906673
0.466	903180
0.467	900677
0.468	899249
0.469	898816
0.47	896478
0.471	894853
0.472	893107
0.473	892418
0.474	890461
0.475	889638
0.476	888430
0.477	887056
0.478	884782
0.479	882991
0.48	880761
0.481	880207
0.482	879289
0.483	875510
0.484	874709
0.485	872890
0.486	870199
0.487	868960
0.488	865924
0.489	865485
0.49	864454
0.491	863085
0.492	861788
0.493	860013
0.494	859326
0.495	857318
0.496	855518
0.497	851542
0.498	850176
0.499	847989
0.5	847554
0.501	845275
0.502	844184
0.503	842457
0.504	841881
0.505	840636
0.506	839224
0.507	838186
0.508	837213
0.509	835416
0.51	834453
0.511	832874
0.512	831144
0.513	828233
0.514	824690
0.515	823091
0.516	822314
0.517	820713
0.518	818852
0.519	817332
0.52	815146
0.521	813422
0.522	811733
0.523	810364
0.524	809001
0.525	806797
0.526	805561
0.527	803153
0.528	802887
0.529	801540
0.53	799990
0.531	798930
0.532	797693
0.533	797007
0.534	795720
0.535	794932
0.536	791647
0.537	789984
0.538	788863
0.539	786673
0.54	785272
0.541	784429
0.542	782611
0.543	779617
0.544	778438
0.545	776563
0.546	775319
0.547	774407
0.548	773436
0.549	772419
0.55	770760
0.551	768837
0.552	766980
0.553	765327
0.554	763173
0.555	759635
0.556	757211
0.557	756053
0.558	755149
0.559	753694
0.56	751934
0.561	750323
0.562	749401
0.563	748352
0.564	747131
0.565	745945
0.566	745111
0.567	742978
0.568	740756
0.569	738793
0.57	736551
0.571	734999
0.572	734167
0.573	731757
0.574	730630
0.575	729741
0.576	728241
0.577	726472
0.578	725245
0.579	723295
0.58	722491
0.581	720286
0.582	719036
0.583	715563
0.584	714204
0.585	713296
0.586	711993
0.587	711125
0.588	709362
0.589	707855
0.59	706528
0.591	705902
0.592	704352
0.593	703189
0.594	701645
0.595	701149
0.596	699803
0.597	697206
0.598	695803
0.599	695133
0.6	692751
0.601	691523
0.602	690496
0.603	687251
0.604	685900
0.605	685246
0.606	684710
0.607	683306
0.608	682258
0.609	680964
0.61	679060
0.611	676742
0.612	675938
0.613	673846
0.614	671946
0.615	670659
0.616	668982
0.617	667640
0.618	665438
0.619	663971
0.62	662701
0.621	659735
0.622	658686
0.623	657658
0.624	654381
0.625	653389
0.626	650548
0.627	648886
0.628	648472
0.629	647092
0.63	645463
0.631	644717
0.632	642916
0.633	641578
0.634	640659
0.635	638890
0.636	638179
0.637	637221
0.638	635755
0.639	634706
0.64	631559
0.641	629907
0.642	626390
0.643	625348
0.644	623625
0.645	622463
0.646	621232
0.647	620133
0.648	618379
0.649	616897
0.65	615793
0.651	613614
0.652	611876
0.653	608967
0.654	607711
0.655	605856
0.656	604902
0.657	603262
0.658	602236
0.659	601034
0.66	600005
0.661	599265
0.662	597953
0.663	596880
0.664	595417
0.665	593198
0.666	591621
0.667	589284
0.668	588106
0.669	585950
0.67	584955
0.671	583822
0.672	581231
0.673	580453
0.674	578979
0.675	577292
0.676	576054
0.677	574845
0.678	573890
0.679	572620
0.68	570814
0.681	568187
0.682	566612
0.683	565339
0.684	564260
0.685	562694
0.686	561392
0.687	559980
0.688	558593
0.689	556982
0.69	555390
0.691	554401
0.692	553715
0.693	552509
0.694	550589
0.695	549495
0.696	548479
0.697	547633
0.698	546664
0.699	545222
0.7	543966
0.701	542331
0.702	540874
0.703	540190
0.704	538294
0.705	536656
0.706	535022
0.707	532873
0.708	531914
0.709	530021
0.71	528776
0.711	527653
0.712	526591
0.713	525127
0.714	523889
0.715	522507
0.716	521238
0.717	520541
0.718	519597
0.719	517336
0.72	516034
0.721	515033
0.722	514137
0.723	512539
0.724	511564
0.725	510402
0.726	508902
0.727	507937
0.728	506594
0.729	505834
0.73	504250
0.731	502491
0.732	500051
0.733	499389
0.734	497542
0.735	495162
0.736	493318
0.737	491620
0.738	489946
0.739	488713
0.74	487882
0.741	485454
0.742	483815
0.743	482510
0.744	481346
0.745	480585
0.746	478843
0.747	477793
0.748	476082
0.749	474181
0.75	472620
0.751	470692
0.752	469370
0.753	466953
0.754	464965
0.755	463407
0.756	461910
0.757	460321
0.758	459063
0.759	457526
0.76	455245
0.761	453318
0.762	452835
0.763	450832
0.764	450018
0.765	448477
0.766	447079
0.767	445871
0.768	444782
0.769	443312
0.77	442181
0.771	440266
0.772	436258
0.773	434873
0.774	432448
0.775	430476
0.776	429359
0.777	427922
0.778	426562
0.779	425579
0.78	424671
0.781	423094
0.782	420448
0.783	419244
0.784	418327
0.785	417011
0.786	414951
0.787	412801
0.788	411629
0.789	410105
0.79	409110
0.791	407311
0.792	405654
0.793	403816
0.794	403429
0.795	401943
0.796	400449
0.797	399259
0.798	398167
0.799	396815
0.8	395717
0.801	394413
0.802	393119
0.803	390972
0.804	389174
0.805	388219
0.806	387553
0.807	385974
0.808	384736
0.809	382995
0.81	381539
0.811	379823
0.812	378685
0.813	377111
0.814	374913
0.815	374053
0.816	372588
0.817	370262
0.818	368595
0.819	367045
0.82	364698
0.821	362960
0.822	362302
0.823	360138
0.824	358792
0.825	356786
0.826	355601
0.827	353703
0.828	351979
0.829	350629
0.83	349109
0.831	346902
0.832	345061
0.833	342563
0.834	340284
0.835	338807
0.836	337091
0.837	335040
0.838	333071
0.839	331303
0.84	329825
0.841	328689
0.842	326671
0.843	324202
0.844	322060
0.845	320897
0.846	319181
0.847	317638
0.848	315996
0.849	315118
0.85	314108
0.851	312348
0.852	310571
0.853	309261
0.854	307599
0.855	305965
0.856	303761
0.857	302246
0.858	300873
0.859	298884
0.86	297329
0.861	295438
0.862	293920
0.863	292232
0.864	291463
0.865	289416
0.866	287803
0.867	286399
0.868	284443
0.869	282067
0.87	280777
0.871	279109
0.872	277222
0.873	275441
0.874	272903
0.875	271309
0.876	269665
0.877	268584
0.878	266602
0.879	264631
0.88	262694
0.881	261517
0.882	260320
0.883	258550
0.884	256685
0.885	254886
0.886	252523
0.887	250475
0.888	249192
0.889	247340
0.89	245100
0.891	243524
0.892	241902
0.893	239826
0.894	237841
0.895	236051
0.896	234335
0.897	232613
0.898	230964
0.899	229364
0.9	227713
0.901	225872
0.902	224132
0.903	222521
0.904	220464
0.905	218412
0.906	216815
0.907	214405
0.908	212100
0.909	210048
0.91	208847
0.911	206875
0.912	205516
0.913	203901
0.914	202257
0.915	200050
0.916	198460
0.917	197203
0.918	194920
0.919	193125
0.92	191517
0.921	189244
0.922	187342
0.923	185634
0.924	184086
0.925	182449
0.926	180371
0.927	178653
0.928	176413
0.929	174943
0.93	173085
0.931	171986
0.932	170297
0.933	168593
0.934	167171
0.935	164825
0.936	162003
0.937	160074
0.938	157388
0.939	155325
0.94	153294
0.941	151820
0.942	149760
0.943	147353
0.944	145455
0.945	143497
0.946	141788
0.947	139287
0.948	137453
0.949	135385
0.95	133315
0.951	131340
0.952	128048
0.953	126081
0.954	124289
0.955	121985
0.956	119934
0.957	117738
0.958	115498
0.959	113431
0.96	111899
0.961	109193
0.962	107509
0.963	104944
0.964	102075
0.965	99089
0.966	97212
0.967	94385
0.968	91824
0.969	89419
0.97	87572
0.971	85065
0.972	81688
0.973	78712
0.974	76615
0.975	73864
0.976	71047
0.977	68748
0.978	65800
0.979	62775
0.98	60226
0.981	57813
0.982	55239
0.983	52383
0.984	50044
0.985	47631
0.986	45691
0.987	43668
0.988	41853
0.989	39935
0.99	37804
0.991	35918
0.992	34158
0.993	32255
0.994	30707
0.995	28670
0.996	26885
0.997	24869
0.998	22726
0.999	19097
1.0	3253
