fraction	Nx_length
0.001	22123881
0.002	22123881
0.003	22123881
0.004	22123881
0.005	22123881
0.006	22123881
0.007	22123881
0.008	22123881
0.009	22123881
0.01	22123881
0.011	22123881
0.012	22123881
0.013	22123881
0.014	22123881
0.015	22123881
0.016	22123881
0.017	22123881
0.018	22123881
0.019	22123881
0.02	22123881
0.021	18078072
0.022	18078072
0.023	18078072
0.024	18078072
0.025	18078072
0.026	18078072
0.027	18078072
0.028	18078072
0.029	18078072
0.03	18078072
0.031	18078072
0.032	18078072
0.033	18078072
0.034	18078072
0.035	18078072
0.036	18078072
0.037	18078072
0.038	14010974
0.039	14010974
0.04	14010974
0.041	14010974
0.042	14010974
0.043	14010974
0.044	14010974
0.045	14010974
0.046	14010974
0.047	14010974
0.048	14010974
0.049	14010974
0.05	14010974
0.051	13909478
0.052	13909478
0.053	13909478
0.054	13909478
0.055	13909478
0.056	13909478
0.057	13909478
0.058	13909478
0.059	13909478
0.06	13909478
0.061	13909478
0.062	13909478
0.063	13909478
0.064	13359255
0.065	13359255
0.066	13359255
0.067	13359255
0.068	13359255
0.069	13359255
0.07	13359255
0.071	13359255
0.072	13359255
0.073	13359255
0.074	13359255
0.075	13359255
0.076	13173363
0.077	13173363
0.078	13173363
0.079	13173363
0.08	13173363
0.081	13173363
0.082	13173363
0.083	13173363
0.084	13173363
0.085	13173363
0.086	13173363
0.087	13173363
0.088	13173363
0.089	13028441
0.09	13028441
0.091	13028441
0.092	13028441
0.093	13028441
0.094	13028441
0.095	13028441
0.096	13028441
0.097	13028441
0.098	13028441
0.099	13028441
0.1	13028441
0.101	12925925
0.102	12925925
0.103	12925925
0.104	12925925
0.105	12925925
0.106	12925925
0.107	12925925
0.108	12925925
0.109	12925925
0.11	12925925
0.111	12925925
0.112	12925925
0.113	12824711
0.114	12824711
0.115	12824711
0.116	12824711
0.117	12824711
0.118	12824711
0.119	12824711
0.12	12824711
0.121	12824711
0.122	12824711
0.123	12824711
0.124	12824711
0.125	12488411
0.126	12488411
0.127	12488411
0.128	12488411
0.129	12488411
0.13	12488411
0.131	12488411
0.132	12488411
0.133	12488411
0.134	12488411
0.135	12488411
0.136	11304465
0.137	11304465
0.138	11304465
0.139	11304465
0.14	11304465
0.141	11304465
0.142	11304465
0.143	11304465
0.144	11304465
0.145	11304465
0.146	11304465
0.147	11112531
0.148	11112531
0.149	11112531
0.15	11112531
0.151	11112531
0.152	11112531
0.153	11112531
0.154	11112531
0.155	11112531
0.156	11112531
0.157	10161688
0.158	10161688
0.159	10161688
0.16	10161688
0.161	10161688
0.162	10161688
0.163	10161688
0.164	10161688
0.165	10161688
0.166	10161688
0.167	9553626
0.168	9553626
0.169	9553626
0.17	9553626
0.171	9553626
0.172	9553626
0.173	9553626
0.174	9553626
0.175	9553626
0.176	8982646
0.177	8982646
0.178	8982646
0.179	8982646
0.18	8982646
0.181	8982646
0.182	8982646
0.183	8982646
0.184	8526041
0.185	8526041
0.186	8526041
0.187	8526041
0.188	8526041
0.189	8526041
0.19	8526041
0.191	8526041
0.192	7780416
0.193	7780416
0.194	7780416
