fraction	Nx_length
0.001	41119887
0.002	41119887
0.003	41119887
0.004	41119887
0.005	41119887
0.006	41119887
0.007	41119887
0.008	41119887
0.009	41119887
0.01	41119887
0.011	41119887
0.012	41119887
0.013	41119887
0.014	41119887
0.015	41119887
0.016	41119887
0.017	41119887
0.018	41119887
0.019	41119887
0.02	41119887
0.021	41119887
0.022	41119887
0.023	41119887
0.024	41119887
0.025	41119887
0.026	41119887
0.027	41119887
0.028	41119887
0.029	41119887
0.03	41119887
0.031	41119887
0.032	41119887
0.033	41119887
0.034	41119887
0.035	41119887
0.036	41119887
0.037	41119887
0.038	41119887
0.039	36992922
0.04	36992922
0.041	36992922
0.042	36992922
0.043	36992922
0.044	36992922
0.045	36992922
0.046	36992922
0.047	36992922
0.048	36992922
0.049	36992922
0.05	36992922
0.051	36992922
0.052	36992922
0.053	36992922
0.054	36992922
0.055	36992922
0.056	36992922
0.057	36992922
0.058	36992922
0.059	36992922
0.06	36992922
0.061	36992922
0.062	36992922
0.063	36992922
0.064	36992922
0.065	36992922
0.066	36992922
0.067	36992922
0.068	36992922
0.069	36992922
0.07	36992922
0.071	36992922
0.072	36992922
0.073	36081008
0.074	36081008
0.075	36081008
0.076	36081008
0.077	36081008
0.078	36081008
0.079	36081008
0.08	36081008
0.081	36081008
0.082	36081008
0.083	36081008
0.084	36081008
0.085	36081008
0.086	36081008
0.087	36081008
0.088	36081008
0.089	36081008
0.09	36081008
0.091	36081008
0.092	36081008
0.093	36081008
0.094	36081008
0.095	36081008
0.096	36081008
0.097	36081008
0.098	36081008
0.099	36081008
0.1	36081008
0.101	36081008
0.102	36081008
0.103	36081008
0.104	36081008
0.105	36081008
0.106	36081008
0.107	33628306
0.108	33628306
0.109	33628306
0.11	33628306
0.111	33628306
0.112	33628306
0.113	33628306
0.114	33628306
0.115	33628306
0.116	33628306
0.117	33628306
0.118	33628306
0.119	33628306
0.12	33628306
0.121	33628306
0.122	33628306
0.123	33628306
0.124	33628306
0.125	33628306
0.126	33628306
0.127	33628306
0.128	33628306
0.129	33628306
0.13	33628306
0.131	33628306
0.132	33628306
0.133	33628306
0.134	33628306
0.135	33628306
0.136	33628306
0.137	33628306
0.138	24243413
0.139	24243413
0.14	24243413
0.141	24243413
0.142	24243413
0.143	24243413
0.144	24243413
0.145	24243413
0.146	24243413
0.147	24243413
0.148	24243413
0.149	24243413
0.15	24243413
0.151	24243413
0.152	24243413
0.153	24243413
0.154	24243413
