fraction	Nx_length
0.001	25366000
0.002	25366000
0.003	25366000
0.004	25366000
0.005	25366000
0.006	25366000
0.007	25366000
0.008	25366000
0.009	25366000
0.01	25366000
0.011	25366000
0.012	25366000
0.013	25366000
0.014	25366000
0.015	25366000
0.016	25366000
0.017	25366000
0.018	25366000
0.019	25366000
0.02	25366000
0.021	25366000
0.022	25366000
0.023	25366000
0.024	25366000
0.025	25366000
0.026	25366000
0.027	25366000
0.028	25366000
0.029	25366000
0.03	25366000
0.031	25366000
0.032	25366000
0.033	25366000
0.034	25366000
0.035	25366000
0.036	25366000
0.037	25366000
0.038	25366000
0.039	25366000
0.04	25366000
0.041	25366000
0.042	25366000
0.043	25366000
0.044	24735150
0.045	24735150
0.046	24735150
0.047	24735150
0.048	24735150
0.049	24735150
0.05	24735150
0.051	24735150
0.052	24735150
0.053	24735150
0.054	24735150
0.055	24735150
0.056	24735150
0.057	24735150
0.058	24735150
0.059	24735150
0.06	24735150
0.061	24735150
0.062	24735150
0.063	24735150
0.064	24735150
0.065	24735150
0.066	24735150
0.067	24735150
0.068	24735150
0.069	24735150
0.07	24735150
0.071	24735150
0.072	24735150
0.073	24735150
0.074	24735150
0.075	24735150
0.076	24735150
0.077	24735150
0.078	24735150
0.079	24735150
0.08	24735150
0.081	24735150
0.082	24735150
0.083	24735150
0.084	24735150
0.085	24735150
0.086	23740967
0.087	23740967
0.088	23740967
0.089	23740967
0.09	23740967
0.091	23740967
0.092	23740967
0.093	23740967
0.094	23740967
0.095	23740967
0.096	23740967
0.097	23740967
0.098	23740967
0.099	23740967
0.1	23740967
0.101	23740967
0.102	23740967
0.103	23740967
0.104	23740967
0.105	23740967
0.106	23740967
0.107	23740967
0.108	23740967
0.109	23740967
0.11	23740967
0.111	23740967
0.112	23740967
0.113	23740967
0.114	23740967
0.115	23740967
0.116	23740967
0.117	23740967
0.118	23740967
0.119	23740967
0.12	23740967
0.121	23740967
0.122	23740967
0.123	23740967
0.124	23740967
0.125	23740967
0.126	22723207
0.127	22723207
0.128	22723207
0.129	22723207
0.13	22723207
0.131	22723207
0.132	22723207
0.133	22723207
0.134	22723207
0.135	22723207
0.136	22723207
0.137	22723207
0.138	22723207
0.139	22723207
