fraction	Nx_length
0.001	3960610
0.002	3960610
0.003	3960610
0.004	3960610
0.005	3960610
0.006	3370928
0.007	3370928
0.008	3370928
0.009	3370928
0.01	2949461
0.011	2949461
0.012	2949461
0.013	2949461
0.014	2932379
0.015	2932379
0.016	2932379
0.017	2932379
0.018	2865742
0.019	2865742
0.02	2865742
0.021	2865742
0.022	2824570
0.023	2824570
0.024	2824570
0.025	2824570
0.026	2786959
0.027	2786959
0.028	2786959
0.029	2786959
0.03	2725503
0.031	2725503
0.032	2725503
0.033	2665895
0.034	2665895
0.035	2665895
0.036	2665895
0.037	2660375
0.038	2660375
0.039	2660375
0.04	2495590
0.041	2495590
0.042	2495590
0.043	2495590
0.044	2420017
0.045	2420017
0.046	2420017
0.047	2343464
0.048	2343464
0.049	2343464
0.05	2336902
0.051	2336902
0.052	2336902
0.053	2241691
0.054	2241691
0.055	2241691
0.056	2212344
0.057	2212344
0.058	2212344
0.059	2192228
0.06	2192228
0.061	2192228
0.062	2177332
0.063	2177332
0.064	2177332
0.065	2151174
0.066	2151174
0.067	2151174
0.068	2136639
0.069	2136639
0.07	2136639
0.071	2128184
0.072	2128184
0.073	2128184
0.074	2124428
0.075	2124428
0.076	2124428
0.077	2103920
0.078	2103920
0.079	2103367
0.08	2103367
0.081	2103367
0.082	2096041
0.083	2096041
0.084	2096041
0.085	2095887
0.086	2095887
0.087	2095887
0.088	2080533
0.089	2080533
0.09	2080533
0.091	2078824
0.092	2078824
0.093	2078824
0.094	1999482
0.095	1999482
0.096	1991932
0.097	1991932
0.098	1991932
0.099	1986128
0.1	1986128
0.101	1986128
0.102	1983237
0.103	1983237
0.104	1944468
0.105	1944468
0.106	1944468
0.107	1913709
0.108	1913709
0.109	1907493
0.11	1907493
0.111	1907493
0.112	1895229
0.113	1895229
0.114	1895229
0.115	1891521
0.116	1891521
0.117	1880971
0.118	1880971
0.119	1880971
0.12	1833656
0.121	1833656
0.122	1813787
0.123	1813787
0.124	1801054
0.125	1801054
0.126	1801054
0.127	1793282
0.128	1793282
0.129	1773888
0.13	1773888
0.131	1773888
0.132	1773544
0.133	1773544
0.134	1759328
0.135	1759328
0.136	1751697
0.137	1751697
0.138	1751697
0.139	1736673
0.14	1736673
0.141	1724880
0.142	1724880
0.143	1722744
0.144	1722744
0.145	1722744
0.146	1706721
0.147	1706721
0.148	1698709
