fraction	Nx_length
0.001	102564497
0.002	100671334
0.003	100503677
0.004	95298562
0.005	89741595
0.006	88543375
0.007	83164546
0.008	79823113
0.009	78795820
0.01	77535315
0.011	76159042
0.012	74579688
0.013	71097377
0.014	70436314
0.015	70148953
0.016	68640609
0.017	67459966
0.018	67169175
0.019	67158023
0.02	66961059
0.021	66273397
0.022	65903200
0.023	65318793
0.024	63225871
0.025	62520631
0.026	60894432
0.027	60171575
0.028	59966588
0.029	59524316
0.03	59227056
0.031	59173889
0.032	57829628
0.033	57295758
0.034	55612161
0.035	55410923
0.036	54578476
0.037	54403765
0.038	53843701
0.039	53706043
0.04	53547649
0.041	53127697
0.042	52892987
0.043	52670344
0.044	52155458
0.045	51946121
0.046	51365060
0.047	50642991
0.048	50556738
0.049	49733420
0.05	49718241
0.051	48961029
0.052	48658573
0.053	48635134
0.054	48428788
0.055	48109924
0.056	47540093
0.057	47363159
0.058	47070209
0.059	46865065
0.06	46225023
0.061	45976698
0.062	45633576
0.063	45345514
0.064	45182726
0.065	44711538
0.066	44424150
0.067	44251014
0.068	43901395
0.069	43685058
0.07	42963970
0.071	42818926
0.072	42737849
0.073	42557408
0.074	42175713
0.075	42037754
0.076	41932099
0.077	41835728
0.078	41739533
0.079	41659036
0.08	41415002
0.081	41342282
0.082	41235692
0.083	40725589
0.084	40634448
0.085	40565628
0.086	40310315
0.087	40219990
0.088	40012451
0.089	39960516
0.09	39749375
0.091	39583641
0.092	39509082
0.093	39301493
0.094	38958477
0.095	38873925
0.096	38707978
0.097	38505173
0.098	38286575
0.099	38242751
0.1	38012243
0.101	37813256
0.102	37727329
0.103	37669502
0.104	37575336
0.105	37527142
0.106	37411343
0.107	37238041
0.108	37076035
0.109	37017415
0.11	36896136
0.111	36819128
0.112	36688752
0.113	36250877
0.114	36035572
0.115	35807403
0.116	35521561
0.117	35444926
0.118	35338740
0.119	35237507
0.12	34801053
0.121	34715787
0.122	34458582
0.123	34354424
0.124	34232516
0.125	33970254
0.126	33887428
0.127	33805736
0.128	33669370
0.129	33399775
0.13	33271653
0.131	33225920
0.132	33119204
0.133	33038276
0.134	32942353
0.135	32815135
0.136	32804825
0.137	32704762
0.138	32639059
0.139	32588303
0.14	32410098
0.141	32374711
0.142	32315338
0.143	32185138
0.144	31996906
0.145	31923868
0.146	31900097
0.147	31770221
0.148	31644606
0.149	31547764
0.15	31469820
0.151	31374127
0.152	31316162
0.153	31206195
0.154	31132540
0.155	31054956
0.156	30919125
0.157	30708063
0.158	30611519
0.159	30584506
0.16	30563387
0.161	30512748
0.162	30346071
0.163	30188381
0.164	30102639
0.165	29975046
0.166	29917675
0.167	29866767
0.168	29728391
0.169	29576729
0.17	29486826
0.171	29418887
0.172	29367165
0.173	29325507
