fraction	Nx_length
0.001	2000000000
0.002	2000000000
0.003	2000000000
0.004	2000000000
0.005	2000000000
0.006	2000000000
0.007	2000000000
0.008	2000000000
0.009	2000000000
0.01	2000000000
0.011	2000000000
0.012	2000000000
0.013	2000000000
0.014	2000000000
0.015	2000000000
0.016	2000000000
0.017	2000000000
0.018	2000000000
0.019	2000000000
0.02	2000000000
0.021	2000000000
0.022	2000000000
0.023	2000000000
0.024	2000000000
0.025	2000000000
0.026	2000000000
0.027	2000000000
0.028	2000000000
0.029	2000000000
0.03	2000000000
0.031	2000000000
0.032	2000000000
0.033	2000000000
0.034	2000000000
0.035	2000000000
0.036	2000000000
0.037	2000000000
0.038	2000000000
0.039	2000000000
0.04	2000000000
0.041	2000000000
0.042	2000000000
0.043	2000000000
0.044	2000000000
0.045	2000000000
0.046	2000000000
0.047	2000000000
0.048	2000000000
0.049	2000000000
0.05	2000000000
0.051	2000000000
0.052	2000000000
0.053	2000000000
0.054	2000000000
0.055	2000000000
0.056	2000000000
0.057	2000000000
0.058	2000000000
0.059	2000000000
0.06	2000000000
0.061	2000000000
0.062	2000000000
0.063	2000000000
0.064	2000000000
0.065	2000000000
0.066	2000000000
0.067	2000000000
0.068	2000000000
0.069	2000000000
0.07	2000000000
0.071	2000000000
0.072	2000000000
0.073	2000000000
0.074	2000000000
0.075	2000000000
0.076	2000000000
0.077	2000000000
0.078	2000000000
0.079	2000000000
0.08	2000000000
0.081	2000000000
0.082	2000000000
0.083	2000000000
0.084	2000000000
0.085	2000000000
0.086	2000000000
0.087	2000000000
0.088	2000000000
0.089	2000000000
0.09	2000000000
0.091	2000000000
0.092	2000000000
0.093	2000000000
0.094	2000000000
0.095	2000000000
0.096	2000000000
0.097	2000000000
0.098	2000000000
0.099	2000000000
0.1	2000000000
0.101	2000000000
0.102	2000000000
0.103	2000000000
0.104	2000000000
0.105	2000000000
0.106	2000000000
0.107	2000000000
0.108	2000000000
0.109	2000000000
0.11	2000000000
0.111	2000000000
0.112	2000000000
0.113	2000000000
0.114	2000000000
0.115	2000000000
0.116	2000000000
0.117	2000000000
0.118	2000000000
0.119	2000000000
0.12	2000000000
0.121	2000000000
0.122	2000000000
0.123	2000000000
0.124	2000000000
0.125	2000000000
0.126	2000000000
0.127	2000000000
0.128	2000000000
0.129	2000000000
0.13	2000000000
0.131	2000000000
0.132	2000000000
0.133	2000000000
0.134	2000000000
0.135	2000000000
0.136	2000000000
0.137	2000000000
0.138	2000000000
0.139	2000000000
0.14	2000000000
0.141	2000000000
0.142	2000000000
0.143	2000000000
0.144	2000000000
0.145	2000000000
0.146	2000000000
0.147	2000000000
0.148	2000000000
0.149	2000000000
0.15	2000000000
0.151	2000000000
0.152	2000000000
0.153	2000000000
0.154	2000000000
0.155	2000000000
0.156	2000000000
0.157	2000000000
0.158	2000000000
0.159	2000000000
0.16	2000000000
0.161	2000000000
0.162	2000000000
0.163	2000000000
0.164	2000000000
0.165	2000000000
0.166	2000000000
0.167	2000000000
0.168	2000000000
0.169	2000000000
0.17	2000000000
0.171	2000000000
0.172	2000000000
0.173	2000000000
0.174	2000000000
0.175	2000000000
0.176	2000000000
0.177	2000000000
0.178	2000000000
0.179	2000000000
0.18	2000000000
0.181	2000000000
0.182	2000000000
0.183	2000000000
0.184	2000000000
0.185	2000000000
0.186	2000000000
0.187	2000000000
0.188	2000000000
0.189	2000000000
0.19	2000000000
0.191	2000000000
0.192	2000000000
0.193	2000000000
0.194	2000000000
0.195	2000000000
0.196	2000000000
0.197	2000000000
0.198	2000000000
0.199	2000000000
0.2	2000000000
0.201	2000000000
0.202	2000000000
0.203	2000000000
0.204	2000000000
0.205	2000000000
0.206	2000000000
0.207	2000000000
0.208	2000000000
0.209	2000000000
0.21	2000000000
0.211	2000000000
0.212	2000000000
0.213	2000000000
0.214	2000000000
0.215	2000000000
0.216	2000000000
0.217	2000000000
0.218	2000000000
0.219	2000000000
0.22	2000000000
0.221	2000000000
0.222	2000000000
0.223	2000000000
0.224	2000000000
0.225	2000000000
0.226	2000000000
0.227	2000000000
0.228	2000000000
0.229	2000000000
0.23	2000000000
0.231	2000000000
0.232	2000000000
0.233	2000000000
0.234	2000000000
0.235	2000000000
0.236	2000000000
0.237	2000000000
0.238	2000000000
0.239	2000000000
0.24	2000000000
0.241	2000000000
0.242	2000000000
0.243	2000000000
0.244	2000000000
0.245	2000000000
0.246	2000000000
0.247	2000000000
0.248	2000000000
0.249	2000000000
0.25	2000000000
0.251	2000000000
0.252	2000000000
0.253	2000000000
0.254	2000000000
0.255	2000000000
0.256	2000000000
0.257	2000000000
0.258	2000000000
0.259	2000000000
0.26	2000000000
0.261	2000000000
0.262	2000000000
0.263	2000000000
0.264	2000000000
0.265	2000000000
0.266	2000000000
0.267	2000000000
0.268	2000000000
0.269	2000000000
0.27	2000000000
0.271	2000000000
0.272	2000000000
0.273	2000000000
0.274	2000000000
0.275	2000000000
0.276	2000000000
0.277	2000000000
0.278	2000000000
0.279	2000000000
0.28	2000000000
0.281	2000000000
0.282	2000000000
0.283	2000000000
0.284	2000000000
0.285	2000000000
0.286	2000000000
0.287	2000000000
0.288	2000000000
0.289	2000000000
0.29	2000000000
0.291	2000000000
0.292	2000000000
0.293	2000000000
0.294	2000000000
0.295	2000000000
0.296	2000000000
0.297	2000000000
0.298	2000000000
0.299	2000000000
0.3	2000000000
0.301	2000000000
0.302	2000000000
0.303	2000000000
0.304	2000000000
0.305	2000000000
0.306	2000000000
0.307	2000000000
0.308	2000000000
0.309	2000000000
0.31	2000000000
0.311	2000000000
0.312	2000000000
0.313	2000000000
0.314	2000000000
0.315	2000000000
