fraction	Nx_length
0.001	240391333
0.002	240391333
0.003	240391333
0.004	240391333
0.005	240391333
0.006	240391333
0.007	240391333
0.008	240391333
0.009	240391333
0.01	240391333
0.011	240391333
0.012	240391333
0.013	240391333
0.014	240391333
0.015	240391333
0.016	240391333
0.017	240391333
0.018	240391333
0.019	240391333
0.02	240391333
0.021	240391333
0.022	240391333
0.023	240391333
0.024	240391333
0.025	240391333
0.026	240391333
0.027	240391333
0.028	240391333
0.029	240391333
0.03	240391333
0.031	240391333
0.032	240391333
0.033	240391333
0.034	240391333
0.035	240391333
0.036	240391333
0.037	240391333
0.038	240391333
0.039	240391333
0.04	240391333
0.041	240391333
0.042	240391333
0.043	240391333
0.044	240391333
0.045	240391333
0.046	240391333
0.047	240391333
0.048	240391333
0.049	240391333
0.05	240391333
0.051	240391333
0.052	240391333
0.053	240391333
0.054	240391333
0.055	240391333
0.056	240391333
0.057	240391333
0.058	240391333
0.059	240391333
0.06	240391333
0.061	240391333
0.062	240391333
0.063	240391333
0.064	240391333
0.065	240391333
0.066	240391333
0.067	240391333
0.068	240391333
0.069	240391333
0.07	240391333
0.071	240391333
0.072	240391333
0.073	240391333
0.074	240391333
0.075	240391333
0.076	240391333
0.077	240391333
0.078	240391333
0.079	240391333
0.08	190707478
0.081	190707478
0.082	190707478
0.083	190707478
0.084	190707478
0.085	190707478
0.086	190707478
0.087	190707478
0.088	190707478
0.089	190707478
0.09	190707478
0.091	190707478
0.092	190707478
0.093	190707478
0.094	190707478
0.095	190707478
0.096	190707478
0.097	190707478
0.098	190707478
0.099	190707478
0.1	190707478
0.101	190707478
0.102	190707478
0.103	190707478
0.104	190707478
0.105	190707478
0.106	190707478
0.107	190707478
0.108	190707478
0.109	190707478
0.11	190707478
0.111	190707478
0.112	190707478
0.113	190707478
0.114	190707478
0.115	190707478
0.116	190707478
0.117	190707478
0.118	190707478
0.119	190707478
0.12	190707478
0.121	190707478
0.122	190707478
0.123	190707478
0.124	190707478
0.125	190707478
0.126	190707478
0.127	190707478
0.128	190707478
0.129	190707478
0.13	190707478
0.131	190707478
0.132	190707478
0.133	190707478
0.134	190707478
0.135	190707478
0.136	190707478
0.137	190707478
0.138	190707478
0.139	190707478
0.14	190707478
0.141	190707478
0.142	190707478
0.143	184134922
0.144	184134922
0.145	184134922
0.146	184134922
0.147	184134922
0.148	184134922
0.149	184134922
0.15	184134922
0.151	184134922
0.152	184134922
0.153	184134922
0.154	184134922
0.155	184134922
0.156	184134922
0.157	184134922
0.158	184134922
0.159	184134922
0.16	184134922
0.161	184134922
0.162	184134922
0.163	184134922
0.164	184134922
0.165	184134922
0.166	184134922
0.167	184134922
0.168	184134922
0.169	184134922
0.17	184134922
0.171	184134922
0.172	184134922
0.173	184134922
0.174	184134922
0.175	184134922
0.176	184134922
0.177	184134922
0.178	184134922
0.179	184134922
0.18	184134922
0.181	184134922
0.182	184134922
0.183	184134922
0.184	184134922
0.185	184134922
0.186	184134922
0.187	184134922
0.188	184134922
0.189	184134922
0.19	184134922
0.191	184134922
0.192	184134922
0.193	184134922
0.194	184134922
0.195	184134922
0.196	184134922
0.197	184134922
0.198	184134922
0.199	184134922
0.2	184134922
0.201	184134922
0.202	184134922
0.203	170941658
0.204	170941658
0.205	170941658
0.206	170941658
0.207	170941658
0.208	170941658
0.209	170941658
0.21	170941658
0.211	170941658
0.212	170941658
0.213	170941658
0.214	170941658
0.215	170941658
0.216	170941658
0.217	170941658
0.218	170941658
0.219	170941658
0.22	170941658
0.221	170941658
0.222	170941658
0.223	170941658
0.224	170941658
0.225	170941658
0.226	170941658
0.227	170941658
0.228	170941658
0.229	170941658
0.23	170941658
0.231	170941658
0.232	170941658
0.233	170941658
0.234	170941658
0.235	170941658
0.236	170941658
0.237	170941658
0.238	170941658
0.239	170941658
0.24	170941658
0.241	170941658
0.242	170941658
0.243	170941658
0.244	170941658
0.245	170941658
0.246	170941658
0.247	170941658
0.248	170941658
0.249	170941658
0.25	170941658
0.251	170941658
0.252	170941658
0.253	170941658
0.254	170941658
0.255	170941658
0.256	170941658
0.257	170941658
0.258	170941658
0.259	170941658
0.26	159785084
0.261	159785084
0.262	159785084
0.263	159785084
0.264	159785084
0.265	159785084
0.266	159785084
0.267	159785084
0.268	159785084
0.269	159785084
0.27	159785084
0.271	159785084
0.272	159785084
0.273	159785084
0.274	159785084
0.275	159785084
0.276	159785084
0.277	159785084
0.278	159785084
0.279	159785084
0.28	159785084
0.281	159785084
0.282	159785084
0.283	159785084
0.284	159785084
0.285	159785084
0.286	159785084
0.287	159785084
0.288	159785084
0.289	159785084
0.29	159785084
0.291	159785084
0.292	159785084
0.293	159785084
0.294	159785084
0.295	159785084
0.296	159785084
0.297	159785084
0.298	159785084
0.299	159785084
0.3	159785084
0.301	159785084
0.302	159785084
0.303	159785084
0.304	159785084
0.305	159785084
0.306	159785084
0.307	159785084
0.308	159785084
0.309	159785084
0.31	159785084
0.311	159785084
0.312	159785084
0.313	137764123
0.314	137764123
0.315	137764123
0.316	137764123
0.317	137764123
0.318	137764123
0.319	137764123
0.32	137764123
0.321	137764123
0.322	137764123
0.323	137764123
0.324	137764123
0.325	137764123
0.326	137764123
0.327	137764123
0.328	137764123
0.329	137764123
0.33	137764123
0.331	137764123
0.332	137764123
0.333	137764123
0.334	137764123
0.335	137764123
0.336	137764123
0.337	137764123
0.338	137764123
0.339	137764123
0.34	137764123
0.341	137764123
0.342	137764123
0.343	137764123
0.344	137764123
0.345	137764123
0.346	137764123
0.347	137764123
0.348	137764123
0.349	137764123
0.35	137764123
0.351	137764123
0.352	137764123
0.353	137764123
0.354	137764123
0.355	137764123
0.356	137764123
0.357	137764123
0.358	134086697
0.359	134086697
0.36	134086697
0.361	134086697
0.362	134086697
0.363	134086697
0.364	134086697
0.365	134086697
0.366	134086697
0.367	134086697
0.368	134086697
0.369	134086697
0.37	134086697
0.371	134086697
0.372	134086697
0.373	134086697
0.374	134086697
0.375	134086697
0.376	134086697
0.377	134086697
0.378	134086697
0.379	134086697
0.38	134086697
0.381	134086697
0.382	134086697
0.383	134086697
0.384	134086697
0.385	134086697
0.386	134086697
0.387	134086697
0.388	134086697
0.389	134086697
0.39	134086697
0.391	134086697
0.392	134086697
0.393	134086697
0.394	134086697
0.395	134086697
0.396	134086697
0.397	134086697
0.398	134086697
0.399	134086697
0.4	134086697
0.401	134086697
0.402	133600428
0.403	133600428
0.404	133600428
0.405	133600428
0.406	133600428
0.407	133600428
0.408	133600428
0.409	133600428
0.41	133600428
0.411	133600428
0.412	133600428
0.413	133600428
0.414	133600428
0.415	133600428
0.416	133600428
0.417	133600428
0.418	133600428
0.419	133600428
0.42	133600428
0.421	133600428
0.422	133600428
0.423	133600428
0.424	133600428
0.425	133600428
0.426	133600428
0.427	133600428
0.428	133600428
0.429	133600428
0.43	133600428
0.431	133600428
0.432	133600428
0.433	133600428
0.434	133600428
0.435	133600428
0.436	133600428
0.437	133600428
0.438	133600428
0.439	133600428
0.44	133600428
0.441	133600428
0.442	133600428
0.443	133600428
0.444	133600428
0.445	133600428
0.446	127626943
0.447	127626943
0.448	127626943
0.449	127626943
0.45	127626943
0.451	127626943
0.452	127626943
0.453	127626943
0.454	127626943
0.455	127626943
0.456	127626943
0.457	127626943
0.458	127626943
0.459	127626943
0.46	127626943
0.461	127626943
0.462	127626943
0.463	127626943
0.464	127626943
0.465	127626943
0.466	127626943
0.467	127626943
0.468	127626943
0.469	127626943
0.47	127626943
0.471	127626943
0.472	127626943
0.473	127626943
0.474	127626943
0.475	127626943
0.476	127626943
0.477	127626943
0.478	127626943
0.479	127626943
0.48	127626943
0.481	127626943
0.482	127626943
0.483	127626943
0.484	127626943
0.485	127626943
0.486	127626943
0.487	127626943
0.488	112912087
0.489	112912087
0.49	112912087
0.491	112912087
0.492	112912087
0.493	112912087
0.494	112912087
0.495	112912087
0.496	112912087
0.497	112912087
0.498	112912087
0.499	112912087
0.5	112912087
0.501	112912087
0.502	112912087
0.503	112912087
0.504	112912087
0.505	112912087
0.506	112912087
0.507	112912087
0.508	112912087
0.509	112912087
0.51	112912087
0.511	112912087
0.512	112912087
0.513	112912087
0.514	112912087
0.515	112912087
0.516	112912087
0.517	112912087
0.518	112912087
0.519	112912087
0.52	112912087
0.521	112912087
0.522	112912087
0.523	112912087
0.524	112912087
0.525	112912087
0.526	106857943
0.527	106857943
0.528	106857943
0.529	106857943
0.53	106857943
0.531	106857943
0.532	106857943
0.533	106857943
0.534	106857943
0.535	106857943
0.536	106857943
0.537	106857943
0.538	106857943
0.539	106857943
0.54	106857943
0.541	106857943
0.542	106857943
0.543	106857943
0.544	106857943
0.545	106857943
0.546	106857943
0.547	106857943
0.548	106857943
0.549	106857943
0.55	106857943
0.551	106857943
0.552	106857943
0.553	106857943
0.554	106857943
0.555	106857943
0.556	106857943
0.557	106857943
0.558	106857943
0.559	106857943
0.56	106857943
0.561	105658788
0.562	105658788
0.563	105658788
0.564	105658788
0.565	105658788
0.566	105658788
0.567	105658788
0.568	105658788
0.569	105658788
0.57	105658788
0.571	105658788
0.572	105658788
0.573	105658788
0.574	105658788
0.575	105658788
0.576	105658788
0.577	105658788
0.578	105658788
0.579	105658788
0.58	105658788
0.581	105658788
0.582	105658788
0.583	105658788
0.584	105658788
0.585	105658788
0.586	105658788
0.587	105658788
0.588	105658788
0.589	105658788
0.59	105658788
0.591	105658788
0.592	105658788
