fraction	Nx_length
0.001	276712
0.002	264803
0.003	252366
0.004	243951
0.005	235943
0.006	231164
0.007	223034
0.008	217227
0.009	212655
0.01	210161
0.011	206132
0.012	203085
0.013	199027
0.014	196817
0.015	193830
0.016	190922
0.017	188475
0.018	185928
0.019	183157
0.02	181221
0.021	179769
0.022	178949
0.023	177433
0.024	176240
0.025	174608
0.026	172642
0.027	171321
0.028	169878
0.029	168773
0.03	167607
0.031	166479
0.032	165361
0.033	163738
0.034	162698
0.035	161820
0.036	160449
0.037	159193
0.038	157918
0.039	156241
0.04	155409
0.041	154440
0.042	153471
0.043	152288
0.044	151519
0.045	150757
0.046	150247
0.047	149405
0.048	148494
0.049	147667
0.05	146337
0.051	145637
0.052	144772
0.053	144101
0.054	143273
0.055	142702
0.056	141403
0.057	140871
0.058	139951
0.059	138873
0.06	138435
0.061	138009
0.062	137116
0.063	136366
0.064	136053
0.065	135482
0.066	134617
0.067	134039
0.068	133487
0.069	132511
0.07	131741
0.071	131125
0.072	130697
0.073	130159
0.074	129688
0.075	129221
0.076	128684
0.077	128150
0.078	127642
0.079	127028
0.08	126603
0.081	126192
0.082	125599
0.083	125227
0.084	124736
0.085	124221
0.086	123643
0.087	123001
0.088	122484
0.089	121826
0.09	121380
0.091	120867
0.092	120528
0.093	120123
0.094	119626
0.095	119287
0.096	118719
0.097	118256
0.098	117929
0.099	117466
0.1	116877
0.101	116527
0.102	116054
0.103	115713
0.104	115212
0.105	114921
0.106	114443
0.107	114094
0.108	113682
0.109	113169
0.11	112852
0.111	112481
0.112	112090
0.113	111673
0.114	111227
0.115	110886
0.116	110514
0.117	110156
0.118	109826
0.119	109438
0.12	109106
0.121	108730
0.122	108418
0.123	107993
0.124	107635
0.125	107101
0.126	106599
0.127	106085
0.128	105867
0.129	105543
0.13	105258
0.131	105000
0.132	104591
0.133	104238
0.134	104007
0.135	103702
0.136	103415
0.137	103076
0.138	102754
0.139	102498
0.14	102222
0.141	101936
0.142	101627
0.143	101363
0.144	101019
0.145	100757
0.146	100515
0.147	100194
0.148	99859
0.149	99629
0.15	99243
0.151	98950
0.152	98703
0.153	98436
0.154	98109
0.155	97810
0.156	97570
0.157	97307
0.158	97053
0.159	96840
0.16	96556
0.161	96379
0.162	96072
0.163	95856
0.164	95518
0.165	95223
0.166	95099
0.167	94893
0.168	94648
0.169	94389
0.17	94106
0.171	93813
0.172	93539
0.173	93254
0.174	92996
0.175	92755
0.176	92488
0.177	92225
0.178	92023
0.179	91825
0.18	91609
0.181	91278
0.182	91061
0.183	90896
0.184	90694
0.185	90347
0.186	90173
0.187	89954
0.188	89693
0.189	89442
0.19	89232
0.191	89024
0.192	88874
0.193	88706
0.194	88433
0.195	88175
0.196	87978
0.197	87765
0.198	87553
0.199	87340
0.2	87080
0.201	86854
0.202	86675
0.203	86469
0.204	86234
0.205	86009
0.206	85782
0.207	85580
0.208	85375
0.209	85234
0.21	85089
0.211	84865
0.212	84646
0.213	84408
0.214	84165
0.215	83984
0.216	83738
0.217	83574
0.218	83358
0.219	83237
0.22	83044
0.221	82770
0.222	82576
0.223	82413
0.224	82211
0.225	81962
0.226	81795
0.227	81624
0.228	81432
0.229	81245
0.23	81053
0.231	80845
0.232	80642
0.233	80489
0.234	80303
0.235	80172
0.236	79981
0.237	79782
0.238	79654
0.239	79447
0.24	79259
0.241	79082
0.242	78892
0.243	78720
0.244	78594
0.245	78438
0.246	78208
0.247	78046
0.248	77898
0.249	77724
0.25	77560
0.251	77429
0.252	77206
0.253	77074
0.254	76851
0.255	76663
0.256	76508
0.257	76377
0.258	76180
0.259	75992
0.26	75802
0.261	75609
0.262	75443
0.263	75276
0.264	75140
0.265	75001
0.266	74870
0.267	74685
0.268	74477
0.269	74307
0.27	74156
0.271	74012
0.272	73906
0.273	73771
0.274	73634
0.275	73435
0.276	73217
0.277	73056
0.278	72868
0.279	72710
0.28	72541
0.281	72425
0.282	72217
0.283	72074
0.284	71927
0.285	71773
0.286	71621
0.287	71428
0.288	71254
0.289	71104
0.29	70950
0.291	70826
0.292	70606
0.293	70475
0.294	70325
0.295	70169
0.296	70043
0.297	69919
0.298	69767
0.299	69590
0.3	69443
0.301	69252
0.302	69049
0.303	68882
0.304	68727
0.305	68573
0.306	68436
0.307	68269
0.308	68135
0.309	67978
0.31	67832
0.311	67655
0.312	67556
0.313	67430
0.314	67265
0.315	67090
0.316	66917
0.317	66780
0.318	66623
0.319	66503
0.32	66374
0.321	66244
0.322	66136
0.323	65988
0.324	65867
0.325	65727
0.326	65573
0.327	65435
0.328	65294
0.329	65189
0.33	65030
0.331	64889
0.332	64758
0.333	64636
0.334	64518
0.335	64401
0.336	64275
0.337	64143
0.338	64006
0.339	63841
0.34	63698
0.341	63553
0.342	63426
0.343	63280
0.344	63144
0.345	63003
0.346	62821
0.347	62692
0.348	62579
0.349	62470
0.35	62349
0.351	62237
0.352	62132
0.353	62024
0.354	61900
0.355	61773
0.356	61674
0.357	61551
0.358	61442
0.359	61323
0.36	61201
0.361	61053
0.362	60942
0.363	60801
0.364	60675
0.365	60591
0.366	60464
0.367	60323
0.368	60192
0.369	60024
0.37	59904
0.371	59782
0.372	59653
0.373	59524
0.374	59403
0.375	59277
0.376	59147
0.377	59035
0.378	58911
0.379	58786
0.38	58644
0.381	58527
0.382	58391
0.383	58247
0.384	58123
0.385	57981
0.386	57820
0.387	57715
0.388	57592
0.389	57484
0.39	57380
0.391	57278
0.392	57182
0.393	57069
0.394	56974
0.395	56880
0.396	56769
0.397	56612
0.398	56498
0.399	56405
0.4	56301
0.401	56172
0.402	56075
0.403	55958
0.404	55847
0.405	55753
0.406	55638
0.407	55527
0.408	55418
0.409	55305
0.41	55225
0.411	55137
0.412	55027
0.413	54889
0.414	54760
0.415	54654
0.416	54533
0.417	54414
0.418	54317
0.419	54209
0.42	54108
0.421	53999
0.422	53874
0.423	53745
0.424	53647
0.425	53530
0.426	53413
0.427	53308
0.428	53197
0.429	53060
0.43	52957
0.431	52846
0.432	52738
0.433	52635
0.434	52538
0.435	52425
0.436	52304
0.437	52199
0.438	52112
0.439	52016
0.44	51923
0.441	51835
0.442	51761
0.443	51660
0.444	51566
0.445	51449
0.446	51360
0.447	51276
0.448	51165
0.449	51091
0.45	51000
0.451	50902
0.452	50806
0.453	50705
0.454	50598
0.455	50508
0.456	50400
0.457	50271
0.458	50175
0.459	50092
0.46	49994
0.461	49896
0.462	49802
0.463	49722
0.464	49605
0.465	49504
0.466	49400
0.467	49279
0.468	49149
0.469	49043
0.47	48941
0.471	48852
0.472	48735
0.473	48639
0.474	48526
0.475	48419
0.476	48338
0.477	48210
0.478	48112
0.479	48010
0.48	47927
0.481	47827
0.482	47756
0.483	47634
0.484	47547
0.485	47451
0.486	47374
0.487	47291
0.488	47196
0.489	47111
0.49	47007
0.491	46938
0.492	46839
0.493	46743
0.494	46663
0.495	46597
0.496	46525
0.497	46444
0.498	46356
0.499	46260
0.5	46168
0.501	46058
0.502	45968
0.503	45861
0.504	45778
0.505	45687
0.506	45605
0.507	45490
0.508	45389
0.509	45294
0.51	45210
0.511	45122
0.512	45030
0.513	44964
0.514	44866
0.515	44784
0.516	44697
0.517	44594
0.518	44481
0.519	44373
0.52	44278
0.521	44174
0.522	44095
0.523	43999
0.524	43924
0.525	43836
0.526	43746
0.527	43646
0.528	43563
0.529	43465
0.53	43373
0.531	43292
0.532	43191
0.533	43091
0.534	42981
0.535	42865
0.536	42788
0.537	42695
0.538	42603
0.539	42521
0.54	42432
0.541	42315
0.542	42242
0.543	42158
0.544	42072
0.545	41998
0.546	41898
0.547	41808
0.548	41713
0.549	41619
0.55	41510
0.551	41431
0.552	41356
0.553	41256
0.554	41174
0.555	41083
0.556	40992
0.557	40898
0.558	40807
0.559	40716
0.56	40630
0.561	40539
0.562	40440
0.563	40341
0.564	40255
0.565	40166
0.566	40084
0.567	39998
0.568	39909
0.569	39836
0.57	39751
0.571	39652
0.572	39568
0.573	39492
0.574	39412
