fraction	Nx_length
0.001	1271429
0.002	1122447
0.003	1063861
0.004	1007432
0.005	975316
0.006	921401
0.007	908997
0.008	867046
0.009	829614
0.01	815117
0.011	807636
0.012	798301
0.013	785526
0.014	778472
0.015	772003
0.016	765369
0.017	750197
0.018	745092
0.019	741558
0.02	729456
0.021	722063
0.022	716305
0.023	712790
0.024	702750
0.025	695007
0.026	691922
0.027	690747
0.028	689934
0.029	687483
0.03	681458
0.031	677473
0.032	670373
0.033	657743
0.034	644104
0.035	643029
0.036	637703
0.037	633706
0.038	630376
0.039	628482
0.04	625152
0.041	621683
0.042	620430
0.043	618514
0.044	617288
0.045	614675
0.046	609582
0.047	605928
0.048	599199
0.049	596280
0.05	593516
0.051	590310
0.052	588828
0.053	586063
0.054	581741
0.055	577501
0.056	573604
0.057	571716
0.058	568924
0.059	565920
0.06	562733
0.061	560355
0.062	558341
0.063	555611
0.064	552505
0.065	549070
0.066	544903
0.067	540928
0.068	535769
0.069	531884
0.07	529156
0.071	528289
0.072	526247
0.073	523371
0.074	521364
0.075	519327
0.076	517965
0.077	516086
0.078	514443
0.079	512774
0.08	511831
0.081	510726
0.082	509210
0.083	507985
0.084	504335
0.085	502156
0.086	498793
0.087	497181
0.088	495099
0.089	494381
0.09	490942
0.091	489217
0.092	486543
0.093	482123
0.094	480692
0.095	479591
0.096	477017
0.097	474022
0.098	471250
0.099	469666
0.1	468996
0.101	467275
0.102	465553
0.103	464508
0.104	461098
0.105	459722
0.106	459031
0.107	456107
0.108	455083
0.109	452470
0.11	450231
0.111	448664
0.112	447153
0.113	446407
0.114	444804
0.115	441795
0.116	441184
0.117	439883
0.118	438303
0.119	437581
0.12	435704
0.121	434485
0.122	432551
0.123	431456
0.124	429205
0.125	427976
0.126	426790
0.127	424897
0.128	423351
0.129	422090
0.13	420711
0.131	419797
0.132	419178
0.133	418632
0.134	416639
0.135	414223
0.136	412550
0.137	411586
0.138	410579
0.139	409417
0.14	408789
0.141	407590
0.142	406941
0.143	406118
0.144	404870
0.145	404042
0.146	402795
0.147	402353
0.148	401484
0.149	399704
0.15	398115
0.151	396213
0.152	394903
0.153	393934
0.154	392078
0.155	391443
0.156	390542
0.157	389887
0.158	389231
0.159	387956
0.16	386924
0.161	386665
0.162	385946
0.163	385169
0.164	384380
0.165	382945
0.166	381692
0.167	380865
0.168	379695
0.169	378442
0.17	377858
0.171	377506
0.172	376619
0.173	375564
0.174	375114
0.175	374415
0.176	373516
0.177	372223
0.178	371647
0.179	371277
0.18	370669
0.181	368642
0.182	367896
0.183	367103
0.184	365931
0.185	365697
0.186	364967
0.187	364240
0.188	363845
0.189	362134
0.19	361175
0.191	360612
0.192	359347
0.193	358548
0.194	357336
0.195	356416
0.196	355952
0.197	355113
0.198	354122
0.199	353246
0.2	351898
0.201	350652
0.202	350310
0.203	349275
0.204	348439
0.205	347588
0.206	346628
0.207	345994
0.208	344741
0.209	344123
0.21	343215
0.211	341903
0.212	340822
0.213	339818
0.214	339501
0.215	338880
0.216	338079
0.217	336936
0.218	336397
0.219	335729
0.22	334875
0.221	334144
0.222	332288
0.223	331799
0.224	331072
0.225	330234
0.226	329450
0.227	327870
0.228	327036
0.229	326305
0.23	325581
0.231	324571
0.232	323748
0.233	323126
0.234	322463
0.235	321459
0.236	320591
0.237	320443
0.238	319839
0.239	319445
0.24	318398
0.241	317840
0.242	317073
0.243	315942
0.244	315184
0.245	314474
0.246	313681
0.247	312679
0.248	311953
0.249	311605
0.25	310676
0.251	309866
0.252	308990
0.253	308170
0.254	307403
0.255	306707
0.256	306219
0.257	305371
0.258	304584
0.259	303950
0.26	303311
0.261	302897
0.262	302287
0.263	301352
0.264	300408
0.265	299587
0.266	299162
0.267	298774
0.268	297887
0.269	296777
0.27	295796
0.271	295389
0.272	295045
0.273	294442
0.274	293964
0.275	293579
0.276	292940
0.277	291925
0.278	291136
0.279	290814
0.28	290254
0.281	289650
0.282	289201
0.283	288556
0.284	288189
0.285	287680
0.286	287172
0.287	286584
0.288	285812
0.289	285243
0.29	284483
0.291	283939
0.292	283158
0.293	282573
0.294	282412
0.295	282080
0.296	281606
0.297	281222
0.298	280436
0.299	279902
0.3	279299
0.301	278930
0.302	278291
0.303	277677
0.304	277307
0.305	276637
0.306	276089
0.307	275618
0.308	274970
0.309	274285
0.31	273859
0.311	272948
0.312	272617
0.313	271902
0.314	271126
0.315	270690
0.316	269863
0.317	269609
0.318	268831
0.319	268371
0.32	267975
0.321	267427
0.322	266711
0.323	266089
0.324	265279
0.325	264970
0.326	264526
0.327	264049
0.328	263376
0.329	262693
0.33	262129
0.331	261618
0.332	260998
0.333	260397
0.334	259699
0.335	259165
0.336	258689
0.337	258264
0.338	257598
0.339	257172
0.34	256789
0.341	256489
0.342	255722
0.343	255178
0.344	254556
0.345	254080
0.346	253260
0.347	252587
0.348	252073
0.349	251722
0.35	251218
0.351	250930
0.352	250441
0.353	250047
0.354	249718
0.355	249384
0.356	248752
0.357	247966
0.358	247410
0.359	246876
0.36	246102
0.361	245794
0.362	245338
0.363	244516
0.364	243976
0.365	243571
0.366	242814
0.367	242417
0.368	241597
0.369	241178
0.37	240665
0.371	240197
0.372	239890
0.373	239593
0.374	239085
0.375	238608
0.376	237952
0.377	237372
0.378	236670
0.379	236175
0.38	235567
0.381	234937
0.382	234304
0.383	233638
0.384	233362
0.385	232886
0.386	232535
0.387	232048
0.388	231306
0.389	230502
0.39	229694
0.391	229223
0.392	228963
0.393	228631
0.394	227855
0.395	227596
0.396	227373
0.397	226885
0.398	226104
0.399	225380
0.4	224712
0.401	224293
0.402	223861
0.403	223451
0.404	223060
0.405	222655
0.406	222228
0.407	221889
0.408	221157
0.409	220767
0.41	220333
0.411	220129
0.412	219521
0.413	219242
0.414	218985
0.415	218603
0.416	218123
0.417	217651
0.418	217220
0.419	216912
0.42	216486
0.421	216108
0.422	215790
0.423	215255
0.424	214781
0.425	214259
0.426	213962
0.427	213184
0.428	212674
0.429	212225
0.43	211805
0.431	211423
0.432	210966
0.433	210519
0.434	210067
0.435	209778
0.436	209121
0.437	208735
0.438	208356
0.439	208195
0.44	207737
0.441	207209
0.442	206887
0.443	206279
0.444	205799
0.445	205373
0.446	204922
0.447	204215
0.448	203797
0.449	203310
0.45	202925
0.451	202546
0.452	202064
0.453	201608
0.454	201020
0.455	200479
0.456	199939
0.457	199555
0.458	199073
0.459	198640
0.46	198258
0.461	197832
0.462	197356
0.463	196663
0.464	196301
0.465	195846
0.466	195510
0.467	194918
0.468	194516
0.469	194307
0.47	193846
0.471	193305
0.472	192872
0.473	192344
0.474	192174
0.475	191773
0.476	191443
0.477	190968
0.478	190664
0.479	190316
0.48	189993
0.481	189722
0.482	189079
