fraction	Nx_length
0.001	214683177
0.002	214683177
0.003	214683177
0.004	214683177
0.005	214683177
0.006	214683177
0.007	214683177
0.008	214683177
0.009	214683177
0.01	214683177
0.011	214683177
0.012	214683177
0.013	214683177
0.014	214683177
0.015	214683177
0.016	214683177
0.017	214683177
0.018	214683177
0.019	214683177
0.02	214683177
0.021	214683177
0.022	214683177
0.023	214683177
0.024	214683177
0.025	214683177
0.026	214683177
0.027	214683177
0.028	214683177
0.029	214683177
0.03	214683177
0.031	214683177
0.032	214683177
0.033	214683177
0.034	214683177
0.035	214683177
0.036	214683177
0.037	214683177
0.038	214683177
0.039	214683177
0.04	214683177
0.041	214683177
0.042	214683177
0.043	214683177
0.044	214683177
0.045	214683177
0.046	214683177
0.047	214683177
0.048	214683177
0.049	214683177
0.05	214683177
0.051	214683177
0.052	214683177
0.053	214683177
0.054	214683177
0.055	214683177
0.056	214683177
0.057	214683177
0.058	214683177
0.059	214683177
0.06	214683177
0.061	214683177
0.062	214683177
0.063	214683177
0.064	214683177
0.065	214683177
0.066	214683177
0.067	214683177
0.068	214683177
0.069	214683177
0.07	214683177
0.071	214683177
0.072	214683177
0.073	214683177
0.074	214683177
0.075	214683177
0.076	214683177
0.077	214683177
0.078	214683177
0.079	214683177
0.08	214683177
0.081	214683177
0.082	214683177
0.083	214683177
0.084	214683177
0.085	214683177
0.086	214683177
0.087	214683177
0.088	214683177
0.089	203868124
0.09	203868124
0.091	203868124
0.092	203868124
0.093	203868124
0.094	203868124
0.095	203868124
0.096	203868124
0.097	203868124
0.098	203868124
0.099	203868124
0.1	203868124
0.101	203868124
0.102	203868124
0.103	203868124
0.104	203868124
0.105	203868124
0.106	203868124
0.107	203868124
0.108	203868124
0.109	203868124
0.11	203868124
0.111	203868124
0.112	203868124
0.113	203868124
0.114	203868124
0.115	203868124
0.116	203868124
0.117	203868124
0.118	203868124
0.119	203868124
0.12	203868124
0.121	203868124
0.122	203868124
0.123	203868124
0.124	203868124
0.125	203868124
0.126	203868124
0.127	203868124
0.128	203868124
0.129	203868124
0.13	203868124
0.131	203868124
0.132	203868124
0.133	203868124
0.134	203868124
0.135	203868124
0.136	203868124
0.137	203868124
0.138	203868124
0.139	203868124
0.14	203868124
0.141	203868124
0.142	203868124
0.143	203868124
0.144	203868124
0.145	203868124
0.146	203868124
0.147	203868124
0.148	203868124
0.149	203868124
0.15	203868124
0.151	203868124
0.152	203868124
0.153	203868124
0.154	203868124
0.155	203868124
0.156	203868124
0.157	203868124
0.158	203868124
0.159	203868124
0.16	203868124
0.161	203868124
0.162	203868124
0.163	203868124
0.164	203868124
0.165	203868124
0.166	203868124
0.167	203868124
0.168	203868124
0.169	203868124
0.17	203868124
0.171	203868124
0.172	203868124
0.173	192837575
0.174	192837575
0.175	192837575
0.176	192837575
0.177	192837575
0.178	192837575
0.179	192837575
0.18	192837575
0.181	192837575
0.182	192837575
0.183	192837575
0.184	192837575
0.185	192837575
0.186	192837575
0.187	192837575
0.188	192837575
0.189	192837575
0.19	192837575
0.191	192837575
0.192	192837575
0.193	192837575
0.194	192837575
0.195	192837575
0.196	192837575
0.197	192837575
0.198	192837575
0.199	192837575
0.2	192837575
0.201	192837575
0.202	192837575
0.203	192837575
0.204	192837575
0.205	192837575
0.206	192837575
0.207	192837575
0.208	192837575
0.209	192837575
0.21	192837575
0.211	192837575
0.212	192837575
0.213	192837575
0.214	192837575
0.215	192837575
0.216	192837575
0.217	192837575
0.218	192837575
0.219	192837575
0.22	192837575
0.221	192837575
0.222	192837575
0.223	192837575
0.224	192837575
0.225	192837575
0.226	192837575
0.227	192837575
0.228	192837575
0.229	192837575
0.23	192837575
0.231	192837575
0.232	192837575
0.233	192837575
0.234	192837575
0.235	192837575
0.236	192837575
0.237	192837575
0.238	192837575
0.239	192837575
0.24	192837575
0.241	192837575
0.242	192837575
0.243	192837575
0.244	192837575
0.245	192837575
0.246	192837575
0.247	192837575
0.248	192837575
0.249	192837575
0.25	192837575
0.251	192837575
0.252	192837575
0.253	188184182
0.254	188184182
0.255	188184182
0.256	188184182
0.257	188184182
0.258	188184182
0.259	188184182
0.26	188184182
0.261	188184182
0.262	188184182
0.263	188184182
0.264	188184182
0.265	188184182
0.266	188184182
0.267	188184182
0.268	188184182
0.269	188184182
0.27	188184182
0.271	188184182
0.272	188184182
0.273	188184182
0.274	188184182
0.275	188184182
0.276	188184182
0.277	188184182
0.278	188184182
0.279	188184182
0.28	188184182
0.281	188184182
0.282	188184182
0.283	188184182
0.284	188184182
0.285	188184182
0.286	188184182
0.287	188184182
0.288	188184182
0.289	188184182
0.29	188184182
0.291	188184182
0.292	188184182
0.293	188184182
0.294	188184182
0.295	188184182
0.296	188184182
0.297	188184182
0.298	188184182
0.299	188184182
0.3	188184182
0.301	188184182
0.302	188184182
0.303	188184182
0.304	188184182
0.305	188184182
0.306	188184182
0.307	188184182
0.308	188184182
0.309	188184182
0.31	188184182
0.311	188184182
0.312	188184182
0.313	188184182
0.314	188184182
0.315	188184182
0.316	188184182
0.317	188184182
0.318	188184182
0.319	188184182
0.32	188184182
0.321	188184182
0.322	188184182
0.323	188184182
0.324	188184182
0.325	188184182
0.326	188184182
0.327	188184182
0.328	188184182
0.329	188184182
0.33	188184182
0.331	176495000
0.332	176495000
0.333	176495000
0.334	176495000
0.335	176495000
0.336	176495000
0.337	176495000
0.338	176495000
0.339	176495000
0.34	176495000
0.341	176495000
0.342	176495000
0.343	176495000
0.344	176495000
0.345	176495000
0.346	176495000
0.347	176495000
0.348	176495000
0.349	176495000
0.35	176495000
0.351	176495000
0.352	176495000
0.353	176495000
0.354	176495000
0.355	176495000
0.356	176495000
0.357	176495000
0.358	176495000
0.359	176495000
0.36	176495000
0.361	176495000
0.362	176495000
0.363	176495000
0.364	176495000
0.365	176495000
0.366	176495000
0.367	176495000
0.368	176495000
0.369	176495000
0.37	176495000
0.371	176495000
0.372	176495000
0.373	176495000
0.374	176495000
0.375	176495000
0.376	176495000
0.377	176495000
0.378	176495000
0.379	176495000
0.38	176495000
0.381	176495000
0.382	176495000
0.383	176495000
0.384	176495000
0.385	176495000
0.386	176495000
0.387	176495000
0.388	176495000
0.389	176495000
0.39	176495000
0.391	176495000
0.392	176495000
0.393	176495000
0.394	176495000
0.395	176495000
0.396	176495000
0.397	176495000
0.398	176495000
0.399	176495000
0.4	176495000
0.401	176495000
0.402	176495000
0.403	176495000
0.404	154800178
0.405	154800178
0.406	154800178
0.407	154800178
0.408	154800178
0.409	154800178
0.41	154800178
0.411	154800178
0.412	154800178
0.413	154800178
0.414	154800178
0.415	154800178
0.416	154800178
