fraction	Nx_length
0.001	62804385
0.002	62804385
0.003	62804385
0.004	62804385
0.005	62804385
0.006	62804385
0.007	62804385
0.008	62804385
0.009	62804385
0.01	62804385
0.011	62804385
0.012	62804385
0.013	62804385
0.014	62804385
0.015	62804385
0.016	62804385
0.017	62804385
0.018	62804385
0.019	62804385
0.02	62804385
0.021	62804385
0.022	62804385
0.023	62804385
0.024	62804385
0.025	62804385
0.026	62804385
0.027	62804385
0.028	52695559
0.029	52695559
0.03	52695559
0.031	52695559
0.032	52695559
0.033	52695559
0.034	52695559
0.035	52695559
0.036	52695559
0.037	52695559
0.038	52695559
0.039	52695559
0.04	52695559
0.041	52695559
0.042	52695559
0.043	52695559
0.044	52695559
0.045	52695559
0.046	52695559
0.047	52695559
0.048	52695559
0.049	52695559
0.05	52695559
0.051	44727829
0.052	44727829
0.053	44727829
0.054	44727829
0.055	44727829
0.056	44727829
0.057	44727829
0.058	44727829
0.059	44727829
0.06	44727829
0.061	44727829
0.062	44727829
0.063	44727829
0.064	44727829
0.065	44727829
0.066	44727829
0.067	44727829
0.068	44727829
0.069	44727829
0.07	44727829
0.071	39568841
0.072	39568841
0.073	39568841
0.074	39568841
0.075	39568841
0.076	39568841
0.077	39568841
0.078	39568841
0.079	39568841
0.08	39568841
0.081	39568841
0.082	39568841
0.083	39568841
0.084	39568841
0.085	39568841
0.086	39568841
0.087	39568841
0.088	39568841
0.089	36062552
0.09	36062552
0.091	36062552
0.092	36062552
0.093	36062552
0.094	36062552
0.095	36062552
0.096	36062552
0.097	36062552
0.098	36062552
0.099	36062552
0.1	36062552
0.101	36062552
0.102	36062552
0.103	36062552
0.104	35219196
0.105	35219196
0.106	35219196
0.107	35219196
0.108	35219196
0.109	35219196
0.11	35219196
0.111	35219196
0.112	35219196
0.113	35219196
0.114	35219196
0.115	35219196
0.116	35219196
0.117	35219196
0.118	35219196
0.119	35219196
0.12	35180523
0.121	35180523
0.122	35180523
0.123	35180523
0.124	35180523
0.125	35180523
0.126	35180523
0.127	35180523
0.128	35180523
0.129	35180523
0.13	35180523
0.131	35180523
0.132	35180523
0.133	35180523
0.134	35180523
0.135	28758694
0.136	28758694
0.137	28758694
0.138	28758694
0.139	28758694
0.14	28758694
0.141	28758694
0.142	28758694
0.143	28758694
0.144	28758694
0.145	28758694
0.146	28758694
0.147	28758694
0.148	28481292
0.149	28481292
0.15	28481292
0.151	28481292
0.152	28481292
0.153	28481292
0.154	28481292
0.155	28481292
0.156	28481292
0.157	28481292
0.158	28481292
0.159	28481292
0.16	28481292
0.161	28108190
0.162	28108190
0.163	28108190
0.164	28108190
0.165	28108190
0.166	28108190
0.167	28108190
0.168	28108190
0.169	28108190
0.17	28108190
0.171	28108190
0.172	28108190
0.173	26621609
0.174	26621609
0.175	26621609
0.176	26621609
0.177	26621609
0.178	26621609
0.179	26621609
0.18	26621609
0.181	26621609
0.182	26621609
0.183	26621609
0.184	26621609
0.185	25022284
0.186	25022284
0.187	25022284
0.188	25022284
0.189	25022284
0.19	25022284
0.191	25022284
0.192	25022284
0.193	25022284
0.194	25022284
0.195	25022284
0.196	24964258
0.197	24964258
0.198	24964258
0.199	24964258
0.2	24964258
0.201	24964258
0.202	24964258
0.203	24964258
0.204	24964258
0.205	24964258
0.206	24964258
0.207	24880577
0.208	24880577
0.209	24880577
0.21	24880577
0.211	24880577
0.212	24880577
0.213	24880577
0.214	24880577
0.215	24880577
0.216	24880577
0.217	24880577
0.218	24540022
0.219	24540022
0.22	24540022
0.221	24540022
0.222	24540022
0.223	24540022
0.224	24540022
0.225	24540022
0.226	24540022
0.227	24540022
0.228	24540022
0.229	24114129
0.23	24114129
0.231	24114129
0.232	24114129
0.233	24114129
0.234	24114129
0.235	24114129
0.236	24114129
0.237	24114129
0.238	24114129
0.239	22689764
0.24	22689764
0.241	22689764
0.242	22689764
0.243	22689764
0.244	22689764
0.245	22689764
0.246	22689764
0.247	22689764
0.248	22689764
0.249	22471794
0.25	22471794
0.251	22471794
0.252	22471794
0.253	22471794
0.254	22471794
0.255	22471794
0.256	22471794
0.257	22471794
0.258	22471794
0.259	22173280
0.26	22173280
0.261	22173280
0.262	22173280
0.263	22173280
0.264	22173280
0.265	22173280
0.266	22173280
0.267	22173280
0.268	22173280
0.269	20467269
0.27	20467269
0.271	20467269
0.272	20467269
0.273	20467269
0.274	20467269
0.275	20467269
0.276	20467269
0.277	20467269
0.278	20381500
0.279	20381500
0.28	20381500
0.281	20381500
0.282	20381500
0.283	20381500
0.284	20381500
0.285	20381500
0.286	20381500
0.287	19751448
0.288	19751448
0.289	19751448
0.29	19751448
0.291	19751448
0.292	19751448
0.293	19751448
0.294	19751448
0.295	19751448
0.296	19685455
0.297	19685455
0.298	19685455
0.299	19685455
0.3	19685455
0.301	19685455
0.302	19685455
0.303	19685455
0.304	19417875
0.305	19417875
0.306	19417875
0.307	19417875
0.308	19417875
0.309	19417875
0.31	19417875
0.311	19417875
0.312	19417875
0.313	19109972
0.314	19109972
0.315	19109972
0.316	19109972
0.317	19109972
0.318	19109972
0.319	19109972
0.32	19109972
0.321	18867318
0.322	18867318
0.323	18867318
0.324	18867318
0.325	18867318
0.326	18867318
0.327	18867318
0.328	18867318
0.329	18867318
0.33	17866152
0.331	17866152
0.332	17866152
0.333	17866152
0.334	17866152
0.335	17866152
0.336	17866152
0.337	17343500
0.338	17343500
0.339	17343500
0.34	17343500
0.341	17343500
0.342	17343500
0.343	17343500
0.344	17343500
0.345	17132793
0.346	17132793
0.347	17132793
0.348	17132793
0.349	17132793
0.35	17132793
0.351	17132793
0.352	17132793
0.353	16806827
0.354	16806827
0.355	16806827
0.356	16806827
0.357	16806827
0.358	16806827
0.359	16806827
0.36	16742007
0.361	16742007
0.362	16742007
0.363	16742007
0.364	16742007
0.365	16742007
0.366	16742007
0.367	16271059
0.368	16271059
0.369	16271059
0.37	16271059
0.371	16271059
0.372	16271059
0.373	16271059
0.374	16271059
0.375	16086884
0.376	16086884
0.377	16086884
0.378	16086884
0.379	16086884
0.38	16086884
0.381	16086884
0.382	15845781
0.383	15845781
0.384	15845781
0.385	15845781
0.386	15845781
0.387	15845781
0.388	15845781
0.389	15784514
0.39	15784514
0.391	15784514
0.392	15784514
0.393	15784514
0.394	15784514
0.395	15784514
0.396	15774734
0.397	15774734
0.398	15774734
0.399	15774734
0.4	15774734
0.401	15774734
0.402	15774734
0.403	15701626
0.404	15701626
0.405	15701626
0.406	15701626
0.407	15701626
0.408	15701626
0.409	15701626
0.41	15297571
0.411	15297571
0.412	15297571
0.413	15297571
0.414	15297571
0.415	15297571
0.416	14850469
0.417	14850469
0.418	14850469
0.419	14850469
0.42	14850469
0.421	14850469
0.422	14850469
0.423	14764412
0.424	14764412
0.425	14764412
0.426	14764412
0.427	14764412
0.428	14764412
0.429	14627237
0.43	14627237
0.431	14627237
0.432	14627237
0.433	14627237
0.434	14627237
0.435	14627237
0.436	14452586
0.437	14452586
0.438	14452586
0.439	14452586
0.44	14452586
0.441	14452586
0.442	14331385
0.443	14331385
0.444	14331385
0.445	14331385
0.446	14331385
0.447	14331385
0.448	14299704
0.449	14299704
0.45	14299704
0.451	14299704
0.452	14299704
0.453	14299704
0.454	14299704
0.455	14103447
0.456	14103447
0.457	14103447
0.458	14103447
0.459	14103447
0.46	14103447
0.461	13842945
0.462	13842945
0.463	13842945
0.464	13842945
0.465	13842945
0.466	13842945
0.467	13730378
0.468	13730378
0.469	13730378
0.47	13730378
0.471	13730378
0.472	13730378
0.473	13531856
0.474	13531856
0.475	13531856
0.476	13531856
0.477	13531856
0.478	13531856
0.479	13267178
0.48	13267178
0.481	13267178
0.482	13267178
0.483	13267178
0.484	13267178
0.485	13026736
0.486	13026736
0.487	13026736
0.488	13026736
0.489	13026736
0.49	13026736
0.491	12868897
0.492	12868897
0.493	12868897
0.494	12868897
0.495	12868897
0.496	12863190
0.497	12863190
0.498	12863190
0.499	12863190
0.5	12863190
0.501	12863190
0.502	12545547
0.503	12545547
0.504	12545547
0.505	12545547
0.506	12545547
0.507	12545547
0.508	12332829
0.509	12332829
0.51	12332829
0.511	12332829
0.512	12332829
0.513	12139556
0.514	12139556
0.515	12139556
0.516	12139556
0.517	12139556
0.518	12082507
0.519	12082507
0.52	12082507
0.521	12082507
0.522	12082507
0.523	12082507
0.524	11860862
0.525	11860862
0.526	11860862
0.527	11860862
0.528	11860862
0.529	11767130
0.53	11767130
0.531	11767130
