fraction	Nx_length
0.001	107684605
0.002	107684605
0.003	107684605
0.004	107684605
0.005	107684605
0.006	107684605
0.007	107684605
0.008	107684605
0.009	107684605
0.01	107684605
0.011	107684605
0.012	107684605
0.013	107684605
0.014	107684605
0.015	107684605
0.016	107684605
0.017	107684605
0.018	107684605
0.019	107684605
0.02	107684605
0.021	107684605
0.022	107684605
0.023	107684605
0.024	107684605
0.025	107684605
0.026	107684605
0.027	107684605
0.028	107684605
0.029	107684605
0.03	107684605
0.031	107684605
0.032	107684605
0.033	107684605
0.034	107684605
0.035	107684605
0.036	107684605
0.037	107684605
0.038	107684605
0.039	107684605
0.04	107684605
0.041	107684605
0.042	107684605
0.043	107684605
0.044	107684605
0.045	107684605
0.046	107684605
0.047	107684605
0.048	107684605
0.049	107684605
0.05	107684605
0.051	101885488
0.052	101885488
0.053	101885488
0.054	101885488
0.055	101885488
0.056	101885488
0.057	101885488
0.058	101885488
0.059	101885488
0.06	101885488
0.061	101885488
0.062	101885488
0.063	101885488
0.064	101885488
0.065	101885488
0.066	101885488
0.067	101885488
0.068	101885488
0.069	101885488
0.07	101885488
0.071	101885488
0.072	101885488
0.073	101885488
0.074	101885488
0.075	101885488
0.076	101885488
0.077	101885488
0.078	101885488
0.079	101885488
0.08	101885488
0.081	101885488
0.082	101885488
0.083	101885488
0.084	101885488
0.085	101885488
0.086	101885488
0.087	101885488
0.088	101885488
0.089	101885488
0.09	101885488
0.091	101885488
0.092	101885488
0.093	101885488
0.094	101885488
0.095	101885488
0.096	101885488
0.097	101885488
0.098	101885488
0.099	98250160
0.1	98250160
0.101	98250160
0.102	98250160
0.103	98250160
0.104	98250160
0.105	98250160
0.106	98250160
0.107	98250160
0.108	98250160
0.109	98250160
0.11	98250160
0.111	98250160
0.112	98250160
0.113	98250160
0.114	98250160
0.115	98250160
0.116	98250160
0.117	98250160
0.118	98250160
0.119	98250160
0.12	98250160
0.121	98250160
0.122	98250160
0.123	98250160
0.124	98250160
0.125	98250160
0.126	98250160
0.127	98250160
0.128	98250160
0.129	98250160
0.13	98250160
0.131	98250160
0.132	98250160
0.133	98250160
0.134	98250160
0.135	98250160
0.136	98250160
0.137	98250160
0.138	98250160
0.139	98250160
0.14	98250160
0.141	98250160
0.142	98250160
0.143	98250160
0.144	98250160
0.145	98250160
0.146	84205346
0.147	84205346
0.148	84205346
0.149	84205346
0.15	84205346
0.151	84205346
0.152	84205346
0.153	84205346
0.154	84205346
0.155	84205346
0.156	84205346
0.157	84205346
0.158	84205346
0.159	84205346
0.16	84205346
0.161	84205346
0.162	84205346
0.163	84205346
0.164	84205346
0.165	84205346
0.166	84205346
0.167	84205346
0.168	84205346
0.169	84205346
0.17	84205346
0.171	84205346
0.172	84205346
0.173	84205346
0.174	84205346
0.175	84205346
0.176	84205346
0.177	84205346
0.178	84205346
0.179	84205346
0.18	84205346
0.181	84205346
0.182	84205346
0.183	84205346
0.184	84205346
0.185	79444439
0.186	79444439
0.187	79444439
0.188	79444439
0.189	79444439
0.19	79444439
0.191	79444439
0.192	79444439
0.193	79444439
0.194	79444439
0.195	79444439
0.196	79444439
0.197	79444439
0.198	79444439
0.199	79444439
0.2	79444439
0.201	79444439
0.202	79444439
0.203	79444439
0.204	79444439
0.205	79444439
0.206	79444439
0.207	79444439
0.208	79444439
0.209	79444439
0.21	79444439
0.211	79444439
0.212	79444439
0.213	79444439
0.214	79444439
0.215	79444439
0.216	79444439
0.217	79444439
0.218	79444439
0.219	79444439
0.22	79444439
0.221	79444439
0.222	79444439
0.223	66838417
0.224	66838417
0.225	66838417
0.226	66838417
0.227	66838417
0.228	66838417
0.229	66838417
0.23	66838417
0.231	66838417
0.232	66838417
0.233	66838417
0.234	66838417
0.235	66838417
0.236	66838417
0.237	66838417
0.238	66838417
0.239	66838417
0.24	66838417
0.241	66838417
0.242	66838417
0.243	66838417
0.244	66838417
0.245	66838417
0.246	66838417
0.247	66838417
0.248	66838417
0.249	66838417
0.25	66838417
0.251	66838417
0.252	66838417
0.253	66838417
0.254	65798370
0.255	65798370
0.256	65798370
0.257	65798370
0.258	65798370
0.259	65798370
0.26	65798370
0.261	65798370
0.262	65798370
0.263	65798370
0.264	65798370
0.265	65798370
0.266	65798370
0.267	65798370
0.268	65798370
0.269	65798370
