fraction	Nx_length
0.001	153590138
0.002	153590138
0.003	153590138
0.004	153590138
0.005	153590138
0.006	153590138
0.007	153590138
0.008	153590138
0.009	153590138
0.01	153590138
0.011	153590138
0.012	153590138
0.013	153590138
0.014	153590138
0.015	153590138
0.016	153590138
0.017	153590138
0.018	153590138
0.019	153590138
0.02	153590138
0.021	153590138
0.022	153590138
0.023	153590138
0.024	153590138
0.025	153590138
0.026	153590138
0.027	153590138
0.028	153590138
0.029	153590138
0.03	153590138
0.031	153590138
0.032	153590138
0.033	153590138
0.034	153590138
0.035	153590138
0.036	153590138
0.037	153590138
0.038	153590138
0.039	153590138
0.04	153590138
0.041	153590138
0.042	153590138
0.043	153590138
0.044	153590138
0.045	153590138
0.046	153590138
0.047	153590138
0.048	153590138
0.049	153590138
0.05	153590138
0.051	153590138
0.052	153590138
0.053	153590138
0.054	153590138
0.055	153590138
0.056	153590138
0.057	153590138
0.058	153590138
0.059	153590138
0.06	153590138
0.061	153590138
0.062	153590138
0.063	153590138
0.064	153590138
0.065	153590138
0.066	153590138
0.067	153590138
0.068	153590138
0.069	153590138
0.07	153590138
0.071	153590138
0.072	153590138
0.073	153590138
0.074	153590138
0.075	153590138
0.076	153590138
0.077	153590138
0.078	153590138
0.079	153590138
0.08	153590138
0.081	153590138
0.082	153590138
0.083	153590138
0.084	153590138
0.085	153590138
0.086	135647970
0.087	135647970
0.088	135647970
0.089	135647970
0.09	135647970
0.091	135647970
0.092	135647970
0.093	135647970
0.094	135647970
0.095	135647970
0.096	135647970
0.097	135647970
0.098	135647970
0.099	135647970
0.1	135647970
0.101	135647970
0.102	135647970
0.103	135647970
0.104	135647970
0.105	135647970
0.106	135647970
0.107	135647970
0.108	135647970
0.109	135647970
0.11	135647970
0.111	135647970
0.112	135647970
0.113	135647970
0.114	135647970
0.115	135647970
0.116	135647970
0.117	135647970
0.118	135647970
0.119	135647970
0.12	135647970
0.121	135647970
0.122	135647970
0.123	135647970
0.124	135647970
0.125	135647970
0.126	135647970
0.127	135647970
0.128	135647970
0.129	135647970
0.13	135647970
0.131	135647970
0.132	135647970
0.133	135647970
0.134	135647970
0.135	135647970
0.136	135647970
0.137	135647970
0.138	135647970
0.139	135647970
0.14	135647970
0.141	135647970
0.142	135647970
0.143	135647970
0.144	135647970
0.145	135647970
0.146	135647970
0.147	135647970
0.148	135647970
0.149	135647970
0.15	135647970
0.151	135647970
0.152	135647970
0.153	135647970
0.154	135647970
0.155	135647970
0.156	135647970
0.157	135647970
0.158	135647970
0.159	135647970
0.16	135647970
0.161	135647970
0.162	117240367
0.163	117240367
0.164	117240367
0.165	117240367
0.166	117240367
0.167	117240367
0.168	117240367
0.169	117240367
0.17	117240367
0.171	117240367
0.172	117240367
0.173	117240367
0.174	117240367
0.175	117240367
0.176	117240367
0.177	117240367
0.178	117240367
0.179	117240367
0.18	117240367
0.181	117240367
0.182	117240367
0.183	117240367
0.184	117240367
0.185	117240367
0.186	117240367
0.187	117240367
0.188	117240367
0.189	117240367
0.19	117240367
0.191	117240367
0.192	117240367
0.193	117240367
0.194	117240367
0.195	117240367
0.196	117240367
0.197	117240367
0.198	117240367
0.199	117240367
0.2	117240367
0.201	117240367
0.202	117240367
0.203	117240367
0.204	117240367
0.205	117240367
0.206	117240367
0.207	117240367
0.208	117240367
0.209	117240367
0.21	117240367
0.211	117240367
0.212	117240367
0.213	117240367
0.214	117240367
0.215	117240367
0.216	117240367
0.217	117240367
0.218	117240367
0.219	117240367
0.22	117240367
0.221	117240367
0.222	117240367
0.223	117240367
0.224	117240367
0.225	117240367
0.226	117240367
0.227	117240367
0.228	115758683
0.229	115758683
0.23	115758683
0.231	115758683
0.232	115758683
0.233	115758683
0.234	115758683
0.235	115758683
0.236	115758683
0.237	115758683
0.238	115758683
0.239	115758683
0.24	115758683
0.241	115758683
0.242	115758683
0.243	115758683
0.244	115758683
0.245	115758683
0.246	115758683
0.247	115758683
0.248	115758683
0.249	115758683
0.25	115758683
0.251	115758683
0.252	115758683
0.253	115758683
0.254	115758683
0.255	115758683
0.256	115758683
0.257	115758683
0.258	115758683
0.259	115758683
0.26	115758683
0.261	115758683
0.262	115758683
0.263	115758683
0.264	115758683
0.265	115758683
0.266	115758683
0.267	115758683
0.268	115758683
0.269	115758683
0.27	115758683
0.271	115758683
0.272	115758683
0.273	115758683
0.274	115758683
0.275	115758683
0.276	115758683
0.277	115758683
0.278	115758683
0.279	115758683
0.28	115758683
0.281	115758683
0.282	115758683
0.283	115758683
0.284	115758683
0.285	115758683
0.286	115758683
0.287	115758683
0.288	115758683
0.289	115758683
0.29	115758683
0.291	115758683
0.292	108530467
0.293	108530467
0.294	108530467
0.295	108530467
0.296	108530467
0.297	108530467
0.298	108530467
0.299	108530467
0.3	108530467
0.301	108530467
0.302	108530467
0.303	108530467
0.304	108530467
0.305	108530467
0.306	108530467
0.307	108530467
0.308	108530467
0.309	108530467
0.31	108530467
0.311	108530467
0.312	108530467
0.313	108530467
0.314	108530467
0.315	108530467
0.316	108530467
0.317	108530467
0.318	108530467
0.319	108530467
0.32	108530467
0.321	108530467
0.322	108530467
0.323	108530467
0.324	108530467
0.325	108530467
0.326	108530467
0.327	108530467
0.328	108530467
0.329	108530467
0.33	108530467
0.331	108530467
0.332	108530467
0.333	108530467
0.334	108530467
0.335	108530467
0.336	108530467
0.337	108530467
0.338	108530467
0.339	108530467
0.34	108530467
0.341	108530467
0.342	108530467
0.343	108530467
0.344	108530467
0.345	108530467
0.346	108530467
0.347	108530467
0.348	108530467
0.349	108530467
0.35	108530467
0.351	108530467
0.352	108530467
0.353	107858850
0.354	107858850
0.355	107858850
0.356	107858850
0.357	107858850
0.358	107858850
0.359	107858850
0.36	107858850
0.361	107858850
0.362	107858850
0.363	107858850
0.364	107858850
0.365	107858850
0.366	107858850
0.367	107858850
0.368	107858850
0.369	107858850
0.37	107858850
0.371	107858850
0.372	107858850
0.373	107858850
0.374	107858850
0.375	107858850
0.376	107858850
0.377	107858850
0.378	107858850
0.379	107858850
0.38	107858850
0.381	107858850
0.382	107858850
0.383	107858850
0.384	107858850
0.385	107858850
0.386	107858850
0.387	107858850
0.388	107858850
0.389	107858850
0.39	107858850
0.391	107858850
0.392	107858850
0.393	107858850
0.394	107858850
0.395	107858850
0.396	107858850
0.397	107858850
0.398	107858850
0.399	107858850
0.4	107858850
0.401	107858850
0.402	107858850
0.403	107858850
0.404	107858850
0.405	107858850
0.406	107858850
0.407	107858850
0.408	107858850
0.409	107858850
0.41	107858850
0.411	107858850
0.412	107858850
0.413	91519817
0.414	91519817
0.415	91519817
0.416	91519817
0.417	91519817
0.418	91519817
0.419	91519817
0.42	91519817
0.421	91519817
0.422	91519817
0.423	91519817
0.424	91519817
0.425	91519817
0.426	91519817
0.427	91519817
0.428	91519817
0.429	91519817
0.43	91519817
0.431	91519817
0.432	91519817
0.433	91519817
0.434	91519817
0.435	91519817
0.436	91519817
0.437	91519817
0.438	91519817
0.439	91519817
0.44	91519817
0.441	91519817
0.442	91519817
0.443	91519817
0.444	91519817
0.445	91519817
0.446	91519817
0.447	91519817
0.448	91519817
0.449	91519817
0.45	91519817
0.451	91519817
0.452	91519817
0.453	91519817
0.454	91519817
0.455	91519817
0.456	91519817
0.457	91519817
0.458	91519817
0.459	91519817
0.46	91519817
0.461	91519817
0.462	91519817
0.463	91519817
0.464	85762895
0.465	85762895
0.466	85762895
0.467	85762895
0.468	85762895
0.469	85762895
0.47	85762895
0.471	85762895
0.472	85762895
0.473	85762895
0.474	85762895
0.475	85762895
0.476	85762895
0.477	85762895
0.478	85762895
0.479	85762895
0.48	85762895
0.481	85762895
0.482	85762895
0.483	85762895
0.484	85762895
0.485	85762895
0.486	85762895
0.487	85762895
0.488	85762895
0.489	85762895
0.49	85762895
0.491	85762895
0.492	85762895
0.493	85762895
0.494	85762895
0.495	85762895
0.496	85762895
0.497	85762895
0.498	85762895
0.499	85762895
0.5	85762895
0.501	85762895
0.502	85762895
0.503	85762895
0.504	85762895
0.505	85762895
0.506	85762895
0.507	85762895
0.508	85762895
0.509	85762895
0.51	85762895
0.511	85762895
0.512	76495552
0.513	76495552
0.514	76495552
0.515	76495552
0.516	76495552
0.517	76495552
0.518	76495552
0.519	76495552
0.52	76495552
0.521	76495552
0.522	76495552
0.523	76495552
0.524	76495552
0.525	76495552
0.526	76495552
0.527	76495552
0.528	76495552
0.529	76495552
0.53	76495552
0.531	76495552
0.532	76495552
0.533	76495552
0.534	76495552
0.535	76495552
0.536	76495552
0.537	76495552
0.538	76495552
0.539	76495552
0.54	76495552
0.541	76495552
0.542	76495552
0.543	76495552
0.544	76495552
0.545	76495552
0.546	76495552
0.547	76495552
0.548	76495552
0.549	76495552
0.55	76495552
0.551	76495552
0.552	76495552
0.553	76495552
0.554	76495552
0.555	76140164
0.556	76140164
0.557	76140164
0.558	76140164
0.559	76140164
0.56	76140164
0.561	76140164
0.562	76140164
0.563	76140164
0.564	76140164
0.565	76140164
0.566	76140164
0.567	76140164
0.568	76140164
0.569	76140164
