fraction	Nx_length
0.001	43872830
0.002	43872830
0.003	43872830
0.004	43872830
0.005	43872830
0.006	43872830
0.007	43872830
0.008	43872830
0.009	43872830
0.01	43872830
0.011	43872830
0.012	43872830
0.013	43872830
0.014	43872830
0.015	43872830
0.016	43872830
0.017	43872830
0.018	43872830
0.019	28196505
0.02	28196505
0.021	28196505
0.022	28196505
0.023	28196505
0.024	28196505
0.025	28196505
0.026	28196505
0.027	28196505
0.028	28196505
0.029	28196505
0.03	28196505
0.031	26644976
0.032	26644976
0.033	26644976
0.034	26644976
0.035	26644976
0.036	26644976
0.037	26644976
0.038	26644976
0.039	26644976
0.04	26644976
0.041	26644976
0.042	25973844
0.043	25973844
0.044	25973844
0.045	25973844
0.046	25973844
0.047	25973844
0.048	25973844
0.049	25973844
0.05	25973844
0.051	25973844
0.052	25973844
0.053	23869920
0.054	23869920
0.055	23869920
0.056	23869920
0.057	23869920
0.058	23869920
0.059	23869920
0.06	23869920
0.061	23869920
0.062	23869920
0.063	23817290
0.064	23817290
0.065	23817290
0.066	23817290
0.067	23817290
0.068	23817290
0.069	23817290
0.07	23817290
0.071	23817290
0.072	23817290
0.073	23150706
0.074	23150706
0.075	23150706
0.076	23150706
0.077	23150706
0.078	23150706
0.079	23150706
0.08	23150706
0.081	23150706
0.082	23150706
0.083	22273837
0.084	22273837
0.085	22273837
0.086	22273837
0.087	22273837
0.088	22273837
0.089	22273837
0.09	22273837
0.091	22273837
0.092	20837734
0.093	20837734
0.094	20837734
0.095	20837734
0.096	20837734
0.097	20837734
0.098	20837734
0.099	20837734
0.1	20837734
0.101	20043891
0.102	20043891
0.103	20043891
0.104	20043891
0.105	20043891
0.106	20043891
0.107	20043891
0.108	20043891
0.109	20043891
0.11	20012686
0.111	20012686
0.112	20012686
0.113	20012686
0.114	20012686
0.115	20012686
0.116	20012686
0.117	20012686
0.118	19504327
0.119	19504327
0.12	19504327
0.121	19504327
0.122	19504327
0.123	19504327
0.124	19504327
0.125	19504327
0.126	19268956
0.127	19268956
0.128	19268956
0.129	19268956
0.13	19268956
0.131	19268956
0.132	19268956
0.133	19268956
0.134	18675875
0.135	18675875
0.136	18675875
0.137	18675875
0.138	18675875
0.139	18675875
0.14	18675875
0.141	18675875
0.142	17834181
0.143	17834181
0.144	17834181
0.145	17834181
