fraction	Nx_length
0.001	138109357
0.002	138109357
0.003	138109357
0.004	138109357
0.005	138109357
0.006	138109357
0.007	138109357
0.008	138109357
0.009	138109357
0.01	138109357
0.011	138109357
0.012	138109357
0.013	138109357
0.014	138109357
0.015	138109357
0.016	138109357
0.017	138109357
0.018	138109357
0.019	138109357
0.02	138109357
0.021	138109357
0.022	138109357
0.023	138109357
0.024	138109357
0.025	138109357
0.026	138109357
0.027	138109357
0.028	138109357
0.029	138109357
0.03	138109357
0.031	138109357
0.032	138109357
0.033	138109357
0.034	138109357
0.035	138109357
0.036	138109357
0.037	138109357
0.038	138109357
0.039	138109357
0.04	138109357
0.041	138109357
0.042	138109357
0.043	138109357
0.044	138109357
0.045	138109357
0.046	138109357
0.047	138109357
0.048	138109357
0.049	138109357
0.05	138109357
0.051	138109357
0.052	138109357
0.053	138109357
0.054	138109357
0.055	138109357
0.056	138109357
0.057	138109357
0.058	138109357
0.059	138109357
0.06	138109357
0.061	138109357
0.062	138109357
0.063	133801003
0.064	133801003
0.065	133801003
0.066	133801003
0.067	133801003
0.068	133801003
0.069	133801003
0.07	133801003
0.071	133801003
0.072	133801003
0.073	133801003
0.074	133801003
0.075	133801003
0.076	133801003
0.077	133801003
0.078	133801003
0.079	133801003
0.08	133801003
0.081	133801003
0.082	133801003
0.083	133801003
0.084	133801003
0.085	133801003
0.086	133801003
0.087	133801003
0.088	133801003
0.089	133801003
0.09	133801003
0.091	133801003
0.092	133801003
0.093	133801003
0.094	133801003
0.095	133801003
0.096	133801003
0.097	133801003
0.098	133801003
0.099	133801003
0.1	133801003
0.101	133801003
0.102	133801003
0.103	133801003
0.104	133801003
0.105	133801003
0.106	133801003
0.107	133801003
0.108	133801003
0.109	133801003
0.11	133801003
0.111	133801003
0.112	133801003
0.113	133801003
0.114	133801003
0.115	133801003
0.116	133801003
0.117	133801003
0.118	133801003
0.119	133801003
0.12	133801003
0.121	133801003
0.122	133801003
0.123	133801003
0.124	119027867
0.125	119027867
0.126	119027867
0.127	119027867
0.128	119027867
0.129	119027867
0.13	119027867
0.131	119027867
0.132	119027867
0.133	119027867
0.134	119027867
0.135	119027867
0.136	119027867
0.137	119027867
0.138	119027867
0.139	119027867
0.14	119027867
0.141	119027867
0.142	119027867
0.143	119027867
0.144	119027867
0.145	119027867
0.146	119027867
0.147	119027867
0.148	119027867
0.149	119027867
0.15	119027867
0.151	119027867
0.152	119027867
0.153	119027867
0.154	119027867
0.155	119027867
0.156	119027867
0.157	119027867
0.158	119027867
0.159	119027867
0.16	119027867
0.161	119027867
0.162	119027867
0.163	119027867
0.164	119027867
0.165	119027867
0.166	119027867
0.167	119027867
0.168	119027867
0.169	119027867
0.17	119027867
0.171	119027867
0.172	119027867
0.173	119027867
0.174	119027867
0.175	119027867
0.176	119027867
0.177	114296862
0.178	114296862
0.179	114296862
0.18	114296862
0.181	114296862
0.182	114296862
0.183	114296862
0.184	114296862
0.185	114296862
0.186	114296862
0.187	114296862
0.188	114296862
0.189	114296862
0.19	114296862
0.191	114296862
0.192	114296862
0.193	114296862
0.194	114296862
0.195	114296862
0.196	114296862
0.197	114296862
0.198	114296862
0.199	114296862
0.2	114296862
0.201	114296862
0.202	114296862
0.203	114296862
0.204	114296862
0.205	114296862
0.206	114296862
0.207	114296862
