fraction	Nx_length
0.001	176114710
0.002	176114710
0.003	176114710
0.004	176114710
0.005	176114710
0.006	176114710
0.007	176114710
0.008	176114710
0.009	176114710
0.01	176114710
0.011	176114710
0.012	176114710
0.013	176114710
0.014	176114710
0.015	176114710
0.016	176114710
0.017	176114710
0.018	176114710
0.019	176114710
0.02	176114710
0.021	176114710
0.022	176114710
0.023	176114710
0.024	176114710
0.025	176114710
0.026	176114710
0.027	176114710
0.028	176114710
0.029	176114710
0.03	176114710
0.031	176114710
0.032	176114710
0.033	176114710
0.034	176114710
0.035	176114710
0.036	176114710
0.037	176114710
0.038	176114710
0.039	176114710
0.04	176114710
0.041	176114710
0.042	176114710
0.043	176114710
0.044	176114710
0.045	176114710
0.046	176114710
0.047	176114710
0.048	176114710
0.049	176114710
0.05	176114710
0.051	176114710
0.052	176114710
0.053	176114710
0.054	176114710
0.055	176114710
0.056	176114710
0.057	176114710
0.058	176114710
0.059	176114710
0.06	176114710
0.061	176114710
0.062	176114710
0.063	176114710
0.064	176114710
0.065	176114710
0.066	176114710
0.067	176114710
0.068	176114710
0.069	176114710
0.07	176114710
0.071	176114710
0.072	176114710
0.073	176114710
0.074	176114710
0.075	176114710
0.076	176114710
0.077	155992022
0.078	155992022
0.079	155992022
0.08	155992022
0.081	155992022
0.082	155992022
0.083	155992022
0.084	155992022
0.085	155992022
0.086	155992022
0.087	155992022
0.088	155992022
0.089	155992022
0.09	155992022
0.091	155992022
0.092	155992022
0.093	155992022
0.094	155992022
0.095	155992022
0.096	155992022
0.097	155992022
0.098	155992022
0.099	155992022
0.1	155992022
0.101	155992022
0.102	155992022
0.103	155992022
0.104	155992022
0.105	155992022
0.106	155992022
0.107	155992022
0.108	155992022
0.109	155992022
0.11	155992022
0.111	155992022
0.112	155992022
0.113	155992022
0.114	155992022
0.115	155992022
0.116	155992022
0.117	155992022
0.118	155992022
0.119	155992022
0.12	155992022
0.121	155992022
0.122	155992022
0.123	155992022
0.124	155992022
0.125	155992022
0.126	155992022
0.127	155992022
0.128	155992022
0.129	155992022
0.13	155992022
0.131	155992022
0.132	155992022
