fraction	Nx_length
0.001	293101636
0.002	293101636
0.003	293101636
0.004	293101636
0.005	293101636
0.006	293101636
0.007	293101636
0.008	293101636
0.009	293101636
0.01	293101636
0.011	293101636
0.012	293101636
0.013	293101636
0.014	293101636
0.015	293101636
0.016	293101636
0.017	293101636
0.018	293101636
0.019	293101636
0.02	293101636
0.021	293101636
0.022	293101636
0.023	293101636
0.024	293101636
0.025	293101636
0.026	293101636
0.027	293101636
0.028	293101636
0.029	293101636
0.03	293101636
0.031	293101636
0.032	293101636
0.033	293101636
0.034	293101636
0.035	293101636
0.036	293101636
0.037	293101636
0.038	293101636
0.039	293101636
0.04	293101636
0.041	293101636
0.042	293101636
0.043	293101636
0.044	293101636
0.045	293101636
0.046	293101636
0.047	293101636
0.048	293101636
0.049	293101636
0.05	293101636
0.051	293101636
0.052	293101636
0.053	293101636
0.054	293101636
0.055	293101636
0.056	293101636
0.057	293101636
0.058	293101636
0.059	293101636
0.06	293101636
0.061	293101636
0.062	293101636
0.063	293101636
0.064	293101636
0.065	293101636
0.066	293101636
0.067	293101636
0.068	293101636
0.069	293101636
0.07	293101636
0.071	293101636
0.072	293101636
0.073	293101636
0.074	293101636
0.075	293101636
0.076	293101636
0.077	293101636
0.078	293101636
0.079	293101636
0.08	293101636
0.081	293101636
0.082	293101636
0.083	293101636
0.084	293101636
0.085	293101636
0.086	293101636
0.087	293101636
0.088	293101636
0.089	293101636
0.09	293101636
0.091	293101636
0.092	293101636
0.093	293101636
0.094	293101636
0.095	293101636
0.096	293101636
0.097	293101636
0.098	293101636
0.099	293101636
0.1	293101636
0.101	293101636
0.102	293101636
0.103	293101636
0.104	293101636
0.105	293101636
0.106	293101636
0.107	293101636
0.108	293101636
0.109	293101636
0.11	293101636
0.111	293101636
0.112	293101636
0.113	293101636
0.114	293101636
0.115	293101636
0.116	293101636
0.117	293101636
0.118	293101636
0.119	293101636
0.12	293101636
0.121	293101636
0.122	293101636
0.123	293101636
0.124	293101636
0.125	293101636
0.126	293101636
0.127	293101636
0.128	293101636
0.129	293101636
0.13	293101636
0.131	293101636
0.132	293101636
0.133	293101636
0.134	293101636
0.135	293101636
0.136	293101636
0.137	293101636
0.138	293101636
0.139	293101636
0.14	293101636
0.141	293101636
0.142	293101636
0.143	293101636
0.144	293101636
0.145	293101636
0.146	293101636
0.147	293101636
0.148	293101636
0.149	293101636
0.15	293101636
