fraction	Nx_length
0.001	424399289
0.002	424399289
0.003	424399289
0.004	424399289
0.005	424399289
0.006	424399289
0.007	424399289
0.008	424399289
0.009	424399289
0.01	424399289
0.011	424399289
0.012	424399289
0.013	424399289
0.014	424399289
0.015	424399289
0.016	424399289
0.017	424399289
0.018	424399289
0.019	424399289
0.02	424399289
0.021	424399289
0.022	424399289
0.023	424399289
0.024	424399289
0.025	424399289
0.026	424399289
0.027	424399289
0.028	424399289
0.029	424399289
0.03	424399289
0.031	424399289
0.032	424399289
0.033	424399289
0.034	424399289
0.035	424399289
0.036	424399289
0.037	424399289
0.038	424399289
0.039	424399289
0.04	424399289
0.041	424399289
0.042	424399289
0.043	424399289
0.044	424399289
0.045	424399289
0.046	424399289
0.047	424399289
0.048	424399289
0.049	424399289
0.05	424399289
0.051	424399289
0.052	424399289
0.053	424399289
0.054	424399289
0.055	424399289
0.056	424399289
0.057	424399289
0.058	424399289
0.059	424399289
0.06	424399289
0.061	424399289
0.062	424399289
0.063	424399289
0.064	424399289
0.065	424399289
0.066	424399289
0.067	424399289
0.068	424399289
0.069	424399289
0.07	424399289
0.071	424399289
0.072	424399289
0.073	424399289
0.074	424399289
0.075	424399289
0.076	424399289
0.077	424399289
0.078	424399289
0.079	424399289
0.08	424399289
0.081	424399289
0.082	424399289
0.083	424399289
0.084	424399289
0.085	424399289
0.086	424399289
0.087	424399289
0.088	424399289
0.089	424399289
0.09	424399289
0.091	424399289
0.092	424399289
0.093	424399289
0.094	424399289
0.095	424399289
0.096	424399289
0.097	424399289
0.098	424399289
0.099	424399289
0.1	424399289
0.101	424399289
0.102	424399289
0.103	424399289
0.104	424399289
0.105	424399289
0.106	424399289
0.107	424399289
0.108	424399289
0.109	424399289
0.11	424399289
0.111	424399289
0.112	424399289
0.113	424399289
0.114	424399289
0.115	424399289
0.116	424399289
0.117	424399289
0.118	424399289
0.119	424399289
0.12	424399289
0.121	424399289
0.122	424399289
0.123	424399289
0.124	424399289
0.125	424399289
0.126	424399289
0.127	424399289
0.128	424399289
0.129	424399289
0.13	424399289
0.131	424399289
0.132	424399289
0.133	424399289
0.134	424399289
0.135	424399289
0.136	424399289
0.137	424399289
0.138	424399289
0.139	424399289
0.14	424399289
0.141	424399289
0.142	424399289
0.143	424399289
0.144	424399289
0.145	424399289
0.146	424399289
0.147	424399289
0.148	424399289
0.149	424399289
0.15	424399289
0.151	424399289
0.152	424399289
0.153	424399289
0.154	424399289
0.155	424399289
0.156	424399289
0.157	424399289
0.158	424399289
0.159	424399289
0.16	424399289
0.161	424399289
0.162	424399289
0.163	424399289
0.164	424399289
0.165	424399289
0.166	424399289
0.167	424399289
0.168	424399289
0.169	424399289
0.17	424399289
0.171	424399289
0.172	424399289
0.173	424399289
0.174	424399289
0.175	424399289
0.176	424399289
0.177	424399289
0.178	424399289
0.179	424399289
0.18	424399289
0.181	424399289
0.182	424399289
0.183	424399289
0.184	424399289
0.185	424399289
0.186	424399289
0.187	424399289
0.188	424399289
0.189	424399289
0.19	424399289
0.191	424399289
0.192	424399289
0.193	424399289
0.194	424399289
0.195	424399289
0.196	424399289
0.197	424399289
0.198	424399289
0.199	424399289
0.2	424399289
0.201	424399289
0.202	424399289
0.203	424399289
0.204	424399289
0.205	424399289
0.206	424399289
0.207	424399289
0.208	424399289
0.209	424399289
0.21	424399289
0.211	424399289
0.212	424399289
0.213	424399289
0.214	424399289
0.215	424399289
0.216	424399289
0.217	424399289
0.218	424399289
0.219	424399289
0.22	424399289
0.221	424399289
0.222	424399289
0.223	424399289
0.224	424399289
0.225	367818741
0.226	367818741
0.227	367818741
0.228	367818741
0.229	367818741
0.23	367818741
0.231	367818741
0.232	367818741
0.233	367818741
0.234	367818741
0.235	367818741
0.236	367818741
0.237	367818741
0.238	367818741
0.239	367818741
0.24	367818741
0.241	367818741
0.242	367818741
0.243	367818741
0.244	367818741
0.245	367818741
0.246	367818741
0.247	367818741
0.248	367818741
0.249	367818741
0.25	367818741
0.251	367818741
0.252	367818741
0.253	367818741
0.254	367818741
0.255	367818741
0.256	367818741
0.257	367818741
0.258	367818741
0.259	367818741
0.26	367818741
0.261	367818741
0.262	367818741
0.263	367818741
0.264	367818741
0.265	367818741
0.266	367818741
0.267	367818741
0.268	367818741
0.269	367818741
0.27	367818741
0.271	367818741
0.272	367818741
0.273	367818741
0.274	367818741
0.275	367818741
0.276	367818741
0.277	367818741
0.278	367818741
0.279	367818741
0.28	367818741
0.281	367818741
0.282	367818741
0.283	367818741
0.284	367818741
0.285	367818741
0.286	367818741
0.287	367818741
0.288	367818741
0.289	367818741
0.29	367818741
0.291	367818741
0.292	367818741
0.293	367818741
0.294	367818741
0.295	367818741
0.296	367818741
0.297	367818741
0.298	367818741
0.299	367818741
0.3	367818741
0.301	367818741
0.302	367818741
0.303	367818741
0.304	367818741
0.305	367818741
0.306	367818741
0.307	367818741
0.308	367818741
0.309	367818741
0.31	367818741
0.311	367818741
0.312	367818741
0.313	367818741
0.314	367818741
0.315	367818741
0.316	367818741
0.317	367818741
0.318	367818741
0.319	367818741
0.32	367818741
0.321	367818741
0.322	367818741
0.323	367818741
0.324	367818741
0.325	367818741
0.326	367818741
0.327	367818741
0.328	367818741
0.329	367818741
0.33	367818741
0.331	367818741
0.332	367818741
0.333	367818741
0.334	367818741
0.335	367818741
0.336	367818741
0.337	367818741
0.338	367818741
0.339	367818741
0.34	367818741
0.341	367818741
0.342	367818741
0.343	367818741
0.344	367818741
0.345	367818741
0.346	367818741
0.347	367818741
0.348	367818741
0.349	367818741
0.35	367818741
0.351	367818741
0.352	367818741
0.353	367818741
0.354	367818741
0.355	367818741
0.356	367818741
0.357	367818741
0.358	367818741
