fraction	Nx_length
0.001	170598524
0.002	170598524
0.003	170598524
0.004	170598524
0.005	170598524
0.006	170598524
0.007	170598524
0.008	170598524
0.009	170598524
0.01	170598524
0.011	170598524
0.012	170598524
0.013	170598524
0.014	170598524
0.015	170598524
0.016	170598524
0.017	170598524
0.018	170598524
0.019	170598524
0.02	170598524
0.021	170598524
0.022	170598524
0.023	170598524
0.024	170598524
0.025	170598524
0.026	170598524
0.027	170598524
0.028	170598524
0.029	170598524
0.03	170598524
0.031	170598524
0.032	170598524
0.033	170598524
0.034	170598524
0.035	170598524
0.036	170598524
0.037	170598524
0.038	170598524
0.039	170598524
0.04	170598524
0.041	170598524
0.042	170598524
0.043	170598524
0.044	170598524
0.045	170598524
0.046	170598524
0.047	170598524
0.048	170598524
0.049	170598524
0.05	170598524
0.051	170598524
0.052	170598524
0.053	170598524
0.054	170598524
0.055	170598524
0.056	170598524
0.057	170598524
0.058	170598524
0.059	170598524
0.06	170598524
0.061	170598524
0.062	170598524
0.063	170598524
0.064	170598524
0.065	170598524
0.066	170598524
0.067	170598524
0.068	170598524
0.069	170598524
0.07	170598524
0.071	170598524
0.072	170598524
0.073	170598524
0.074	158955375
0.075	158955375
0.076	158955375
0.077	158955375
0.078	158955375
0.079	158955375
0.08	158955375
0.081	158955375
0.082	158955375
0.083	158955375
0.084	158955375
0.085	158955375
0.086	158955375
0.087	158955375
0.088	158955375
0.089	158955375
0.09	158955375
0.091	158955375
0.092	158955375
0.093	158955375
0.094	158955375
0.095	158955375
0.096	158955375
0.097	158955375
0.098	158955375
0.099	158955375
0.1	158955375
0.101	158955375
0.102	158955375
0.103	158955375
0.104	158955375
0.105	158955375
0.106	158955375
0.107	158955375
0.108	158955375
0.109	158955375
0.11	158955375
0.111	158955375
0.112	158955375
0.113	158955375
0.114	158955375
0.115	158955375
0.116	158955375
0.117	158955375
0.118	158955375
0.119	158955375
0.12	158955375
0.121	158955375
0.122	158955375
0.123	158955375
0.124	158955375
0.125	158955375
0.126	158955375
0.127	158955375
0.128	158955375
0.129	158955375
0.13	158955375
0.131	158955375
0.132	158955375
0.133	158955375
0.134	158955375
0.135	158955375
0.136	158955375
0.137	158955375
0.138	158955375
0.139	158955375
0.14	158955375
0.141	158955375
0.142	127955000
0.143	127955000
0.144	127955000
0.145	127955000
0.146	127955000
0.147	127955000
0.148	127955000
0.149	127955000
0.15	127955000
0.151	127955000
0.152	127955000
0.153	127955000
0.154	127955000
0.155	127955000
0.156	127955000
0.157	127955000
0.158	127955000
0.159	127955000
0.16	127955000
0.161	127955000
0.162	127955000
0.163	127955000
0.164	127955000
0.165	127955000
0.166	127955000
0.167	127955000
0.168	127955000
0.169	127955000
0.17	127955000
0.171	127955000
0.172	127955000
0.173	127955000
0.174	127955000
0.175	127955000
0.176	127955000
0.177	127955000
0.178	127955000
0.179	127955000
0.18	127955000
0.181	127955000
0.182	127955000
0.183	127955000
0.184	127955000
0.185	127955000
0.186	127955000
0.187	127955000
0.188	127955000
0.189	127955000
0.19	127955000
0.191	127955000
0.192	127955000
0.193	127955000
0.194	127955000
0.195	127955000
0.196	127955000
0.197	123368278
0.198	123368278
0.199	123368278
0.2	123368278
0.201	123368278
0.202	123368278
0.203	123368278
0.204	123368278
0.205	123368278
0.206	123368278
0.207	123368278
0.208	123368278
0.209	123368278
0.21	123368278
0.211	123368278
0.212	123368278
0.213	123368278
0.214	123368278
0.215	123368278
0.216	123368278
0.217	123368278
0.218	123368278
0.219	123368278
0.22	123368278
0.221	123368278
0.222	123368278
0.223	123368278
0.224	123368278
0.225	123368278
0.226	123368278
0.227	123368278
0.228	123368278
0.229	123368278
0.23	123368278
0.231	123368278
0.232	123368278
0.233	123368278
0.234	123368278
0.235	123368278
0.236	123368278
0.237	123368278
0.238	123368278
0.239	123368278
0.24	123368278
0.241	123368278
0.242	123368278
0.243	123368278
0.244	123368278
0.245	123368278
0.246	123368278
0.247	123368278
0.248	123368278
0.249	123368278
0.25	120639653
0.251	120639653
0.252	120639653
0.253	120639653
0.254	120639653
0.255	120639653
0.256	120639653
0.257	120639653
0.258	120639653
0.259	120639653
0.26	120639653
0.261	120639653
0.262	120639653
0.263	120639653
0.264	120639653
0.265	120639653
0.266	120639653
0.267	120639653
0.268	120639653
0.269	120639653
0.27	120639653
0.271	120639653
0.272	120639653
0.273	120639653
0.274	120639653
0.275	120639653
0.276	120639653
0.277	120639653
0.278	120639653
0.279	120639653
0.28	120639653
0.281	120639653
0.282	120639653
0.283	120639653
0.284	120639653
0.285	120639653
0.286	120639653
0.287	120639653
0.288	120639653
0.289	120639653
0.29	120639653
0.291	120639653
0.292	120639653
0.293	120639653
0.294	120639653
0.295	120639653
0.296	120639653
0.297	120639653
0.298	120639653
0.299	120639653
0.3	120639653
0.301	120639653
0.302	119843179
0.303	119843179
0.304	119843179
0.305	119843179
0.306	119843179
0.307	119843179
0.308	119843179
0.309	119843179
0.31	119843179
0.311	119843179
0.312	119843179
0.313	119843179
0.314	119843179
0.315	119843179
0.316	119843179
0.317	119843179
0.318	119843179
0.319	119843179
0.32	119843179
0.321	119843179
0.322	119843179
0.323	119843179
0.324	119843179
0.325	119843179
0.326	119843179
0.327	119843179
0.328	119843179
0.329	119843179
0.33	119843179
0.331	119843179
0.332	119843179
0.333	119843179
0.334	119843179
0.335	119843179
0.336	119843179
0.337	119843179
0.338	119843179
0.339	119843179
0.34	119843179
0.341	119843179
0.342	119843179
0.343	119843179
0.344	119843179
0.345	119843179
0.346	119843179
0.347	119843179
0.348	119843179
0.349	119843179
0.35	119843179
0.351	119843179
0.352	119843179
0.353	107257995
0.354	107257995
0.355	107257995
0.356	107257995
0.357	107257995
0.358	107257995
0.359	107257995
0.36	107257995
0.361	107257995
0.362	107257995
0.363	107257995
0.364	107257995
0.365	107257995
0.366	107257995
0.367	107257995
0.368	107257995
0.369	107257995
0.37	107257995
0.371	107257995
0.372	107257995
0.373	107257995
0.374	107257995
0.375	107257995
0.376	107257995
0.377	107257995
0.378	107257995
0.379	107257995
0.38	107257995
0.381	107257995
0.382	107257995
0.383	107257995
0.384	107257995
0.385	107257995
0.386	107257995
0.387	107257995
0.388	107257995
0.389	107257995
0.39	107257995
0.391	107257995
0.392	107257995
0.393	107257995
0.394	107257995
0.395	107257995
0.396	107257995
0.397	107257995
0.398	107257995
0.399	106031302
0.4	106031302
0.401	106031302
0.402	106031302
0.403	106031302
0.404	106031302
0.405	106031302
0.406	106031302
0.407	106031302
0.408	106031302
0.409	106031302
0.41	106031302
0.411	106031302
0.412	106031302
0.413	106031302
0.414	106031302
0.415	106031302
0.416	106031302
0.417	106031302
0.418	106031302
0.419	106031302
0.42	106031302
0.421	106031302
0.422	106031302
0.423	106031302
0.424	106031302
0.425	106031302
0.426	106031302
0.427	106031302
0.428	106031302
0.429	106031302
0.43	106031302
0.431	106031302
0.432	106031302
0.433	106031302
0.434	106031302
0.435	106031302
0.436	106031302
0.437	106031302
0.438	106031302
0.439	106031302
0.44	106031302
0.441	106031302
0.442	106031302
0.443	106031302
0.444	106031302
0.445	90387917
0.446	90387917
0.447	90387917
0.448	90387917
0.449	90387917
0.45	90387917
0.451	90387917
0.452	90387917
0.453	90387917
0.454	90387917
0.455	90387917
0.456	90387917
0.457	90387917
0.458	90387917
0.459	90387917
0.46	90387917
0.461	90387917
0.462	90387917
0.463	90387917
0.464	90387917
0.465	90387917
0.466	90387917
0.467	90387917
0.468	90387917
0.469	90387917
0.47	90387917
0.471	90387917
0.472	90387917
0.473	90387917
0.474	90387917
0.475	90387917
0.476	90387917
0.477	90387917
0.478	90387917
0.479	90387917
0.48	90387917
0.481	90387917
0.482	90387917
0.483	90387917
0.484	84235120
0.485	84235120
0.486	84235120
0.487	84235120
0.488	84235120
0.489	84235120
0.49	84235120
0.491	84235120
0.492	84235120
0.493	84235120
0.494	84235120
0.495	84235120
0.496	84235120
0.497	84235120
0.498	84235120
0.499	84235120
0.5	84235120
0.501	84235120
0.502	84235120
0.503	84235120
0.504	84235120
0.505	84235120
0.506	84235120
0.507	84235120
0.508	84235120
0.509	84235120
0.51	84235120
0.511	84235120
0.512	84235120
0.513	84235120
0.514	84235120
0.515	84235120
0.516	84235120
0.517	84235120
0.518	84235120
0.519	84235120
0.52	74932120
0.521	74932120
0.522	74932120
0.523	74932120
0.524	74932120
0.525	74932120
0.526	74932120
0.527	74932120
0.528	74932120
0.529	74932120
0.53	74932120
0.531	74932120
0.532	74932120
0.533	74932120
0.534	74932120
0.535	74932120
0.536	74932120
0.537	74932120
0.538	74932120
0.539	74932120
0.54	74932120
0.541	74932120
0.542	74932120
0.543	74932120
0.544	74932120
0.545	74932120
0.546	74932120
0.547	74932120
0.548	74932120
0.549	74932120
0.55	74932120
0.551	74932120
0.552	73937581
0.553	73937581
0.554	73937581
0.555	73937581
0.556	73937581
0.557	73937581
0.558	73937581
0.559	73937581
0.56	73937581
0.561	73937581
0.562	73937581
0.563	73937581
0.564	73937581
0.565	73937581
0.566	73937581
0.567	73937581
0.568	73937581
0.569	73937581
0.57	73937581
0.571	73937581
0.572	73937581
0.573	73937581
0.574	73937581
0.575	73937581
0.576	73937581
0.577	73937581
0.578	73937581
0.579	73937581
0.58	73937581
0.581	73937581
0.582	73937581
0.583	73937581
0.584	61006306
0.585	61006306
0.586	61006306
0.587	61006306
0.588	61006306
0.589	61006306
0.59	61006306
0.591	61006306
0.592	61006306
0.593	61006306
0.594	61006306
0.595	61006306
0.596	61006306
0.597	61006306
0.598	61006306
0.599	61006306
0.6	61006306
0.601	61006306
0.602	61006306
0.603	61006306
0.604	61006306
0.605	61006306
0.606	61006306
0.607	61006306
0.608	61006306
0.609	61006306
0.61	55499651
0.611	55499651
0.612	55499651
0.613	55499651
0.614	55499651
0.615	55499651
0.616	55499651
0.617	55499651
0.618	55499651
0.619	55499651
0.62	55499651
0.621	55499651
0.622	55499651
0.623	55499651
0.624	55499651
0.625	55499651
0.626	55499651
0.627	55499651
0.628	55499651
0.629	55499651
0.63	55499651
0.631	55499651
0.632	55499651
0.633	55499651
0.634	53569238
0.635	53569238
0.636	53569238
0.637	53569238
0.638	53569238
0.639	53569238
0.64	53569238
0.641	53569238
0.642	53569238
0.643	53569238
0.644	53569238
0.645	53569238
0.646	53569238
0.647	53569238
0.648	53569238
0.649	53569238
0.65	53569238
0.651	53569238
0.652	53569238
0.653	53569238
0.654	53569238
0.655	53569238
0.656	53569238
0.657	48325266
0.658	48325266
0.659	48325266
0.66	48325266
0.661	48325266
0.662	48325266
0.663	48325266
0.664	48325266
0.665	48325266
0.666	48325266
0.667	48325266
0.668	48325266
0.669	48325266
0.67	48325266
0.671	48325266
0.672	48325266
0.673	48325266
0.674	48325266
0.675	48325266
0.676	48325266
0.677	48325266
0.678	47954932
0.679	47954932
0.68	47954932
0.681	47954932
0.682	47954932
0.683	47954932
0.684	47954932
0.685	47954932
0.686	47954932
0.687	47954932
0.688	47954932
0.689	47954932
0.69	47954932
0.691	47954932
0.692	47954932
0.693	47954932
0.694	47954932
0.695	47954932
0.696	47954932
0.697	47954932
0.698	47107305
0.699	47107305
0.7	47107305
0.701	47107305
0.702	47107305
0.703	47107305
0.704	47107305
0.705	47107305
0.706	47107305
0.707	47107305
0.708	47107305
0.709	47107305
0.71	47107305
0.711	47107305
0.712	47107305
0.713	47107305
0.714	47107305
0.715	47107305
0.716	47107305
0.717	47107305
0.718	47107305
0.719	45214229
0.72	45214229
0.721	45214229
0.722	45214229
0.723	45214229
0.724	45214229
0.725	45214229
0.726	45214229
0.727	45214229
0.728	45214229
0.729	45214229
0.73	45214229
0.731	45214229
0.732	45214229
0.733	45214229
0.734	45214229
0.735	45214229
0.736	45214229
0.737	45214229
0.738	45018950
0.739	45018950
0.74	45018950
0.741	45018950
0.742	45018950
0.743	45018950
0.744	45018950
0.745	45018950
0.746	45018950
0.747	45018950
0.748	45018950
0.749	45018950
0.75	45018950
0.751	45018950
0.752	45018950
0.753	45018950
0.754	45018950
0.755	45018950
0.756	45018950
0.757	41231293
0.758	41231293
0.759	41231293
0.76	41231293
0.761	41231293
0.762	41231293
0.763	41231293
0.764	41231293
0.765	41231293
0.766	41231293
0.767	41231293
0.768	41231293
0.769	41231293
0.77	41231293
0.771	41231293
0.772	41231293
0.773	41231293
0.774	41231293
0.775	38667597
0.776	38667597
0.777	38667597
0.778	38667597
0.779	38667597
0.78	38667597
0.781	38667597
0.782	38667597
0.783	38667597
0.784	38667597
0.785	38667597
0.786	38667597
0.787	38667597
0.788	38667597
0.789	38667597
0.79	38667597
0.791	38667597
0.792	33527630
0.793	33527630
0.794	33527630
0.795	33527630
0.796	33527630
0.797	33527630
0.798	33527630
0.799	33527630
0.8	33527630
0.801	33527630
0.802	33527630
0.803	33527630
0.804	33527630
0.805	33527630
0.806	31569995
0.807	31569995
0.808	31569995
0.809	31569995
0.81	31569995
0.811	31569995
0.812	31569995
0.813	31569995
0.814	31569995
0.815	31569995
0.816	31569995
0.817	31569995
0.818	31569995
0.819	31569995
0.82	29201376
0.821	29201376
0.822	29201376
0.823	29201376
0.824	29201376
0.825	29201376
0.826	29201376
0.827	29201376
0.828	29201376
0.829	29201376
0.83	29201376
0.831	29201376
0.832	27256611
0.833	27256611
0.834	27256611
0.835	27256611
0.836	27256611
0.837	27256611
0.838	27256611
0.839	27256611
0.84	27256611
0.841	27256611
0.842	27256611
0.843	27256611
0.844	24048840
0.845	24048840
0.846	24048840
0.847	24048840
0.848	24048840
0.849	24048840
0.85	24048840
0.851	24048840
0.852	24048840
0.853	24048840
0.854	22561753
0.855	22561753
0.856	22561753
0.857	22561753
0.858	22561753
0.859	22561753
0.86	22561753
0.861	22561753
0.862	22561753
0.863	22561753
0.864	22527000
0.865	22527000
0.866	22527000
0.867	22527000
0.868	22527000
0.869	22527000
0.87	22527000
0.871	22527000
0.872	22527000
0.873	22527000
0.874	21910083
0.875	21910083
0.876	21910083
0.877	21910083
0.878	21910083
0.879	21910083
0.88	21910083
0.881	21910083
0.882	21910083
0.883	21512000
0.884	21512000
0.885	21512000
0.886	21512000
0.887	21512000
0.888	21512000
0.889	21512000
0.89	21512000
0.891	21512000
0.892	17239221
0.893	17239221
0.894	17239221
0.895	17239221
0.896	17239221
0.897	17239221
0.898	17239221
0.899	17239221
0.9	17071311
0.901	17071311
0.902	17071311
0.903	17071311
0.904	17071311
0.905	17071311
0.906	17071311
0.907	17015582
0.908	17015582
0.909	17015582
0.91	17015582
0.911	17015582
0.912	17015582
0.913	17015582
0.914	16634519
0.915	16634519
0.916	16634519
0.917	16634519
0.918	16634519
0.919	16634519
0.92	16634519
0.921	16634519
0.922	13883201
0.923	13883201
0.924	13883201
0.925	13883201
0.926	13883201
0.927	13883201
0.928	13477768
0.929	13477768
0.93	13477768
0.931	13477768
0.932	13477768
0.933	12967153
0.934	12967153
0.935	12967153
0.936	12967153
0.937	12967153
0.938	12967153
0.939	12879104
0.94	12879104
0.941	12879104
0.942	12879104
0.943	12879104
0.944	11894154
0.945	11894154
0.946	11894154
0.947	11894154
0.948	11894154
0.949	11894154
0.95	10325105
0.951	10325105
0.952	10325105
0.953	10325105
0.954	7651741
0.955	7651741
0.956	7651741
0.957	6234030
0.958	6234030
0.959	6234030
0.96	5555000
0.961	5555000
0.962	5357618
0.963	5357618
0.964	5357618
0.965	5108763
0.966	5108763
0.967	4907370
0.968	4907370
0.969	4536424
0.97	4536424
0.971	3309000
0.972	2757728
0.973	2757728
0.974	2665800
0.975	2512237
0.976	2405000
0.977	2164159
0.978	2085238
0.979	1985656
0.98	1894426
0.981	1892849
0.982	1567830
0.983	1440774
0.984	1433000
0.985	984733
0.986	875562
0.987	805380
0.988	645325
0.989	567104
0.99	454223
0.991	402000
0.992	300585
0.993	271358
0.994	202000
0.995	165760
0.996	127637
0.997	103975
0.998	79527
0.999	58292
1.0	1000
