fraction	Nx_length
0.001	214816651
0.002	214816651
0.003	214816651
0.004	214816651
0.005	214816651
0.006	214816651
0.007	214816651
0.008	214816651
0.009	214816651
0.01	214816651
0.011	214816651
0.012	214816651
0.013	214816651
0.014	214816651
0.015	214816651
0.016	214816651
0.017	214816651
0.018	214816651
0.019	214816651
0.02	214816651
0.021	214816651
0.022	214816651
0.023	214816651
0.024	214816651
0.025	214816651
0.026	214816651
0.027	214816651
0.028	214816651
0.029	214816651
0.03	214816651
0.031	214816651
0.032	214816651
0.033	214816651
0.034	214816651
0.035	214816651
0.036	214816651
0.037	214816651
0.038	214816651
0.039	214816651
0.04	214816651
0.041	214816651
0.042	214816651
0.043	214816651
0.044	214816651
0.045	214816651
0.046	214816651
0.047	214816651
0.048	214816651
0.049	214816651
0.05	214816651
0.051	214816651
0.052	214816651
0.053	214816651
0.054	212297639
0.055	212297639
0.056	212297639
0.057	212297639
0.058	212297639
0.059	212297639
0.06	212297639
0.061	212297639
0.062	212297639
0.063	212297639
0.064	212297639
0.065	212297639
0.066	212297639
0.067	212297639
0.068	212297639
0.069	212297639
0.07	212297639
0.071	212297639
0.072	212297639
0.073	212297639
0.074	212297639
0.075	212297639
0.076	212297639
0.077	212297639
0.078	212297639
0.079	212297639
0.08	212297639
0.081	212297639
0.082	212297639
0.083	212297639
0.084	212297639
0.085	212297639
0.086	212297639
0.087	212297639
0.088	212297639
0.089	212297639
0.09	212297639
0.091	212297639
0.092	212297639
0.093	212297639
0.094	212297639
0.095	212297639
0.096	212297639
0.097	212297639
0.098	212297639
0.099	212297639
0.1	212297639
0.101	212297639
0.102	212297639
0.103	212297639
0.104	212297639
0.105	212297639
0.106	195374127
0.107	195374127
0.108	195374127
0.109	195374127
0.11	195374127
0.111	195374127
0.112	195374127
0.113	195374127
0.114	195374127
0.115	195374127
0.116	195374127
0.117	195374127
0.118	195374127
0.119	195374127
0.12	195374127
0.121	195374127
0.122	195374127
0.123	195374127
0.124	195374127
0.125	195374127
0.126	195374127
0.127	195374127
0.128	195374127
0.129	195374127
0.13	195374127
0.131	195374127
0.132	195374127
0.133	195374127
0.134	195374127
0.135	195374127
0.136	195374127
0.137	195374127
0.138	195374127
0.139	195374127
0.14	195374127
0.141	195374127
0.142	195374127
0.143	195374127
0.144	195374127
0.145	195374127
0.146	195374127
0.147	195374127
0.148	195374127
0.149	195374127
0.15	195374127
0.151	195374127
0.152	195374127
0.153	195374127
0.154	192518737
0.155	192518737
0.156	192518737
0.157	192518737
0.158	192518737
0.159	192518737
0.16	192518737
0.161	192518737
0.162	192518737
0.163	192518737
0.164	192518737
0.165	192518737
0.166	192518737
0.167	192518737
0.168	192518737
0.169	192518737
0.17	192518737
0.171	192518737
0.172	192518737
0.173	192518737
0.174	192518737
0.175	192518737
0.176	192518737
0.177	192518737
0.178	192518737
0.179	192518737
0.18	192518737
0.181	192518737
0.182	192518737
0.183	192518737
0.184	192518737
0.185	192518737
0.186	192518737
0.187	192518737
0.188	192518737
0.189	192518737
0.19	192518737
0.191	192518737
0.192	192518737
0.193	192518737
0.194	192518737
0.195	192518737
0.196	192518737
0.197	192518737
0.198	192518737
0.199	192518737
0.2	192518737
0.201	192518737
0.202	187191526
0.203	187191526
0.204	187191526
0.205	187191526
0.206	187191526
0.207	187191526
0.208	187191526
0.209	187191526
0.21	187191526
0.211	187191526
0.212	187191526
0.213	187191526
0.214	187191526
0.215	187191526
0.216	187191526
0.217	187191526
0.218	187191526
0.219	187191526
0.22	187191526
0.221	187191526
0.222	187191526
0.223	187191526
0.224	187191526
0.225	187191526
0.226	187191526
0.227	187191526
0.228	187191526
0.229	187191526
0.23	187191526
0.231	187191526
0.232	187191526
0.233	187191526
0.234	187191526
0.235	187191526
0.236	187191526
0.237	187191526
0.238	187191526
0.239	187191526
0.24	187191526
0.241	187191526
0.242	187191526
0.243	187191526
0.244	187191526
0.245	187191526
0.246	187191526
0.247	187191526
0.248	183023900
0.249	183023900
0.25	183023900
0.251	183023900
0.252	183023900
0.253	183023900
0.254	183023900
0.255	183023900
0.256	183023900
0.257	183023900
0.258	183023900
0.259	183023900
0.26	183023900
0.261	183023900
0.262	183023900
0.263	183023900
0.264	183023900
0.265	183023900
0.266	183023900
0.267	183023900
0.268	183023900
0.269	183023900
0.27	183023900
0.271	183023900
0.272	183023900
0.273	183023900
0.274	183023900
0.275	183023900
0.276	183023900
0.277	183023900
0.278	183023900
0.279	183023900
0.28	183023900
0.281	183023900
0.282	183023900
0.283	183023900
0.284	183023900
0.285	183023900
0.286	183023900
0.287	183023900
0.288	183023900
0.289	183023900
0.29	183023900
0.291	183023900
0.292	183023900
0.293	183023900
0.294	182407551
0.295	182407551
0.296	182407551
0.297	182407551
0.298	182407551
0.299	182407551
0.3	182407551
0.301	182407551
0.302	182407551
0.303	182407551
0.304	182407551
0.305	182407551
0.306	182407551
0.307	182407551
0.308	182407551
0.309	182407551
0.31	182407551
0.311	182407551
0.312	182407551
0.313	182407551
0.314	182407551
0.315	182407551
0.316	182407551
0.317	182407551
0.318	182407551
0.319	182407551
0.32	182407551
0.321	182407551
0.322	182407551
0.323	182407551
0.324	182407551
0.325	182407551
0.326	182407551
0.327	182407551
0.328	182407551
0.329	182407551
0.33	182407551
0.331	182407551
0.332	182407551
0.333	182407551
0.334	182407551
0.335	182407551
0.336	182407551
0.337	182407551
0.338	182407551
0.339	174543276
0.34	174543276
0.341	174543276
0.342	174543276
0.343	174543276
0.344	174543276
0.345	174543276
0.346	174543276
0.347	174543276
0.348	174543276
0.349	174543276
0.35	174543276
0.351	174543276
0.352	174543276
0.353	174543276
0.354	174543276
0.355	174543276
0.356	174543276
0.357	174543276
0.358	174543276
0.359	174543276
0.36	174543276
0.361	174543276
0.362	174543276
0.363	174543276
0.364	174543276
0.365	174543276
0.366	174543276
0.367	174543276
0.368	174543276
0.369	174543276
0.37	174543276
0.371	174543276
0.372	174543276
0.373	174543276
0.374	174543276
0.375	174543276
0.376	174543276
0.377	174543276
0.378	174543276
0.379	174543276
