fraction	Nx_length
0.001	317477549
0.002	317477549
0.003	317477549
0.004	317477549
0.005	317477549
0.006	317477549
0.007	317477549
0.008	317477549
0.009	317477549
0.01	317477549
0.011	317477549
0.012	317477549
0.013	317477549
0.014	317477549
0.015	317477549
0.016	317477549
0.017	317477549
0.018	317477549
0.019	317477549
0.02	317477549
0.021	317477549
0.022	317477549
0.023	317477549
0.024	317477549
0.025	317477549
0.026	317477549
0.027	317477549
0.028	317477549
0.029	317477549
0.03	317477549
0.031	317477549
0.032	317477549
0.033	317477549
0.034	317477549
0.035	317477549
0.036	317477549
0.037	317477549
0.038	317477549
0.039	317477549
0.04	317477549
0.041	317477549
0.042	317477549
0.043	317477549
0.044	317477549
0.045	317477549
0.046	317477549
0.047	317477549
0.048	317477549
0.049	317477549
0.05	317477549
0.051	317477549
0.052	317477549
0.053	317477549
0.054	317477549
0.055	317477549
0.056	317477549
0.057	317477549
0.058	317477549
0.059	317477549
0.06	317477549
0.061	317477549
0.062	317477549
0.063	317477549
0.064	317477549
0.065	317477549
0.066	317477549
0.067	317477549
0.068	317477549
0.069	317477549
0.07	317477549
0.071	317477549
0.072	317477549
0.073	317477549
0.074	317477549
0.075	317477549
0.076	317477549
0.077	317477549
0.078	317477549
0.079	317477549
0.08	317477549
0.081	317477549
0.082	317477549
0.083	317477549
0.084	317477549
0.085	317477549
0.086	317477549
0.087	317477549
0.088	317477549
0.089	317477549
0.09	317477549
0.091	317477549
0.092	317477549
0.093	317477549
0.094	317477549
0.095	317477549
0.096	317477549
0.097	317477549
0.098	317477549
0.099	317477549
0.1	317477549
0.101	317477549
0.102	317477549
0.103	317477549
0.104	317477549
0.105	317477549
0.106	317477549
0.107	317477549
0.108	317477549
0.109	317477549
0.11	317477549
0.111	317477549
0.112	317477549
0.113	317477549
0.114	317477549
0.115	317477549
0.116	317477549
0.117	317477549
0.118	317477549
0.119	317477549
0.12	317477549
0.121	317477549
0.122	317477549
0.123	317477549
0.124	317477549
0.125	317477549
0.126	317477549
0.127	317477549
0.128	317477549
0.129	317477549
0.13	317477549
0.131	317477549
0.132	317477549
0.133	317477549
0.134	317477549
0.135	317477549
0.136	317477549
0.137	317477549
0.138	317477549
0.139	317477549
0.14	317477549
0.141	317477549
0.142	317477549
0.143	317477549
0.144	317477549
0.145	317477549
0.146	317477549
0.147	317477549
0.148	317477549
0.149	317477549
0.15	317477549
0.151	317477549
0.152	317477549
0.153	317477549
0.154	317477549
0.155	317477549
0.156	317477549
0.157	317477549
0.158	317477549
0.159	317477549
0.16	317477549
0.161	317477549
0.162	317477549
0.163	317477549
0.164	317477549
0.165	317477549
0.166	317477549
0.167	317477549
0.168	317477549
0.169	317477549
0.17	317477549
0.171	317477549
0.172	317477549
0.173	317477549
0.174	317477549
0.175	317477549
0.176	317477549
0.177	317477549
0.178	317477549
0.179	317477549
0.18	317477549
0.181	317477549
0.182	317477549
0.183	317477549
0.184	317477549
0.185	317477549
0.186	317477549
0.187	317477549
0.188	317477549
0.189	317477549
0.19	317477549
0.191	317477549
0.192	317477549
0.193	317477549
0.194	317477549
0.195	317477549
0.196	317477549
0.197	317477549
0.198	272440768
0.199	272440768
0.2	272440768
0.201	272440768
0.202	272440768
0.203	272440768
0.204	272440768
0.205	272440768
0.206	272440768
0.207	272440768
0.208	272440768
0.209	272440768
0.21	272440768
0.211	272440768
0.212	272440768
0.213	272440768
0.214	272440768
0.215	272440768
0.216	272440768
0.217	272440768
0.218	272440768
0.219	272440768
0.22	272440768
0.221	272440768
0.222	272440768
0.223	272440768
0.224	272440768
0.225	272440768
0.226	272440768
0.227	272440768
0.228	272440768
0.229	272440768
0.23	272440768
0.231	272440768
0.232	272440768
0.233	272440768
0.234	272440768
0.235	272440768
0.236	272440768
0.237	272440768
0.238	272440768
0.239	272440768
0.24	272440768
0.241	272440768
0.242	272440768
0.243	272440768
0.244	272440768
0.245	272440768
0.246	272440768
0.247	272440768
0.248	272440768
0.249	272440768
0.25	272440768
0.251	272440768
0.252	272440768
0.253	272440768
0.254	272440768
0.255	272440768
0.256	272440768
0.257	272440768
0.258	272440768
0.259	272440768
0.26	272440768
0.261	272440768
0.262	272440768
0.263	272440768
0.264	272440768
0.265	272440768
0.266	272440768
0.267	272440768
0.268	272440768
0.269	272440768
0.27	272440768
0.271	272440768
0.272	272440768
0.273	272440768
0.274	272440768
0.275	272440768
0.276	272440768
0.277	272440768
0.278	272440768
0.279	272440768
0.28	272440768
0.281	272440768
0.282	272440768
0.283	272440768
0.284	272440768
0.285	272440768
0.286	272440768
0.287	272440768
0.288	272440768
0.289	272440768
0.29	272440768
0.291	272440768
0.292	272440768
0.293	272440768
0.294	272440768
0.295	272440768
0.296	272440768
0.297	272440768
0.298	272440768
0.299	272440768
0.3	272440768
0.301	272440768
0.302	272440768
0.303	272440768
0.304	272440768
0.305	272440768
0.306	272440768
0.307	272440768
0.308	272440768
0.309	272440768
0.31	272440768
0.311	272440768
0.312	272440768
0.313	272440768
0.314	272440768
0.315	272440768
0.316	272440768
0.317	272440768
0.318	272440768
0.319	272440768
0.32	272440768
0.321	272440768
0.322	272440768
0.323	272440768
0.324	272440768
0.325	272440768
0.326	272440768
0.327	272440768
0.328	272440768
0.329	272440768
0.33	272440768
0.331	272440768
0.332	272440768
0.333	272440768
0.334	272440768
0.335	272440768
0.336	272440768
0.337	272440768
0.338	272440768
0.339	272440768
0.34	272440768
0.341	272440768
0.342	272440768
0.343	272440768
0.344	272440768
0.345	272440768
0.346	272440768
0.347	272440768
0.348	272440768
0.349	272440768
0.35	272440768
0.351	272440768
0.352	272440768
0.353	272440768
0.354	272440768
0.355	272440768
0.356	272440768
0.357	272440768
