fraction	Nx_length
0.001	486595084
0.002	486595084
0.003	486595084
0.004	486595084
0.005	486595084
0.006	486595084
0.007	486595084
0.008	486595084
0.009	486595084
0.01	486595084
0.011	486595084
0.012	486595084
0.013	486595084
0.014	486595084
0.015	486595084
0.016	486595084
0.017	486595084
0.018	486595084
0.019	486595084
0.02	486595084
0.021	486595084
0.022	486595084
0.023	486595084
0.024	486595084
0.025	486595084
0.026	486595084
0.027	486595084
0.028	486595084
0.029	486595084
0.03	486595084
0.031	486595084
0.032	486595084
0.033	486595084
0.034	486595084
0.035	486595084
0.036	486595084
0.037	486595084
0.038	486595084
0.039	486595084
0.04	486595084
0.041	486595084
0.042	486595084
0.043	486595084
0.044	486595084
0.045	486595084
0.046	486595084
0.047	486595084
0.048	486595084
0.049	486595084
0.05	486595084
0.051	486595084
0.052	486595084
0.053	486595084
0.054	486595084
0.055	486595084
0.056	486595084
0.057	486595084
0.058	486595084
0.059	486595084
0.06	486595084
0.061	486595084
0.062	486595084
0.063	486595084
0.064	486595084
0.065	486595084
0.066	486595084
0.067	486595084
0.068	486595084
0.069	486595084
0.07	486595084
0.071	486595084
0.072	486595084
0.073	486595084
0.074	486595084
0.075	486595084
0.076	486595084
0.077	486595084
0.078	486595084
0.079	486595084
0.08	486595084
0.081	486595084
0.082	486595084
0.083	486595084
0.084	486595084
0.085	486595084
0.086	486595084
0.087	486595084
0.088	486595084
0.089	486595084
0.09	486595084
0.091	486595084
0.092	486595084
0.093	486595084
0.094	486595084
0.095	486595084
0.096	486595084
0.097	486595084
0.098	486595084
0.099	486595084
0.1	486595084
0.101	486595084
0.102	486595084
0.103	486595084
0.104	486595084
0.105	486595084
0.106	486595084
0.107	486595084
0.108	486595084
0.109	486595084
0.11	486595084
0.111	486595084
0.112	486595084
0.113	486595084
0.114	486595084
0.115	486595084
0.116	486595084
0.117	486595084
0.118	486595084
0.119	486595084
0.12	486595084
0.121	486595084
0.122	486595084
0.123	486595084
0.124	486595084
0.125	486595084
0.126	486595084
0.127	486595084
0.128	486595084
0.129	486595084
0.13	486595084
0.131	486595084
0.132	486595084
0.133	486595084
0.134	486595084
0.135	486595084
0.136	486595084
0.137	486595084
0.138	486595084
0.139	486595084
0.14	486595084
0.141	486595084
0.142	486595084
0.143	486595084
0.144	486595084
0.145	486595084
0.146	486595084
0.147	486595084
0.148	486595084
0.149	486595084
0.15	486595084
0.151	486595084
0.152	486595084
0.153	486595084
0.154	486595084
0.155	486595084
0.156	486595084
0.157	486595084
0.158	486595084
0.159	486595084
0.16	486595084
0.161	486595084
0.162	486595084
0.163	486595084
0.164	486595084
0.165	486595084
0.166	486595084
0.167	486595084
0.168	486595084
0.169	486595084
0.17	486595084
0.171	486595084
0.172	486595084
0.173	486595084
0.174	486595084
0.175	486595084
0.176	486595084
0.177	486595084
0.178	486595084
0.179	486595084
0.18	486595084
0.181	486595084
0.182	486595084
0.183	486595084
0.184	486595084
0.185	486595084
0.186	486595084
0.187	486595084
0.188	486595084
0.189	486595084
0.19	486595084
0.191	486595084
0.192	486595084
0.193	486595084
0.194	486595084
0.195	486595084
0.196	486595084
0.197	486595084
0.198	486595084
0.199	486595084
0.2	486595084
0.201	486595084
0.202	486595084
0.203	486595084
0.204	486595084
0.205	486595084
0.206	486595084
0.207	486595084
0.208	307635815
0.209	307635815
0.21	307635815
0.211	307635815
0.212	307635815
0.213	307635815
0.214	307635815
0.215	307635815
0.216	307635815
0.217	307635815
0.218	307635815
0.219	307635815
0.22	307635815
0.221	307635815
0.222	307635815
0.223	307635815
0.224	307635815
0.225	307635815
0.226	307635815
0.227	307635815
0.228	307635815
0.229	307635815
0.23	307635815
0.231	307635815
0.232	307635815
0.233	307635815
0.234	307635815
0.235	307635815
0.236	307635815
0.237	307635815
0.238	307635815
0.239	307635815
0.24	307635815
0.241	307635815
0.242	307635815
0.243	307635815
0.244	307635815
0.245	307635815
0.246	307635815
0.247	307635815
0.248	307635815
0.249	307635815
0.25	307635815
0.251	307635815
0.252	307635815
0.253	307635815
0.254	307635815
0.255	307635815
0.256	307635815
0.257	307635815
0.258	307635815
0.259	307635815
0.26	307635815
0.261	307635815
0.262	307635815
0.263	307635815
0.264	307635815
0.265	307635815
0.266	307635815
0.267	307635815
0.268	307635815
0.269	307635815
0.27	307635815
0.271	307635815
0.272	307635815
0.273	307635815
0.274	307635815
0.275	307635815
0.276	307635815
0.277	307635815
0.278	307635815
0.279	307635815
0.28	307635815
0.281	307635815
0.282	307635815
0.283	307635815
0.284	307635815
0.285	307635815
0.286	307635815
0.287	307635815
0.288	307635815
0.289	307635815
0.29	307635815
0.291	307635815
0.292	307635815
0.293	307635815
0.294	307635815
0.295	307635815
0.296	307635815
0.297	307635815
0.298	307635815
0.299	307635815
0.3	307635815
0.301	307635815
0.302	307635815
0.303	307635815
0.304	307635815
0.305	307635815
0.306	307635815
0.307	307635815
0.308	307635815
0.309	307635815
0.31	307635815
0.311	307635815
0.312	307635815
0.313	307635815
0.314	307635815
0.315	307635815
0.316	307635815
0.317	307635815
0.318	307635815
0.319	307635815
0.32	307635815
0.321	307635815
0.322	307635815
0.323	307635815
0.324	307635815
0.325	307635815
0.326	307635815
0.327	307635815
0.328	307635815
0.329	307635815
0.33	307635815
0.331	307635815
0.332	307635815
0.333	307635815
0.334	307635815
0.335	307635815
0.336	307635815
0.337	307635815
0.338	307635815
0.339	303743212
0.34	303743212
0.341	303743212
0.342	303743212
0.343	303743212
0.344	303743212
0.345	303743212
0.346	303743212
0.347	303743212
0.348	303743212
0.349	303743212
0.35	303743212
0.351	303743212
0.352	303743212
0.353	303743212
0.354	303743212
0.355	303743212
0.356	303743212
0.357	303743212
0.358	303743212
0.359	303743212
0.36	303743212
0.361	303743212
0.362	303743212
0.363	303743212
0.364	303743212
0.365	303743212
0.366	303743212
0.367	303743212
0.368	303743212
0.369	303743212
0.37	303743212
0.371	303743212
0.372	303743212
0.373	303743212
0.374	303743212
0.375	303743212
0.376	303743212
0.377	303743212
0.378	303743212
0.379	303743212
0.38	303743212
0.381	303743212
0.382	303743212
0.383	303743212
0.384	303743212
0.385	303743212
0.386	303743212
0.387	303743212
0.388	303743212
0.389	303743212
0.39	303743212
0.391	303743212
0.392	303743212
0.393	303743212
0.394	303743212
0.395	303743212
0.396	303743212
0.397	303743212
0.398	303743212
0.399	303743212
0.4	303743212
0.401	303743212
0.402	303743212
0.403	303743212
0.404	303743212
0.405	303743212
0.406	303743212
0.407	303743212
0.408	303743212
0.409	303743212
0.41	303743212
0.411	303743212
0.412	303743212
0.413	303743212
0.414	303743212
0.415	303743212
0.416	303743212
0.417	303743212
0.418	303743212
0.419	303743212
0.42	303743212
0.421	303743212
0.422	303743212
0.423	303743212
0.424	303743212
0.425	303743212
0.426	303743212
0.427	303743212
0.428	303743212
0.429	303743212
0.43	303743212
0.431	303743212
0.432	303743212
0.433	303743212
0.434	303743212
0.435	303743212
0.436	303743212
0.437	303743212
0.438	303743212
0.439	303743212
0.44	303743212
0.441	303743212
0.442	303743212
0.443	303743212
0.444	303743212
0.445	303743212
0.446	303743212
0.447	303743212
0.448	303743212
0.449	303743212
0.45	303743212
0.451	303743212
0.452	303743212
0.453	303743212
0.454	303743212
0.455	303743212
0.456	303743212
0.457	303743212
0.458	303743212
0.459	303743212
0.46	303743212
0.461	303743212
0.462	303743212
0.463	303743212
0.464	303743212
0.465	303743212
0.466	303743212
0.467	303743212
0.468	255078640
0.469	255078640
0.47	255078640
0.471	255078640
0.472	255078640
0.473	255078640
0.474	255078640
0.475	255078640
0.476	255078640
0.477	255078640
0.478	255078640
0.479	255078640
0.48	255078640
0.481	255078640
0.482	255078640
0.483	255078640
0.484	255078640
0.485	255078640
0.486	255078640
0.487	255078640
0.488	255078640
0.489	255078640
0.49	255078640
0.491	255078640
0.492	255078640
0.493	255078640
0.494	255078640
0.495	255078640
0.496	255078640
0.497	255078640
0.498	255078640
0.499	255078640
0.5	255078640
0.501	255078640
0.502	255078640
0.503	255078640
0.504	255078640
0.505	255078640
0.506	255078640
0.507	255078640
0.508	255078640
0.509	255078640
0.51	255078640
0.511	255078640
0.512	255078640
0.513	255078640
0.514	255078640
0.515	255078640
0.516	255078640
0.517	255078640
0.518	255078640
0.519	255078640
0.52	255078640
0.521	255078640
0.522	255078640
0.523	255078640
0.524	255078640
0.525	255078640
0.526	255078640
0.527	255078640
0.528	255078640
0.529	255078640
0.53	255078640
0.531	255078640
0.532	255078640
0.533	255078640
0.534	255078640
0.535	255078640
0.536	255078640
0.537	255078640
0.538	255078640
0.539	255078640
0.54	255078640
0.541	255078640
0.542	255078640
0.543	255078640
0.544	255078640
0.545	255078640
0.546	255078640
0.547	255078640
0.548	255078640
0.549	255078640
0.55	255078640
0.551	255078640
0.552	255078640
0.553	255078640
0.554	255078640
0.555	255078640
0.556	255078640
0.557	255078640
0.558	255078640
0.559	255078640
0.56	255078640
0.561	255078640
0.562	255078640
0.563	255078640
0.564	255078640
0.565	255078640
0.566	255078640
0.567	255078640
0.568	255078640
0.569	255078640
0.57	255078640
0.571	255078640
0.572	255078640
0.573	255078640
0.574	255078640
0.575	255078640
0.576	255078640
0.577	220919336
0.578	220919336
0.579	220919336
0.58	220919336
0.581	220919336
0.582	220919336
0.583	220919336
0.584	220919336
0.585	220919336
0.586	220919336
0.587	220919336
0.588	220919336
0.589	220919336
0.59	220919336
0.591	220919336
0.592	220919336
0.593	220919336
0.594	220919336
0.595	220919336
0.596	220919336
0.597	220919336
0.598	220919336
0.599	220919336
0.6	220919336
0.601	220919336
0.602	220919336
0.603	220919336
0.604	220919336
0.605	220919336
0.606	220919336
0.607	220919336
0.608	220919336
0.609	220919336
0.61	220919336
0.611	220919336
0.612	220919336
0.613	220919336
0.614	220919336
0.615	220919336
0.616	220919336
0.617	220919336
0.618	220919336
0.619	220919336
0.62	220919336
0.621	220919336
0.622	220919336
0.623	220919336
0.624	220919336
0.625	220919336
0.626	220919336
0.627	220919336
0.628	220919336
0.629	220919336
0.63	220919336
0.631	220919336
0.632	220919336
0.633	220919336
0.634	220919336
0.635	220919336
0.636	220919336
0.637	220919336
0.638	220919336
0.639	220919336
0.64	220919336
0.641	220919336
0.642	220919336
0.643	220919336
0.644	220919336
0.645	220919336
0.646	220919336
0.647	220919336
0.648	220919336
0.649	220919336
0.65	220919336
0.651	220919336
0.652	220919336
0.653	220919336
0.654	220919336
0.655	220919336
0.656	220919336
0.657	220919336
0.658	220919336
0.659	220919336
0.66	220919336
0.661	220919336
0.662	220919336
0.663	220919336
0.664	220919336
0.665	220919336
0.666	220919336
0.667	220919336
0.668	220919336
0.669	220919336
0.67	220919336
0.671	101387383
0.672	101387383
0.673	101387383
0.674	101387383
0.675	101387383
0.676	101387383
0.677	101387383
0.678	101387383
0.679	101387383
0.68	101387383
0.681	101387383
0.682	101387383
0.683	101387383
0.684	101387383
0.685	101387383
0.686	101387383
0.687	101387383
0.688	101387383
0.689	101387383
0.69	101387383
0.691	101387383
0.692	101387383
0.693	101387383
0.694	101387383
0.695	101387383
0.696	101387383
0.697	101387383
0.698	101387383
0.699	101387383
0.7	101387383
0.701	101387383
0.702	101387383
0.703	101387383
0.704	101387383
0.705	101387383
0.706	101387383
0.707	101387383
0.708	101387383
0.709	101387383
0.71	101387383
0.711	101387383
0.712	101387383
0.713	101387383
0.714	90017264
0.715	90017264
0.716	90017264
0.717	90017264
0.718	90017264
0.719	90017264
0.72	90017264
0.721	90017264
0.722	90017264
0.723	90017264
0.724	90017264
0.725	90017264
0.726	90017264
0.727	90017264
0.728	90017264
0.729	90017264
0.73	90017264
0.731	90017264
0.732	90017264
0.733	90017264
0.734	90017264
0.735	90017264
0.736	90017264
0.737	90017264
0.738	90017264
0.739	90017264
0.74	90017264
0.741	90017264
0.742	90017264
0.743	90017264
0.744	90017264
0.745	90017264
0.746	90017264
0.747	90017264
0.748	90017264
0.749	90017264
0.75	90017264
0.751	90017264
0.752	90017264
0.753	83641976
0.754	83641976
0.755	83641976
0.756	83641976
0.757	83641976
0.758	83641976
0.759	83641976
0.76	83641976
0.761	83641976
0.762	83641976
0.763	83641976
0.764	83641976
0.765	83641976
0.766	83641976
0.767	83641976
0.768	83641976
0.769	83641976
0.77	83641976
0.771	83641976
0.772	83641976
0.773	83641976
0.774	83641976
0.775	83641976
0.776	83641976
0.777	83641976
0.778	83641976
0.779	83641976
0.78	83641976
0.781	83641976
0.782	83641976
0.783	83641976
0.784	83641976
0.785	83641976
0.786	83641976
0.787	83641976
0.788	79974352
0.789	79974352
0.79	79974352
0.791	79974352
0.792	79974352
0.793	79974352
0.794	79974352
0.795	79974352
0.796	79974352
0.797	79974352
0.798	79974352
0.799	79974352
0.8	79974352
0.801	79974352
0.802	79974352
