fraction	Nx_length
0.001	306559226
0.002	306559226
0.003	306559226
0.004	306559226
0.005	306559226
0.006	306559226
0.007	306559226
0.008	306559226
0.009	306559226
0.01	306559226
0.011	306559226
0.012	306559226
0.013	306559226
0.014	306559226
0.015	306559226
0.016	306559226
0.017	306559226
0.018	306559226
0.019	306559226
0.02	306559226
0.021	306559226
0.022	306559226
0.023	306559226
0.024	306559226
0.025	306559226
0.026	306559226
0.027	306559226
0.028	306559226
0.029	306559226
0.03	306559226
0.031	306559226
0.032	306559226
0.033	306559226
0.034	306559226
0.035	306559226
0.036	306559226
0.037	306559226
0.038	306559226
0.039	306559226
0.04	306559226
0.041	306559226
0.042	306559226
0.043	306559226
0.044	306559226
0.045	306559226
0.046	306559226
0.047	306559226
0.048	306559226
0.049	306559226
0.05	306559226
0.051	306559226
0.052	306559226
0.053	306559226
0.054	306559226
0.055	306559226
0.056	306559226
0.057	306559226
0.058	306559226
0.059	306559226
0.06	306559226
0.061	306559226
0.062	306559226
0.063	306559226
0.064	306559226
0.065	306559226
0.066	306559226
0.067	306559226
0.068	306559226
0.069	306559226
0.07	306559226
0.071	306559226
0.072	306559226
0.073	306559226
0.074	306559226
0.075	306559226
0.076	306559226
0.077	306559226
0.078	306559226
0.079	306559226
0.08	306559226
0.081	306559226
0.082	306559226
0.083	306559226
0.084	306559226
0.085	306559226
0.086	306559226
0.087	306559226
0.088	306559226
0.089	306559226
0.09	306559226
0.091	306559226
0.092	306559226
0.093	306559226
0.094	306559226
0.095	306559226
0.096	306559226
0.097	306559226
0.098	306559226
0.099	306559226
0.1	306559226
0.101	306559226
0.102	306559226
0.103	306559226
0.104	306559226
0.105	306559226
0.106	306559226
0.107	306559226
0.108	306559226
0.109	306559226
0.11	306559226
0.111	306559226
0.112	306559226
0.113	306559226
0.114	306559226
0.115	306559226
0.116	306559226
0.117	306559226
0.118	306559226
0.119	306559226
0.12	306559226
0.121	306559226
0.122	306559226
0.123	306559226
0.124	306559226
0.125	306559226
0.126	306559226
0.127	306559226
0.128	306559226
0.129	306559226
0.13	306559226
0.131	306559226
0.132	306559226
0.133	306559226
0.134	306559226
0.135	306559226
0.136	306559226
0.137	306559226
0.138	306559226
0.139	306559226
0.14	306559226
0.141	306559226
0.142	306559226
0.143	306559226
0.144	306559226
0.145	306559226
0.146	306559226
0.147	306559226
0.148	306559226
0.149	306559226
0.15	306559226
0.151	306559226
0.152	306559226
0.153	306559226
0.154	306559226
0.155	306559226
0.156	306559226
0.157	306559226
0.158	306559226
0.159	306559226
0.16	306559226
0.161	306559226
0.162	306559226
0.163	306559226
0.164	306559226
0.165	306559226
0.166	306559226
0.167	306559226
0.168	306559226
0.169	306559226
0.17	306559226
0.171	306559226
0.172	306559226
0.173	306559226
0.174	306559226
0.175	225591399
0.176	225591399
0.177	225591399
0.178	225591399
0.179	225591399
0.18	225591399
0.181	225591399
0.182	225591399
0.183	225591399
0.184	225591399
0.185	225591399
0.186	225591399
0.187	225591399
0.188	225591399
0.189	225591399
0.19	225591399
0.191	225591399
0.192	225591399
0.193	225591399
0.194	225591399
0.195	225591399
0.196	225591399
0.197	225591399
0.198	225591399
0.199	225591399
0.2	225591399
0.201	225591399
0.202	225591399
0.203	225591399
0.204	225591399
0.205	225591399
0.206	225591399
0.207	225591399
0.208	225591399
0.209	225591399
0.21	225591399
0.211	225591399
0.212	225591399
0.213	225591399
0.214	225591399
0.215	225591399
0.216	225591399
0.217	225591399
0.218	225591399
0.219	225591399
0.22	225591399
0.221	225591399
0.222	225591399
0.223	225591399
0.224	225591399
0.225	225591399
0.226	225591399
0.227	225591399
0.228	225591399
0.229	225591399
0.23	225591399
0.231	225591399
0.232	225591399
0.233	225591399
0.234	225591399
0.235	225591399
0.236	225591399
0.237	225591399
0.238	225591399
0.239	225591399
0.24	225591399
0.241	225591399
0.242	225591399
0.243	225591399
0.244	225591399
0.245	225591399
0.246	225591399
0.247	225591399
0.248	225591399
0.249	225591399
0.25	225591399
0.251	225591399
0.252	225591399
0.253	225591399
0.254	225591399
0.255	225591399
0.256	225591399
0.257	225591399
0.258	225591399
0.259	225591399
0.26	225591399
0.261	225591399
0.262	225591399
0.263	225591399
0.264	225591399
0.265	225591399
