fraction	Nx_length
0.001	345736556
0.002	345736556
0.003	345736556
0.004	345736556
0.005	345736556
0.006	345736556
0.007	345736556
0.008	345736556
0.009	345736556
0.01	345736556
0.011	345736556
0.012	345736556
0.013	345736556
0.014	345736556
0.015	345736556
0.016	345736556
0.017	345736556
0.018	345736556
0.019	345736556
0.02	345736556
0.021	345736556
0.022	345736556
0.023	345736556
0.024	345736556
0.025	345736556
0.026	345736556
0.027	345736556
0.028	345736556
0.029	345736556
0.03	345736556
0.031	345736556
0.032	345736556
0.033	345736556
0.034	345736556
0.035	345736556
0.036	345736556
0.037	345736556
0.038	345736556
0.039	345736556
0.04	345736556
0.041	345736556
0.042	345736556
0.043	345736556
0.044	345736556
0.045	345736556
0.046	345736556
0.047	345736556
0.048	345736556
0.049	345736556
0.05	345736556
0.051	345736556
0.052	345736556
0.053	345736556
0.054	345736556
0.055	345736556
0.056	345736556
0.057	345736556
0.058	345736556
0.059	345736556
0.06	345736556
0.061	345736556
0.062	345736556
0.063	345736556
0.064	345736556
0.065	345736556
0.066	345736556
0.067	345736556
0.068	345736556
0.069	345736556
0.07	345736556
0.071	345736556
0.072	345736556
0.073	345736556
0.074	345736556
0.075	345736556
0.076	345736556
0.077	345736556
0.078	345736556
0.079	345736556
0.08	345736556
0.081	345736556
0.082	345736556
0.083	345736556
0.084	345736556
0.085	345736556
0.086	345736556
0.087	345736556
0.088	345736556
0.089	345736556
0.09	345736556
0.091	345736556
0.092	345736556
0.093	345736556
0.094	345736556
0.095	345736556
0.096	345736556
0.097	345736556
0.098	345736556
0.099	345736556
0.1	345736556
0.101	345736556
0.102	345736556
0.103	345736556
0.104	345736556
0.105	345736556
0.106	345736556
0.107	345736556
0.108	345736556
0.109	345736556
0.11	345736556
0.111	345736556
0.112	345736556
0.113	345736556
0.114	345736556
0.115	345736556
0.116	345736556
0.117	345736556
0.118	345736556
0.119	345736556
0.12	345736556
0.121	345736556
0.122	345736556
0.123	345736556
0.124	345736556
0.125	345736556
0.126	345736556
0.127	345736556
0.128	345736556
0.129	345736556
0.13	345736556
0.131	345736556
0.132	345736556
0.133	345736556
0.134	345736556
0.135	345736556
0.136	345736556
0.137	345736556
0.138	345736556
0.139	345736556
0.14	345736556
0.141	345736556
0.142	345736556
0.143	345736556
0.144	345736556
0.145	345736556
0.146	345736556
0.147	345736556
0.148	345736556
0.149	345736556
0.15	345736556
0.151	345736556
0.152	345736556
0.153	345736556
0.154	345736556
0.155	345736556
0.156	345736556
0.157	345736556
0.158	345736556
0.159	345736556
0.16	345736556
0.161	345736556
0.162	345736556
0.163	261812849
0.164	261812849
0.165	261812849
0.166	261812849
0.167	261812849
0.168	261812849
0.169	261812849
0.17	261812849
0.171	261812849
0.172	261812849
0.173	261812849
0.174	261812849
0.175	261812849
0.176	261812849
0.177	261812849
0.178	261812849
0.179	261812849
0.18	261812849
0.181	261812849
0.182	261812849
0.183	261812849
0.184	261812849
0.185	261812849
0.186	261812849
0.187	261812849
0.188	261812849
0.189	261812849
0.19	261812849
0.191	261812849
0.192	261812849
0.193	261812849
0.194	261812849
0.195	261812849
0.196	261812849
0.197	261812849
0.198	261812849
0.199	261812849
0.2	261812849
0.201	261812849
0.202	261812849
0.203	261812849
0.204	261812849
0.205	261812849
0.206	261812849
0.207	261812849
0.208	261812849
0.209	261812849
0.21	261812849
0.211	261812849
0.212	261812849
0.213	261812849
0.214	261812849
0.215	261812849
0.216	261812849
0.217	261812849
0.218	261812849
0.219	261812849
0.22	261812849
0.221	261812849
0.222	261812849
0.223	261812849
0.224	261812849
0.225	261812849
0.226	261812849
0.227	261812849
0.228	261812849
0.229	261812849
0.23	261812849
0.231	261812849
0.232	261812849
0.233	261812849
0.234	261812849
0.235	261812849
0.236	261812849
0.237	261812849
0.238	261812849
0.239	261812849
0.24	261812849
0.241	261812849
0.242	261812849
0.243	261812849
0.244	261812849
0.245	261812849
0.246	261812849
0.247	261812849
0.248	261812849
0.249	261812849
0.25	261812849
0.251	261812849
0.252	261812849
0.253	261812849
0.254	261812849
0.255	261812849
0.256	261812849
0.257	261812849
0.258	261812849
0.259	261812849
0.26	261812849
0.261	261812849
0.262	261812849
0.263	261812849
0.264	261812849
0.265	261812849
0.266	261812849
0.267	261812849
0.268	261812849
0.269	261812849
0.27	261812849
0.271	261812849
0.272	261812849
0.273	261812849
0.274	261812849
0.275	261812849
0.276	261812849
0.277	261812849
0.278	261812849
0.279	261812849
0.28	261812849
0.281	261812849
0.282	261812849
0.283	261812849
0.284	261812849
0.285	201112072
0.286	201112072
0.287	201112072
0.288	201112072
0.289	201112072
0.29	201112072
0.291	201112072
0.292	201112072
0.293	201112072
0.294	201112072
0.295	201112072
0.296	201112072
0.297	201112072
0.298	201112072
0.299	201112072
0.3	201112072
0.301	201112072
0.302	201112072
0.303	201112072
0.304	201112072
0.305	201112072
0.306	201112072
0.307	201112072
0.308	201112072
0.309	201112072
0.31	201112072
0.311	201112072
0.312	201112072
0.313	201112072
0.314	201112072
0.315	201112072
0.316	201112072
0.317	201112072
0.318	201112072
0.319	201112072
0.32	201112072
0.321	201112072
0.322	201112072
0.323	201112072
0.324	201112072
0.325	201112072
0.326	201112072
0.327	201112072
0.328	201112072
0.329	201112072
0.33	201112072
0.331	201112072
0.332	201112072
0.333	201112072
0.334	201112072
0.335	201112072
0.336	201112072
0.337	201112072
0.338	201112072
0.339	201112072
0.34	201112072
0.341	201112072
0.342	201112072
0.343	201112072
0.344	201112072
0.345	201112072
0.346	201112072
0.347	201112072
0.348	201112072
0.349	201112072
0.35	201112072
0.351	201112072
0.352	201112072
0.353	201112072
0.354	201112072
0.355	201112072
0.356	201112072
0.357	201112072
0.358	201112072
0.359	201112072
0.36	201112072
0.361	201112072
0.362	201112072
0.363	201112072
0.364	201112072
0.365	201112072
0.366	201112072
0.367	201112072
0.368	201112072
0.369	201112072
0.37	201112072
0.371	201112072
0.372	201112072
0.373	201112072
0.374	201112072
0.375	201112072
0.376	201112072
0.377	201112072
0.378	201112072
0.379	201112072
0.38	145236352
0.381	145236352
0.382	145236352
0.383	145236352
0.384	145236352
0.385	145236352
0.386	145236352
0.387	145236352
0.388	145236352
0.389	145236352
0.39	145236352
0.391	145236352
0.392	145236352
0.393	145236352
0.394	145236352
0.395	145236352
0.396	145236352
0.397	145236352
0.398	145236352
0.399	145236352
0.4	145236352
0.401	145236352
0.402	145236352
0.403	145236352
0.404	145236352
0.405	145236352
0.406	145236352
0.407	145236352
0.408	145236352
0.409	145236352
0.41	145236352
0.411	145236352
0.412	145236352
0.413	145236352
0.414	145236352
0.415	145236352
0.416	145236352
0.417	145236352
0.418	145236352
0.419	145236352
0.42	145236352
0.421	145236352
0.422	145236352
0.423	145236352
0.424	145236352
0.425	145236352
0.426	145236352
0.427	145236352
0.428	145236352
0.429	145236352
0.43	145236352
0.431	145236352
0.432	145236352
0.433	145236352
0.434	145236352
0.435	145236352
0.436	145236352
0.437	145236352
0.438	145236352
0.439	145236352
0.44	145236352
0.441	145236352
0.442	145236352
0.443	145236352
0.444	145236352
0.445	145236352
0.446	145236352
0.447	145236352
0.448	139680232
0.449	139680232
0.45	139680232
0.451	139680232
0.452	139680232
0.453	139680232
0.454	139680232
0.455	139680232
0.456	139680232
0.457	139680232
0.458	139680232
0.459	139680232
0.46	139680232
0.461	139680232
0.462	139680232
0.463	139680232
0.464	139680232
0.465	139680232
0.466	139680232
0.467	139680232
0.468	139680232
0.469	139680232
0.47	139680232
0.471	139680232
0.472	139680232
0.473	139680232
0.474	139680232
0.475	139680232
0.476	139680232
0.477	139680232
0.478	139680232
0.479	139680232
0.48	139680232
0.481	139680232
0.482	139680232
0.483	139680232
0.484	139680232
0.485	139680232
0.486	139680232
0.487	139680232
0.488	139680232
0.489	139680232
0.49	139680232
0.491	139680232
0.492	139680232
0.493	139680232
0.494	139680232
0.495	139680232
0.496	139680232
0.497	139680232
0.498	139680232
0.499	139680232
0.5	139680232
0.501	139680232
0.502	139680232
0.503	139680232
0.504	139680232
0.505	139680232
0.506	139680232
0.507	139680232
0.508	139680232
