fraction	Nx_length
0.001	268985020
0.002	268985020
0.003	268985020
0.004	268985020
0.005	268985020
0.006	268985020
0.007	268985020
0.008	268985020
0.009	268985020
0.01	268985020
0.011	268985020
0.012	268985020
0.013	268985020
0.014	268985020
0.015	268985020
0.016	268985020
0.017	268985020
0.018	268985020
0.019	268985020
0.02	268985020
0.021	268985020
0.022	268985020
0.023	268985020
0.024	268985020
0.025	268985020
0.026	268985020
0.027	268985020
0.028	268985020
0.029	268985020
0.03	268985020
0.031	268985020
0.032	268985020
0.033	268985020
0.034	268985020
0.035	268985020
0.036	268985020
0.037	268985020
0.038	268985020
0.039	268985020
0.04	268985020
0.041	268985020
0.042	268985020
0.043	268985020
0.044	268985020
0.045	268985020
0.046	268985020
0.047	268985020
0.048	268985020
0.049	268985020
0.05	268985020
0.051	268985020
0.052	268985020
0.053	268985020
0.054	268985020
0.055	268985020
0.056	268985020
0.057	268985020
0.058	268985020
0.059	268985020
0.06	268985020
0.061	268985020
0.062	268985020
0.063	268985020
0.064	268985020
0.065	268985020
0.066	268985020
0.067	268985020
0.068	268985020
0.069	268985020
0.07	268985020
0.071	268985020
0.072	268985020
0.073	268985020
0.074	268985020
0.075	268985020
0.076	268985020
0.077	268985020
0.078	268985020
0.079	268985020
0.08	268985020
0.081	268985020
0.082	268985020
0.083	268985020
0.084	268985020
0.085	268985020
0.086	268985020
0.087	268985020
0.088	268985020
0.089	268985020
0.09	268985020
0.091	268985020
0.092	268985020
0.093	268985020
0.094	268985020
0.095	268985020
0.096	268985020
0.097	268985020
0.098	268985020
0.099	268985020
0.1	268985020
0.101	268985020
0.102	268985020
0.103	268985020
0.104	268985020
0.105	268985020
0.106	268985020
0.107	268985020
0.108	268985020
0.109	238341283
0.11	238341283
0.111	238341283
0.112	238341283
0.113	238341283
0.114	238341283
0.115	238341283
0.116	238341283
0.117	238341283
0.118	238341283
0.119	238341283
0.12	238341283
0.121	238341283
0.122	238341283
0.123	238341283
0.124	238341283
0.125	238341283
0.126	238341283
0.127	238341283
0.128	238341283
0.129	238341283
0.13	238341283
0.131	238341283
0.132	238341283
0.133	238341283
0.134	238341283
0.135	238341283
0.136	238341283
0.137	238341283
0.138	238341283
0.139	238341283
0.14	238341283
0.141	238341283
0.142	238341283
0.143	238341283
0.144	238341283
0.145	238341283
0.146	238341283
0.147	238341283
0.148	238341283
0.149	238341283
0.15	238341283
0.151	238341283
0.152	238341283
0.153	238341283
0.154	238341283
0.155	238341283
0.156	238341283
0.157	238341283
0.158	238341283
0.159	238341283
0.16	238341283
0.161	238341283
