fraction	Nx_length
0.001	535128176
0.002	535128176
0.003	535128176
0.004	535128176
0.005	535128176
0.006	535128176
0.007	535128176
0.008	535128176
0.009	535128176
0.01	535128176
0.011	535128176
0.012	535128176
0.013	535128176
0.014	535128176
0.015	535128176
0.016	535128176
0.017	535128176
0.018	535128176
0.019	535128176
0.02	535128176
0.021	535128176
0.022	535128176
0.023	535128176
0.024	535128176
0.025	535128176
0.026	535128176
0.027	535128176
0.028	535128176
0.029	535128176
0.03	535128176
0.031	535128176
0.032	535128176
0.033	535128176
0.034	535128176
0.035	535128176
0.036	535128176
0.037	535128176
0.038	535128176
0.039	535128176
0.04	535128176
0.041	535128176
0.042	535128176
0.043	535128176
0.044	535128176
0.045	535128176
0.046	535128176
0.047	535128176
0.048	535128176
0.049	535128176
0.05	535128176
0.051	535128176
0.052	535128176
0.053	535128176
0.054	535128176
0.055	535128176
0.056	535128176
0.057	535128176
0.058	535128176
0.059	535128176
0.06	535128176
0.061	535128176
0.062	535128176
0.063	535128176
0.064	535128176
0.065	535128176
0.066	535128176
0.067	535128176
0.068	535128176
0.069	535128176
0.07	535128176
0.071	535128176
0.072	535128176
0.073	535128176
0.074	535128176
0.075	535128176
0.076	535128176
0.077	535128176
0.078	535128176
0.079	535128176
0.08	535128176
0.081	535128176
0.082	535128176
0.083	535128176
0.084	535128176
0.085	535128176
0.086	535128176
0.087	535128176
0.088	535128176
0.089	535128176
0.09	535128176
0.091	535128176
0.092	535128176
0.093	535128176
0.094	535128176
0.095	535128176
0.096	535128176
0.097	535128176
0.098	535128176
0.099	535128176
0.1	535128176
0.101	535128176
0.102	535128176
0.103	535128176
0.104	535128176
0.105	535128176
0.106	535128176
0.107	535128176
0.108	535128176
0.109	535128176
0.11	535128176
0.111	535128176
0.112	535128176
0.113	535128176
0.114	535128176
0.115	535128176
0.116	535128176
0.117	535128176
0.118	535128176
0.119	535128176
0.12	535128176
0.121	535128176
0.122	535128176
0.123	535128176
0.124	535128176
0.125	535128176
0.126	535128176
0.127	535128176
0.128	535128176
0.129	535128176
0.13	535128176
0.131	535128176
0.132	535128176
0.133	535128176
0.134	535128176
0.135	535128176
0.136	535128176
0.137	535128176
0.138	535128176
0.139	535128176
0.14	535128176
0.141	535128176
0.142	535128176
0.143	535128176
0.144	535128176
0.145	535128176
0.146	535128176
0.147	535128176
0.148	535128176
0.149	535128176
0.15	535128176
0.151	535128176
0.152	535128176
0.153	535128176
0.154	535128176
0.155	535128176
0.156	535128176
0.157	535128176
0.158	535128176
0.159	535128176
0.16	535128176
0.161	535128176
0.162	535128176
0.163	535128176
0.164	535128176
0.165	535128176
0.166	535128176
0.167	535128176
0.168	535128176
0.169	535128176
0.17	535128176
0.171	535128176
0.172	535128176
0.173	535128176
