fraction	Nx_length
0.001	10939731
0.002	10939731
0.003	10939731
0.004	10939731
0.005	10939731
0.006	10939731
0.007	10939731
0.008	10939731
0.009	10939731
0.01	10939731
0.011	10222358
0.012	10222358
0.013	10222358
0.014	10222358
0.015	10222358
0.016	10222358
0.017	10222358
0.018	10222358
0.019	10222358
0.02	10222358
0.021	10222358
0.022	7232063
0.023	7232063
0.024	7232063
0.025	7232063
0.026	7232063
0.027	7232063
0.028	7232063
0.029	6012118
0.03	6012118
0.031	6012118
0.032	6012118
0.033	6012118
0.034	6012118
0.035	6004991
0.036	6004991
0.037	6004991
0.038	6004991
0.039	6004991
0.04	6004991
0.041	5904401
0.042	5904401
0.043	5904401
0.044	5904401
0.045	5904401
0.046	5904401
0.047	5614897
0.048	5614897
0.049	5614897
0.05	5614897
0.051	5614897
0.052	5439982
0.053	5439982
0.054	5439982
0.055	5439982
0.056	5439982
0.057	5439982
0.058	5096430
0.059	5096430
0.06	5096430
0.061	5096430
0.062	5096430
0.063	4963112
0.064	4963112
0.065	4963112
0.066	4963112
0.067	4963112
0.068	4701709
0.069	4701709
0.07	4701709
0.071	4701709
0.072	4673817
0.073	4673817
0.074	4673817
0.075	4673817
0.076	4673817
0.077	4579741
0.078	4579741
0.079	4579741
0.08	4579741
0.081	4579741
0.082	4571429
0.083	4571429
0.084	4571429
0.085	4571429
0.086	4561140
0.087	4561140
0.088	4561140
0.089	4561140
0.09	4561140
0.091	4222749
0.092	4222749
0.093	4222749
0.094	4222749
0.095	4188822
0.096	4188822
0.097	4188822
0.098	4188822
0.099	3993624
0.1	3993624
0.101	3993624
0.102	3993624
0.103	3894991
0.104	3894991
0.105	3894991
0.106	3894991
0.107	3745564
0.108	3745564
0.109	3745564
0.11	3745564
0.111	3679149
0.112	3679149
0.113	3679149
0.114	3527144
0.115	3527144
0.116	3527144
0.117	3527144
0.118	3515392
0.119	3515392
0.12	3515392
0.121	3469167
0.122	3469167
0.123	3469167
0.124	3469167
0.125	3456484
0.126	3456484
0.127	3456484
0.128	3294282
0.129	3294282
0.13	3294282
0.131	3294282
0.132	3281905
0.133	3281905
0.134	3281905
0.135	3276220
0.136	3276220
0.137	3276220
0.138	3260296
0.139	3260296
0.14	3260296
0.141	3258733
0.142	3258733
0.143	3258733
0.144	3258733
0.145	3195359
0.146	3195359
0.147	3195359
0.148	3160440
0.149	3160440
0.15	3160440
0.151	3111430
0.152	3111430
0.153	3111430
0.154	3085130
0.155	3085130
0.156	3085130
0.157	3062497
0.158	3062497
0.159	3062497
0.16	3003979
0.161	3003979
0.162	3003979
0.163	2949280
0.164	2949280
0.165	2949280
0.166	2918821
0.167	2918821
0.168	2918821
0.169	2904327
0.17	2904327
0.171	2904327
0.172	2874108
0.173	2874108
0.174	2874108
0.175	2857848
0.176	2857848
0.177	2857848
0.178	2828796
0.179	2828796
0.18	2828796
0.181	2819955
0.182	2819955
0.183	2793798
0.184	2793798
0.185	2793798
0.186	2778309
0.187	2778309
0.188	2778309
0.189	2763503
0.19	2763503
0.191	2763503
0.192	2763247
0.193	2763247
0.194	2752496
0.195	2752496
0.196	2752496
0.197	2720633
0.198	2720633
0.199	2720633
0.2	2712985
0.201	2712985
0.202	2712985
0.203	2658246
0.204	2658246
0.205	2646757
0.206	2646757
0.207	2646757
0.208	2645734
0.209	2645734
0.21	2645734
0.211	2627915
0.212	2627915
0.213	2594445
0.214	2594445
0.215	2594445
0.216	2553801
0.217	2553801
0.218	2539986
0.219	2539986
0.22	2539986
0.221	2526882
0.222	2526882
0.223	2515028
0.224	2515028
0.225	2515028
0.226	2509218
0.227	2509218
0.228	2506855
0.229	2506855
0.23	2506855
0.231	2487522
0.232	2487522
0.233	2484196
0.234	2484196
0.235	2484196
0.236	2480594
0.237	2480594
0.238	2472576
0.239	2472576
0.24	2472576
0.241	2446825
0.242	2446825
0.243	2431171
0.244	2431171
0.245	2431171
0.246	2413239
0.247	2413239
0.248	2389254
0.249	2389254
0.25	2382905
0.251	2382905
0.252	2382905
0.253	2376243
0.254	2376243
0.255	2372213
0.256	2372213
0.257	2332872
0.258	2332872
0.259	2332872
0.26	2310374
0.261	2310374
0.262	2303145
0.263	2303145
0.264	2287630
0.265	2287630
0.266	2287630
0.267	2284460
0.268	2284460
0.269	2280207
0.27	2280207
0.271	2279956
0.272	2279956
0.273	2279956
0.274	2272951
0.275	2272951
0.276	2224215
0.277	2224215
0.278	2217671
0.279	2217671
0.28	2178847
0.281	2178847
0.282	2173809
0.283	2173809
0.284	2173809
0.285	2153437
0.286	2153437
0.287	2151194
0.288	2151194
0.289	2146480
0.29	2146480
0.291	2124782
0.292	2124782
0.293	2106373
0.294	2106373
0.295	2097437
0.296	2097437
0.297	2088840
0.298	2088840
0.299	2084914
0.3	2084914
0.301	2078632
0.302	2078632
0.303	2078632
0.304	2050393
0.305	2050393
0.306	2041697
0.307	2041697
0.308	2037311
0.309	2037311
0.31	1981459
0.311	1981459
0.312	1945459
0.313	1945459
0.314	1891839
0.315	1883810
0.316	1883810
0.317	1874560
0.318	1874560
0.319	1863317
0.32	1863317
0.321	1863032
0.322	1863032
0.323	1852019
0.324	1852019
0.325	1846920
0.326	1846920
0.327	1842009
0.328	1833434
0.329	1833434
0.33	1821984
0.331	1821984
0.332	1821902
0.333	1821902
0.334	1820512
0.335	1820512
0.336	1792722
0.337	1792722
0.338	1741272
0.339	1723025
0.34	1723025
0.341	1715634
0.342	1715634
0.343	1713233
0.344	1705991
0.345	1705991
0.346	1705630
0.347	1705630
0.348	1700052
0.349	1697151
0.35	1697151
0.351	1696775
0.352	1696775
0.353	1689157
0.354	1689157
0.355	1686021
0.356	1677159
0.357	1677159
0.358	1673400
0.359	1673400
0.36	1661335
0.361	1654613
0.362	1654613
0.363	1652974
0.364	1652974
0.365	1651932
0.366	1639940
0.367	1639940
0.368	1632620
0.369	1632506
0.37	1632506
0.371	1632479
0.372	1632479
0.373	1602835
0.374	1594910
0.375	1594910
0.376	1589864
0.377	1574363
0.378	1574363
0.379	1573562
0.38	1573562
0.381	1556566
0.382	1555739
0.383	1555739
0.384	1554813
0.385	1552516
0.386	1552516
0.387	1526167
0.388	1518994
0.389	1518994
0.39	1515114
0.391	1504914
0.392	1504914
0.393	1504246
0.394	1497426
0.395	1497426
0.396	1487228
0.397	1481444
0.398	1481444
0.399	1480894
0.4	1475968
0.401	1475968
0.402	1471408
0.403	1470737
0.404	1470737
0.405	1469175
0.406	1459602
0.407	1459602
0.408	1459333
0.409	1458627
0.41	1458627
0.411	1458564
0.412	1455337
0.413	1454033
0.414	1454033
0.415	1430489
0.416	1430410
0.417	1430410
0.418	1411357
0.419	1408111
0.42	1408111
0.421	1393269
0.422	1387341
0.423	1379348
0.424	1379348
0.425	1379296
0.426	1374619
0.427	1373728
0.428	1373728
0.429	1364084
0.43	1363624
0.431	1363624
0.432	1346835
0.433	1340530
0.434	1340464
0.435	1340464
0.436	1315507
0.437	1302475
0.438	1290640
0.439	1290564
0.44	1290564
0.441	1290266
0.442	1277430
0.443	1274905
0.444	1274905
0.445	1274750
0.446	1274622
0.447	1269016
0.448	1267970
0.449	1267970
0.45	1260310
0.451	1259543
0.452	1247012
0.453	1239279
0.454	1239279
0.455	1237439
0.456	1232473
0.457	1213897
0.458	1209612
0.459	1209612
0.46	1191882
0.461	1188295
0.462	1181522
0.463	1174159
0.464	1168771
0.465	1161180
0.466	1161180
0.467	1158670
0.468	1155671
0.469	1154201
0.47	1154152
0.471	1154031
0.472	1151735
0.473	1147310
0.474	1147310
0.475	1146448
0.476	1146052
0.477	1135423
0.478	1129244
0.479	1124451
0.48	1122352
0.481	1121530
0.482	1121530
0.483	1120523
0.484	1115151
0.485	1112051
0.486	1110167
0.487	1108944
0.488	1108935
0.489	1102780
0.49	1094871
0.491	1085073
0.492	1082311
0.493	1082311
0.494	1074517
0.495	1073780
0.496	1067986
0.497	1067361
0.498	1064951
0.499	1062822
0.5	1059761
0.501	1052187
0.502	1050892
0.503	1050828
0.504	1042677
0.505	1036692
0.506	1025323
0.507	1020906
0.508	1011544
0.509	999705
0.51	989503
0.511	982181
0.512	977864
0.513	975538
0.514	974859
0.515	971783
0.516	968199
0.517	957950
0.518	957576
0.519	954380
0.52	953190
0.521	949947
0.522	949246
0.523	948030
0.524	945217
0.525	944342
0.526	944112
0.527	940732
0.528	935019
0.529	931133
0.53	931047
0.531	926232
0.532	925837
0.533	922778
0.534	922474
0.535	920713
0.536	920644
0.537	918982
0.538	917103
0.539	914698
0.54	913306
0.541	912130
0.542	911199
0.543	906351
0.544	900785
0.545	898705
0.546	894731
0.547	889905
0.548	882655
0.549	876202
0.55	872486
0.551	871995
0.552	871759
0.553	870722
0.554	863059
0.555	850707
0.556	847949
0.557	847874
0.558	844696
0.559	843125
0.56	839857
0.561	838025
0.562	832837
0.563	829640
0.564	823922
0.565	820097
0.566	817561
0.567	815037
0.568	804477
0.569	799240
0.57	795872
0.571	795824
0.572	793495
0.573	791084
0.574	788322
0.575	786169
0.576	784569
0.577	779663
0.578	776966
0.579	772720
0.58	770841
0.581	768591
0.582	767581
0.583	765829
0.584	763014
0.585	762758
0.586	761802
0.587	758890
0.588	756359
0.589	750999
0.59	750275
0.591	749906
0.592	749122
0.593	743716
0.594	743226
0.595	742925
0.596	735136
0.597	734644
0.598	731179
0.599	731000
0.6	723845
0.601	719518
0.602	719241
0.603	718850
0.604	716914
0.605	716535
0.606	713643
0.607	713073
0.608	711143
0.609	707330
0.61	706018
0.611	699904
0.612	695937
0.613	694352
0.614	693909
0.615	688725
0.616	687799
0.617	685496
0.618	683135
0.619	683066
0.62	678841
0.621	678425
0.622	676557
0.623	676438
0.624	672011
0.625	671107
0.626	670474
0.627	670247
0.628	669466
0.629	669294
0.63	665357
0.631	661309
0.632	659644
0.633	659581
0.634	658204
0.635	658016
0.636	654159
0.637	653247
0.638	650580
0.639	649163
0.64	646335
0.641	637402
0.642	635166
0.643	632745
0.644	632250
0.645	631310
0.646	630902
0.647	630671
0.648	629408
0.649	629099
0.65	627798
0.651	627302
0.652	626086
0.653	622760
0.654	622149
0.655	617276
0.656	615325
0.657	615308
0.658	612624
0.659	611802
0.66	608523
0.661	606998
0.662	606987
0.663	603802
0.664	603473
0.665	603093
0.666	597230
0.667	594809
0.668	592022
0.669	589689
0.67	588688
0.671	587950
0.672	587067
0.673	585132
0.674	583078
0.675	581334
0.676	579816
0.677	578595
0.678	576681
0.679	575365
0.68	573322
0.681	571865
0.682	570768
0.683	565534
0.684	564358
0.685	562931
0.686	559537
0.687	559531
0.688	557448
0.689	553767
0.69	551272
0.691	549413
0.692	547641
0.693	547060
0.694	545571
0.695	539417
0.696	536836
0.697	535216
0.698	533037
0.699	532376
0.7	530943
0.701	528943
0.702	526182
0.703	525433
0.704	524469
0.705	524035
0.706	522432
0.707	521579
0.708	519526
0.709	517932
0.71	513555
0.711	513148
0.712	511502
0.713	510556
0.714	509769
0.715	509048
0.716	507474
0.717	502798
0.718	501721
0.719	501025
0.72	499524
0.721	496704
0.722	495663
0.723	490143
0.724	486856
0.725	485586
0.726	485000
0.727	482707
0.728	481186
0.729	474233
0.73	472729
0.731	471660
0.732	470359
0.733	468015
0.734	465816
0.735	463420
0.736	462474
0.737	461526
0.738	459692
0.739	458959
0.74	456062
0.741	453074
0.742	451987
0.743	451626
0.744	448761
0.745	445368
0.746	442985
0.747	442002
0.748	440465
0.749	438035
0.75	435526
0.751	434127
0.752	433226
0.753	432207
0.754	429173
0.755	425968
0.756	424711
0.757	423807
0.758	420553
0.759	414948
0.76	412403
0.761	410776
0.762	409362
0.763	408627
0.764	408266
0.765	407793
0.766	406552
0.767	405164
0.768	404505
0.769	403485
0.77	401526
0.771	400732
0.772	400075
0.773	398042
0.774	395803
0.775	394456
0.776	391547
0.777	389081
0.778	386875
0.779	385464
0.78	384376
0.781	381918
0.782	380238
0.783	378230
0.784	376881
0.785	372688
0.786	371093
0.787	369608
0.788	368344
0.789	366755
0.79	365568
0.791	364457
0.792	362485
0.793	359183
0.794	357225
0.795	355718
0.796	354616
0.797	351991
0.798	350229
0.799	349174
0.8	346601
0.801	343238
0.802	341543
0.803	338314
0.804	337512
0.805	335102
0.806	333532
0.807	332531
0.808	330618
0.809	329564
0.81	327572
0.811	324955
0.812	324204
0.813	323540
0.814	320851
0.815	319475
0.816	317534
0.817	316515
0.818	314575
0.819	313399
0.82	310396
0.821	308872
0.822	306395
0.823	303699
0.824	301618
0.825	301099
0.826	300454
0.827	298569
0.828	296951
0.829	295424
0.83	293820
0.831	288701
0.832	287455
0.833	285214
0.834	282755
0.835	281426
0.836	279449
0.837	277396
0.838	276239
0.839	274346
0.84	271195
0.841	269929
0.842	267801
0.843	266031
0.844	264832
0.845	263789
0.846	262425
0.847	259924
0.848	259548
0.849	258099
0.85	256691
0.851	255017
0.852	253167
0.853	250080
0.854	248164
0.855	244133
0.856	243360
0.857	242747
0.858	240337
0.859	238418
0.86	237347
0.861	236753
0.862	233515
0.863	232765
0.864	231303
0.865	230159
0.866	228274
0.867	226706
0.868	223843
0.869	222832
0.87	221496
0.871	217335
0.872	217076
0.873	215286
0.874	213151
0.875	211713
0.876	210670
0.877	208817
0.878	207280
0.879	206162
0.88	205194
0.881	204209
0.882	203511
0.883	202997
0.884	201364
0.885	199118
0.886	198077
0.887	196110
0.888	192307
0.889	191374
0.89	190245
0.891	186744
0.892	185608
0.893	182915
0.894	181762
0.895	180575
0.896	179036
0.897	177510
0.898	176149
0.899	174675
0.9	173370
0.901	171567
0.902	170743
0.903	168470
0.904	166769
0.905	164718
0.906	164076
0.907	161972
0.908	159518
0.909	158068
0.91	156348
0.911	155937
0.912	154366
0.913	152599
0.914	150168
0.915	148676
0.916	147300
0.917	145574
0.918	143035
0.919	141875
0.92	140659
0.921	139306
0.922	138448
0.923	137143
0.924	136094
0.925	135046
0.926	132616
0.927	131176
0.928	128911
0.929	128027
0.93	126996
0.931	124952
0.932	123008
0.933	122170
0.934	121465
0.935	120840
0.936	119024
0.937	117657
0.938	116198
0.939	114648
0.94	112936
0.941	112269
0.942	110862
0.943	109810
0.944	107382
0.945	106393
0.946	105309
0.947	103694
0.948	102480
0.949	100576
0.95	98894
0.951	96509
0.952	95637
0.953	93302
0.954	91235
0.955	90580
0.956	88810
0.957	87608
0.958	86183
0.959	84930
0.96	83402
0.961	82174
0.962	80959
0.963	78982
0.964	77371
0.965	76074
0.966	74824
0.967	73381
0.968	71829
0.969	70684
0.97	69086
0.971	68361
0.972	67315
0.973	66091
0.974	63219
0.975	62023
0.976	60224
0.977	58874
0.978	56735
0.979	55027
0.98	52955
0.981	51724
0.982	50168
0.983	48940
0.984	47603
0.985	46137
0.986	44898
0.987	43462
0.988	41908
0.989	41097
0.99	39975
0.991	38693
0.992	37256
0.993	35875
0.994	34383
0.995	32183
0.996	30396
0.997	28276
0.998	25779
0.999	23390
1.0	14133
