fraction	Nx_length
0.001	156096171
0.002	156096171
0.003	156096171
0.004	156096171
0.005	156096171
0.006	156096171
0.007	156096171
0.008	156096171
0.009	156096171
0.01	156096171
0.011	156096171
0.012	156096171
0.013	156096171
0.014	156096171
0.015	156096171
0.016	156096171
0.017	156096171
0.018	156096171
0.019	156096171
0.02	156096171
0.021	156096171
0.022	156096171
0.023	156096171
0.024	156096171
0.025	156096171
0.026	156096171
0.027	156096171
0.028	156096171
0.029	156096171
0.03	156096171
0.031	156096171
0.032	156096171
0.033	156096171
0.034	156096171
0.035	156096171
0.036	156096171
0.037	156096171
0.038	156096171
0.039	156096171
0.04	156096171
0.041	156096171
0.042	156096171
0.043	156096171
0.044	156096171
0.045	156096171
0.046	156096171
0.047	156096171
0.048	156096171
0.049	156096171
0.05	156096171
0.051	156096171
0.052	156096171
0.053	156096171
0.054	156096171
0.055	156096171
0.056	156096171
0.057	156096171
0.058	156096171
0.059	156096171
0.06	156096171
0.061	156096171
0.062	156096171
0.063	156096171
0.064	156096171
0.065	156096171
0.066	156096171
0.067	156096171
0.068	156096171
0.069	156096171
0.07	156096171
0.071	156096171
0.072	156096171
0.073	156096171
0.074	156096171
0.075	156096171
0.076	156096171
0.077	156096171
0.078	156096171
0.079	156096171
0.08	156096171
0.081	156096171
0.082	156096171
0.083	156096171
0.084	156096171
0.085	156096171
0.086	156096171
0.087	156096171
0.088	156096171
0.089	156096171
0.09	156096171
0.091	156096171
0.092	156096171
0.093	156096171
0.094	156096171
0.095	156096171
0.096	156096171
0.097	156096171
0.098	156096171
0.099	156096171
0.1	156096171
0.101	156096171
0.102	156096171
0.103	156096171
0.104	156096171
0.105	156096171
0.106	156096171
0.107	156096171
0.108	156096171
0.109	156096171
0.11	156096171
0.111	156096171
0.112	156096171
0.113	156096171
0.114	156096171
0.115	156096171
0.116	156096171
0.117	156096171
0.118	156096171
0.119	156096171
0.12	156096171
0.121	156096171
0.122	156096171
0.123	156096171
0.124	156096171
0.125	156096171
0.126	156096171
0.127	156096171
0.128	156096171
0.129	156096171
0.13	156096171
0.131	156096171
0.132	156096171
0.133	156096171
0.134	156096171
0.135	156096171
0.136	156096171
0.137	156096171
0.138	156096171
0.139	156096171
0.14	156096171
0.141	156096171
0.142	156096171
0.143	156096171
0.144	156096171
0.145	156096171
0.146	156096171
0.147	156096171
0.148	156096171
0.149	156096171
0.15	156096171
0.151	156096171
0.152	156096171
0.153	156096171
0.154	156096171
0.155	156096171
0.156	137419173
0.157	137419173
0.158	137419173
0.159	137419173
0.16	137419173
0.161	137419173
0.162	137419173
0.163	137419173
0.164	137419173
0.165	137419173
0.166	137419173
0.167	137419173
0.168	137419173
0.169	137419173
0.17	137419173
0.171	137419173
0.172	137419173
0.173	137419173
0.174	137419173
0.175	137419173
0.176	137419173
0.177	137419173
0.178	137419173
0.179	137419173
0.18	137419173
0.181	137419173
0.182	137419173
0.183	137419173
0.184	137419173
0.185	137419173
0.186	137419173
0.187	137419173
0.188	137419173
0.189	137419173
0.19	137419173
0.191	137419173
0.192	137419173
0.193	137419173
0.194	137419173
0.195	137419173
0.196	137419173
0.197	137419173
0.198	137419173
0.199	137419173
0.2	137419173
0.201	137419173
0.202	137419173
0.203	137419173
0.204	137419173
0.205	137419173
0.206	137419173
0.207	137419173
0.208	137419173
0.209	137419173
0.21	137419173
0.211	137419173
0.212	137419173
0.213	137419173
0.214	137419173
0.215	137419173
0.216	137419173
0.217	137419173
0.218	137419173
0.219	137419173
0.22	137419173
0.221	137419173
0.222	137419173
0.223	137419173
0.224	137419173
0.225	137419173
0.226	137419173
0.227	137419173
0.228	137419173
0.229	137419173
0.23	137419173
0.231	137419173
0.232	137419173
0.233	137419173
0.234	137419173
0.235	137419173
0.236	137419173
0.237	137419173
0.238	137419173
0.239	137419173
0.24	137419173
0.241	137419173
0.242	137419173
0.243	137419173
0.244	137419173
0.245	137419173
0.246	137419173
0.247	137419173
0.248	137419173
0.249	137419173
0.25	137419173
0.251	137419173
0.252	137419173
0.253	137419173
0.254	137419173
0.255	137419173
0.256	137419173
0.257	137419173
0.258	137419173
0.259	137419173
0.26	137419173
0.261	137419173
0.262	137419173
0.263	137419173
0.264	137419173
0.265	137419173
0.266	137419173
0.267	137419173
0.268	137419173
0.269	137419173
0.27	137419173
0.271	137419173
0.272	137419173
0.273	137419173
0.274	137419173
