fraction	Nx_length
0.001	192463451
0.002	192463451
0.003	192463451
0.004	192463451
0.005	192463451
0.006	192463451
0.007	192463451
0.008	192463451
0.009	192463451
0.01	192463451
0.011	192463451
0.012	192463451
0.013	192463451
0.014	192463451
0.015	192463451
0.016	192463451
0.017	192463451
0.018	192463451
0.019	192463451
0.02	192463451
0.021	192463451
0.022	192463451
0.023	192463451
0.024	192463451
0.025	192463451
0.026	192463451
0.027	192463451
0.028	192463451
0.029	192463451
0.03	192463451
0.031	192463451
0.032	192463451
0.033	192463451
0.034	192463451
0.035	192463451
0.036	192463451
0.037	192463451
0.038	192463451
0.039	192463451
0.04	192463451
0.041	192463451
0.042	192463451
0.043	192463451
0.044	192463451
0.045	192463451
0.046	192463451
0.047	192463451
0.048	192463451
0.049	192463451
0.05	192463451
0.051	192463451
0.052	192463451
0.053	192463451
0.054	192463451
0.055	192463451
0.056	192463451
0.057	192463451
0.058	192463451
0.059	192463451
0.06	192463451
0.061	192463451
0.062	192463451
0.063	192463451
0.064	192463451
0.065	192463451
0.066	192463451
0.067	192463451
0.068	192463451
0.069	192463451
0.07	192463451
0.071	192463451
0.072	192463451
0.073	192463451
0.074	192463451
0.075	192463451
0.076	192463451
0.077	192463451
0.078	192463451
0.079	192463451
0.08	192463451
0.081	192463451
0.082	192463451
0.083	121956438
0.084	121956438
0.085	121956438
0.086	121956438
0.087	121956438
0.088	121956438
0.089	121956438
0.09	121956438
0.091	121956438
0.092	121956438
0.093	121956438
0.094	121956438
0.095	121956438
0.096	121956438
0.097	121956438
0.098	121956438
0.099	121956438
0.1	121956438
0.101	121956438
0.102	121956438
0.103	121956438
0.104	121956438
0.105	121956438
0.106	121956438
0.107	121956438
0.108	121956438
0.109	121956438
0.11	121956438
0.111	121956438
0.112	121956438
0.113	121956438
0.114	121956438
0.115	121956438
0.116	121956438
0.117	121956438
0.118	121956438
0.119	121956438
0.12	121956438
0.121	121956438
0.122	121956438
0.123	121956438
0.124	121956438
0.125	121956438
0.126	121956438
0.127	121956438
0.128	121956438
0.129	121956438
0.13	121956438
0.131	121956438
0.132	121956438
0.133	121956438
0.134	121956438
0.135	114515939
0.136	114515939
0.137	114515939
0.138	114515939
0.139	114515939
0.14	114515939
0.141	114515939
0.142	114515939
0.143	114515939
0.144	114515939
0.145	114515939
0.146	114515939
0.147	114515939
0.148	114515939
0.149	114515939
0.15	114515939
0.151	114515939
0.152	114515939
0.153	114515939
0.154	114515939
0.155	114515939
0.156	114515939
0.157	114515939
0.158	114515939
0.159	114515939
0.16	114515939
0.161	114515939
0.162	114515939
0.163	114515939
0.164	114515939
0.165	114515939
0.166	114515939
0.167	114515939
0.168	114515939
0.169	114515939
0.17	114515939
0.171	114515939
0.172	114515939
0.173	114515939
0.174	114515939
0.175	114515939
0.176	114515939
0.177	114515939
0.178	114515939
0.179	114515939
0.18	114515939
0.181	114515939
0.182	114515939
0.183	114515939
0.184	109892592
0.185	109892592
0.186	109892592
0.187	109892592
0.188	109892592
0.189	109892592
0.19	109892592
0.191	109892592
0.192	109892592
0.193	109892592
0.194	109892592
0.195	109892592
0.196	109892592
0.197	109892592
0.198	109892592
0.199	109892592
0.2	109892592
0.201	109892592
0.202	109892592
0.203	109892592
0.204	109892592
0.205	109892592
0.206	109892592
0.207	109892592
0.208	109892592
0.209	109892592
0.21	109892592
0.211	109892592
0.212	109892592
0.213	109892592
0.214	109892592
0.215	109892592
0.216	109892592
0.217	109892592
0.218	109892592
0.219	109892592
0.22	109892592
0.221	109892592
0.222	109892592
0.223	109892592
0.224	109892592
0.225	109892592
0.226	109892592
0.227	109892592
0.228	109892592
0.229	109892592
0.23	109892592
0.231	109892592
0.232	99602072
0.233	99602072
0.234	99602072
0.235	99602072
0.236	99602072
0.237	99602072
0.238	99602072
0.239	99602072
0.24	99602072
0.241	99602072
0.242	99602072
0.243	99602072
0.244	99602072
0.245	99602072
0.246	99602072
0.247	99602072
0.248	99602072
0.249	99602072
0.25	99602072
0.251	99602072
0.252	99602072
0.253	99602072
0.254	99602072
0.255	99602072
0.256	99602072
0.257	99602072
0.258	99602072
0.259	99602072
0.26	99602072
0.261	99602072
0.262	99602072
0.263	99602072
0.264	99602072
0.265	99602072
0.266	99602072
0.267	99602072
0.268	99602072
0.269	99602072
0.27	99602072
0.271	99602072
0.272	99602072
0.273	99602072
0.274	98316279
0.275	98316279
0.276	98316279
0.277	98316279
0.278	98316279
0.279	98316279
0.28	98316279
0.281	98316279
0.282	98316279
0.283	98316279
0.284	98316279
0.285	98316279
0.286	98316279
0.287	98316279
0.288	98316279
0.289	98316279
0.29	98316279
0.291	98316279
0.292	98316279
0.293	98316279
0.294	98316279
0.295	98316279
0.296	98316279
0.297	98316279
0.298	98316279
0.299	98316279
0.3	98316279
0.301	98316279
0.302	98316279
0.303	98316279
0.304	98316279
0.305	98316279
0.306	98316279
0.307	98316279
0.308	98316279
0.309	98316279
0.31	98316279
0.311	98316279
0.312	98316279
0.313	98316279
0.314	98316279
0.315	98316279
0.316	94849965
0.317	94849965
0.318	94849965
0.319	94849965
0.32	94849965
0.321	94849965
0.322	94849965
0.323	94849965
0.324	94849965
0.325	94849965
0.326	94849965
0.327	94849965
0.328	94849965
0.329	94849965
0.33	94849965
0.331	94849965
0.332	94849965
0.333	94849965
0.334	94849965
0.335	94849965
0.336	94849965
0.337	94849965
0.338	94849965
0.339	94849965
0.34	94849965
0.341	94849965
0.342	94849965
0.343	94849965
0.344	94849965
0.345	94849965
0.346	94849965
0.347	94849965
0.348	94849965
0.349	94849965
0.35	94849965
0.351	94849965
0.352	94849965
0.353	94849965
0.354	94849965
0.355	94849965
0.356	94849965
0.357	94453295
0.358	94453295
0.359	94453295
0.36	94453295
0.361	94453295
0.362	94453295
0.363	94453295
0.364	94453295
