fraction	Nx_length
0.001	494489450
0.002	494489450
0.003	494489450
0.004	494489450
0.005	494489450
0.006	494489450
0.007	494489450
0.008	494489450
0.009	494489450
0.01	494489450
0.011	494489450
0.012	494489450
0.013	494489450
0.014	494489450
0.015	494489450
0.016	494489450
0.017	494489450
0.018	494489450
0.019	494489450
0.02	494489450
0.021	494489450
0.022	494489450
0.023	494489450
0.024	494489450
0.025	494489450
0.026	494489450
0.027	494489450
0.028	494489450
0.029	494489450
0.03	494489450
0.031	494489450
0.032	494489450
0.033	494489450
0.034	494489450
0.035	494489450
0.036	494489450
0.037	494489450
0.038	494489450
0.039	494489450
0.04	494489450
0.041	494489450
0.042	494489450
0.043	494489450
0.044	494489450
0.045	494489450
0.046	494489450
0.047	494489450
0.048	494489450
0.049	494489450
0.05	494489450
0.051	494489450
0.052	494489450
0.053	494489450
0.054	494489450
0.055	494489450
0.056	494489450
0.057	494489450
0.058	494489450
0.059	494489450
0.06	494489450
0.061	494489450
0.062	494489450
0.063	494489450
0.064	494489450
0.065	494489450
0.066	494489450
0.067	494489450
0.068	494489450
0.069	494489450
0.07	494489450
0.071	494489450
0.072	494489450
0.073	494489450
0.074	494489450
0.075	494489450
0.076	494489450
0.077	494489450
0.078	494489450
0.079	494489450
0.08	494489450
0.081	494489450
0.082	494489450
0.083	494489450
0.084	494489450
0.085	494489450
0.086	494489450
0.087	494489450
0.088	494489450
0.089	494489450
0.09	494489450
0.091	494489450
0.092	494489450
0.093	494489450
0.094	494489450
0.095	494489450
0.096	494489450
0.097	494489450
0.098	494489450
0.099	494489450
0.1	494489450
0.101	494489450
0.102	494489450
0.103	494489450
0.104	494489450
0.105	494489450
0.106	494489450
0.107	494489450
0.108	494489450
0.109	494489450
0.11	494489450
0.111	494489450
0.112	494489450
0.113	494489450
0.114	494489450
0.115	494489450
0.116	494489450
0.117	494489450
0.118	494489450
0.119	494489450
0.12	494489450
0.121	494489450
0.122	494489450
0.123	494489450
0.124	494489450
0.125	494489450
0.126	494489450
0.127	494489450
0.128	494489450
0.129	494489450
0.13	494489450
0.131	494489450
0.132	494489450
0.133	494489450
0.134	494489450
0.135	494489450
0.136	494489450
0.137	494489450
0.138	494489450
0.139	494489450
0.14	494489450
0.141	494489450
0.142	494489450
0.143	494489450
0.144	494489450
0.145	494489450
0.146	494489450
0.147	494489450
0.148	494489450
0.149	376162909
0.15	376162909
0.151	376162909
0.152	376162909
0.153	376162909
0.154	376162909
0.155	376162909
0.156	376162909
0.157	376162909
0.158	376162909
0.159	376162909
0.16	376162909
0.161	376162909
0.162	376162909
0.163	376162909
0.164	376162909
0.165	376162909
0.166	376162909
0.167	376162909
0.168	376162909
0.169	376162909
0.17	376162909
0.171	376162909
0.172	376162909
0.173	376162909
0.174	376162909
0.175	376162909
0.176	376162909
0.177	376162909
0.178	376162909
0.179	376162909
0.18	376162909
0.181	376162909
0.182	376162909
0.183	376162909
0.184	376162909
0.185	376162909
0.186	376162909
0.187	376162909
0.188	376162909
0.189	376162909
0.19	376162909
0.191	376162909
0.192	376162909
0.193	376162909
0.194	376162909
0.195	376162909
0.196	376162909
0.197	376162909
0.198	376162909
0.199	376162909
0.2	376162909
0.201	376162909
0.202	376162909
0.203	376162909
0.204	376162909
0.205	376162909
0.206	376162909
0.207	376162909
0.208	376162909
0.209	376162909
0.21	376162909
0.211	376162909
0.212	376162909
0.213	376162909
0.214	376162909
0.215	376162909
0.216	376162909
0.217	376162909
0.218	376162909
0.219	376162909
0.22	376162909
0.221	376162909
0.222	376162909
0.223	376162909
0.224	376162909
0.225	376162909
0.226	376162909
0.227	376162909
0.228	376162909
0.229	376162909
0.23	376162909
0.231	376162909
0.232	376162909
0.233	376162909
0.234	376162909
0.235	376162909
0.236	376162909
0.237	376162909
0.238	376162909
0.239	376162909
0.24	376162909
0.241	376162909
0.242	376162909
0.243	376162909
0.244	376162909
0.245	376162909
0.246	376162909
0.247	376162909
0.248	376162909
0.249	376162909
0.25	376162909
0.251	376162909
0.252	376162909
0.253	376162909
0.254	376162909
0.255	376162909
0.256	376162909
0.257	376162909
0.258	376162909
0.259	376162909
0.26	376162909
0.261	376162909
0.262	375657673
0.263	375657673
0.264	375657673
0.265	375657673
0.266	375657673
0.267	375657673
0.268	375657673
0.269	375657673
0.27	375657673
0.271	375657673
0.272	375657673
0.273	375657673
0.274	375657673
0.275	375657673
0.276	375657673
0.277	375657673
0.278	375657673
0.279	375657673
0.28	375657673
0.281	375657673
0.282	375657673
0.283	375657673
0.284	375657673
0.285	375657673
0.286	375657673
0.287	375657673
0.288	375657673
0.289	375657673
0.29	375657673
0.291	375657673
0.292	375657673
0.293	375657673
0.294	375657673
0.295	375657673
0.296	375657673
0.297	375657673
0.298	375657673
0.299	375657673
0.3	375657673
0.301	375657673
0.302	375657673
0.303	375657673
0.304	375657673
0.305	375657673
0.306	375657673
0.307	375657673
0.308	375657673
0.309	375657673
0.31	375657673
0.311	375657673
0.312	375657673
0.313	375657673
0.314	375657673
0.315	375657673
0.316	375657673
0.317	375657673
0.318	375657673
0.319	375657673
0.32	375657673
0.321	375657673
0.322	375657673
0.323	375657673
0.324	375657673
0.325	375657673
0.326	375657673
0.327	375657673
0.328	375657673
0.329	375657673
0.33	375657673
0.331	375657673
0.332	375657673
0.333	375657673
0.334	375657673
0.335	375657673
0.336	375657673
0.337	375657673
0.338	375657673
0.339	375657673
0.34	375657673
0.341	375657673
0.342	375657673
0.343	375657673
0.344	375657673
0.345	375657673
0.346	375657673
0.347	375657673
0.348	375657673
0.349	375657673
0.35	375657673
0.351	375657673
0.352	375657673
0.353	375657673
0.354	375657673
0.355	375657673
0.356	375657673
0.357	375657673
0.358	375657673
0.359	375657673
0.36	375657673
0.361	375657673
0.362	375657673
0.363	375657673
0.364	375657673
0.365	375657673
0.366	375657673
0.367	375657673
0.368	375657673
0.369	375657673
0.37	375657673
0.371	375657673
0.372	375657673
0.373	375657673
0.374	375657673
0.375	321486706
0.376	321486706
0.377	321486706
0.378	321486706
0.379	321486706
0.38	321486706
0.381	321486706
0.382	321486706
0.383	321486706
0.384	321486706
0.385	321486706
0.386	321486706
0.387	321486706
0.388	321486706
0.389	321486706
0.39	321486706
0.391	321486706
0.392	321486706
0.393	321486706
0.394	321486706
0.395	321486706
0.396	321486706
0.397	321486706
0.398	321486706
0.399	321486706
0.4	321486706
0.401	321486706
0.402	321486706
0.403	321486706
0.404	321486706
0.405	321486706
0.406	321486706
0.407	321486706
0.408	321486706
0.409	321486706
0.41	321486706
0.411	321486706
0.412	321486706
0.413	321486706
0.414	321486706
0.415	321486706
0.416	321486706
0.417	321486706
0.418	321486706
0.419	321486706
0.42	321486706
0.421	321486706
0.422	321486706
0.423	321486706
0.424	321486706
0.425	321486706
0.426	321486706
0.427	321486706
0.428	321486706
0.429	321486706
0.43	321486706
0.431	321486706
