fraction	Nx_length
0.001	130602597
0.002	130602597
0.003	130602597
0.004	130602597
0.005	130602597
0.006	130602597
0.007	130602597
0.008	130602597
0.009	130602597
0.01	130602597
0.011	130602597
0.012	130602597
0.013	130602597
0.014	130602597
0.015	130602597
0.016	130602597
0.017	130602597
0.018	130602597
0.019	130602597
0.02	130602597
0.021	130602597
0.022	130602597
0.023	130602597
0.024	130602597
0.025	130602597
0.026	130602597
0.027	130602597
0.028	130602597
0.029	130602597
0.03	130602597
0.031	130602597
0.032	130602597
0.033	130602597
0.034	130602597
0.035	130602597
0.036	130602597
0.037	130602597
0.038	130602597
0.039	130602597
0.04	130602597
0.041	130602597
0.042	130602597
0.043	130602597
0.044	130602597
0.045	130602597
0.046	130602597
0.047	130602597
0.048	130602597
0.049	130602597
0.05	130602597
0.051	130602597
0.052	130602597
0.053	130602597
0.054	130602597
0.055	130602597
0.056	130602597
0.057	130602597
0.058	130602597
0.059	130602597
0.06	130602597
0.061	130602597
0.062	130602597
0.063	130602597
0.064	130602597
0.065	130602597
0.066	130602597
0.067	94978093
0.068	94978093
0.069	94978093
0.07	94978093
0.071	94978093
0.072	94978093
0.073	94978093
0.074	94978093
0.075	94978093
0.076	94978093
0.077	94978093
0.078	94978093
0.079	94978093
0.08	94978093
0.081	94978093
0.082	94978093
0.083	94978093
0.084	94978093
0.085	94978093
0.086	94978093
0.087	94978093
0.088	94978093
0.089	94978093
0.09	94978093
0.091	94978093
0.092	94978093
0.093	94978093
0.094	94978093
0.095	94978093
0.096	94978093
0.097	94978093
0.098	94978093
0.099	94978093
0.1	94978093
0.101	94978093
0.102	94978093
0.103	94978093
0.104	94978093
0.105	94978093
0.106	94978093
0.107	94978093
0.108	94978093
0.109	94978093
0.11	94978093
0.111	94978093
0.112	94978093
0.113	94978093
0.114	94978093
0.115	94978093
0.116	82360869
0.117	82360869
0.118	82360869
0.119	82360869
0.12	82360869
0.121	82360869
0.122	82360869
0.123	82360869
0.124	82360869
0.125	82360869
0.126	82360869
0.127	82360869
0.128	82360869
0.129	82360869
0.13	82360869
0.131	82360869
0.132	82360869
0.133	82360869
0.134	82360869
0.135	82360869
0.136	82360869
0.137	82360869
0.138	82360869
0.139	82360869
0.14	82360869
0.141	82360869
0.142	82360869
0.143	82360869
0.144	82360869
0.145	82360869
0.146	82360869
0.147	82360869
0.148	82360869
0.149	82360869
0.15	82360869
0.151	82360869
0.152	82360869
0.153	82360869
0.154	82360869
0.155	82360869
0.156	82360869
0.157	82360869
0.158	80228261
0.159	80228261
0.16	80228261
0.161	80228261
0.162	80228261
0.163	80228261
0.164	80228261
0.165	80228261
0.166	80228261
0.167	80228261
0.168	80228261
0.169	80228261
0.17	80228261
0.171	80228261
0.172	80228261
0.173	80228261
0.174	80228261
0.175	80228261
0.176	80228261
0.177	80228261
0.178	80228261
0.179	80228261
0.18	80228261
0.181	80228261
0.182	80228261
0.183	80228261
0.184	80228261
0.185	80228261
0.186	80228261
0.187	80228261
0.188	80228261
0.189	80228261
0.19	80228261
0.191	80228261
0.192	80228261
0.193	80228261
0.194	80228261
0.195	80228261
0.196	80228261
0.197	80228261
0.198	80228261
0.199	75539467
0.2	75539467
0.201	75539467
0.202	75539467
0.203	75539467
0.204	75539467
0.205	75539467
0.206	75539467
0.207	75539467
0.208	75539467
0.209	75539467
0.21	75539467
0.211	75539467
0.212	75539467
0.213	75539467
0.214	75539467
0.215	75539467
0.216	75539467
0.217	75539467
0.218	75539467
0.219	75539467
0.22	75539467
0.221	75539467
0.222	75539467
0.223	75539467
0.224	75539467
0.225	75539467
0.226	75539467
0.227	75539467
0.228	75539467
0.229	75539467
0.23	75539467
0.231	75539467
0.232	75539467
0.233	75539467
0.234	75539467
0.235	75539467
0.236	75539467
0.237	75539467
0.238	71989839
0.239	71989839
0.24	71989839
0.241	71989839
0.242	71989839
0.243	71989839
0.244	71989839
0.245	71989839
0.246	71989839
0.247	71989839
0.248	71989839
0.249	71989839
0.25	71989839
0.251	71989839
0.252	71989839
0.253	71989839
0.254	71989839
0.255	71989839
0.256	71989839
0.257	71989839
0.258	71989839
0.259	71989839
0.26	71989839
0.261	71989839
0.262	71989839
0.263	71989839
0.264	71989839
0.265	71989839
0.266	71989839
0.267	71989839
0.268	71989839
0.269	71989839
0.27	71989839
0.271	71989839
0.272	71989839
0.273	71989839
0.274	71989839
0.275	71436673
0.276	71436673
0.277	71436673
0.278	71436673
0.279	71436673
0.28	71436673
0.281	71436673
0.282	71436673
0.283	71436673
0.284	71436673
0.285	71436673
0.286	71436673
0.287	71436673
0.288	71436673
0.289	71436673
0.29	71436673
0.291	71436673
0.292	71436673
0.293	71436673
0.294	71436673
0.295	71436673
0.296	71436673
0.297	71436673
0.298	71436673
0.299	71436673
0.3	71436673
0.301	71436673
0.302	71436673
0.303	71436673
0.304	71436673
0.305	71436673
0.306	71436673
0.307	71436673
0.308	71436673
0.309	71436673
0.31	71436673
0.311	71436673
0.312	61687982
0.313	61687982
0.314	61687982
0.315	61687982
0.316	61687982
0.317	61687982
0.318	61687982
0.319	61687982
0.32	61687982
0.321	61687982
0.322	61687982
0.323	61687982
0.324	61687982
0.325	61687982
0.326	61687982
0.327	61687982
0.328	61687982
0.329	61687982
0.33	61687982
0.331	61687982
0.332	61687982
0.333	61687982
0.334	61687982
0.335	61687982
0.336	61687982
0.337	61687982
0.338	61687982
0.339	61687982
0.34	61687982
0.341	61687982
0.342	61687982
0.343	57860498
0.344	57860498
0.345	57860498
0.346	57860498
0.347	57860498
0.348	57860498
0.349	57860498
0.35	57860498
0.351	57860498
0.352	57860498
0.353	57860498
0.354	57860498
0.355	57860498
0.356	57860498
0.357	57860498
0.358	57860498
0.359	57860498
0.36	57860498
0.361	57860498
0.362	57860498
0.363	57860498
0.364	57860498
0.365	57860498
0.366	57860498
0.367	57860498
0.368	57860498
0.369	57860498
0.37	57860498
0.371	57860498
0.372	57860498
0.373	56055726
0.374	56055726
0.375	56055726
0.376	56055726
0.377	56055726
0.378	56055726
0.379	56055726
0.38	56055726
0.381	56055726
0.382	56055726
0.383	56055726
0.384	56055726
0.385	56055726
0.386	56055726
0.387	56055726
0.388	56055726
0.389	56055726
0.39	56055726
0.391	56055726
0.392	56055726
0.393	56055726
0.394	56055726
0.395	56055726
0.396	56055726
0.397	56055726
0.398	56055726
0.399	56055726
0.4	56055726
0.401	56055726
0.402	54384996
0.403	54384996
0.404	54384996
0.405	54384996
0.406	54384996
0.407	54384996
0.408	54384996
0.409	54384996
0.41	54384996
0.411	54384996
0.412	54384996
0.413	54384996
0.414	54384996
0.415	54384996
0.416	54384996
0.417	54384996
0.418	54384996
0.419	54384996
0.42	54384996
0.421	54384996
0.422	54384996
0.423	54384996
0.424	54384996
0.425	54384996
0.426	54384996
0.427	54384996
0.428	54384996
0.429	54384996
0.43	48892520
0.431	48892520
0.432	48892520
0.433	48892520
0.434	48892520
0.435	48892520
0.436	48892520
0.437	48892520
0.438	48892520
0.439	48892520
0.44	48892520
0.441	48892520
0.442	48892520
0.443	48892520
0.444	48892520
0.445	48892520
0.446	48892520
0.447	48892520
0.448	48892520
0.449	48892520
0.45	48892520
0.451	48892520
0.452	48892520
0.453	48892520
0.454	48892520
0.455	47304638
0.456	47304638
0.457	47304638
0.458	47304638
0.459	47304638
0.46	47304638
0.461	47304638
0.462	47304638
0.463	47304638
0.464	47304638
0.465	47304638
0.466	47304638
0.467	47304638
0.468	47304638
0.469	47304638
0.47	47304638
0.471	47304638
0.472	47304638
0.473	47304638
0.474	47304638
0.475	47304638
0.476	47304638
0.477	47304638
0.478	47304638
0.479	43146625
0.48	43146625
0.481	43146625
0.482	43146625
0.483	43146625
0.484	43146625
0.485	43146625
0.486	43146625
0.487	43146625
0.488	43146625
0.489	43146625
0.49	43146625
0.491	43146625
0.492	43146625
0.493	43146625
0.494	43146625
0.495	43146625
0.496	43146625
0.497	43146625
0.498	43146625
0.499	43146625
0.5	43146625
0.501	42876335
0.502	42876335
0.503	42876335
0.504	42876335
0.505	42876335
0.506	42876335
0.507	42876335
0.508	42876335
0.509	42876335
0.51	42876335
0.511	42876335
0.512	42876335
0.513	42876335
0.514	42876335
0.515	42876335
0.516	42876335
0.517	42876335
0.518	42876335
0.519	42876335
0.52	42876335
0.521	42876335
0.522	42876335
0.523	41320096
0.524	41320096
0.525	41320096
0.526	41320096
0.527	41320096
0.528	41320096
0.529	41320096
0.53	41320096
0.531	41320096
0.532	41320096
0.533	41320096
0.534	41320096
0.535	41320096
0.536	41320096
0.537	41320096
0.538	41320096
0.539	41320096
0.54	41320096
0.541	41320096
0.542	41320096
0.543	41320096
0.544	37553524
0.545	37553524
0.546	37553524
0.547	37553524
0.548	37553524
0.549	37553524
0.55	37553524
0.551	37553524
0.552	37553524
0.553	37553524
0.554	37553524
0.555	37553524
0.556	37553524
0.557	37553524
0.558	37553524
0.559	37553524
0.56	37553524
0.561	37553524
0.562	37553524
0.563	35622823
0.564	35622823
0.565	35622823
0.566	35622823
0.567	35622823
0.568	35622823
0.569	35622823
0.57	35622823
0.571	35622823
0.572	35622823
0.573	35622823
0.574	35622823
0.575	35622823
0.576	35622823
0.577	35622823
0.578	35622823
0.579	35622823
0.58	35622823
0.581	35622823
0.582	32428561
0.583	32428561
0.584	32428561
0.585	32428561
0.586	32428561
0.587	32428561
0.588	32428561
0.589	32428561
0.59	32428561
0.591	32428561
0.592	32428561
0.593	32428561
0.594	32428561
0.595	32428561
0.596	32428561
0.597	32428561
0.598	26958932
0.599	26958932
0.6	26958932
0.601	26958932
0.602	26958932
0.603	26958932
0.604	26958932
0.605	26958932
0.606	26958932
0.607	26958932
0.608	26958932
0.609	26958932
0.61	26958932
0.611	26958932
0.612	26033616
0.613	26033616
0.614	26033616
0.615	26033616
0.616	26033616
0.617	26033616
0.618	26033616
0.619	26033616
0.62	26033616
0.621	26033616
0.622	26033616
0.623	26033616
0.624	26033616
0.625	26033616
0.626	25598284
0.627	25598284
0.628	25598284
0.629	25598284
0.63	25598284
0.631	25598284
0.632	25598284
0.633	25598284
0.634	25598284
0.635	25598284
0.636	25598284
0.637	25598284
0.638	25598284
0.639	24888285
0.64	24888285
0.641	24888285
0.642	24888285
0.643	24888285
0.644	24888285
0.645	24888285
0.646	24888285
0.647	24888285
0.648	24888285
0.649	24888285
0.65	24888285
0.651	24513251
0.652	24513251
0.653	24513251
0.654	24513251
0.655	24513251
0.656	24513251
0.657	24513251
0.658	24513251
0.659	24513251
0.66	24513251
0.661	24513251
0.662	24513251
0.663	24513251
0.664	23379345
0.665	23379345
0.666	23379345
0.667	23379345
0.668	23379345
0.669	23379345
0.67	23379345
0.671	23379345
0.672	23379345
0.673	23379345
0.674	23379345
0.675	23379345
0.676	22460364
0.677	22460364
0.678	22460364
0.679	22460364
0.68	22460364
0.681	22460364
0.682	22460364
0.683	22460364
0.684	22460364
0.685	22460364
0.686	22460364
0.687	19518143
0.688	19518143
0.689	19518143
0.69	19518143
0.691	19518143
0.692	19518143
0.693	19518143
0.694	19518143
0.695	19518143
0.696	19518143
0.697	19070629
0.698	19070629
0.699	19070629
0.7	19070629
0.701	19070629
0.702	19070629
0.703	19070629
0.704	19070629
0.705	19070629
0.706	19070629
0.707	17541083
0.708	17541083
0.709	17541083
0.71	17541083
0.711	17541083
0.712	17541083
0.713	17541083
0.714	17541083
0.715	17541083
0.716	15567630
0.717	15567630
0.718	15567630
0.719	15567630
0.72	15567630
0.721	15567630
0.722	15567630
0.723	15567630
0.724	15137919
0.725	15137919
0.726	15137919
0.727	15137919
0.728	15137919
0.729	15137919
0.73	15137919
0.731	15137919
0.732	14521030
0.733	14521030
0.734	14521030
0.735	14521030
0.736	14521030
0.737	14521030
0.738	14521030
0.739	14510933
0.74	14510933
0.741	14510933
0.742	14510933
0.743	14510933
0.744	14510933
0.745	14510933
0.746	14510933
0.747	13848518
0.748	13848518
0.749	13848518
0.75	13848518
0.751	13848518
0.752	13848518
0.753	13848518
0.754	13316124
0.755	13316124
0.756	13316124
0.757	13316124
0.758	13316124
0.759	13316124
0.76	13316124
0.761	12944325
0.762	12944325
0.763	12944325
0.764	12944325
0.765	12944325
0.766	12944325
0.767	12116553
0.768	12116553
0.769	12116553
0.77	12116553
0.771	12116553
0.772	12116553
0.773	12116553
0.774	11313939
0.775	11313939
0.776	11313939
0.777	11313939
0.778	11313939
0.779	11251063
0.78	11251063
0.781	11251063
0.782	11251063
0.783	11251063
0.784	11251063
0.785	11190575
0.786	11190575
0.787	11190575
0.788	11190575
0.789	11190575
0.79	11190575
0.791	10120399
0.792	10120399
0.793	10120399
0.794	10120399
0.795	10120399
0.796	9832509
0.797	9832509
0.798	9832509
0.799	9832509
0.8	9832509
0.801	9552269
0.802	9552269
0.803	9552269
0.804	9552269
0.805	9552269
0.806	9516337
0.807	9516337
0.808	9516337
0.809	9516337
0.81	9516337
0.811	9179386
0.812	9179386
0.813	9179386
0.814	9179386
0.815	9179386
0.816	9095481
0.817	9095481
0.818	9095481
0.819	9095481
0.82	9068580
0.821	9068580
0.822	9068580
0.823	9068580
0.824	9068580
0.825	9062652
0.826	9062652
0.827	9062652
0.828	9062652
0.829	9062652
0.83	8896285
0.831	8896285
0.832	8896285
0.833	8896285
0.834	8468107
0.835	8468107
0.836	8468107
0.837	8468107
0.838	8132105
0.839	8132105
0.84	8132105
0.841	8132105
0.842	8132105
0.843	8093781
0.844	8093781
0.845	8093781
0.846	8093781
0.847	7855497
0.848	7855497
0.849	7855497
0.85	7855497
0.851	7647733
0.852	7647733
0.853	7647733
0.854	7647733
0.855	7615631
0.856	7615631
0.857	7615631
0.858	7615631
0.859	7418914
0.86	7418914
0.861	7418914
0.862	7116964
0.863	7116964
0.864	7116964
0.865	7116964
0.866	7075686
0.867	7075686
0.868	7075686
0.869	7075686
0.87	6907874
0.871	6907874
0.872	6907874
0.873	6653379
0.874	6653379
0.875	6653379
0.876	6653379
0.877	6608665
0.878	6608665
0.879	6608665
0.88	6510435
0.881	6510435
0.882	6510435
0.883	6355500
0.884	6355500
0.885	6355500
0.886	6355500
0.887	6260869
0.888	6260869
0.889	6260869
0.89	6161518
0.891	6161518
0.892	6161518
0.893	6143826
0.894	6143826
0.895	6143826
0.896	5836133
0.897	5836133
0.898	5836133
0.899	5517933
0.9	5517933
0.901	5517933
0.902	5465316
0.903	5465316
0.904	5465316
0.905	5449537
0.906	5449537
0.907	5449537
0.908	5383250
0.909	5383250
0.91	5221641
0.911	5221641
0.912	5221641
0.913	5199614
0.914	5199614
0.915	5199614
