fraction	Nx_length
0.001	121452674
0.002	121452674
0.003	121452674
0.004	121452674
0.005	121452674
0.006	121452674
0.007	121452674
0.008	121452674
0.009	121452674
0.01	121452674
0.011	121452674
0.012	121452674
0.013	121452674
0.014	121452674
0.015	121452674
0.016	121452674
0.017	121452674
0.018	121452674
0.019	121452674
0.02	121452674
0.021	121452674
0.022	121452674
0.023	121452674
0.024	121452674
0.025	121452674
0.026	121452674
0.027	121452674
0.028	121452674
0.029	121452674
0.03	121452674
0.031	121452674
0.032	121452674
0.033	121452674
0.034	121452674
0.035	121452674
0.036	121452674
0.037	121452674
0.038	121452674
0.039	121452674
0.04	121452674
0.041	121452674
0.042	121452674
0.043	121452674
0.044	121452674
0.045	121452674
0.046	121452674
0.047	121452674
0.048	121452674
0.049	121452674
0.05	121452674
0.051	121452674
0.052	121452674
0.053	121452674
0.054	121452674
0.055	121452674
0.056	121452674
0.057	121452674
0.058	121452674
0.059	121452674
0.06	121452674
0.061	121452674
0.062	113040000
0.063	113040000
0.064	113040000
0.065	113040000
0.066	113040000
0.067	113040000
0.068	113040000
0.069	113040000
0.07	113040000
0.071	113040000
0.072	113040000
0.073	113040000
0.074	113040000
0.075	113040000
0.076	113040000
0.077	113040000
0.078	113040000
0.079	113040000
0.08	113040000
0.081	113040000
0.082	113040000
0.083	113040000
0.084	113040000
0.085	113040000
0.086	113040000
0.087	113040000
0.088	113040000
0.089	113040000
0.09	113040000
0.091	113040000
0.092	113040000
0.093	113040000
0.094	113040000
0.095	113040000
0.096	113040000
0.097	113040000
0.098	113040000
0.099	113040000
0.1	113040000
0.101	113040000
0.102	113040000
0.103	113040000
0.104	113040000
0.105	113040000
0.106	113040000
0.107	113040000
0.108	113040000
0.109	113040000
0.11	113040000
0.111	113040000
0.112	113040000
0.113	113040000
0.114	113040000
0.115	113040000
0.116	113040000
0.117	113040000
0.118	113040000
0.119	111259131
0.12	111259131
0.121	111259131
0.122	111259131
0.123	111259131
0.124	111259131
0.125	111259131
0.126	111259131
0.127	111259131
0.128	111259131
0.129	111259131
0.13	111259131
0.131	111259131
0.132	111259131
0.133	111259131
0.134	111259131
0.135	111259131
0.136	111259131
0.137	111259131
0.138	111259131
0.139	111259131
0.14	111259131
0.141	111259131
0.142	111259131
0.143	111259131
0.144	111259131
0.145	111259131
0.146	111259131
0.147	111259131
0.148	111259131
0.149	111259131
0.15	111259131
0.151	111259131
0.152	111259131
0.153	111259131
0.154	111259131
0.155	111259131
0.156	111259131
0.157	111259131
0.158	111259131
0.159	111259131
0.16	111259131
0.161	111259131
0.162	111259131
0.163	111259131
0.164	111259131
0.165	111259131
0.166	111259131
0.167	111259131
0.168	111259131
0.169	111259131
0.17	111259131
0.171	111259131
0.172	111259131
0.173	111259131
0.174	111259131
0.175	99673447
0.176	99673447
0.177	99673447
0.178	99673447
0.179	99673447
0.18	99673447
0.181	99673447
0.182	99673447
0.183	99673447
0.184	99673447
0.185	99673447
0.186	99673447
0.187	99673447
0.188	99673447
0.189	99673447
0.19	99673447
0.191	99673447
0.192	99673447
0.193	99673447
0.194	99673447
0.195	99673447
0.196	99673447
0.197	99673447
0.198	99673447
0.199	99673447
0.2	99673447
0.201	99673447
0.202	99673447
0.203	99673447
0.204	99673447
0.205	99673447
0.206	99673447
0.207	99673447
0.208	99673447
0.209	99673447
0.21	99673447
0.211	99673447
0.212	99673447
0.213	99673447
0.214	99673447
0.215	99673447
0.216	99673447
0.217	99673447
0.218	99673447
0.219	99673447
0.22	99673447
0.221	99673447
0.222	99673447
0.223	99673447
0.224	99673447
0.225	98266806
0.226	98266806
0.227	98266806
0.228	98266806
0.229	98266806
0.23	98266806
0.231	98266806
0.232	98266806
0.233	98266806
0.234	98266806
0.235	98266806
0.236	98266806
0.237	98266806
0.238	98266806
0.239	98266806
0.24	98266806
0.241	98266806
0.242	98266806
0.243	98266806
0.244	98266806
0.245	98266806
0.246	98266806
0.247	98266806
0.248	98266806
0.249	98266806
0.25	98266806
0.251	98266806
0.252	98266806
0.253	98266806
0.254	98266806
0.255	98266806
0.256	98266806
0.257	98266806
0.258	98266806
0.259	98266806
0.26	98266806
0.261	98266806
0.262	98266806
0.263	98266806
0.264	98266806
0.265	98266806
0.266	98266806
0.267	98266806
0.268	98266806
0.269	98266806
0.27	98266806
0.271	98266806
0.272	98266806
0.273	98266806
0.274	98266806
0.275	82307031
0.276	82307031
0.277	82307031
0.278	82307031
0.279	82307031
0.28	82307031
0.281	82307031
0.282	82307031
0.283	82307031
0.284	82307031
0.285	82307031
0.286	82307031
0.287	82307031
0.288	82307031
0.289	82307031
0.29	82307031
0.291	82307031
0.292	82307031
0.293	82307031
0.294	82307031
0.295	82307031
0.296	82307031
0.297	82307031
0.298	82307031
0.299	82307031
0.3	82307031
0.301	82307031
0.302	82307031
0.303	82307031
0.304	82307031
0.305	82307031
0.306	82307031
0.307	82307031
0.308	82307031
0.309	82307031
0.31	82307031
0.311	82307031
0.312	82307031
0.313	82307031
0.314	82307031
0.315	82307031
0.316	82307031
0.317	77301000
0.318	77301000
