fraction	Nx_length
0.001	546236482
0.002	546236482
0.003	546236482
0.004	546236482
0.005	546236482
0.006	546236482
0.007	546236482
0.008	546236482
0.009	546236482
0.01	546236482
0.011	546236482
0.012	546236482
0.013	546236482
0.014	546236482
0.015	546236482
0.016	546236482
0.017	546236482
0.018	546236482
0.019	546236482
0.02	546236482
0.021	546236482
0.022	546236482
0.023	546236482
0.024	546236482
0.025	546236482
0.026	546236482
0.027	546236482
0.028	546236482
0.029	546236482
0.03	546236482
0.031	546236482
0.032	546236482
0.033	546236482
0.034	546236482
0.035	546236482
0.036	546236482
0.037	546236482
0.038	546236482
0.039	546236482
0.04	546236482
0.041	546236482
0.042	546236482
0.043	546236482
0.044	546236482
0.045	546236482
0.046	546236482
0.047	546236482
0.048	546236482
0.049	546236482
0.05	546236482
0.051	546236482
0.052	546236482
0.053	546236482
0.054	546236482
0.055	546236482
0.056	546236482
0.057	546236482
0.058	546236482
0.059	546236482
0.06	546236482
0.061	546236482
0.062	546236482
0.063	546236482
0.064	546236482
0.065	546236482
0.066	546236482
0.067	546236482
0.068	546236482
0.069	546236482
0.07	546236482
0.071	546236482
0.072	546236482
0.073	546236482
0.074	546236482
0.075	546236482
0.076	546236482
0.077	546236482
0.078	546236482
0.079	546236482
0.08	546236482
0.081	546236482
0.082	546236482
0.083	546236482
0.084	546236482
0.085	546236482
0.086	546236482
0.087	546236482
0.088	546236482
0.089	546236482
0.09	546236482
0.091	546236482
0.092	546236482
0.093	375646847
0.094	375646847
0.095	375646847
0.096	375646847
0.097	375646847
0.098	375646847
0.099	375646847
0.1	375646847
0.101	375646847
0.102	375646847
0.103	375646847
0.104	375646847
0.105	375646847
0.106	375646847
0.107	375646847
0.108	375646847
0.109	375646847
0.11	375646847
0.111	375646847
0.112	375646847
0.113	375646847
0.114	375646847
0.115	375646847
0.116	375646847
0.117	375646847
0.118	375646847
0.119	375646847
0.12	375646847
0.121	375646847
0.122	375646847
0.123	375646847
0.124	375646847
0.125	375646847
0.126	375646847
0.127	375646847
0.128	375646847
0.129	375646847
0.13	375646847
0.131	375646847
0.132	375646847
0.133	375646847
0.134	375646847
0.135	375646847
0.136	375646847
0.137	375646847
0.138	375646847
0.139	375646847
0.14	375646847
0.141	375646847
0.142	375646847
0.143	375646847
0.144	375646847
0.145	375646847
0.146	375646847
0.147	375646847
0.148	375646847
0.149	375646847
0.15	375646847
0.151	375646847
0.152	375646847
0.153	375646847
0.154	375646847
0.155	375646847
0.156	331966145
0.157	331966145
0.158	331966145
0.159	331966145
0.16	331966145
0.161	331966145
0.162	331966145
0.163	331966145
0.164	331966145
0.165	331966145
0.166	331966145
0.167	331966145
0.168	331966145
0.169	331966145
0.17	331966145
0.171	331966145
0.172	331966145
0.173	331966145
0.174	331966145
0.175	331966145
0.176	331966145
0.177	331966145
0.178	331966145
0.179	331966145
0.18	331966145
0.181	331966145
0.182	331966145
0.183	331966145
0.184	331966145
0.185	331966145
0.186	331966145
0.187	331966145
0.188	331966145
0.189	331966145
0.19	331966145
0.191	331966145
0.192	331966145
0.193	331966145
0.194	331966145
0.195	331966145
0.196	331966145
0.197	331966145
0.198	331966145
0.199	331966145
0.2	331966145
0.201	331966145
0.202	331966145
0.203	331966145
0.204	331966145
0.205	331966145
0.206	331966145
0.207	331966145
0.208	331966145
0.209	331966145
0.21	331966145
0.211	331966145
0.212	316874873
0.213	316874873
0.214	316874873
0.215	316874873
0.216	316874873
0.217	316874873
0.218	316874873
0.219	316874873
0.22	316874873
0.221	316874873
0.222	316874873
