fraction	Nx_length
0.001	359753992
0.002	359753992
0.003	359753992
0.004	359753992
0.005	359753992
0.006	359753992
0.007	359753992
0.008	359753992
0.009	359753992
0.01	359753992
0.011	359753992
0.012	359753992
0.013	359753992
0.014	359753992
0.015	359753992
0.016	359753992
0.017	359753992
0.018	359753992
0.019	359753992
0.02	359753992
0.021	359753992
0.022	359753992
0.023	359753992
0.024	359753992
0.025	359753992
0.026	359753992
0.027	359753992
0.028	359753992
0.029	359753992
0.03	359753992
0.031	359753992
0.032	359753992
0.033	359753992
0.034	359753992
0.035	359753992
0.036	359753992
0.037	359753992
0.038	359753992
0.039	359753992
0.04	359753992
0.041	359753992
0.042	359753992
0.043	359753992
0.044	359753992
0.045	359753992
0.046	359753992
0.047	359753992
0.048	359753992
0.049	359753992
0.05	359753992
0.051	359753992
0.052	359753992
0.053	359753992
0.054	359753992
0.055	359753992
0.056	359753992
0.057	359753992
0.058	359753992
0.059	359753992
0.06	359753992
0.061	359753992
0.062	359753992
0.063	359753992
0.064	359753992
0.065	359753992
0.066	359753992
0.067	359753992
0.068	359753992
0.069	359753992
0.07	359753992
0.071	359753992
0.072	359753992
0.073	359753992
0.074	359753992
0.075	359753992
0.076	359753992
0.077	359753992
0.078	359753992
0.079	359753992
0.08	359753992
0.081	359753992
0.082	359753992
0.083	359753992
0.084	359753992
0.085	359753992
0.086	359753992
0.087	359753992
0.088	359753992
0.089	359753992
0.09	359753992
0.091	359753992
0.092	359753992
0.093	359753992
0.094	359753992
0.095	359753992
0.096	359753992
0.097	359753992
0.098	359753992
0.099	359753992
0.1	359753992
0.101	359753992
0.102	359753992
0.103	359753992
0.104	359753992
0.105	359753992
0.106	359753992
0.107	359753992
0.108	359753992
0.109	359753992
0.11	359753992
0.111	359753992
0.112	359753992
0.113	359753992
0.114	359753992
0.115	359753992
0.116	359753992
0.117	359753992
0.118	359753992
0.119	359753992
0.12	359753992
0.121	359753992
0.122	359753992
0.123	359753992
0.124	359753992
0.125	359753992
0.126	359753992
0.127	359753992
0.128	359753992
0.129	359753992
0.13	359753992
0.131	359753992
0.132	359753992
0.133	359753992
0.134	359753992
0.135	359753992
0.136	359753992
0.137	359753992
0.138	359753992
0.139	359753992
0.14	359753992
0.141	359753992
0.142	359753992
0.143	359753992
0.144	359753992
0.145	359753992
0.146	359753992
0.147	359753992
0.148	359753992
0.149	359753992
0.15	359753992
0.151	359753992
0.152	359753992
0.153	359753992
0.154	359753992
0.155	359753992
0.156	359753992
0.157	359753992
0.158	359753992
0.159	359753992
0.16	359753992
0.161	359753992
0.162	359753992
0.163	359753992
0.164	359753992
0.165	359753992
0.166	359753992
0.167	359753992
0.168	359753992
0.169	359753992
0.17	359753992
0.171	359753992
0.172	359753992
0.173	359753992
0.174	359753992
0.175	359753992
0.176	359753992
0.177	359753992
0.178	359753992
0.179	359753992
0.18	359753992
0.181	359753992
0.182	359753992
0.183	359753992
0.184	359753992
0.185	359753992
0.186	359753992
0.187	359753992
0.188	359753992
0.189	359753992
0.19	359753992
0.191	359753992
0.192	359753992
0.193	359753992
0.194	359753992
0.195	359753992
0.196	359753992
0.197	359753992
0.198	359753992
0.199	359753992
0.2	359753992
0.201	359753992
0.202	359753992
0.203	359753992
0.204	359753992
0.205	359753992
0.206	359753992
0.207	359753992
0.208	359753992
0.209	359753992
0.21	359753992
0.211	359753992
0.212	359753992
0.213	359753992
0.214	359753992
0.215	359753992
0.216	359753992
0.217	359753992
0.218	359753992
0.219	359753992
0.22	359753992
0.221	359753992
0.222	294454259
0.223	294454259
0.224	294454259
0.225	294454259
0.226	294454259
0.227	294454259
0.228	294454259
0.229	294454259
0.23	294454259
0.231	294454259
0.232	294454259
0.233	294454259
0.234	294454259
0.235	294454259
0.236	294454259
0.237	294454259
0.238	294454259
0.239	294454259
0.24	294454259
0.241	294454259
0.242	294454259
0.243	294454259
0.244	294454259
0.245	294454259
0.246	294454259
0.247	294454259
0.248	294454259
0.249	294454259
0.25	294454259
0.251	294454259
0.252	294454259
0.253	294454259
0.254	294454259
0.255	294454259
0.256	294454259
0.257	294454259
0.258	294454259
0.259	294454259
0.26	294454259
0.261	294454259
0.262	294454259
0.263	294454259
0.264	294454259
0.265	294454259
0.266	294454259
0.267	294454259
0.268	294454259
0.269	294454259
0.27	294454259
0.271	294454259
0.272	294454259
0.273	294454259
0.274	294454259
0.275	294454259
0.276	294454259
0.277	294454259
0.278	294454259
0.279	294454259
0.28	294454259
0.281	294454259
0.282	294454259
0.283	294454259
0.284	294454259
0.285	294454259
0.286	294454259
0.287	294454259
0.288	294454259
0.289	294454259
0.29	294454259
0.291	294454259
0.292	294454259
0.293	294454259
0.294	294454259
0.295	294454259
0.296	294454259
0.297	294454259
0.298	294454259
0.299	294454259
0.3	294454259
0.301	294454259
0.302	294454259
0.303	294454259
0.304	294454259
0.305	294454259
0.306	294454259
0.307	294454259
0.308	294454259
0.309	294454259
0.31	294454259
0.311	294454259
0.312	294454259
0.313	294454259
0.314	294454259
0.315	294454259
0.316	294454259
0.317	294454259
0.318	294454259
0.319	294454259
0.32	294454259
0.321	294454259
0.322	294454259
0.323	294454259
0.324	294454259
0.325	294454259
0.326	294454259
0.327	294454259
0.328	294454259
0.329	294454259
0.33	294454259
0.331	294454259
0.332	294454259
0.333	294454259
0.334	294454259
0.335	294454259
0.336	294454259
0.337	294454259
0.338	294454259
0.339	294454259
0.34	294454259
0.341	294454259
0.342	294454259
0.343	294454259
0.344	294454259
0.345	294454259
0.346	294454259
0.347	294454259
0.348	294454259
0.349	294454259
0.35	294454259
0.351	294454259
0.352	294454259
0.353	294454259
0.354	294454259
0.355	294454259
0.356	294454259
0.357	294454259
0.358	294454259
0.359	294454259
0.36	294454259
0.361	294454259
0.362	294454259
0.363	294454259
0.364	294454259
0.365	294454259
0.366	294454259
0.367	294454259
0.368	294454259
0.369	294454259
0.37	294454259
0.371	294454259
0.372	294454259
0.373	294454259
0.374	294454259
0.375	294454259
0.376	294454259
0.377	294454259
0.378	294454259
0.379	294454259
0.38	294454259
0.381	294454259
0.382	294454259
0.383	294454259
0.384	294454259
0.385	294454259
0.386	294454259
0.387	294454259
0.388	294454259
0.389	294454259
0.39	294454259
0.391	294454259
0.392	294454259
0.393	294454259
0.394	294454259
0.395	294454259
0.396	294454259
0.397	294454259
0.398	294454259
0.399	294454259
0.4	294454259
0.401	294454259
0.402	294454259
0.403	212821320
0.404	212821320
0.405	212821320
0.406	212821320
0.407	212821320
0.408	212821320
0.409	212821320
0.41	212821320
0.411	212821320
0.412	212821320
0.413	212821320
0.414	212821320
0.415	212821320
0.416	212821320
0.417	212821320
0.418	212821320
0.419	212821320
0.42	212821320
0.421	212821320
0.422	212821320
0.423	212821320
0.424	212821320
0.425	212821320
0.426	212821320
0.427	212821320
0.428	212821320
0.429	212821320
0.43	212821320
0.431	212821320
0.432	212821320
0.433	212821320
0.434	212821320
0.435	212821320
0.436	212821320
0.437	212821320
0.438	212821320
0.439	212821320
0.44	212821320
0.441	212821320
