fraction	Nx_length
0.001	141635579
0.002	141635579
0.003	141635579
0.004	141635579
0.005	141635579
0.006	141635579
0.007	141635579
0.008	141635579
0.009	141635579
0.01	141635579
0.011	141635579
0.012	141635579
0.013	141635579
0.014	141635579
0.015	141635579
0.016	141635579
0.017	141635579
0.018	141635579
0.019	141635579
0.02	141635579
0.021	141635579
0.022	141635579
0.023	141635579
0.024	141635579
0.025	141635579
0.026	141635579
0.027	141635579
0.028	141635579
0.029	141635579
0.03	141635579
0.031	141635579
0.032	141635579
0.033	141635579
0.034	141635579
0.035	141635579
0.036	141635579
0.037	141635579
0.038	141635579
0.039	141635579
0.04	141635579
0.041	141635579
0.042	141635579
0.043	141635579
0.044	141635579
0.045	141635579
0.046	141635579
0.047	141635579
0.048	141635579
0.049	141635579
0.05	141635579
0.051	141635579
0.052	141635579
0.053	141635579
0.054	141635579
0.055	141635579
0.056	141635579
0.057	141635579
0.058	141635579
0.059	141635579
0.06	141635579
0.061	141635579
0.062	141635579
0.063	141635579
0.064	141635579
0.065	141635579
0.066	141635579
0.067	141635579
0.068	141635579
0.069	141635579
0.07	141635579
0.071	141635579
0.072	141635579
0.073	141635579
0.074	141635579
0.075	141635579
0.076	141635579
0.077	141635579
0.078	141635579
0.079	141635579
0.08	141635579
0.081	141635579
0.082	141635579
0.083	141635579
0.084	141635579
0.085	141635579
0.086	141635579
0.087	141635579
0.088	141635579
0.089	141635579
0.09	141635579
0.091	141635579
0.092	141635579
0.093	141635579
0.094	116658000
0.095	116658000
0.096	116658000
0.097	116658000
0.098	116658000
0.099	116658000
0.1	116658000
0.101	116658000
0.102	116658000
0.103	116658000
0.104	116658000
0.105	116658000
0.106	116658000
0.107	116658000
0.108	116658000
0.109	116658000
0.11	116658000
0.111	116658000
0.112	116658000
0.113	116658000
0.114	116658000
0.115	116658000
0.116	116658000
0.117	116658000
0.118	116658000
0.119	116658000
0.12	116658000
0.121	116658000
0.122	116658000
0.123	116658000
0.124	116658000
0.125	116658000
0.126	116658000
0.127	116658000
0.128	116658000
0.129	116658000
0.13	116658000
0.131	116658000
0.132	116658000
0.133	116658000
0.134	116658000
0.135	116658000
0.136	116658000
0.137	116658000
0.138	116658000
0.139	116658000
0.14	116658000
0.141	116658000
0.142	116658000
0.143	116658000
0.144	116658000
0.145	116658000
0.146	116658000
0.147	116658000
0.148	116658000
0.149	116658000
0.15	116658000
0.151	116658000
0.152	116658000
0.153	116658000
0.154	116658000
0.155	116658000
0.156	116658000
0.157	116658000
0.158	116658000
0.159	116658000
0.16	116658000
0.161	116658000
0.162	116658000
0.163	116658000
0.164	116658000
0.165	116658000
0.166	116658000
0.167	116658000
0.168	116658000
0.169	116658000
0.17	116658000
0.171	116658000
0.172	110084317
0.173	110084317
0.174	110084317
0.175	110084317
0.176	110084317
0.177	110084317
0.178	110084317
0.179	110084317
0.18	110084317
0.181	110084317
0.182	110084317
0.183	110084317
0.184	110084317
0.185	110084317
0.186	110084317
0.187	110084317
0.188	110084317
0.189	110084317
0.19	110084317
0.191	110084317
0.192	110084317
0.193	110084317
0.194	110084317
0.195	110084317
0.196	110084317
0.197	110084317
0.198	110084317
0.199	110084317
0.2	110084317
0.201	110084317
0.202	110084317
0.203	110084317
0.204	110084317
0.205	110084317
0.206	110084317
0.207	110084317
0.208	110084317
0.209	110084317
0.21	110084317
0.211	110084317
0.212	110084317
0.213	110084317
0.214	110084317
0.215	110084317
0.216	110084317
0.217	110084317
0.218	110084317
0.219	110084317
0.22	110084317
0.221	110084317
0.222	110084317
0.223	110084317
0.224	110084317
0.225	110084317
0.226	110084317
0.227	110084317
0.228	110084317
0.229	110084317
0.23	110084317
0.231	110084317
0.232	110084317
0.233	110084317
0.234	110084317
0.235	110084317
0.236	110084317
0.237	110084317
0.238	110084317
0.239	110084317
0.24	110084317
0.241	110084317
0.242	110084317
0.243	110084317
0.244	110084317
0.245	89536014
0.246	89536014
0.247	89536014
0.248	89536014
0.249	89536014
0.25	89536014
0.251	89536014
0.252	89536014
0.253	89536014
0.254	89536014
0.255	89536014
0.256	89536014
0.257	89536014
0.258	89536014
0.259	89536014
0.26	89536014
0.261	89536014
0.262	89536014
0.263	89536014
0.264	89536014
0.265	89536014
0.266	89536014
0.267	89536014
0.268	89536014
0.269	89536014
0.27	89536014
0.271	89536014
0.272	89536014
0.273	89536014
0.274	89536014
0.275	89536014
0.276	89536014
0.277	89536014
0.278	89536014
0.279	89536014
0.28	89536014
0.281	89536014
0.282	89536014
0.283	89536014
0.284	89536014
0.285	89536014
0.286	89536014
0.287	89536014
0.288	89536014
0.289	89536014
0.29	89536014
0.291	89536014
0.292	89536014
0.293	89536014
0.294	89536014
0.295	89536014
0.296	89536014
0.297	89536014
0.298	89536014
0.299	89536014
0.3	89536014
0.301	89536014
0.302	89536014
0.303	89536014
0.304	89480216
0.305	89480216
0.306	89480216
0.307	89480216
0.308	89480216
0.309	89480216
0.31	89480216
0.311	89480216
0.312	89480216
0.313	89480216
0.314	89480216
0.315	89480216
0.316	89480216
0.317	89480216
0.318	89480216
0.319	89480216
0.32	89480216
0.321	89480216
0.322	89480216
0.323	89480216
0.324	89480216
0.325	89480216
0.326	89480216
0.327	89480216
0.328	89480216
0.329	89480216
0.33	89480216
0.331	89480216
0.332	89480216
0.333	89480216
0.334	89480216
0.335	89480216
0.336	89480216
0.337	89480216
0.338	89480216
0.339	89480216
0.34	89480216
0.341	89480216
0.342	89480216
0.343	89480216
0.344	89480216
0.345	89480216
0.346	89480216
0.347	89480216
0.348	89480216
0.349	89480216
0.35	89480216
0.351	89480216
0.352	89480216
0.353	89480216
0.354	89480216
0.355	89480216
0.356	89480216
0.357	89480216
0.358	89480216
0.359	89480216
0.36	89480216
0.361	89480216
0.362	89480216
0.363	89480216
0.364	78542541
0.365	78542541
0.366	78542541
0.367	78542541
0.368	78542541
0.369	78542541
0.37	78542541
0.371	78542541
0.372	78542541
0.373	78542541
0.374	78542541
0.375	78542541
0.376	78542541
0.377	78542541
0.378	78542541
0.379	78542541
0.38	78542541
0.381	78542541
0.382	78542541
0.383	78542541
0.384	78542541
0.385	78542541
0.386	78542541
0.387	78542541
0.388	78542541
0.389	78542541
0.39	78542541
0.391	78542541
0.392	78542541
0.393	78542541
0.394	78542541
0.395	78542541
0.396	78542541
0.397	78542541
0.398	78542541
0.399	78542541
0.4	78542541
0.401	78542541
0.402	78542541
0.403	78542541
0.404	78542541
0.405	78542541
0.406	78542541
0.407	78542541
0.408	78542541
0.409	78542541
0.41	78542541
0.411	78542541
0.412	78542541
0.413	78542541
0.414	78542541
0.415	78542541
0.416	68797126
0.417	68797126
0.418	68797126
0.419	68797126
0.42	68797126
0.421	68797126
0.422	68797126
0.423	68797126
0.424	68797126
0.425	68797126
0.426	68797126
0.427	68797126
0.428	68797126
0.429	68797126
0.43	68797126
0.431	68797126
0.432	68797126
0.433	68797126
0.434	68797126
0.435	68797126
0.436	68797126
0.437	68797126
0.438	68797126
0.439	68797126
0.44	68797126
0.441	68797126
0.442	68797126
0.443	68797126
0.444	68797126
0.445	68797126
0.446	68797126
0.447	68797126
0.448	68797126
0.449	68797126
0.45	68797126
0.451	68797126
0.452	68797126
0.453	68797126
0.454	68797126
0.455	68797126
0.456	68797126
0.457	68797126
0.458	68797126
0.459	68797126
0.46	68797126
0.461	65743000
0.462	65743000
0.463	65743000
0.464	65743000
0.465	65743000
0.466	65743000
0.467	65743000
0.468	65743000
0.469	65743000
0.47	65743000
0.471	65743000
0.472	65743000
0.473	65743000
0.474	65743000
0.475	65743000
0.476	65743000
0.477	65743000
0.478	65743000
0.479	65743000
0.48	65743000
0.481	65743000
0.482	65743000
0.483	65743000
0.484	65743000
0.485	65743000
0.486	65743000
0.487	65743000
0.488	65743000
0.489	65743000
0.49	65743000
0.491	65743000
0.492	65743000
0.493	65743000
0.494	65743000
0.495	65743000
0.496	65743000
0.497	65743000
0.498	65743000
0.499	65743000
0.5	65743000
0.501	65743000
0.502	65743000
0.503	65743000
0.504	65743000
0.505	63189000
0.506	63189000
0.507	63189000
0.508	63189000
0.509	63189000
0.51	63189000
0.511	63189000
0.512	63189000
0.513	63189000
0.514	63189000
0.515	63189000
0.516	63189000
0.517	63189000
0.518	63189000
0.519	63189000
0.52	63189000
0.521	63189000
0.522	63189000
0.523	63189000
0.524	63189000
0.525	63189000
0.526	63189000
0.527	63189000
0.528	63189000
0.529	63189000
0.53	63189000
0.531	63189000
0.532	63189000
0.533	63189000
0.534	63189000
0.535	63189000
0.536	63189000
0.537	63189000
0.538	63189000
0.539	63189000
0.54	63189000
0.541	63189000
0.542	63189000
0.543	63189000
0.544	63189000
0.545	63189000
0.546	63189000
0.547	59172000
0.548	59172000
0.549	59172000
0.55	59172000
0.551	59172000
0.552	59172000
0.553	59172000
0.554	59172000
0.555	59172000
0.556	59172000
0.557	59172000
0.558	59172000
0.559	59172000
0.56	59172000
0.561	59172000
0.562	59172000
0.563	59172000
0.564	59172000
0.565	59172000
0.566	59172000
0.567	59172000
0.568	59172000
0.569	59172000
0.57	59172000
0.571	59172000
0.572	59172000
0.573	59172000
0.574	59172000
0.575	59172000
0.576	59172000
0.577	59172000
0.578	59172000
0.579	59172000
0.58	59172000
0.581	59172000
0.582	59172000
0.583	59172000
0.584	59172000
0.585	59172000
0.586	52728000
0.587	52728000
0.588	52728000
0.589	52728000
0.59	52728000
0.591	52728000
0.592	52728000
0.593	52728000
0.594	52728000
0.595	52728000
0.596	52728000
0.597	52728000
0.598	52728000
0.599	52728000
0.6	52728000
0.601	52728000
0.602	52728000
0.603	52728000
0.604	52728000
0.605	52728000
0.606	52728000
0.607	52728000
0.608	52728000
0.609	52728000
0.61	52728000
0.611	52728000
0.612	52728000
0.613	52728000
0.614	52728000
0.615	52728000
0.616	52728000
0.617	52728000
0.618	52728000
0.619	52728000
0.62	52728000
0.621	51106297
0.622	51106297
0.623	51106297
0.624	51106297
0.625	51106297
0.626	51106297
0.627	51106297
0.628	51106297
0.629	51106297
0.63	51106297
0.631	51106297
0.632	51106297
0.633	51106297
0.634	51106297
0.635	51106297
0.636	51106297
0.637	51106297
0.638	51106297
0.639	51106297
0.64	51106297
0.641	51106297
0.642	51106297
0.643	51106297
0.644	51106297
0.645	51106297
0.646	51106297
0.647	51106297
0.648	51106297
0.649	51106297
0.65	51106297
0.651	51106297
0.652	51106297
0.653	51106297
0.654	51106297
0.655	46264000
0.656	46264000
0.657	46264000
0.658	46264000
0.659	46264000
0.66	46264000
0.661	46264000
0.662	46264000
0.663	46264000
0.664	46264000
0.665	46264000
0.666	46264000
0.667	46264000
0.668	46264000
0.669	46264000
0.67	46264000
0.671	46264000
0.672	46264000
0.673	46264000
0.674	46264000
0.675	46264000
0.676	46264000
0.677	46264000
0.678	46264000
0.679	46264000
0.68	46264000
0.681	46264000
0.682	46264000
0.683	46264000
0.684	46264000
0.685	46264000
0.686	39955000
0.687	39955000
0.688	39955000
0.689	39955000
0.69	39955000
0.691	39955000
0.692	39955000
0.693	39955000
0.694	39955000
0.695	39955000
0.696	39955000
0.697	39955000
0.698	39955000
0.699	39955000
0.7	39955000
0.701	39955000
0.702	39955000
0.703	39955000
0.704	39955000
0.705	39955000
0.706	39955000
0.707	39955000
0.708	39955000
0.709	39955000
0.71	39955000
0.711	39955000
0.712	35899000
0.713	35899000
0.714	35899000
0.715	35899000
0.716	35899000
0.717	35899000
0.718	35899000
0.719	35899000
0.72	35899000
0.721	35899000
0.722	35899000
0.723	35899000
0.724	35899000
0.725	35899000
0.726	35899000
0.727	35899000
0.728	35899000
0.729	35899000
0.73	35899000
0.731	35899000
0.732	35899000
0.733	35899000
0.734	35899000
0.735	35899000
0.736	34634728
0.737	34634728
0.738	34634728
0.739	34634728
0.74	34634728
0.741	34634728
0.742	34634728
0.743	34634728
0.744	34634728
0.745	34634728
0.746	34634728
0.747	34634728
0.748	34634728
0.749	34634728
0.75	34634728
0.751	34634728
0.752	34634728
0.753	34634728
0.754	34634728
0.755	34634728
0.756	34634728
0.757	34634728
0.758	34634728
0.759	34449347
0.76	34449347
0.761	34449347
0.762	34449347
0.763	34449347
0.764	34449347
0.765	34449347
0.766	34449347
0.767	34449347
0.768	34449347
0.769	34449347
0.77	34449347
0.771	34449347
0.772	34449347
0.773	34449347
0.774	34449347
0.775	34449347
0.776	34449347
0.777	34449347
0.778	34449347
0.779	34449347
0.78	34449347
0.781	34449347
0.782	23322464
0.783	23322464
0.784	23322464
0.785	23322464
0.786	23322464
0.787	23322464
0.788	23322464
0.789	23322464
0.79	23322464
0.791	23322464
0.792	23322464
0.793	23322464
0.794	23322464
0.795	23322464
0.796	23322464
0.797	22706469
0.798	22706469
0.799	22706469
0.8	22706469
0.801	22706469
0.802	22706469
0.803	22706469
0.804	22706469
0.805	22706469
0.806	22706469
0.807	22706469
0.808	22706469
0.809	22706469
0.81	22706469
0.811	22706469
0.812	20245000
0.813	20245000
0.814	20245000
0.815	20245000
0.816	20245000
0.817	20245000
0.818	20245000
0.819	20245000
0.82	20245000
0.821	20245000
0.822	20245000
0.823	20245000
0.824	20245000
0.825	20245000
0.826	16819611
0.827	16819611
0.828	16819611
0.829	16819611
0.83	16819611
0.831	16819611
0.832	16819611
0.833	16819611
0.834	16819611
0.835	16819611
0.836	16819611
0.837	16411040
0.838	16411040
0.839	16411040
0.84	16411040
0.841	16411040
0.842	16411040
0.843	16411040
0.844	16411040
0.845	16411040
0.846	16411040
0.847	16411040
0.848	15908016
0.849	15908016
0.85	15908016
0.851	15908016
0.852	15908016
0.853	15908016
0.854	15908016
0.855	15908016
0.856	15908016
0.857	15908016
0.858	13943053
0.859	13943053
0.86	13943053
0.861	13943053
0.862	13943053
0.863	13943053
0.864	13943053
0.865	13943053
0.866	13943053
0.867	13943053
0.868	13275000
0.869	13275000
0.87	13275000
0.871	13275000
0.872	13275000
0.873	13275000
0.874	13275000
0.875	13275000
0.876	12070000
0.877	12070000
0.878	12070000
0.879	12070000
0.88	12070000
0.881	12070000
0.882	12070000
0.883	12070000
0.884	11832839
0.885	11832839
0.886	11832839
0.887	11832839
0.888	11832839
0.889	11832839
0.89	11832839
0.891	11832839
0.892	11798648
0.893	11798648
0.894	11798648
0.895	11798648
0.896	11798648
0.897	11798648
0.898	11798648
0.899	11798648
0.9	10682484
0.901	10682484
0.902	10682484
0.903	10682484
0.904	10682484
0.905	10682484
0.906	10682484
0.907	9421000
0.908	9421000
0.909	9421000
0.91	9421000
0.911	9421000
0.912	9421000
0.913	9227000
0.914	9227000
0.915	9227000
0.916	9227000
0.917	9227000
0.918	9227000
0.919	9227000
0.92	9200000
0.921	9200000
0.922	9200000
0.923	9200000
0.924	9200000
0.925	9200000
0.926	8987304
0.927	8987304
0.928	8987304
0.929	8987304
0.93	8987304
0.931	8987304
0.932	8570000
0.933	8570000
0.934	8570000
0.935	8570000
0.936	8570000
0.937	8003562
0.938	8003562
0.939	8003562
0.94	8003562
0.941	8003562
0.942	8003562
0.943	7715683
0.944	7715683
0.945	7715683
0.946	7715683
0.947	7715683
0.948	6652320
0.949	6652320
0.95	6652320
0.951	6652320
0.952	5831961
0.953	5831961
0.954	5831961
0.955	5831961
0.956	5498612
0.957	5498612
0.958	5498612
0.959	5498612
0.96	5190318
0.961	5190318
0.962	5190318
0.963	4942000
0.964	4942000
0.965	4942000
0.966	4151802
0.967	4151802
0.968	4151802
