fraction	Nx_length
0.001	10336902
0.002	10336902
0.003	10336902
0.004	10336902
0.005	10336902
0.006	10336902
0.007	10218517
0.008	10218517
0.009	10218517
0.01	10218517
0.011	10218517
0.012	10218517
0.013	10218517
0.014	9569490
0.015	9569490
0.016	9569490
0.017	9569490
0.018	9569490
0.019	9569490
0.02	9223629
0.021	9223629
0.022	9223629
0.023	9223629
0.024	9223629
0.025	9223629
0.026	8920089
0.027	8920089
0.028	8920089
0.029	8920089
0.03	8920089
0.031	8920089
0.032	8726707
0.033	8726707
0.034	8726707
0.035	8726707
0.036	8726707
0.037	8726707
0.038	8465513
0.039	8465513
0.04	8465513
0.041	8465513
0.042	8465513
0.043	8465513
0.044	8237853
0.045	8237853
0.046	8237853
0.047	8237853
0.048	8237853
0.049	8193460
0.05	8193460
0.051	8193460
0.052	8193460
0.053	8193460
0.054	8193460
0.055	8087393
0.056	8087393
0.057	8087393
0.058	8087393
0.059	8087393
0.06	7892434
0.061	7892434
0.062	7892434
0.063	7892434
0.064	7892434
0.065	7827613
0.066	7827613
0.067	7827613
0.068	7827613
0.069	7827613
0.07	7823439
0.071	7823439
0.072	7823439
0.073	7823439
0.074	7823439
0.075	7792443
0.076	7792443
0.077	7792443
0.078	7792443
0.079	7792443
0.08	7792443
0.081	7669037
0.082	7669037
0.083	7669037
0.084	7669037
0.085	7669037
0.086	7338188
0.087	7338188
0.088	7338188
0.089	7338188
0.09	7338188
0.091	7280894
0.092	7280894
0.093	7280894
0.094	7280894
0.095	7277112
0.096	7277112
0.097	7277112
0.098	7277112
0.099	7277112
0.1	7015876
0.101	7015876
0.102	7015876
0.103	7015876
0.104	7015876
0.105	6849565
0.106	6849565
0.107	6849565
0.108	6849565
0.109	6750926
0.11	6750926
0.111	6750926
0.112	6750926
0.113	6750926
0.114	6702247
0.115	6702247
0.116	6702247
0.117	6702247
0.118	6500352
0.119	6500352
0.12	6500352
0.121	6500352
0.122	6367473
0.123	6367473
0.124	6367473
0.125	6367473
0.126	6367473
0.127	6302446
0.128	6302446
0.129	6302446
0.13	6302446
0.131	6284164
0.132	6284164
0.133	6284164
0.134	6284164
0.135	6185159
0.136	6185159
0.137	6185159
0.138	6185159
0.139	6151575
0.14	6151575
0.141	6151575
0.142	6151575
0.143	6028654
0.144	6028654
0.145	6028654
0.146	6028654
0.147	6021228
0.148	6021228
0.149	6021228
0.15	6021228
0.151	5827872
0.152	5827872
0.153	5827872
0.154	5827872
0.155	5778159
0.156	5778159
0.157	5778159
0.158	5778159
0.159	5736550
0.16	5736550
0.161	5736550
0.162	5736550
0.163	5710802
0.164	5710802
0.165	5710802
0.166	5706430
0.167	5706430
0.168	5706430
0.169	5706430
0.17	5610330
0.171	5610330
0.172	5610330
0.173	5610330
0.174	5559458
0.175	5559458
0.176	5559458
0.177	5533856
0.178	5533856
0.179	5533856
0.18	5533856
0.181	5485224
0.182	5485224
0.183	5485224
0.184	5485224
0.185	5480444
0.186	5480444
0.187	5480444
0.188	5472991
0.189	5472991
0.19	5472991
0.191	5472991
0.192	5370777
0.193	5370777
0.194	5370777
0.195	5348541
0.196	5348541
0.197	5348541
0.198	5348541
0.199	5327338
0.2	5327338
0.201	5327338
0.202	5327338
0.203	5320448
0.204	5320448
0.205	5320448
0.206	5013596
0.207	5013596
0.208	5013596
0.209	5011000
0.21	5011000
0.211	5011000
0.212	5011000
0.213	4973502
0.214	4973502
0.215	4973502
0.216	4971240
0.217	4971240
0.218	4971240
0.219	4966850
0.22	4966850
0.221	4966850
0.222	4966850
0.223	4963438
0.224	4963438
0.225	4963438
0.226	4920961
0.227	4920961
0.228	4920961
0.229	4860943
0.23	4860943
0.231	4860943
0.232	4806525
0.233	4806525
0.234	4806525
0.235	4785359
0.236	4785359
0.237	4785359
0.238	4785359
0.239	4746733
0.24	4746733
0.241	4746733
0.242	4740176
0.243	4740176
0.244	4740176
0.245	4736278
0.246	4736278
0.247	4736278
0.248	4730299
0.249	4730299
0.25	4730299
0.251	4722768
0.252	4722768
0.253	4722768
0.254	4655676
0.255	4655676
0.256	4655676
0.257	4654193
0.258	4654193
0.259	4654193
0.26	4596632
0.261	4596632
0.262	4596632
0.263	4567032
0.264	4567032
0.265	4567032
0.266	4556167
0.267	4556167
0.268	4556167
0.269	4550266
0.27	4550266
0.271	4550266
0.272	4541447
0.273	4541447
0.274	4541447
0.275	4537804
0.276	4537804
0.277	4537804
0.278	4386782
0.279	4386782
0.28	4386782
0.281	4379196
0.282	4379196
0.283	4379196
0.284	4362140
0.285	4362140
0.286	4362140
0.287	4312000
0.288	4312000
0.289	4312000
0.29	4259541
0.291	4259541
0.292	4259541
0.293	4255179
0.294	4255179
0.295	4255179
0.296	4242841
0.297	4242841
0.298	4236801
0.299	4236801
0.3	4236801
0.301	4199416
0.302	4199416
0.303	4199416
0.304	4168418
0.305	4168418
0.306	4168418
0.307	4161752
0.308	4161752
0.309	4157501
0.31	4157501
0.311	4157501
0.312	4116614
0.313	4116614
0.314	4116614
0.315	4067397
0.316	4067397
0.317	4067397
0.318	4049905
0.319	4049905
0.32	4038738
0.321	4038738
0.322	4038738
0.323	4012215
0.324	4012215
0.325	4012215
0.326	3972849
0.327	3972849
0.328	3906405
0.329	3906405
0.33	3906405
0.331	3899753
0.332	3899753
0.333	3860495
0.334	3860495
0.335	3860495
0.336	3848916
0.337	3848916
0.338	3839499
0.339	3839499
0.34	3839499
0.341	3821691
0.342	3821691
0.343	3821691
0.344	3800658
0.345	3800658
0.346	3783000
0.347	3783000
0.348	3783000
0.349	3751317
0.35	3751317
0.351	3737768
0.352	3737768
0.353	3731986
0.354	3731986
0.355	3731986
0.356	3715440
0.357	3715440
0.358	3685293
0.359	3685293
0.36	3685293
0.361	3661797
0.362	3661797
0.363	3644636
0.364	3644636
0.365	3644636
0.366	3626974
0.367	3626974
0.368	3624196
0.369	3624196
0.37	3612215
0.371	3612215
0.372	3612215
0.373	3572102
0.374	3572102
0.375	3556155
0.376	3556155
0.377	3556155
0.378	3554653
0.379	3554653
0.38	3540308
0.381	3540308
0.382	3534311
0.383	3534311
0.384	3534311
0.385	3513451
0.386	3513451
0.387	3504484
0.388	3504484
0.389	3502048
0.39	3502048
0.391	3497326
0.392	3497326
0.393	3497326
0.394	3496909
0.395	3496909
0.396	3484503
0.397	3484503
0.398	3417973
0.399	3417973
0.4	3417973
0.401	3342402
0.402	3342402
0.403	3325808
0.404	3325808
0.405	3321505
0.406	3321505
0.407	3315000
0.408	3315000
0.409	3302512
0.41	3302512
0.411	3302512
0.412	3295871
0.413	3295871
0.414	3284007
0.415	3284007
0.416	3281332
0.417	3281332
0.418	3274664
0.419	3274664
0.42	3271235
0.421	3271235
0.422	3238000
0.423	3238000
0.424	3238000
0.425	3229093
0.426	3229093
0.427	3194000
0.428	3194000
0.429	3188547
0.43	3188547
0.431	3184492
0.432	3184492
0.433	3175987
0.434	3175987
0.435	3167682
0.436	3167682
0.437	3161752
0.438	3161752
0.439	3160433
0.44	3160433
0.441	3160000
0.442	3160000
0.443	3154012
0.444	3154012
0.445	3154012
0.446	3145761
0.447	3145761
0.448	3135000
0.449	3135000
0.45	3133637
0.451	3133637
0.452	3127980
0.453	3127980
0.454	3125179
0.455	3125179
0.456	3125178
0.457	3125178
0.458	3118888
0.459	3118888
0.46	3108190
0.461	3108190
0.462	3099000
0.463	3099000
0.464	3098665
0.465	3098665
0.466	3090497
0.467	3090497
0.468	3078177
0.469	3078177
0.47	3063824
0.471	3063824
0.472	3027043
0.473	3027043
0.474	3023571
0.475	3023571
0.476	3023344
0.477	3023344
0.478	3005226
0.479	3005226
0.48	2996804
0.481	2996804
0.482	2993676
0.483	2993676
0.484	2952406
0.485	2952406
0.486	2941417
0.487	2941417
0.488	2920402
0.489	2920402
0.49	2903985
0.491	2903985
0.492	2903004
0.493	2903004
0.494	2899993
0.495	2899993
0.496	2891398
0.497	2891398
