fraction	Nx_length
0.001	18850722
0.002	18850722
0.003	18850722
0.004	18850722
0.005	18850722
0.006	18850722
0.007	18850722
0.008	18850722
0.009	18850722
0.01	18850722
0.011	18850722
0.012	18850722
0.013	11604075
0.014	11604075
0.015	11604075
0.016	11604075
0.017	11604075
0.018	11604075
0.019	11604075
0.02	11604075
0.021	11419369
0.022	11419369
0.023	11419369
0.024	11419369
0.025	11419369
0.026	11419369
0.027	11419369
0.028	10565497
0.029	10565497
0.03	10565497
0.031	10565497
0.032	10565497
0.033	10565497
0.034	10565497
0.035	10355904
0.036	10355904
0.037	10355904
0.038	10355904
0.039	10355904
0.04	10355904
0.041	10355904
0.042	9851680
0.043	9851680
0.044	9851680
0.045	9851680
0.046	9851680
0.047	9851680
0.048	9777140
0.049	9777140
0.05	9777140
0.051	9777140
0.052	9777140
0.053	9777140
0.054	9777140
0.055	8833907
0.056	8833907
0.057	8833907
0.058	8833907
0.059	8833907
0.06	8793032
0.061	8793032
0.062	8793032
0.063	8793032
0.064	8793032
0.065	8793032
0.066	8506375
0.067	8506375
0.068	8506375
0.069	8506375
0.07	8506375
0.071	8506375
0.072	8368979
0.073	8368979
0.074	8368979
0.075	8368979
0.076	8368979
0.077	8305104
0.078	8305104
0.079	8305104
0.08	8305104
0.081	8305104
0.082	8305104
0.083	8184932
0.084	8184932
0.085	8184932
0.086	8184932
0.087	8184932
0.088	8089183
0.089	8089183
0.09	8089183
0.091	8089183
0.092	8089183
0.093	8035008
0.094	8035008
0.095	8035008
0.096	8035008
0.097	8035008
0.098	8035008
0.099	7812334
0.1	7812334
0.101	7812334
0.102	7812334
0.103	7812334
0.104	7810238
0.105	7810238
0.106	7810238
0.107	7810238
0.108	7810238
0.109	7411897
0.11	7411897
0.111	7411897
0.112	7411897
0.113	7411897
0.114	7348457
0.115	7348457
0.116	7348457
0.117	7348457
0.118	7348457
0.119	7304859
0.12	7304859
0.121	7304859
0.122	7304859
0.123	7293660
0.124	7293660
0.125	7293660
0.126	7293660
0.127	7293660
0.128	7245167
0.129	7245167
0.13	7245167
0.131	7245167
0.132	7245167
0.133	7225539
0.134	7225539
0.135	7225539
0.136	7225539
0.137	7225539
0.138	7198383
0.139	7198383
0.14	7198383
0.141	7198383
0.142	7081932
0.143	7081932
0.144	7081932
0.145	7081932
0.146	7081932
0.147	6745681
0.148	6745681
0.149	6745681
0.15	6745681
0.151	6745681
0.152	6560956
0.153	6560956
0.154	6560956
0.155	6560956
0.156	6433016
0.157	6433016
0.158	6433016
0.159	6433016
0.16	6316663
0.161	6316663
0.162	6316663
0.163	6316663
0.164	6314479
0.165	6314479
0.166	6314479
0.167	6314479
0.168	6196167
0.169	6196167
0.17	6196167
0.171	6196167
0.172	6191742
0.173	6191742
0.174	6191742
0.175	6191742
0.176	6191742
0.177	6188769
0.178	6188769
0.179	6188769
0.18	6188769
0.181	6171310
0.182	6171310
0.183	6171310
0.184	6171310
0.185	6084775
0.186	6084775
0.187	6084775
0.188	6084775
0.189	6065553
0.19	6065553
0.191	6065553
0.192	6065553
0.193	5988833
0.194	5988833
0.195	5988833
0.196	5988833
0.197	5900671
0.198	5900671
0.199	5900671
0.2	5863729
0.201	5863729
0.202	5863729
0.203	5863729
0.204	5770848
0.205	5770848
0.206	5770848
0.207	5770848
0.208	5730941
0.209	5730941
0.21	5730941
0.211	5730941
0.212	5729275
0.213	5729275
0.214	5729275
0.215	5729275
0.216	5716230
0.217	5716230
0.218	5716230
0.219	5694159
0.22	5694159
0.221	5694159
0.222	5694159
0.223	5679495
0.224	5679495
0.225	5679495
0.226	5679495
0.227	5654676
0.228	5654676
0.229	5654676
0.23	5654676
0.231	5631476
0.232	5631476
0.233	5631476
0.234	5582031
0.235	5582031
0.236	5582031
0.237	5582031
0.238	5495924
0.239	5495924
0.24	5495924
0.241	5495924
0.242	5489000
0.243	5489000
0.244	5489000
0.245	5448472
0.246	5448472
0.247	5448472
0.248	5448472
0.249	5420835
0.25	5420835
0.251	5420835
0.252	5359258
0.253	5359258
0.254	5359258
0.255	5359258
0.256	5217714
0.257	5217714
0.258	5217714
0.259	5137745
0.26	5137745
0.261	5137745
0.262	5137745
0.263	5076431
0.264	5076431
0.265	5076431
0.266	4981211
0.267	4981211
0.268	4981211
0.269	4961962
0.27	4961962
0.271	4961962
0.272	4941690
0.273	4941690
0.274	4941690
0.275	4941690
0.276	4926000
0.277	4926000
0.278	4926000
0.279	4824367
0.28	4824367
0.281	4824367
0.282	4799182
0.283	4799182
0.284	4799182
0.285	4768268
0.286	4768268
0.287	4768268
0.288	4749384
0.289	4749384
0.29	4749384
0.291	4749384
0.292	4739328
0.293	4739328
0.294	4739328
0.295	4736106
0.296	4736106
0.297	4736106
0.298	4712589
0.299	4712589
0.3	4712589
0.301	4694906
0.302	4694906
0.303	4694906
0.304	4674771
0.305	4674771
0.306	4674771
0.307	4670189
0.308	4670189
0.309	4670189
0.31	4652866
0.311	4652866
0.312	4652866
0.313	4570999
0.314	4570999
0.315	4570999
0.316	4504997
0.317	4504997
0.318	4504997
0.319	4469132
0.32	4469132
0.321	4469132
0.322	4455000
0.323	4455000
0.324	4455000
0.325	4415596
0.326	4415596
0.327	4415596
0.328	4403311
0.329	4403311
0.33	4403311
0.331	4391450
0.332	4391450
0.333	4391450
0.334	4296722
0.335	4296722
0.336	4273252
0.337	4273252
0.338	4273252
0.339	4241883
0.34	4241883
0.341	4241883
0.342	4214807
0.343	4214807
0.344	4214807
0.345	4204432
0.346	4204432
0.347	4204432
0.348	4195365
0.349	4195365
0.35	4194478
0.351	4194478
0.352	4194478
0.353	4179442
0.354	4179442
