fraction	Nx_length
0.001	15005526
0.002	15005526
0.003	15005526
0.004	14859470
0.005	14859470
0.006	14859470
0.007	14859470
0.008	12773653
0.009	12773653
0.01	12773653
0.011	12042253
0.012	12042253
0.013	12042253
0.014	11567264
0.015	11567264
0.016	11567264
0.017	11369893
0.018	11369893
0.019	11369893
0.02	11279803
0.021	11279803
0.022	11279803
0.023	10977855
0.024	10977855
0.025	10977855
0.026	10864900
0.027	10864900
0.028	10679472
0.029	10679472
0.03	10679472
0.031	10318952
0.032	10318952
0.033	10312615
0.034	10312615
0.035	10312615
0.036	10289141
0.037	10289141
0.038	10289141
0.039	10203991
0.04	10203991
0.041	9973754
0.042	9973754
0.043	9973754
0.044	9680380
0.045	9680380
0.046	9576786
0.047	9576786
0.048	9576786
0.049	9456425
0.05	9456425
0.051	9449929
0.052	9449929
0.053	9299200
0.054	9299200
0.055	9299200
0.056	9147495
0.057	9147495
0.058	8911770
0.059	8911770
0.06	8827453
0.061	8827453
0.062	8565660
0.063	8565660
0.064	8533125
0.065	8533125
0.066	8533125
0.067	8514689
0.068	8514689
0.069	8382983
0.07	8382983
0.071	8252645
0.072	8252645
0.073	8088286
0.074	8088286
0.075	8077318
0.076	8077318
0.077	7863784
0.078	7863784
0.079	7576852
0.08	7576852
0.081	7539722
0.082	7539722
0.083	7465390
0.084	7465390
0.085	7465095
0.086	7218205
0.087	7218205
0.088	7156092
0.089	7156092
0.09	7082712
0.091	7082712
0.092	7006122
0.093	7006122
0.094	6874789
0.095	6808993
0.096	6808993
0.097	6789384
0.098	6789384
0.099	6662185
0.1	6655879
0.101	6655879
0.102	6552953
0.103	6552953
0.104	6520795
0.105	6519106
0.106	6519106
0.107	6487695
0.108	6487695
0.109	6459075
0.11	6432850
0.111	6432850
0.112	6408254
0.113	6390917
0.114	6390917
0.115	6376806
0.116	6376806
0.117	6225000
0.118	6193205
0.119	6193205
0.12	6141742
0.121	6109113
0.122	6109113
0.123	6095925
0.124	6082171
0.125	6082171
0.126	6045591
0.127	6012193
0.128	6012193
0.129	6005022
0.13	5994495
0.131	5994495
0.132	5957496
0.133	5952436
0.134	5952436
0.135	5933612
0.136	5931232
0.137	5931232
0.138	5871845
0.139	5867599
0.14	5867599
0.141	5794746
0.142	5753071
0.143	5753071
0.144	5720468
0.145	5710478
0.146	5689136
0.147	5689136
0.148	5686116
0.149	5677653
0.15	5677653
0.151	5662007
0.152	5642205
0.153	5642205
0.154	5576083
0.155	5570378
0.156	5562283
0.157	5562283
0.158	5557212
0.159	5516413
0.16	5516413
0.161	5497148
0.162	5475269
0.163	5474599
0.164	5474599
0.165	5427948
0.166	5381779
0.167	5380599
0.168	5380599
0.169	5335404
0.17	5278324
0.171	5259292
0.172	5259292
0.173	5243240
0.174	5222105
0.175	5217023
0.176	5217023
0.177	5181419
0.178	5168479
0.179	5157854
0.18	5157854
0.181	5153884
0.182	5132744
0.183	5054653
0.184	5049276
0.185	5049276
0.186	4973992
0.187	4956617
0.188	4920080
0.189	4906576
0.19	4906576
0.191	4895370
0.192	4862532
0.193	4800270
0.194	4775782
0.195	4740181
0.196	4740181
0.197	4736094
0.198	4724300
0.199	4717418
0.2	4710235
0.201	4707536
0.202	4707536
0.203	4684742
0.204	4658712
0.205	4638891
0.206	4622806
0.207	4602540
0.208	4545823
0.209	4530125
0.21	4530125
0.211	4506579
0.212	4497472
0.213	4491434
0.214	4474802
0.215	4466442
0.216	4459406
0.217	4439996
0.218	4377630
0.219	4377630
0.22	4365628
0.221	4337538
0.222	4314747
0.223	4263531
0.224	4259796
0.225	4226539
0.226	4225248
0.227	4203022
0.228	4199621
0.229	4191088
0.23	4163484
0.231	4157457
0.232	4124741
0.233	4124695
0.234	4118596
0.235	4117735
0.236	4081726
0.237	4079378
0.238	4067687
0.239	4054076
0.24	4005801
0.241	4004131
0.242	3985034
0.243	3981996
0.244	3970203
0.245	3962994
0.246	3950913
0.247	3948478
0.248	3936827
0.249	3923282
0.25	3920439
0.251	3911025
0.252	3905385
0.253	3880215
0.254	3861651
0.255	3858319
0.256	3848550
0.257	3846129
0.258	3840876
0.259	3836215
0.26	3830279
0.261	3814087
0.262	3799537
0.263	3792274
0.264	3774021
0.265	3767543
0.266	3750708
0.267	3745177
0.268	3720358
0.269	3717000
0.27	3697650
0.271	3674061
0.272	3667825
0.273	3657731
0.274	3635461
0.275	3625643
0.276	3614672
0.277	3610979
0.278	3591910
0.279	3570315
0.28	3558811
0.281	3556518
0.282	3543148
0.283	3534809
0.284	3513786
0.285	3513436
0.286	3506599
0.287	3495233
0.288	3478612
