fraction	Nx_length
0.001	362934503
0.002	362934503
0.003	362934503
0.004	362934503
0.005	362934503
0.006	362934503
0.007	362934503
0.008	362934503
0.009	362934503
0.01	362934503
0.011	362934503
0.012	362934503
0.013	362934503
0.014	362934503
0.015	362934503
0.016	362934503
0.017	362934503
0.018	362934503
0.019	362934503
0.02	362934503
0.021	362934503
0.022	362934503
0.023	362934503
0.024	362934503
0.025	362934503
0.026	362934503
0.027	362934503
0.028	362934503
0.029	362934503
0.03	362934503
0.031	362934503
0.032	362934503
0.033	362934503
0.034	362934503
0.035	362934503
0.036	362934503
0.037	362934503
0.038	362934503
0.039	362934503
0.04	362934503
0.041	362934503
0.042	362934503
0.043	362934503
0.044	362934503
0.045	362934503
0.046	362934503
0.047	362934503
0.048	362934503
0.049	362934503
0.05	362934503
0.051	362934503
0.052	362934503
0.053	362934503
0.054	362934503
0.055	362934503
0.056	362934503
0.057	362934503
0.058	362934503
0.059	362934503
0.06	362934503
0.061	362934503
0.062	362934503
0.063	362934503
0.064	362934503
0.065	362934503
0.066	362934503
0.067	362934503
0.068	362934503
0.069	362934503
0.07	362934503
0.071	362934503
0.072	362934503
0.073	362934503
0.074	362934503
0.075	362934503
0.076	362934503
0.077	362934503
0.078	362934503
0.079	362934503
0.08	362934503
0.081	362934503
0.082	362934503
0.083	362934503
0.084	362934503
0.085	362934503
0.086	362934503
0.087	362934503
0.088	362934503
0.089	362934503
0.09	362934503
0.091	362934503
0.092	362934503
0.093	362934503
0.094	362934503
0.095	362934503
0.096	362934503
0.097	362934503
0.098	362934503
0.099	362934503
0.1	362934503
0.101	362934503
0.102	362934503
0.103	362934503
0.104	362934503
0.105	362934503
0.106	362934503
0.107	362934503
0.108	362934503
0.109	362934503
0.11	362934503
0.111	362934503
0.112	362934503
0.113	362934503
0.114	362934503
0.115	362934503
0.116	362934503
0.117	362934503
0.118	362934503
0.119	362934503
0.12	362934503
0.121	362934503
0.122	362934503
0.123	362934503
0.124	362934503
0.125	362934503
0.126	362934503
0.127	362934503
0.128	362934503
0.129	362934503
0.13	362934503
0.131	362934503
0.132	362934503
0.133	362934503
0.134	362934503
0.135	362934503
0.136	362934503
0.137	362934503
0.138	362934503
0.139	362934503
0.14	362934503
0.141	362934503
0.142	362934503
0.143	362934503
0.144	362934503
0.145	362934503
0.146	362934503
0.147	362934503
0.148	362934503
0.149	362934503
0.15	362934503
0.151	362934503
0.152	362934503
0.153	362934503
0.154	362934503
0.155	362934503
0.156	362934503
0.157	362934503
0.158	362934503
0.159	362934503
0.16	362934503
0.161	362934503
0.162	362934503
0.163	362934503
0.164	362934503
0.165	362934503
0.166	362934503
0.167	362934503
0.168	362934503
0.169	362934503
0.17	362934503
0.171	362934503
0.172	362934503
0.173	362934503
0.174	362934503
0.175	362934503
0.176	362934503
0.177	362934503
0.178	362934503
0.179	362934503
0.18	362934503
0.181	362934503
0.182	362934503
0.183	362934503
0.184	362934503
0.185	362934503
0.186	362934503
0.187	362934503
0.188	362934503
0.189	362934503
0.19	362934503
0.191	362934503
0.192	362934503
0.193	362934503
0.194	362934503
0.195	362934503
0.196	362934503
0.197	362934503
0.198	362934503
0.199	362934503
0.2	362934503
0.201	362934503
0.202	362934503
0.203	362934503
0.204	362934503
0.205	362934503
0.206	362934503
0.207	362934503
0.208	362934503
0.209	362934503
0.21	362934503
0.211	362934503
0.212	362934503
0.213	362934503
0.214	362934503
0.215	290632359
0.216	290632359
0.217	290632359
0.218	290632359
0.219	290632359
0.22	290632359
0.221	290632359
0.222	290632359
0.223	290632359
0.224	290632359
0.225	290632359
0.226	290632359
0.227	290632359
0.228	290632359
0.229	290632359
0.23	290632359
0.231	290632359
0.232	290632359
0.233	290632359
0.234	290632359
0.235	290632359
0.236	290632359
0.237	290632359
0.238	290632359
0.239	290632359
0.24	290632359
0.241	290632359
0.242	290632359
0.243	290632359
0.244	290632359
0.245	290632359
0.246	290632359
0.247	290632359
0.248	290632359
0.249	290632359
0.25	290632359
0.251	290632359
0.252	290632359
0.253	290632359
0.254	290632359
0.255	290632359
0.256	290632359
0.257	290632359
0.258	290632359
0.259	290632359
0.26	290632359
0.261	290632359
0.262	290632359
0.263	290632359
0.264	290632359
0.265	290632359
0.266	290632359
0.267	290632359
0.268	290632359
0.269	290632359
0.27	290632359
0.271	290632359
0.272	290632359
0.273	290632359
0.274	290632359
0.275	290632359
0.276	290632359
0.277	290632359
0.278	290632359
0.279	290632359
0.28	290632359
0.281	290632359
0.282	290632359
0.283	290632359
0.284	290632359
0.285	290632359
0.286	290632359
0.287	290632359
0.288	290632359
0.289	290632359
0.29	290632359
0.291	290632359
0.292	290632359
0.293	290632359
0.294	290632359
0.295	290632359
0.296	290632359
0.297	290632359
0.298	290632359
0.299	290632359
0.3	290632359
0.301	290632359
0.302	290632359
0.303	290632359
0.304	290632359
0.305	290632359
0.306	290632359
0.307	290632359
0.308	290632359
0.309	290632359
0.31	290632359
0.311	290632359
0.312	290632359
0.313	290632359
0.314	290632359
0.315	290632359
0.316	290632359
0.317	290632359
0.318	290632359
0.319	290632359
0.32	290632359
0.321	290632359
0.322	290632359
0.323	290632359
0.324	290632359
0.325	290632359
0.326	290632359
0.327	290632359
0.328	290632359
0.329	290632359
0.33	290632359
0.331	290632359
0.332	290632359
0.333	290632359
0.334	290632359
0.335	290632359
0.336	290632359
0.337	290632359
0.338	290632359
0.339	290632359
0.34	290632359
0.341	290632359
0.342	290632359
0.343	290632359
0.344	290632359
0.345	290632359
0.346	290632359
0.347	290632359
0.348	290632359
0.349	290632359
0.35	290632359
0.351	290632359
0.352	290632359
0.353	290632359
0.354	290632359
0.355	290632359
0.356	290632359
0.357	290632359
